RecordedDate,ResponseId,Clicks,IS,Charity,ISMC,IncImp,inc1,inc2,PMMC,pm1,pm2,CharityImp,CharityImp1,CharityImp2,CharityImp3,Focus_other,gender,age,duplicate
2021-04-14 13:56,R_2qvLRG1ebPOHQ9t,647,1,-1,6,6.5,7,6,3,3,3,4,3,4,5,1,1,31,0
2021-04-14 13:56,R_3gSDKBUJaOi0AWy,854,1,-1,7,6,7,5,1,1,1,1.33,1,2,1,3,1,31,0
2021-04-14 13:56,R_2aIWuRZrg9djghZ,927,1,-1,7,7,7,7,4,4,4,6,6,6,6,4,1,42,0
2021-04-14 13:56,R_1indmJyz10upxyv,736,1,-1,7,5,5,5,3,3,3,1.67,1,2,2,3,1,31,0
2021-04-14 13:56,R_23etsadxV5fQbhu,0,-1,-1,4,4,3,5,5.5,5,6,3,3,2,4,6,1,33,0
2021-04-14 13:56,R_2Ce6xOXsbkfSEYE,0,-1,1,2,6,6,6,6,6,6,6,6,6,6,2,1,44,0
2021-04-14 13:57,R_bl7w3pASTh50R6V,611,1,1,7,7,7,7,7,7,7,7,7,7,7,7,1,25,0
2021-04-14 13:57,R_1N3XbkuO9fOwSOy,797,1,1,6,6,6,6,3,3,3,6,6,6,6,4,1,31,0
2021-04-14 13:57,R_PzXOJkYiKvIBc4h,408,-1,1,3,7,7,7,7,7,7,7,7,7,7,7,1,21,0
2021-04-14 13:57,R_1lyHmt7u9wZ4lAC,893,1,-1,7,7,7,7,5.5,5,6,5,5,5,5,6,-1,40,0
2021-04-14 13:57,R_2QWN53TajaFYAjj,440,1,-1,3,4.5,4,5,3.5,3,4,3.33,3,4,3,5,-1,38,0
2021-04-14 13:57,R_3lYTVapoIXmaW2D,375,-1,-1,2,4,5,3,6,6,6,3.67,4,3,4,6,-1,62,0
2021-04-14 13:57,R_1LdJYOBN3fHXTv0,876,-1,1,5,5,5,5,7,7,7,7,7,7,7,7,1,36,0
2021-04-14 13:57,R_270P59RStsy5zBy,186,1,1,7,5.5,5,6,4,4,4,7,7,7,7,1,-1,32,0
2021-04-14 13:57,R_eRFPeWVfqBDZedH,510,1,1,1,5.5,5,6,6,6,6,7,7,7,7,6,1,33,0
2021-04-14 13:57,R_3n6qCdl5JOgCxTt,645,1,1,6,4,5,3,4.5,4,5,5.67,6,6,5,4,-1,30,0
2021-04-14 13:57,R_5prqr6k3dXu6Hjr,716,-1,-1,6,7,7,7,2,2,2,2,2,2,2,3,-1,48,0
2021-04-14 13:57,R_2VqKItEtUdUyFtw,912,-1,-1,1,6,6,6,7,7,7,4.33,6,3,4,7,-1,43,0
2021-04-14 13:57,R_3GxkS12Vd6Jsol7,365,-1,1,1,5,6,4,6,6,6,7,7,7,7,4,-1,48,0
2021-04-14 13:57,R_29iDNSwo14EwBwi,683,1,1,1,4.5,4,5,5,5,5,7,7,7,7,7,1,32,0
2021-04-14 13:57,R_8xposibF2VBoLlL,628,-1,-1,6,7,7,7,6,6,6,5.33,4,6,6,6,1,24,0
2021-04-14 13:57,R_C9YMjykGt6Ig7vj,585,-1,-1,2,5.5,5,6,5.5,5,6,2.67,3,3,2,7,1,36,0
2021-04-14 13:57,R_Q3AYIWaXPAY4W4N,294,-1,1,6,7,7,7,7,7,7,7,7,7,7,5,-1,53,0
2021-04-14 13:57,R_1jePu0YQjtDW5is,752,1,1,6,7,7,7,6,6,6,6.33,6,6,7,7,1,30,0
2021-04-14 13:57,R_W7Bklu9z1jS8xih,393,1,-1,6,3,3,3,3,3,3,1.67,2,1,2,2,1,40,0
2021-04-14 13:57,R_qOtlWZgWry3DreF,399,1,1,1,1,1,1,7,7,7,7,7,7,7,4,-1,27,0
2021-04-14 13:58,R_56AFeCbIBXlaeyt,342,-1,1,1,1,1,1,7,7,7,7,7,7,7,5,1,70,0
2021-04-14 13:58,R_2v36ORmq0ndVA0w,422,-1,1,3,6,6,6,6,6,6,7,7,7,7,2,0,52,0
2021-04-14 13:58,R_2ZEzv8UwJyaUKOR,718,1,1,6,7,7,7,4.5,4,5,6,6,6,6,4,1,41,0
2021-04-14 13:58,R_2tJp9ZbOly9xnXK,384,-1,-1,1,2.5,3,2,2,2,2,1,1,1,1,4,-1,37,0
2021-04-14 13:58,R_OjNwhVdDLQL35Ad,562,-1,-1,2,4,4,4,4,4,4,2,2,2,2,4,1,66,0
2021-04-14 13:58,R_1PReUOwqcLdy5MQ,507,-1,-1,1,4,4,4,6,6,6,6,6,6,6,6,-1,46,0
2021-04-14 13:58,R_1FnNC66zv7LuIGo,457,-1,-1,6,5.5,6,5,6.5,6,7,5,5,6,4,7,1,35,0
2021-04-14 13:58,R_24I4xpX5CgHf1MB,498,1,-1,5,5,5,5,4,4,4,2,2,2,2,4,-1,64,0
2021-04-14 13:58,R_2QnCil7UtmP1q2H,320,1,1,4,7,7,7,7,7,7,7,7,7,7,7,-1,39,0
2021-04-14 13:58,R_qPdOk9Z8seo5xhT,768,1,1,3,3.5,3,4,4.5,5,4,6.33,6,6,7,3,1,30,0
2021-04-14 13:58,R_28XT5JU5EUwfKN0,596,1,-1,3,3,3,3,2.5,3,2,5,5,5,5,2,-1,36,0
2021-04-14 13:58,R_3PiP2N5T6DEJoK3,647,-1,-1,7,7,7,7,4,4,4,2,2,2,2,7,-1,40,0
2021-04-14 13:58,R_s4PrjdGYTL12jdv,906,-1,1,7,6,7,5,5,5,5,5,5,5,5,4,1,32,0
2021-04-14 13:58,R_XRqDNY7ockET7Fv,677,-1,-1,1,1,1,1,4,4,4,3.67,2,5,4,6,-1,29,0
2021-04-14 13:58,R_Z9Mzr2Vr5Omam2d,774,1,-1,4,7,7,7,7,7,7,5.33,5,5,6,5,1,33,0
2021-04-14 13:58,R_1QbVN9PW8wEQ5Ln,671,1,1,1,7,7,7,7,7,7,7,7,7,7,4,-1,46,0
2021-04-14 13:58,R_11jvBuXxEjVgVt8,522,-1,1,1,3.5,4,3,7,7,7,5.67,6,5,6,7,-1,51,0
2021-04-14 13:58,R_1ptVzUse3HfAgho,505,-1,-1,6,6,6,6,5,5,5,5.33,5,5,6,5,-1,50,0
2021-04-14 13:58,R_3hiluny9FcKngSc,253,1,1,1,5,5,5,6,6,6,7,7,7,7,1,1,36,0
2021-04-14 13:58,R_9YPi6i1vXIImWYN,717,1,-1,7,7,7,7,3.5,4,3,3.67,2,5,4,2,1,42,0
2021-04-14 13:58,R_YcxaZzQErve5Fhn,5,-1,-1,1,1,1,1,1,1,1,2,2,2,2,1,-1,35,0
2021-04-14 13:58,R_3Mo0IAM6DmkDHo1,663,1,-1,1,7,7,7,7,7,7,6,6,6,6,4,-1,33,0
2021-04-14 13:58,R_3n5SKuOnvUjyIjd,622,-1,1,4,7,7,7,7,7,7,7,7,7,7,5,-1,60,0
2021-04-14 13:58,R_Om1g70uGZOhI8Yp,0,1,-1,7,7,7,7,7,7,7,6.333333333,6,6,7,7,1,45,0
2021-04-14 13:59,R_1ODnYlsW61KVVdJ,710,-1,-1,5,4.5,4,5,3.5,4,3,1,1,1,1,5,1,52,0
2021-04-14 13:59,R_3NFcRj1kzTdwvLg,451,1,1,7,7,7,7,1,1,1,1,1,1,1,4,-1,38,0
2021-04-14 13:59,R_U9JijZTL5jQO3uh,331,1,1,7,1,1,1,1,1,1,4,4,4,4,1,1,66,0
2021-04-14 13:59,R_Y4zr82ODcdKSpoJ,823,-1,1,1,1,1,1,7,7,7,7,7,7,7,6,-1,30,0
2021-04-14 13:59,R_22zE0xfvqLegK8Q,788,1,-1,6,5.5,5,6,2,2,2,3,2,4,3,3,1,23,0
2021-04-14 13:59,R_3rTeZKbU2dRA8Vk,571,1,-1,7,7,7,7,1,1,1,3,2,3,4,4,1,31,0
2021-04-14 13:59,R_3dEP3IOAlNjXE7D,773,-1,1,3,6,7,5,7,7,7,5,5,5,5,6,1,46,0
2021-04-14 13:59,R_2q7QXjBysVOz1NT,496,-1,1,4,5.5,7,4,7,7,7,5.67,5,6,6,5,-1,58,0
2021-04-14 13:59,R_d0GdOfkWnzs0zbr,975,1,-1,6,7,7,7,4,4,4,1,1,1,1,6,1,43,0
2021-04-14 13:59,R_1EWLQMHYAU6nvJo,728,-1,-1,6,7,7,7,4,4,4,3.67,3,4,4,6,1,51,0
2021-04-14 13:59,R_2zI7PBAdwvEQ7Dc,811,-1,-1,7,7,7,7,2,2,2,1,1,1,1,7,1,31,0
2021-04-14 13:59,R_2VkHSw9X3O22Vv7,401,-1,1,7,7,7,7,7,7,7,7,7,7,7,6,-1,44,0
2021-04-14 13:59,R_2qeF4jfnK1T3nXb,398,1,1,7,7,7,7,4,4,4,3,3,3,3,4,-1,40,0
2021-04-14 13:59,R_2aQWYicF3NE5YO1,555,-1,1,1,4.5,7,2,7,7,7,7,7,7,7,7,-1,55,0
2021-04-14 13:59,R_1P7QJ8tgCONtUAq,830,-1,-1,6,7,7,7,4,4,4,2.67,2,3,3,4,1,34,0
2021-04-14 13:59,R_2rCqhImsBGqpmre,454,1,-1,5,4,3,5,3,3,3,1,1,1,1,3,1,37,0
2021-04-14 14:00,R_24o30ispKqHcOXW,364,-1,1,2,4.5,5,4,5,5,5,6,6,6,6,6,1,49,0
2021-04-14 14:00,R_WiAqWYpj56CNdCN,821,1,-1,1,4,4,4,4,4,4,1,1,1,1,1,1,37,0
2021-04-14 14:00,R_1DD6M4CXiOnpZCe,981,-1,1,1,7,7,7,7,7,7,7,7,7,7,7,1,40,0
2021-04-14 14:00,R_1RGzVsC757JyFWx,604,1,1,6,6,6,6,4.5,4,5,6,6,6,6,5,-1,27,0
2021-04-14 14:00,R_31sHaX63cnDfIv6,847,1,-1,7,6,6,6,2,2,2,3.33,3,4,3,6,1,36,0
2021-04-14 14:00,R_2uVvwayOHqDaT5K,600,1,1,1,4,5,3,6.5,7,6,6,6,6,6,6,-1,45,0
2021-04-14 14:00,R_2eaOFjDQ5SjGlAO,773,-1,-1,1,5.5,6,5,5,5,5,3,3,3,3,6,-1,24,0
2021-04-14 14:00,R_3szuuDc1jZL6465,496,-1,1,6,7,7,7,7,7,7,6,6,6,6,7,-1,61,0
2021-04-14 14:00,R_3EGBaT2ARIYtU5y,697,1,-1,7,2,2,2,1,1,1,2,1,4,1,1,1,60,0
2021-04-14 14:00,R_pQy8GLT1n3F8lAR,464,1,1,1,7,7,7,7,7,7,7,7,7,7,7,-1,67,0
2021-04-14 14:00,R_PIHgKGOnyaRDSjD,334,1,-1,7,5,5,5,1,1,1,1,1,1,1,1,1,45,0
2021-04-14 14:00,R_1GDMi3jKQwPHHlK,593,1,1,7,6,5,7,6,6,6,7,7,7,7,6,1,36,0
2021-04-14 14:00,R_eyCSgYTg9bLH5Zv,853,1,1,4,4,4,4,4,4,4,7,7,7,7,1,1,38,0
2021-04-14 14:00,R_2sd45NmW9DIP95U,207,1,1,2,5,5,5,5,5,5,5,5,5,5,2,-1,39,0
2021-04-14 14:00,R_w4purksT3shQK2d,688,1,-1,7,5.5,6,5,4,4,4,1.67,2,1,2,4,1,38,0
2021-04-14 14:00,R_1Ovo9RYZWFcRZJv,863,1,1,5,6.5,6,7,3.5,3,4,6,6,6,6,5,1,29,0
2021-04-14 14:01,R_eh5eduV9fjwo0lX,505,1,1,4,6,6,6,6,6,6,6,6,6,6,4,-1,73,0
