age,ALEX1,ALEX2,ALEX3,ALEX4,ALEX5,ALEX6,ALEX7,ALEX8,ALEX9,ALEX10,ALEX11,ALEX12,ALEX13,ALEX14,ALEX15,ALEX16,anxiety,artgluctot,attachhome,attachphone,AvgHumidity,avoidance,cigs,DIDF,eatdrink,ECR1,ECR2,ECR3,ECR4,ECR5,ECR6,ECR7,ECR8,ECR9,ECR10,ECR11,ECR12,ECR13,ECR14,ECR15,ECR16,ECR17,ECR18,ECR19,ECR20,ECR21,ECR22,ECR23,ECR24,ECR25,ECR26,ECR27,ECR28,ECR29,ECR30,ECR31,ECR32,ECR33,ECR34,ECR35,ECR36,endtime,EOT,exercise,gluctot,health,HOME1,HOME2,HOME3,HOME4,HOME5,HOME6,HOME7,HOME8,HOME9,KAMF1,KAMF2,KAMF3,KAMF4,KAMF5,KAMF6,KAMF7,networksize,nostalgia,onlineid,onlineid1,onlineid2,onlineid3,onlineid4,onlineid5,onlineid6,onlineid7,onlineid8,onlineid9,onlineid10,onlineide11,phone1,phone2,phone3,phone4,phone5,phone6,phone7,phone8,phone9,romantic,scontrol1,scontrol2,scontrol3,scontrol4,scontrol5,scontrol6,scontrol7,scontrol8,scontrol9,scontrol10,scontrol11,scontrol12,scontrol13,selfcontrol,sex,smoke,SNI1,SNI2,SNI3,SNI4,SNI5,SNI6,SNI7,SNI8,SNI9,SNI10,SNI11,SNI12,SNI13,SNI14,SNI15,SNI16,SNI17,SNI18,SNI19,SNI20,SNI21,SNI22,SNI23,SNI24,SNI25,SNI26,SNI27,SNI28,SNI29,SNI30,SNI31,SNI32,SNS1,SNS2,SNS3,SNS4,SNS5,SNS6,SNS7,socialdiversity,socialembedded,STRAQ_1,STRAQ_2,STRAQ_3,STRAQ_4,STRAQ_6,STRAQ_7,STRAQ_8,STRAQ_9,STRAQ_10,STRAQ_11,STRAQ_12,STRAQ_19,STRAQ_20,STRAQ_21,STRAQ_22,STRAQ_23,STRAQ_24,STRAQ_25,STRAQ_26,STRAQ_27,STRAQ_28,STRAQ_29,STRAQ_30,STRAQ_31,STRAQ_32,STRAQ_33,STRAQ_5,STRAQ_13,STRAQ_14,STRAQ_15,STRAQ_16,STRAQ_17,STRAQ_18,STRAQ_34,STRAQ_35,STRAQ_36,STRAQ_37,STRAQ_38,STRAQ_39,STRAQ_40,STRAQ_41,STRAQ_42,STRAQ_43,STRAQ_44,STRAQ_45,STRAQ_46,STRAQ_47,STRAQ_48,STRAQ_49,STRAQ_50,STRAQ_51,STRAQ_52,STRAQ_53,STRAQ_54,STRAQ_55,STRAQ_56,STRAQ_57,stress,stress1,stress2,stress3,stress4,stress5,stress6,stress7,stress8,stress9,stress10,stress11,stress12,stress13,stress14,Temperature_t1,Temperature_t2,thermotype,avgtemp,filter_$,mintemp,language,langfamily,Zanxiety,Zavoidance,Site
1993,4,4,4,4,4,4,4,4,4,4,4,2,4,2,4,2,3.944444444,0,4,2.444444444,89,4.111111111, ,4,1,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,8:19:59,2.8,2,3,2,4,4,4,4,4,4,4,4,4,4,5,2,2,2,2,2,25,4.5,2.181818182,2,2,4,2,2,2,2,2,2,2,2,2,3,2,3,2,2,3,2,3,1,4,2,2,2,1,1,3,4,3,3,1,1,1,2.153846154,2,2,2,1, ,4,4,2,1,8,5,5,4,1, ,2,5,1, , ,1,1, ,2,Sport,Social,Coffee Club, , ,3,4,2, , ,7,4,4,4,4,4,5,7,2,5,3,5,5,5,5,3,5,1,1,1,4,4,5,5,4,5,5,5,3,4,3,3,3,3,3,5,1,1,5,1,5,5,5,3,4,3,5,5,5,5,5,3,3,3,3,4,3,4,3,3,3,3,3,3,3,3,3.538461538,4,2,4,4,4,3,4,4,3,4,3,3,4,3,34.4,35.9,2,35.15,1,-1.666666667,5,1,0.377228449,0.741787804,Oxford
1945,2,2,4,2,2,2,2,2,2,1,2,3,2,2,2,2,3.111111111,8,4,1.777777778,89,2.666666667, ,2.090909091,1,5,3,3,2,4,3,2,2,3,4,5,4,2,2,2,5,3,2,2,2,2,2,2,1,1,2,3,2,5,2,3,2,4,4,3,6,8:19:48,2.2,2,0,3,5,3,4,4,3,4,4,5,4,5,5,5,2,3,2,1,13,5.166666667,1.272727273,1,2,1,1,1,1,1,2,2,1,1,2,2,2,1,2,1,2,2,2,1,3,4,2,2,2,3,2,3,5,3,3,4,4,3.076923077,1,2,1,6,4,2,2,1, ,1, ,3,2,1, ,1, ,1, , ,4,1, ,1, , , , , , , , , , ,6,5,5,5,5,5,5,5,1,1,3,2,5,3,3,5,5,3,3,1,4,4,4,5,3,5,4,4,1,4,4,1,1,5,2,4,3,2,4,1,4,3,3,4,5,4,5,3,2,3,4,1,2,2,3,2,2,3,2,4,1,1,1,2,4,1,2.153846154,3,3,3,2,2,2,2,2,1,2,3,3,1,2,35,35.2,2,35.1,1,-1.666666667,5,1,-0.338679557,-0.547283032,Oxford
1995,2,4,3,4,3,2,4,3,3,2,2,2,4,2,4,3,4,0,4.111111111,3.444444444,89,4, ,2.909090909,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,8:13:51,3,2,1,4,5,4,4,4,4,4,4,4,4,4,5,4,2,4,3,4,14,4.166666667,3.090909091,3,4,3,3,3,2,3,3,3,4,3,4,4,4,4,3,2,4,4,2,2,4,4,5,2,2,5,3,2,2,3,3,3,2,3.076923077,1,2,2,1, ,4,4,5, ,4,3,4,3,1, ,2,5,1, , ,3,1, ,1, , , , , , , , , , ,5,4,4,4,4,4,4,6,2,3,4,5,4,3,2,3,1,5,4,1,2,4,5,2,3,3,3,3,3,2,3,4,3,2,3,2,3,3,3,2,4,3,2,2,2,2,4,3,3,3,3,2,2,3,3,4,3,2,3,3,3,3,3,3,2,3,2.307692308,3,3,4,2,2,1,2,3,1,2,3,3,2,2,37,34.8,2,35.9,1,-1.666666667,5,1,0.42495565,0.642628508,Oxford
1994,4,3,3,2,2,4,4,2,2,5,2,2,2,2,2,1,4.222222222,8,3.111111111,2.555555556,89,3.111111111, ,3,1,4,4,4,3,7,6,4,6,3,5,3,5,3,4,5,4,3,3,4,3,5,3,3,2,3,4,1,2,3,3,3,5,3,2,3,4,8:10:41,1.8,2,6,3,4,4,4,3,3,2,1,4,3,4,3,4,2,2,2,2,29,5.666666667,2.636363636,3,3,3,4,2,1,2,2,3,2,4,2,3,2,3,3,2,2,2,4,2,1,3,2,1,3,2,1,1,2,3,3,3,2,2.076923077,1,2,2,1, ,4,4,5, ,8,1,8,8,1, ,2,8,1, , ,1,1, ,2,acting group,ball committee, , , ,7,7, , , ,6,7,5,5,6,5,5,6,3,2,4,3,5,2,2,5,2,1,3,2,3,2,4,3,4,3,3,3,1,4,3,3,2,2,2,5,2,2,4,2,4,2,2,2,4,2,2,2,2,2,3,4,2,3,4,3,2,2,4,3,4,3,3,3,2,4,2.846153846,3,4,5,2,2,2,2,3,2,3,4,5,2,3,36.6,36.3,2,36.45,1,-1.666666667,5,1,0.615864451,-0.150645852,Oxford
1990,2,3,1,4,1,2,3,2,2,2,1,2,2,3,3,4,2.111111111,0,3.777777778,1.333333333,89,3.222222222, ,2.090909091,1,1,2,2,2,2,2,2,2,2,2,6,4,2,2,1,2,1,1,3,5,3,3,3,1,2,3,3,3,6,6,3,2,3,3,3,3,8:10:40,2.8,2,1.14,3,4,4,4,4,4,4,2,4,4,3,2,2,2,2,3,1,23,3.166666667,1.272727273,2,2,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,2,1,2,3,4,2,3,2,2,2,3,4,2,5,2,2.769230769,1,2,2,1, ,4,4,4,1,2,2,5,1,1, ,1, ,3,1,8,5,1, ,1, , , , , , , , , , ,3,4,2,2,4,4,2,7,2,2,4,4,4,2,2,2,2,4,3,2,1,4,4,2,4,4,3,4,4,4,2,2,2,2,2,2,2,4,2,2,4,3,2,2,2,4,5,2,3,2,4,1,2,4,4,4,4,3,3,4,5,2,2,2,2,1,2.230769231,2,3,3,3,2,2,2,2,2,2,2,4,3,1,34.6,36.2,2,35.4,1,-1.666666667,5,1,-1.197769164,-0.051486557,Oxford
1995,2,4,1,2,2,1,3,2,1,1,1,2,1,1,1,1,2.5,0,4.666666667,2.333333333,89,1.611111111, ,1.818181818,1,3,3,4,4,2,4,1,1,2,2,2,2,2,1,2,1,5,4,2,1,2,2,1,3,2,1,1,1,1,2,1,1,2,2,1,3,8:09:17,1.2,2,0,5,5,5,5,5,5,4,4,5,4,5,8,6,3,4,3,5,33,4.666666667,1.636363636,2,2,1,3,1,1,1,1,2,2,2,3,3,1,3,1,1,3,1,5,1,2,3,4,3,1,2,2,3,4,5,3,4,3,3,2,2,2,1, ,4,1,5, ,4,1,8,8,1, ,2,8,1, , ,1,1, ,2,Choir,Rowing,The JCR, , ,7,7,7, , ,5,5,5,5,5,3,3,6,2,2,4,4,4,2,2,4,4,4,3,1,4,3,4,2,4,5,5,4,4,4,4,4,2,2,4,2,5,4,3,3,2,4,2,1,4,3,4,2,2,2,2,2,2,4,4,4,2,4,4,2,5,4,4,4,2,2,2,2,3,3,1,2,2,2,3,2,1,2,5,1,2,35,36.4,2,35.7,1,-1.666666667,5,1,-0.863678761,-1.489296336,Oxford
1985,2,3,2,3,1,2,2,3,4,2,1,4,1,3,3,5,3.611111111,0,3.222222222,3,89,3.111111111, ,2.272727273,1,5,3,2,3,5,5,3,5,3,2,5,3,3,5,3,2,3,5,5,3,5,1,1,4,5,3,4,2,3,3,2,2,3,3,3,4,8:08:50,3.2,2,1,3,4,3,3,3,4,3,3,3,3,4,6,5,4,3,3,5,17,5,3.181818182,3,2,4,3,4,3,4,2,4,3,3,4,3,1,4,4,1,3,3,4,2,3,2,3,3,4,3,2,3,4,3,2,2,3,2.846153846,1,2,2,1, ,4,4,5, ,2,1,3,3,1, ,2,5,1, , ,3,1, ,2,Choir, , , , ,5, , , , ,5,5,5,5,5,5,5,6,2,3,3,4,4,3,2,3,4,5,3,3,2,3,2,4,4,4,4,4,4,4,5,4,2,2,2,2,4,4,4,2,4,4,2,3,3,2,3,2,3,2,2,2,4,2,4,4,4,4,4,3,5,3,2,2,2,1,3,3,3,4,3,3,3,2,3,3,3,3,4,3,3,35.2,36.1,2,35.65,1,-1.666666667,5,1,0.090865247,-0.150645852,Oxford
1993,2,3,1,3,2,2,2,3,4,2,2,2,2,3,4,2,2.777777778,0,3.888888889,2.555555556,89,3.888888889, ,2.363636364,1,2,2,2,2,4,2,2,3,4,3,4,3,4,2,2,3,3,3,4,3,4,4,4,4,3,4,4,4,4,5,4,3,4,3,4,5,8:06:22,2.6,2,2,2,4,4,4,4,4,4,3,4,4,4,4,4,4,3,2,3,9,3.833333333,2.272727273,2,2,2,2,1,1,4,2,4,2,3,3,4,2,1,1,3,4,3,2,2,3,2,4,2,4,1,2,2,3,4,4,4,2,2.846153846,2,2,2,1, ,4,2,5, ,3,1,4,4,1, ,2,8,1, , ,1,1, ,1, , , , , , , , , , ,4,5,3,3,4,4,4,6,1,4,2,4,4,5,2,1,5,4,3,2,2,2,3,3,3,3,3,4,3,2,3,3,2,2,3,3,2,2,3,2,3,3,2,2,3,2,2,2,3,3,3,3,2,3,2,3,2,2,1,3,4,3,3,4,1,3,2.923076923,3,3,4,3,3,3,3,3,3,3,3,3,2,2,34.9,36.1,2,35.5,1,-1.666666667,5,1,-0.625042759,0.543469213,Oxford
1981,1,1,1,2,1,1,1,1,2,1,1,3,2,2,3,5,2.111111111,0,4,3.222222222,89,2.333333333, ,1.181818182,1,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,6,2,2,2,2,2,4,2,2,2,8:05:35,3,2,0,5,4,4,4,4,4,4,4,4,4,2,2,3,2,2,1,1,35,5.833333333,2.909090909,4,3,4,3,4,2,2,2,2,2,4,4,4,3,4,2,2,4,2,4,1,3,4,5,4,4,3,2,4,4,4,2,4,3,3.538461538,1,2,2,1, ,2,2,5, ,8,8,4,3,2,8,2,8,3,3,8,2,1, ,1, , , , , , , , , , ,5,7,7,6,5,5,5,8,3,1,4,4,4,2,2,3,3,4,3,2,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,3,4,3,2,2,2,4,3,2,3,3,2,3,4,3,4,4,4,2,3,3,3,3,2,3,2,2,2,3,4,2,2.076923077,2,3,2,3,2,2,1,2,2,2,2,4,2,2,34.7,36,2,35.35,1,-1.666666667,5,1,-1.197769164,-0.844760918,Oxford
1995,2,4,2,2,4,4,4,2,2,4,3,2,2,1,4,2,3.388888889,0,4.111111111,2.888888889,89,3.833333333, ,3,1,2,2,4,3,3,6,2,6,2,3,3,2,6,2,6,2,6,1,3,3,5,5,5,7,6,2,3,5,2,6,2,5,3,3,2,2,8:04:56,2.2,2,6,4,4,4,4,4,5,4,3,4,5,3,4,4,6,2,5,5,20,5.166666667,2.545454545,4,4,2,4,1,2,1,1,4,1,4,3,4,1,4,4,5,2,1,2,1,3,3,4,2,4,1,4,1,3,3,3,3,4,2.923076923,1,2,2,1, ,4,4,5, ,3,1,7,6,2,2,2,7,3,1,4,1,1, ,1, , , , , , , , , , ,4,6,7,6,5,3,5,8,3,2,2,4,5,3,4,3,4,4,4,4,4,4,5,2,4,4,2,5,4,4,4,2,1,3,4,4,2,4,5,2,3,4,2,3,5,2,5,3,3,2,4,4,2,2,4,4,2,3,1,2,4,2,4,4,2,3,3.307692308,3,4,5,2,3,3,2,4,2,4,4,5,2,5,34.6,36.5,2,35.55,1,-1.666666667,5,1,-0.100043555,0.493889566,Oxford
