"","age","language","avgtemp","DEQ","ALEX1","ALEX2","ALEX3","ALEX4","ALEX5","ALEX6","ALEX7","ALEX8","ALEX9","ALEX10","ALEX11","ALEX12","ALEX13","ALEX14","ALEX15","ALEX16","ECR1","ECR2","ECR3","ECR4","ECR5","ECR6","ECR7","ECR8","ECR9","ECR10","ECR11","ECR12","ECR13","ECR14","ECR15","ECR16","ECR17","ECR18","ECR19","ECR20","ECR21","ECR22","ECR23","ECR24","ECR25","ECR26","ECR27","ECR28","ECR29","ECR30","ECR31","ECR32","ECR33","ECR34","ECR35","ECR36","HOME1","HOME2","HOME3","HOME4","HOME5","HOME6","HOME7","HOME8","HOME9","KAMF1","KAMF2","KAMF3","KAMF4","KAMF5","KAMF6","KAMF7","SNI1","SNI2","SNI3","SNI4","SNI5","SNI6","SNI7","SNI8","SNI9","SNI10","SNI11","SNI12","SNI13","SNI14","SNI15","SNI16","SNI17","SNI18","SNI19","SNI20","SNI21","SNI22","SNI23","SNI24","SNI25","SNI26","SNI27","SNI28","SNI29","SNI30","SNI31","SNI32","socialdiversity"
"12",1953,5,36,51.75,4,2,4,3,4,4,4,2,3,2,4,2,2,2,4,2,4,1,1,1,1,3,2,4,6,5,1,2,5,4,1,4,6,1,6,5,6,6,5,6,6,5,7,3,4,7,5,6,3,5,4,6,4,3,4,2,2,3,3,4,3,5,6,4,5,5,5,5,3,3,2,4,1,1,NA,1,NA,3,2,1,NA,1,NA,1,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
"13",1953,5,36.45,51.75,2,3,1,2,2,2,3,1,2,1,2,2,2,1,4,2,3,2,3,4,2,5,2,5,3,3,5,2,1,4,2,3,6,3,2,2,3,2,2,2,1,3,3,2,2,2,2,1,2,2,2,5,5,5,5,5,5,5,2,5,5,5,8,6,6,6,2,2,1,4,4,1,NA,1,NA,1,NA,4,4,2,6,2,8,2,8,3,3,1,NA,2,"WI","Cycling group","tai chi class",NA,NA,10,5,6,NA,NA,7
"14",1955,1,36.3,48.40150452,2,2,1,2,1,2,2,2,1,1,2,2,1,1,4,2,6,4,2,4,5,4,4,3,2,2,6,5,6,2,2,2,3,1,6,5,6,2,5,2,2,2,2,3,6,5,7,4,7,7,3,6,4,5,5,4,2,2,3,4,2,5,5,5,2,3,2,4,4,4,3,2,2,1,NA,8,4,3,3,1,NA,1,NA,3,4,8,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
"15",1957,2,36.1,33.44999695,1,2,2,2,1,2,3,2,1,1,1,2,3,3,4,2,1,1,1,1,1,4,1,1,7,1,6,1,1,2,1,1,3,1,6,2,2,2,2,2,1,1,2,2,2,2,2,1,2,2,4,2,5,5,5,5,5,5,5,5,5,4,5,2,3,2,1,1,1,4,4,2,2,2,1,5,1,8,4,2,1,2,8,5,8,8,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10
"16",1957,5,36.15,51.75,5,5,4,5,4,4,4,5,3,4,4,3,2,2,4,2,3,5,3,6,2,6,3,6,6,5,6,3,3,2,6,3,6,4,5,3,6,5,6,2,5,6,5,5,3,6,6,5,6,6,5,6,5,5,5,5,3,2,2,4,5,5,7,6,6,5,6,1,4,3,1,1,NA,1,NA,1,NA,8,6,1,NA,1,NA,1,NA,NA,2,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"17",1958,2,35.5,33.44999695,3,2,2,2,2,3,2,3,3,3,2,3,4,2,3,3,2,4,3,4,4,5,3,4,3,3,5,4,4,4,3,4,3,3,3,3,4,3,3,4,2,3,3,3,3,3,2,4,4,4,3,4,4,4,4,4,4,3,3,4,4,3,5,5,1,5,5,5,2,1,NA,1,1,1,NA,4,4,3,3,1,NA,1,NA,4,1,2,3,1,NA,2,"JUNTA DE VECINO",NA,NA,NA,NA,2,NA,NA,NA,NA,5
"18",1958,5,36.6,51.75,2,2,4,3,2,3,3,2,2,2,2,4,4,2,4,3,2,2,2,2,2,3,2,3,2,2,2,2,2,2,2,4,5,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,3,5,4,5,5,4,5,5,5,5,4,6,6,4,4,3,1,1,1,NA,2,2,1,NA,1,NA,7,3,1,NA,1,NA,3,1,8,2,1,NA,2,"choir",NA,NA,NA,NA,5,NA,NA,NA,NA,5
"19",1958,2,36.6,33.44999695,1,1,1,1,1,1,1,1,1,1,1,5,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,1,1,5,5,5,6,4,1,2,2,1,1,4,4,2,2,4,4,5,5,5,5,2,1,1,NA,5,8,8,2,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9
"20",1958,1,36.8,51.26669312,4,4,3,3,2,4,4,4,4,2,4,1,1,2,3,2,2,3,4,2,2,5,2,5,2,6,3,2,4,4,5,3,2,2,6,6,1,6,7,6,6,6,6,5,4,5,5,6,7,6,3,5,4,4,3,5,4,5,3,5,5,5,7,5,6,3,5,1,3,2,2,1,NA,5,NA,2,2,5,2,1,NA,1,NA,3,1,8,2,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
"21",1959,5,35.75,51.75,4,4,4,4,5,4,4,3,3,4,2,1,4,2,2,3,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,6,6,6,4,5,4,4,2,2,4,4,5,NA,2,2,6,6,1,NA,1,NA,1,NA,NA,8,1,NA,2,"cricket club",NA,NA,NA,NA,3,NA,NA,NA,NA,5
