"","age","language","avgtemp","DEQ","ALEX1","ALEX2","ALEX3","ALEX4","ALEX5","ALEX6","ALEX7","ALEX8","ALEX9","ALEX10","ALEX11","ALEX12","ALEX13","ALEX14","ALEX15","ALEX16","ECR1","ECR2","ECR3","ECR4","ECR5","ECR6","ECR7","ECR8","ECR9","ECR10","ECR11","ECR12","ECR13","ECR14","ECR15","ECR16","ECR17","ECR18","ECR19","ECR20","ECR21","ECR22","ECR23","ECR24","ECR25","ECR26","ECR27","ECR28","ECR29","ECR30","ECR31","ECR32","ECR33","ECR34","ECR35","ECR36","HOME1","HOME2","HOME3","HOME4","HOME5","HOME6","HOME7","HOME8","HOME9","KAMF1","KAMF2","KAMF3","KAMF4","KAMF5","KAMF6","KAMF7","SNI1","SNI2","SNI3","SNI4","SNI5","SNI6","SNI7","SNI8","SNI9","SNI10","SNI11","SNI12","SNI13","SNI14","SNI15","SNI16","SNI17","SNI18","SNI19","SNI20","SNI21","SNI22","SNI23","SNI24","SNI25","SNI26","SNI27","SNI28","SNI29","SNI30","SNI31","SNI32","socialdiversity"
"272",1988,7,36.55,39.92889404,4,4,3,2,4,3,4,3,4,3,2,1,4,2,4,2,6,3,5,6,5,6,5,5,3,2,5,6,5,5,5,6,6,2,5,3,6,2,3,6,5,3,3,3,3,2,2,6,2,3,3,2,5,4,5,5,5,4,5,5,5,4,2,6,4,2,4,5,2,1,0,4,2,5,0,8,1,8,4,1,1,2,3,1,1,3,1,1,4,2,NA,NA,NA,NA,NA,0,0,0,0,0,8
"273",1988,6,36.6,44.81860352,1,1,1,1,1,2,1,1,1,1,1,2,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,1,1,5,5,5,5,5,3,3,5,3,3,3,5,1,2,2,2,1,1,NA,4,4,2,2,4,1,6,2,1,NA,2,8,1,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
"274",1988,6,36.65,44.81860352,1,1,1,2,2,1,1,1,1,1,1,3,4,1,2,3,2,1,2,1,2,1,2,2,7,1,NA,2,2,2,1,1,1,2,2,NA,3,NA,4,2,2,NA,NA,NA,NA,1,NA,2,4,4,NA,4,4,5,4,5,5,3,2,3,4,2,3,3,1,3,3,3,1,3,1,4,2,4,4,8,3,8,8,1,NA,2,8,3,1,8,5,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9
"275",1988,3,36.7,39.91169739,3,2,2,2,2,2,2,3,2,2,2,2,2,2,4,2,7,5,2,6,5,6,5,5,5,2,5,4,3,4,5,5,5,2,1,1,3,2,3,3,5,1,1,2,3,3,2,5,2,5,1,4,4,3,4,4,2,5,5,5,3,5,7,6,6,4,7,7,2,1,NA,4,4,4,1,5,5,7,7,1,NA,2,8,3,1,8,4,1,NA,2,"korev",NA,NA,NA,NA,7,NA,NA,NA,NA,7
"276",1988,5,36.95,51.75,2,3,4,5,3,4,2,4,4,3,2,2,4,2,4,3,3,6,6,5,4,4,3,3,4,4,6,5,6,5,5,5,6,5,5,5,5,4,3,4,6,3,3,4,5,3,4,5,3,2,3,4,5,4,5,5,4,2,2,4,4,5,4,3,1,2,2,2,1,1,NA,4,4,5,NA,1,NA,5,1,1,NA,1,NA,3,8,4,1,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
"277",1989,5,35.4,51.75,3,2,1,2,2,4,2,4,3,3,3,3,2,3,2,2,4,3,3,4,4,4,3,5,5,4,5,2,4,2,4,4,2,3,4,2,3,2,3,4,4,4,3,4,4,5,3,4,4,2,5,3,3,3,2,4,5,5,2,4,3,5,8,4,2,2,2,2,2,1,NA,2,2,5,NA,5,2,4,1,1,NA,2,4,1,NA,NA,3,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
"278",1989,3,35.95,39.91169739,3,4,2,4,4,3,4,3,2,4,3,3,3,2,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,3,4,3,2,5,6,6,2,3,2,3,2,1,NA,3,3,5,NA,8,5,7,5,1,NA,2,8,1,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
"279",1989,2,36.05,33.44999695,3,4,1,4,2,2,3,2,4,2,1,1,3,2,4,1,3,5,2,1,3,5,2,3,5,5,2,2,5,1,2,7,2,4,6,5,6,2,3,3,3,3,5,4,6,5,3,3,5,6,2,6,5,5,5,5,5,5,5,5,5,3,2,1,1,1,2,1,2,1,NA,4,4,5,NA,8,4,7,4,1,NA,1,NA,4,1,2,5,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
"280",1989,3,36.05,39.91169739,2,3,4,3,4,2,4,2,2,2,2,2,1,2,2,2,6,2,2,3,2,7,3,5,3,2,6,2,2,6,2,6,2,1,2,2,2,2,2,1,1,2,2,3,2,1,2,2,2,2,2,2,4,2,4,4,2,4,4,4,4,5,6,1,1,3,2,2,4,1,NA,4,4,4,1,1,NA,8,8,1,NA,2,1,3,1,5,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
"281",1989,5,36.2,51.75,4,5,2,3,2,3,4,3,5,4,4,3,3,3,5,3,4,3,3,4,4,3,4,3,3,3,3,5,7,2,3,3,4,4,3,3,3,3,2,4,4,3,4,4,3,2,3,5,3,2,2,2,5,4,4,5,4,4,4,5,5,3,4,3,3,2,3,3,2,1,NA,4,4,4,1,6,2,3,3,1,NA,2,2,1,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
"282",1989,3,36.25,39.92300415,4,2,2,2,2,2,4,2,3,2,4,2,4,1,3,1,6,2,1,5,6,5,6,2,2,4,2,5,2,4,1,6,1,1,2,2,3,2,2,2,2,3,2,1,2,2,2,2,3,3,2,2,5,5,5,5,5,5,5,5,5,4,4,5,2,2,1,1,2,1,NA,4,4,4,1,5,1,6,3,1,NA,1,NA,3,1,8,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
"283",1989,8,36.25,38.71670532,1,5,1,2,1,1,1,1,4,1,1,3,3,1,4,1,1,1,1,3,1,3,3,3,7,1,5,1,1,3,3,1,3,3,6,5,3,7,1,3,3,1,1,2,2,7,4,3,7,7,1,5,5,3,5,5,5,3,3,5,3,1,2,1,1,1,3,1,3,1,NA,2,2,5,1,8,8,3,3,2,1,2,8,3,1,8,8,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
"284",1989,7,36.3,39.92889404,2,2,4,2,2,4,2,2,2,2,2,2,2,2,3,2,5,2,2,6,6,2,2,3,2,2,6,3,2,3,2,3,3,3,5,2,2,2,6,2,2,2,2,3,2,5,2,2,3,5,2,2,4,4,4,4,4,4,4,4,4,4,2,6,2,2,1,2,1,1,0,4,1,5,0,3,1,3,8,1,1,2,8,1,1,7,1,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9
"285",1989,5,36.4,51.75,2,4,4,3,2,4,4,2,4,2,2,2,4,2,2,2,4,4,2,5,6,3,4,5,2,2,3,5,3,3,3,6,5,6,3,2,5,2,3,3,3,2,3,2,2,3,2,3,5,5,2,2,4,5,4,4,4,4,4,4,4,5,7,6,1,4,1,4,1,1,NA,4,4,4,1,4,3,4,3,1,NA,2,4,1,NA,NA,3,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
"286",1989,5,36.4,51.75,2,2,2,2,2,1,2,2,2,2,1,2,3,2,4,3,2,2,2,2,2,2,1,3,6,2,6,2,1,2,2,1,2,1,2,2,2,2,2,1,2,1,6,2,2,2,1,2,2,2,2,2,4,4,4,4,2,2,2,2,2,4,3,3,3,3,2,2,4,1,NA,4,2,4,1,1,NA,8,8,1,NA,2,4,1,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
"287",1989,5,36.4,51.75,2,2,3,2,3,2,2,1,2,2,1,2,1,1,2,1,3,3,1,4,2,7,1,3,2,1,5,3,4,6,5,2,5,2,1,1,3,3,2,2,2,2,1,1,2,1,1,2,5,3,5,2,5,4,4,3,5,5,3,4,5,4,7,4,3,4,3,5,1,1,NA,4,4,4,3,4,3,8,8,1,NA,1,NA,2,1,2,2,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
"288",1989,1,36.415,50.09770203,2,4,2,3,3,2,3,3,2,2,2,2,2,1,3,1,5,4,4,5,6,5,4,4,5,3,4,4,4,4,4,3,6,3,4,3,6,3,3,3,2,4,4,2,2,4,3,3,6,4,2,4,4,4,4,4,3,4,4,4,3,5,6,5,2,4,6,6,2,1,NA,4,2,5,NA,2,1,3,2,1,NA,2,4,3,1,2,1,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
"289",1989,2,36.45,40.75450134,3,1,1,1,3,4,1,1,1,2,2,3,2,1,1,1,1,1,1,6,1,6,2,2,2,2,1,2,1,1,1,5,5,2,5,3,3,2,1,2,1,2,1,1,1,2,1,2,6,3,1,3,4,5,4,5,5,3,3,2,4,4,4,5,1,3,3,2,1,1,NA,4,2,4,1,1,NA,1,1,1,NA,2,3,4,1,2,2,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
"290",1989,2,36.5,40.90829468,3,1,2,1,2,3,4,1,1,2,2,2,2,1,1,1,1,1,1,1,2,1,2,3,2,2,5,1,1,1,1,6,5,3,5,2,6,2,7,1,1,1,1,1,1,2,1,1,7,3,1,2,5,5,5,5,5,3,2,4,4,4,4,4,3,3,4,4,1,1,NA,4,2,4,1,1,NA,1,1,1,NA,2,2,4,2,2,2,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
"291",1989,3,36.5,39.91169739,5,3,1,2,2,2,2,2,2,1,5,2,4,2,1,2,7,4,4,5,3,6,4,6,4,3,4,4,2,4,2,5,4,2,7,5,6,3,5,3,4,2,4,3,4,3,3,5,2,2,2,2,5,4,4,5,5,4,5,5,5,4,4,5,2,4,2,2,2,1,NA,4,4,4,4,5,3,8,4,1,NA,2,8,1,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
"292",1989,7,36.55,39.92889404,2,4,2,2,3,2,4,2,3,2,2,2,1,2,3,1,5,2,3,3,4,5,5,5,3,2,3,2,5,2,5,4,6,2,2,3,5,3,5,3,5,4,5,4,4,6,3,6,3,5,5,3,3,3,4,4,2,4,4,4,3,5,7,6,6,6,6,3,2,1,0,4,4,5,0,7,3,5,5,2,6,2,8,2,3,3,2,2,1,1,"Ӱ      ",NA,NA,NA,NA,3,NA,NA,NA,NA,8
"293",1989,1,36.6,51.19999695,1,2,1,2,1,1,1,2,1,1,2,4,2,1,3,3,3,1,1,4,5,1,1,1,1,1,1,1,1,4,2,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,2,1,7,7,1,1,5,4,4,5,5,5,1,5,5,5,5,4,5,2,4,4,2,1,NA,4,2,5,NA,4,3,6,6,2,1,2,8,1,NA,NA,3,1,NA,2,"Kraftsportgruppe","Ausdauersportgruppe","Hundetreffgruppe","Keine","Keine",4,4,3,0,0,7
"294",1989,9,36.75,50.3500061,2,2,4,3,4,4,4,2,4,2,1,2,2,2,2,2,6,6,5,6,6,6,2,5,5,1,1,3,2,2,5,5,6,1,3,3,7,2,2,5,5,7,5,2,2,6,6,5,2,7,5,2,4,4,2,4,4,4,3,4,4,5,6,5,2,4,4,4,4,1,NA,4,4,4,1,5,5,3,3,1,NA,2,8,6,1,2,2,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
"295",1989,3,36.75,39.91169739,1,1,1,2,1,2,1,1,1,1,1,2,1,2,1,2,6,2,1,2,3,1,2,2,5,1,5,1,1,1,1,3,1,1,2,3,2,2,1,5,3,2,2,2,3,2,2,3,3,2,2,3,4,4,4,4,4,4,3,4,4,5,8,5,1,2,1,1,1,1,NA,4,4,4,2,1,NA,7,5,1,NA,2,8,2,1,8,8,2,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
"296",1989,1,36.8,48.96670532,1,1,1,1,1,1,1,1,1,1,2,1,2,2,1,1,2,2,1,2,1,1,2,1,1,1,2,1,1,5,1,2,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,5,5,1,2,4,5,5,5,5,5,1,3,2,5,8,7,7,6,2,5,1,1,NA,4,4,4,1,6,2,5,3,2,1,1,NA,3,8,8,5,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
"297",1989,1,37.15,49.30000305,3,4,2,4,3,4,4,3,4,5,3,2,2,2,5,2,4,3,6,5,5,5,2,7,5,5,6,7,1,4,7,4,7,4,5,3,4,4,6,5,4,5,6,3,4,5,5,5,7,7,2,6,5,4,4,4,4,3,1,3,3,4,5,6,5,4,4,4,2,1,NA,4,4,5,NA,3,1,5,4,2,2,2,6,1,NA,NA,1,2,4,2,"Fachschaft",NA,NA,NA,NA,4,NA,NA,NA,NA,7
"298",1989,1,37.15,48.11669922,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,1,1,1,1,4,1,1,1,7,1,7,1,1,1,1,4,1,1,1,1,4,1,1,1,1,2,1,1,1,1,2,1,7,4,1,1,5,5,5,5,5,5,5,5,5,5,8,4,3,2,3,7,1,1,NA,4,4,4,2,3,1,6,3,2,1,2,6,3,1,7,2,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9
"299",1989,7,37.2,39.92889404,4,2,4,4,4,4,4,4,4,4,2,2,2,4,4,2,3,3,5,5,5,3,4,4,5,5,3,4,4,3,5,3,6,4,4,3,3,4,4,2,3,5,4,3,4,4,4,3,5,3,5,3,3,4,4,3,4,4,4,3,4,4,4,4,2,3,2,3,2,1,0,2,2,5,0,3,3,5,5,2,8,1,2,3,1,3,3,2,1,2," ̻ ","  ˾    ","У԰    ",NA,NA,10,15,8,NA,NA,8
"300",1989,9,38.1,54.36079407,2,3,1,3,3,2,3,2,3,2,2,2,2,2,2,2,2,2,1,2,5,3,2,2,2,1,7,2,2,3,1,5,4,2,2,2,5,2,2,2,2,2,6,2,2,3,4,2,6,4,2,3,4,4,4,5,4,3,2,2,2,4,6,5,2,3,2,2,1,1,NA,4,4,4,4,8,8,6,6,1,NA,2,3,2,1,1,1,1,NA,2,"p?ywanie",NA,NA,NA,NA,1,NA,NA,NA,NA,8
"301",1990,5,35.4,51.75,2,3,1,4,1,2,3,2,2,2,1,2,2,3,3,4,1,2,2,2,2,2,2,2,2,2,6,4,2,2,1,2,1,1,3,5,3,3,3,1,2,3,3,3,6,6,3,2,3,3,3,3,4,4,4,4,4,4,2,4,4,3,2,2,2,2,3,1,2,1,NA,4,4,4,1,2,2,5,1,1,NA,1,NA,3,1,8,5,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
"302",1990,5,35.4,51.75,2,2,1,3,2,2,2,2,2,2,2,2,2,4,4,3,1,1,1,1,1,2,1,2,1,1,1,1,1,2,2,1,5,1,2,2,2,2,2,2,2,7,1,2,2,1,1,2,1,2,3,1,4,5,4,5,5,4,4,5,4,2,2,1,1,2,2,1,2,1,NA,4,4,4,1,1,NA,2,2,1,NA,2,8,1,NA,NA,2,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
"303",1990,3,35.65,39.91169739,3,4,4,4,4,4,4,3,2,3,3,4,4,2,4,3,6,4,3,6,6,6,6,7,5,2,5,6,6,4,1,6,5,2,4,6,3,6,6,6,3,6,6,3,4,4,3,6,5,5,2,4,5,4,4,4,4,4,5,4,4,5,6,6,3,2,2,4,2,1,NA,2,2,4,1,1,NA,5,2,1,NA,2,2,1,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
"304",1990,1,35.65,51.31520081,1,2,1,2,3,2,1,1,2,1,1,2,2,5,3,1,4,3,2,4,4,4,3,3,4,1,4,6,2,2,2,5,4,2,1,1,3,4,2,1,1,1,1,1,3,1,1,1,4,4,1,3,5,5,4,5,5,4,3,5,5,4,8,6,3,5,3,3,1,3,3,4,4,4,2,7,4,4,4,1,NA,2,4,1,NA,NA,4,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
"305",1990,3,35.7,39.91169739,3,4,2,4,4,3,4,4,4,4,3,3,4,3,3,3,4,4,4,5,4,3,4,5,4,4,3,2,5,1,4,4,4,3,5,5,5,5,5,4,5,5,5,3,5,3,3,6,4,5,4,4,4,3,4,4,3,3,3,4,4,4,5,5,2,3,2,2,2,1,NA,4,2,5,NA,8,6,8,8,1,NA,2,8,1,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
"306",1990,1,35.8,51.28779602,2,3,4,2,2,4,4,4,3,2,3,1,2,2,2,2,6,4,4,5,4,5,3,5,6,2,6,4,4,2,3,6,5,2,1,2,6,1,1,1,1,1,1,2,2,3,3,1,4,3,2,4,4,4,4,4,4,3,3,4,4,5,6,5,3,2,2,5,2,1,NA,4,4,5,NA,6,4,7,4,2,1,2,8,3,8,8,4,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
"307",1990,5,35.85,50.917099,3,2,1,3,2,1,2,3,1,2,1,3,2,2,3,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,4,4,4,3,3,4,2,4,1,2,2,1,2,1,NA,4,4,5,NA,2,2,6,2,1,NA,2,8,1,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
"308",1990,9,35.95,54.5,3,2,1,2,1,2,3,2,1,2,2,4,2,1,2,1,5,5,4,5,3,5,2,5,3,1,3,2,5,2,2,6,6,1,3,3,7,1,1,2,5,5,5,3,3,3,3,5,7,6,2,4,5,5,5,5,5,2,2,5,5,4,5,4,6,4,6,5,2,1,NA,4,4,5,NA,8,2,4,2,2,1,2,8,2,1,1,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
"309",1990,5,35.95,51.75,2,3,1,1,2,2,3,1,1,2,1,1,1,1,3,2,1,1,1,5,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1,1,1,2,2,2,2,1,2,1,1,3,2,2,2,2,2,1,5,5,5,5,4,5,5,4,4,4,5,5,2,3,1,1,2,1,NA,4,2,5,NA,2,2,6,2,1,NA,2,8,1,NA,NA,3,2,1,2,"OUSU","Chapel Choir",NA,NA,NA,9,3,NA,NA,NA,6
"310",1990,4,36,59.91270447,2,2,1,3,2,1,3,3,3,1,1,2,2,1,2,1,4,3,2,3,4,3,2,4,3,2,2,2,1,4,2,1,4,1,2,1,3,1,1,1,1,2,1,3,2,3,2,1,4,4,1,2,4,3,5,5,5,3,2,4,3,4,6,3,2,2,3,4,2,1,NA,4,4,5,NA,3,2,7,6,1,NA,2,8,3,1,8,1,1,NA,2,"Kor","Trening",NA,NA,NA,7,2,0,0,0,7
"311",1990,5,36,1.293106079,2,2,2,2,2,4,4,2,2,2,2,3,2,2,2,2,6,3,2,5,2,3,6,2,2,2,3,4,3,2,5,5,6,2,2,1,2,2,1,2,2,1,2,1,1,1,1,1,2,1,1,1,5,4,5,4,5,5,5,5,4,4,5,3,3,2,3,3,2,1,NA,4,4,5,NA,1,NA,8,6,2,2,2,8,1,NA,NA,2,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
"312",1990,6,36.05,44.81860352,3,2,1,2,2,2,2,2,2,2,2,2,2,4,4,2,2,2,2,2,2,2,4,2,NA,2,6,2,5,2,2,2,2,2,2,6,8,NA,8,8,2,5,6,6,6,6,6,8,6,6,6,3,5,4,4,5,5,4,2,3,4,2,1,1,1,1,1,1,2,1,NA,2,2,4,1,2,1,2,6,1,NA,1,NA,1,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
"313",1990,1,36.05,51,1,2,1,2,1,1,2,2,4,1,1,1,1,3,4,2,3,2,2,3,2,5,1,6,2,4,6,4,5,2,3,1,6,3,3,4,2,2,2,2,1,4,6,2,2,2,2,2,4,2,2,3,4,4,4,5,2,3,2,4,4,3,2,1,1,2,1,2,2,1,NA,4,2,5,NA,2,1,4,3,2,1,2,7,3,2,7,1,1,NA,2,"Rollenspielgruppe",NA,NA,NA,NA,2,NA,NA,NA,NA,7
"314",1990,1,36.05,51.28779602,2,3,1,2,1,1,2,2,1,1,2,2,2,1,3,2,2,1,1,1,2,1,1,1,2,1,7,1,1,2,1,1,2,1,1,1,2,2,1,1,1,1,1,1,2,2,1,1,2,2,1,2,5,3,5,5,4,2,3,4,3,4,5,2,2,3,3,3,1,1,NA,4,2,4,1,3,1,8,4,1,NA,2,5,3,1,2,3,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
"315",1990,1,36.055,NA,2,2,1,4,3,1,4,2,1,3,2,2,2,1,2,2,1,1,1,1,1,3,1,1,1,1,7,2,5,1,1,1,1,1,1,1,4,1,2,1,1,2,7,1,1,1,2,1,7,5,1,1,4,4,4,4,3,5,2,4,3,4,6,6,3,3,2,4,2,1,NA,4,2,4,1,5,1,5,2,1,NA,1,NA,1,NA,NA,3,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
"316",1990,5,36.08333333,37.44259644,3,4,2,3,4,3,4,3,4,2,3,2,3,1,2,2,4,4,3,5,2,4,3,4,3,6,5,2,4,3,3,3,5,5,3,4,5,5,4,5,6,4,4,4,4,3,4,4,4,5,4,5,4,3,3,4,3,4,4,3,3,4,5,5,5,5,5,5,2,1,NA,4,4,5,NA,2,2,4,4,1,NA,2,4,3,5,3,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
"317",1990,5,36.1,51.75,4,5,4,5,4,4,4,4,3,4,2,2,3,3,4,3,7,7,7,7,6,7,5,7,1,5,7,5,5,3,7,7,7,2,7,2,6,2,2,2,3,5,6,3,3,3,2,3,3,3,2,6,4,4,4,4,4,5,5,5,5,4,6,5,6,4,5,1,2,1,NA,4,4,5,NA,1,NA,1,1,2,1,2,8,3,1,5,1,1,NA,2,"cheerleading","rowing","choir",NA,NA,20,5,10,NA,NA,6
"318",1990,1,36.12,50.13330078,4,4,4,4,4,3,4,2,4,4,4,2,2,2,4,2,5,5,5,5,5,5,5,4,5,5,6,3,5,4,2,3,3,3,5,2,6,2,3,2,3,3,3,2,2,3,3,5,6,3,4,3,4,3,4,4,4,4,4,4,5,5,6,6,6,5,2,2,2,1,NA,2,2,4,1,4,2,3,3,1,NA,2,3,1,NA,NA,1,1,NA,2,"Spielegruppe",NA,NA,NA,NA,4,NA,NA,NA,NA,6
"319",1990,5,36.25,1.293106079,4,4,4,4,4,4,4,4,3,4,4,2,3,2,3,2,5,5,5,6,5,5,5,5,3,5,4,5,5,6,4,5,5,5,5,4,5,3,4,5,5,4,4,3,3,3,4,4,3,3,3,3,4,4,4,4,4,5,4,4,4,4,3,4,5,5,5,6,2,1,NA,4,4,5,NA,2,2,3,3,2,1,2,3,2,1,1,2,2,2,2,"Canoe Club",NA,NA,NA,NA,5,NA,NA,NA,NA,8
"320",1990,7,36.3,39.92889404,4,2,2,3,3,4,2,3,3,5,2,2,4,1,4,2,5,5,5,4,6,6,5,3,4,5,3,5,4,5,4,3,4,5,4,2,5,3,5,5,5,3,2,5,2,2,2,3,2,4,4,3,5,5,5,5,5,5,5,5,5,3,3,4,3,3,2,2,2,1,0,4,4,5,0,2,1,2,2,1,2,2,3,3,2,2,3,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
"321",1990,5,36.35,1.293106079,2,4,2,4,2,2,2,4,2,2,1,1,2,2,3,2,2,3,1,2,1,2,1,1,6,2,6,2,1,1,3,2,3,2,5,1,3,3,3,3,3,3,2,3,2,2,2,3,3,4,2,2,5,5,5,5,5,4,1,4,4,3,2,2,1,2,1,1,1,1,NA,4,4,4,1,1,NA,5,2,1,NA,2,3,2,1,3,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
"322",1990,6,36.4,44.81860352,2,4,2,2,2,1,2,2,4,1,1,3,3,3,4,3,2,1,2,1,8,2,2,2,1,1,1,2,2,1,1,2,2,2,2,NA,7,NA,4,4,2,NA,1,NA,5,NA,NA,2,7,NA,NA,3,4,2,4,4,4,2,1,2,2,1,2,2,1,2,2,2,2,1,NA,4,2,4,1,8,5,6,5,1,NA,2,4,3,1,2,3,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
"323",1990,9,36.41,54.58329773,2,1,2,1,1,2,2,2,3,1,2,1,1,1,2,1,1,1,1,1,4,5,1,1,1,1,7,1,2,1,3,6,6,1,1,1,2,1,1,1,1,1,1,1,2,2,1,2,3,3,7,2,5,4,3,4,4,2,1,4,4,5,7,7,6,6,4,4,1,1,NA,4,4,4,2,8,5,7,7,1,NA,2,1,6,1,5,1,2,5,2,"o?rodek interwencyjny","organizacja harcerska",NA,NA,NA,2,3,NA,NA,NA,9
"324",1990,1,36.425,51.31950378,2,2,1,2,2,2,3,2,3,2,1,2,2,2,1,1,2,2,1,2,3,5,3,2,2,2,6,1,2,2,5,1,1,1,2,1,5,1,2,1,1,2,2,1,2,1,5,2,5,4,2,3,4,4,3,5,4,5,4,5,4,5,8,6,4,2,3,6,4,1,NA,4,1,4,1,4,2,8,5,1,NA,2,8,1,NA,NA,1,1,NA,2,"Fachschaft an der Universit?t",NA,NA,NA,NA,4,NA,NA,NA,NA,6
"325",1990,5,36.44444444,37.51600647,2,4,2,3,2,2,2,2,2,2,2,3,3,2,4,2,2,2,2,2,3,2,2,2,2,2,6,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,3,2,1,2,2,1,3,4,4,5,5,4,2,2,2,4,5,5,5,5,5,5,5,1,1,NA,4,4,4,4,1,NA,3,5,1,NA,2,8,3,8,8,4,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
"326",1990,6,36.5,44.81860352,1,3,1,5,2,1,1,1,1,1,2,4,1,5,1,4,1,1,2,1,4,1,2,1,4,1,4,1,1,1,2,1,2,1,4,NA,1,3,1,1,1,4,3,4,4,4,4,1,7,7,1,1,4,3,3,5,5,4,3,4,5,2,3,4,3,2,2,2,2,1,NA,4,4,5,NA,8,6,6,6,1,NA,2,8,2,2,3,3,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
"327",1990,9,36.5,52.25,2,2,2,2,2,3,2,2,2,2,2,3,3,2,3,1,2,3,3,4,3,5,2,3,3,3,5,2,4,2,4,5,4,3,4,4,5,3,4,5,5,2,5,3,3,3,3,6,6,5,2,2,4,2,4,4,3,2,2,2,2,4,3,4,3,2,4,3,1,1,NA,4,2,4,1,1,NA,6,6,1,NA,2,8,6,1,8,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
"328",1990,1,36.5,49.14230347,2,4,1,1,4,4,4,2,2,4,4,2,1,1,4,1,6,6,6,3,6,6,3,6,5,6,4,4,7,3,6,4,5,6,3,2,1,4,3,7,4,3,2,2,2,4,3,4,2,1,2,3,4,3,3,4,5,5,2,4,2,4,6,4,4,4,3,4,3,1,NA,4,4,5,NA,6,2,8,4,2,1,1,NA,3,1,1,2,1,NA,2,"Sch  tzenverein",NA,NA,NA,NA,1,NA,NA,NA,NA,6
