Y1,Y2,Y
-0.14017413,-0.210963067,-0.268737788
-0.030830518,-0.032415413,0.116772551
-0.063530491,-0.069504441,-0.037431585
-0.108290761,-0.105629304,-0.271703252
0.078062945,0.061667674,0.116772551
-0.175142457,-0.151310068,-0.268737788
-0.456155149,-0.45840123,-0.603835237
0.051079357,-0.037779056,0.039670483
-0.460591776,-0.453802351,-0.749661936
0.100916876,0.061616732,0.164219977
0.365137728,0.33071125,0.59358797
0.246154966,0.206438417,0.407657625
-0.344369586,-0.433097498,-0.692799161
-0.316974942,-0.292352833,-0.307288822
-0.344269341,-0.331655218,-0.500043991
-0.085861722,-0.113346517,-0.153084686
0.35859695,0.203272948,0.540833924
-0.296812834,-0.244307981,-0.307288822
-0.263569875,-0.257787534,-0.527029715
-0.216108882,-0.202181889,-0.271703252
-0.212693093,-0.263599251,-0.307288822
-0.17088488,-0.169068675,-0.324636787
0.231249407,0.175690871,-0.005305723
0.336406629,0.333535581,0.463731856
0.164086245,0.103501169,0.002871769
-0.052865352,-0.089215463,-0.081765274
0.31778544,0.319447287,0.572283452
0.134145691,0.124563138,0.078221517
0.515780169,0.54780317,0.786967448
-0.188598439,-0.198525428,-0.243679616
0.367765603,0.396656212,0.554852482
0.423146385,0.371710735,0.62844991
-0.08993702,-0.09324622,0.039670483
-0.30505513,-0.308459814,-0.230186754
0.269704401,0.229569455,0.475593713
0.064244629,0.05206925,0.116772551
-0.045378043,-0.079623632,-0.230186754
-0.069666453,-0.10211791,-0.54156049
0.458058868,0.479165775,0.984170814
-0.143736773,-0.10080213,-0.230186754
0.234459055,0.290989284,0.444456339
0.208923377,0.232531591,0.297261482
0.365409663,0.36557925,0.529674414
-0.027419453,-0.024681818,-0.263918909
-0.279951586,-0.217181402,-0.153084686
-0.208998581,-0.229662886,-0.209428505
0.090593803,0.061823187,0.103584039
0.297825195,0.37621578,0.766209199
-0.122632451,-0.107971057,-0.114533652
-0.000480085,0.038305479,-0.043362513
0.27733145,0.310747521,0.454835464
0.448837624,0.377899706,0.806633158
0.469404502,0.492583543,0.727806438
-0.331078743,-0.301411815,-0.438712801
0.182545006,0.182992218,0.56479808
-0.046823103,-0.176490483,0.001119449
-0.042355315,-0.012284994,0.076469197
-0.128459188,-0.042450174,0.080149069
0.068043201,0.134699694,0.260462768
0.170696868,0.144488144,0.201584826
0.356497804,0.268075644,0.804265989
-0.316592894,-0.277287301,-0.425833251
0.280245837,0.334747231,0.386629788
-0.122151025,-0.095880044,-0.284158202
-0.149053622,-0.182998592,-0.243679616
-0.183264101,-0.191116517,-0.162722445
-0.386319779,-0.331202465,-0.422941924
-0.275787653,-0.269284919,-0.365115373
-0.259529435,-0.316064921,-0.429028929
0.162253676,0.122365624,0.231411152
0.160062606,0.167425929,0.282541997
0.499321028,0.389707484,0.742719601
0.065376455,0.19657361,0.727806438
-0.002086729,0.013431177,0.039670483
0.390372958,0.32570487,0.617935992
0.459957611,0.436440796,0.606370682
-0.127877649,-0.134166605,-0.1685051
0.143627426,0.073932202,0.078221517
0.28985607,0.216619059,0.454835464
-0.319708621,-0.358424903,-0.365115373
0.536109621,0.67229809,0.783601245
0.673967834,0.746258545,0.977069308
0.594027618,0.760652572,0.772140127
0.360468283,0.367066852,0.475593713
0.032292976,0.108541347,0.001119449
-0.017586453,-0.045846571,-0.422941924
0.706344665,0.784456082,1.334985222
0.225467063,0.260180598,0.120627654
0.56058361,0.497660906,0.444456339
0.401107241,0.456700398,0.52541351
0.665334155,0.614993791,0.727806438
0.623833351,0.636194619,0.808763609
0.279584016,0.322258909,0.444456339
0.234104484,0.202399709,0.078221517
0.540738068,0.633817549,0.540833924
0.6656134,0.743711649,0.810691161
0.116857528,0.092353651,-0.021047395
0.222541827,0.321309809,-0.037431585
0.29768344,0.249541661,0.403977754
0.054731622,0.04426907,0.001119449
0.260550296,0.272653188,0.579384958
-0.071686437,-0.037787507,0.080149069
0.238853296,0.354125404,0.295324708
-0.013654056,0.053075094,0.323020582
0.334477773,0.261800875,0.463731856
-0.005273649,-0.056779868,-0.122243859
-0.027940354,-0.058163368,-0.153084686
-0.04361674,-0.034484739,-0.041286688
0.210671752,0.129664216,0.18686534
-0.033630765,-0.048904781,-0.114533652
0.3380258,0.366177987,0.425180822
0.477223559,0.543958682,0.63043903
0.083335006,0.055715492,-0.135372049
0.201154984,0.194123057,0.386629788
0.397536033,0.362815365,0.475593713
-0.07515435,-0.113641448,-0.20320103
0.143552464,0.200475303,0.231411152
0.04882196,0.094353973,0.210106633
0.069773079,0.127296623,0.170952382
0.359888251,0.323573271,0.50228289
0.320922648,0.267310538,0.363499168
0.336166174,0.463202986,0.558626709
0.140479925,0.175347638,0.201584826
0.365001021,0.347765914,0.508369895
0.34072707,0.348974132,0.392560717
0.294109943,0.310624503,0.434077215
0.327954244,0.379072831,0.456021649
0.157581015,0.159909158,0.413318966
0.324189443,0.278800786,0.155323585
0.464715503,0.470658166,0.554852482
0.517444372,0.477244584,0.717960296
0.468709345,0.545692711,0.608558713
0.164366862,0.223076406,0.210106633
0.15452136,0.185105573,0.262302704
0.108173381,0.202998636,0.297261482
-0.102802251,-0.091253705,-0.622706372
0.216875953,0.213910622,0.434077215
0.387420206,0.550643461,0.662417954
0.436058089,0.413065132,0.646849267
0.407111633,0.443376048,0.550978933
0.358601684,0.399435565,0.444456339
0.42045616,0.376599849,0.849242195
0.050888517,0.032916857,-0.002938554
-0.061295665,-0.112793591,-0.291517944
0.036289865,0.006115289,0.059909776
0.236424101,0.249335046,0.039670483
0.362368504,0.368213677,0.505174218
0.733602469,0.832338462,1.083591901
0.458803267,0.580910738,0.600143207
0.514744604,0.481951671,0.600143207
0.622282275,0.539318361,0.695038059
0.164518562,0.19106669,0.150066626
0.181963047,0.15629228,0.078221517
0.500585807,0.584183558,0.600143207
0.431878647,0.502576572,0.565892096
0.131139765,0.148067572,0.001119449
