"","DIDF","EOF","ANX","AVO","HOME","KAMF"
"DIDF",1,0.291,0.48,0.345,-0.135,0.039
"EOF",0.291,1,0.114,0.401,-0.097,-0.363
"ANX",0.48,0.114,1,0.433,-0.145,0.056
"AVO",0.345,0.401,0.433,1,-0.224,-0.141
"HOME",-0.135,-0.097,-0.145,-0.224,1,0.073
"KAMF",0.039,-0.363,0.056,-0.141,0.073,1
