Date Prac Sub Age Sex Hand Block Bin Trial Shape Label Match CorrResp Resp ACC RT
09-May-2018_13:36:32 prac 7306 21 male R 1 1 1 moralSelf moralOther mismatch m n 0 0.9240 
09-May-2018_13:36:35 prac 7306 21 male R 1 1 2 moralSelf moralSelf match n n 1 1.0581 
09-May-2018_13:36:38 prac 7306 21 male R 1 1 3 moralSelf immoralSelf mismatch m m 1 1.0163 
09-May-2018_13:36:40 prac 7306 21 male R 1 1 4 moralOther immoralSelf mismatch m m 1 0.9125 
09-May-2018_13:36:43 prac 7306 21 male R 1 1 5 moralOther moralOther match n n 1 0.7246 
09-May-2018_13:36:45 prac 7306 21 male R 1 1 6 immoralOther moralSelf mismatch m m 1 0.9167 
09-May-2018_13:36:48 prac 7306 21 male R 1 1 7 immoralOther immoralOther match n n 1 1.0308 
09-May-2018_13:36:50 prac 7306 21 male R 1 1 8 immoralOther moralOther mismatch m m 1 0.5710 
09-May-2018_13:36:53 prac 7306 21 male R 1 1 9 immoralOther immoralSelf mismatch m n 0 0.8192 
09-May-2018_13:36:55 prac 7306 21 male R 1 1 10 immoralSelf immoralSelf match n NA -1 1.0850 
09-May-2018_13:36:58 prac 7306 21 male R 1 1 11 moralOther immoralOther mismatch m m 1 0.9715 
09-May-2018_13:37:01 prac 7306 21 male R 1 1 12 immoralSelf immoralSelf match n NA -1 1.0850 
09-May-2018_13:37:03 prac 7306 21 male R 1 1 13 moralOther immoralOther mismatch m m 1 0.8617 
09-May-2018_13:37:06 prac 7306 21 male R 1 1 14 immoralSelf moralSelf mismatch m m 1 0.9399 
09-May-2018_13:37:08 prac 7306 21 male R 1 1 15 moralOther moralOther match n n 1 0.6740 
09-May-2018_13:37:11 prac 7306 21 male R 1 1 16 moralSelf moralSelf match n n 1 1.0460 
09-May-2018_13:37:13 prac 7306 21 male R 1 1 17 moralSelf moralSelf match n n 1 0.6323 
09-May-2018_13:37:15 prac 7306 21 male R 1 1 18 moralOther moralOther match n n 1 0.5724 
09-May-2018_13:37:17 prac 7306 21 male R 1 1 19 immoralOther immoralOther match n m 0 0.7965 
09-May-2018_13:37:20 prac 7306 21 male R 1 1 20 immoralSelf immoralOther mismatch m m 1 0.8727 
09-May-2018_13:37:23 prac 7306 21 male R 1 1 21 moralSelf moralOther mismatch m m 1 0.9248 
09-May-2018_13:37:25 prac 7306 21 male R 1 1 22 immoralSelf moralSelf mismatch m m 1 0.8549 
09-May-2018_13:37:28 prac 7306 21 male R 1 1 23 immoralSelf immoralSelf match n m 0 0.9992 
09-May-2018_13:37:30 prac 7306 21 male R 1 1 24 immoralOther immoralOther match n NA -1 1.0850 
09-May-2018_13:37:33 prac 7306 21 male R 1 2 1 moralSelf moralOther mismatch m m 1 0.9234 
09-May-2018_13:37:36 prac 7306 21 male R 1 2 2 moralSelf moralSelf match n n 1 1.0776 
09-May-2018_13:37:38 prac 7306 21 male R 1 2 3 immoralSelf immoralSelf match n NA -1 1.0850 
09-May-2018_13:37:41 prac 7306 21 male R 1 2 4 moralOther immoralOther mismatch m m 1 0.8579 
09-May-2018_13:37:43 prac 7306 21 male R 1 2 5 immoralSelf immoralOther mismatch m m 1 0.9840 
09-May-2018_13:37:46 prac 7306 21 male R 1 2 6 immoralSelf moralOther mismatch m m 1 1.0221 
09-May-2018_13:37:49 prac 7306 21 male R 1 2 7 immoralOther immoralOther match n n 1 0.9803 
09-May-2018_13:37:51 prac 7306 21 male R 1 2 8 immoralOther immoralOther match n n 1 0.7545 
09-May-2018_13:37:53 prac 7306 21 male R 1 2 9 immoralOther moralOther mismatch m m 1 0.7426 
09-May-2018_13:37:56 prac 7306 21 male R 1 2 10 moralSelf moralSelf match n n 1 0.8847 
09-May-2018_13:37:58 prac 7306 21 male R 1 2 11 moralOther moralOther match n n 1 0.7669 
09-May-2018_13:38:01 prac 7306 21 male R 1 2 12 moralSelf moralOther mismatch m m 1 0.9609 
09-May-2018_13:38:03 prac 7306 21 male R 1 2 13 moralSelf moralSelf match n n 1 0.9311 
09-May-2018_13:38:06 prac 7306 21 male R 1 2 14 immoralOther immoralOther match n m 0 0.8432 
09-May-2018_13:38:09 prac 7306 21 male R 1 2 15 immoralSelf immoralSelf match n n 1 0.9814 
09-May-2018_13:38:11 prac 7306 21 male R 1 2 16 moralSelf immoralOther mismatch m NA -1 1.0850 
09-May-2018_13:38:14 prac 7306 21 male R 1 2 17 immoralOther moralSelf mismatch m m 1 0.7498 
09-May-2018_13:38:16 prac 7306 21 male R 1 2 18 immoralSelf moralSelf mismatch m m 1 0.8499 
09-May-2018_13:38:19 prac 7306 21 male R 1 2 19 moralOther immoralSelf mismatch m m 1 0.8659 
09-May-2018_13:38:21 prac 7306 21 male R 1 2 20 immoralOther moralOther mismatch m m 1 0.7361 
09-May-2018_13:38:23 prac 7306 21 male R 1 2 21 moralOther moralOther match n n 1 0.4802 
09-May-2018_13:38:26 prac 7306 21 male R 1 2 22 immoralSelf immoralSelf match n n 1 0.9063 
09-May-2018_13:38:28 prac 7306 21 male R 1 2 23 moralOther moralOther match n n 1 0.5846 
09-May-2018_13:38:30 prac 7306 21 male R 1 2 24 moralOther moralSelf mismatch m n 0 0.8947 
