Date Sub Age Sex Hand Block Bin Trial Task Shape corrResp Resp ACC RT
05-Jun-2018_15:49:53 7342 18 female R 1 1 1 self moralSelf H h 1 0.6407 
05-Jun-2018_15:49:55 7342 18 female R 1 1 2 self moralSelf H h 1 0.5063 
05-Jun-2018_15:49:57 7342 18 female R 1 1 3 self moralOther J j 1 0.6447 
05-Jun-2018_15:49:59 7342 18 female R 1 1 4 self immoralOther J j 1 0.3291 
05-Jun-2018_15:50:00 7342 18 female R 1 1 5 self moralSelf H h 1 0.5239 
05-Jun-2018_15:50:02 7342 18 female R 1 1 6 self moralOther J j 1 0.4426 
05-Jun-2018_15:50:04 7342 18 female R 1 1 7 self moralOther J j 1 0.7029 
05-Jun-2018_15:50:06 7342 18 female R 1 1 8 self immoralSelf H h 1 0.7496 
05-Jun-2018_15:50:08 7342 18 female R 1 1 9 self moralOther J j 1 0.5068 
05-Jun-2018_15:50:10 7342 18 female R 1 1 10 self moralOther J h 0 0.7300 
05-Jun-2018_15:50:11 7342 18 female R 1 1 11 self immoralOther J j 1 0.6448 
05-Jun-2018_15:50:13 7342 18 female R 1 1 12 self moralSelf H h 1 0.5804 
05-Jun-2018_15:50:15 7342 18 female R 1 1 13 self immoralSelf H h 1 0.4374 
05-Jun-2018_15:50:17 7342 18 female R 1 1 14 self immoralOther J j 1 0.4747 
05-Jun-2018_15:50:19 7342 18 female R 1 1 15 self immoralSelf H h 1 0.5063 
05-Jun-2018_15:50:20 7342 18 female R 1 1 16 self immoralSelf H h 1 0.4574 
05-Jun-2018_15:50:22 7342 18 female R 1 1 17 self immoralOther J j 1 0.6190 
05-Jun-2018_15:50:24 7342 18 female R 1 1 18 self moralSelf H j 0 0.5997 
05-Jun-2018_15:50:26 7342 18 female R 1 1 19 self immoralSelf H j 0 0.6802 
05-Jun-2018_15:50:28 7342 18 female R 1 1 20 self moralSelf H h 1 0.6789 
05-Jun-2018_15:50:29 7342 18 female R 1 1 21 self immoralOther J j 1 0.4267 
05-Jun-2018_15:50:31 7342 18 female R 1 1 22 self immoralSelf H h 1 0.4042 
05-Jun-2018_15:50:32 7342 18 female R 1 1 23 self immoralOther J h 0 0.2994 
05-Jun-2018_15:50:34 7342 18 female R 1 1 24 self moralOther J j 1 0.5846 
05-Jun-2018_15:50:36 7342 18 female R 1 2 1 self immoralSelf H h 1 0.4487 
05-Jun-2018_15:50:38 7342 18 female R 1 2 2 self moralSelf H h 1 0.9174 
05-Jun-2018_15:50:40 7342 18 female R 1 2 3 self moralOther J j 1 0.5548 
05-Jun-2018_15:50:42 7342 18 female R 1 2 4 self immoralSelf H h 1 0.7656 
05-Jun-2018_15:50:44 7342 18 female R 1 2 5 self immoralOther J j 1 0.5182 
05-Jun-2018_15:50:45 7342 18 female R 1 2 6 self immoralOther J j 1 0.3822 
