Date Prac Sub Age Sex Hand Block Bin Trial Shape Label Match CorrResp Resp ACC RT
30-May-2018_13:40:11 prac 7329 27 male R 1 1 1 moralSelf moralOther mismatch m n 0 0.8248 
30-May-2018_13:40:14 prac 7329 27 male R 1 1 2 moralSelf moralSelf match n NA -1 1.0850 
30-May-2018_13:40:16 prac 7329 27 male R 1 1 3 moralSelf immoralSelf mismatch m m 1 0.6971 
30-May-2018_13:40:19 prac 7329 27 male R 1 1 4 moralOther immoralSelf mismatch m n 0 0.7492 
30-May-2018_13:40:21 prac 7329 27 male R 1 1 5 moralOther moralOther match n n 1 1.0314 
30-May-2018_13:40:24 prac 7329 27 male R 1 1 6 immoralOther moralSelf mismatch m m 1 0.9335 
30-May-2018_13:40:26 prac 7329 27 male R 1 1 7 immoralOther immoralOther match n n 1 0.7737 
30-May-2018_13:40:29 prac 7329 27 male R 1 1 8 immoralOther moralOther mismatch m m 1 0.9579 
30-May-2018_13:40:31 prac 7329 27 male R 1 1 9 immoralOther immoralSelf mismatch m n 0 0.7120 
30-May-2018_13:40:34 prac 7329 27 male R 1 1 10 immoralSelf immoralSelf match n n 1 0.8921 
30-May-2018_13:40:36 prac 7329 27 male R 1 1 11 moralOther immoralOther mismatch m m 1 0.7324 
30-May-2018_13:40:39 prac 7329 27 male R 1 1 12 immoralSelf immoralSelf match n n 1 0.7724 
30-May-2018_13:40:41 prac 7329 27 male R 1 1 13 moralOther immoralOther mismatch m m 1 0.7325 
30-May-2018_13:40:44 prac 7329 27 male R 1 1 14 immoralSelf moralSelf mismatch m m 1 0.8927 
30-May-2018_13:40:46 prac 7329 27 male R 1 1 15 moralOther moralOther match n n 1 0.7409 
30-May-2018_13:40:48 prac 7329 27 male R 1 1 16 moralSelf moralSelf match n m 0 0.5709 
30-May-2018_13:40:50 prac 7329 27 male R 1 1 17 moralSelf moralSelf match n n 1 0.3391 
30-May-2018_13:40:52 prac 7329 27 male R 1 1 18 moralOther moralOther match n m 0 0.5932 
30-May-2018_13:40:54 prac 7329 27 male R 1 1 19 immoralOther immoralOther match n n 1 0.5093 
30-May-2018_13:40:57 prac 7329 27 male R 1 1 20 immoralSelf immoralOther mismatch m m 1 0.6174 
30-May-2018_13:40:59 prac 7329 27 male R 1 1 21 moralSelf moralOther mismatch m m 1 0.7196 
30-May-2018_13:41:01 prac 7329 27 male R 1 1 22 immoralSelf moralSelf mismatch m m 1 0.6897 
30-May-2018_13:41:04 prac 7329 27 male R 1 1 23 immoralSelf immoralSelf match n n 1 0.6179 
30-May-2018_13:41:06 prac 7329 27 male R 1 1 24 immoralOther immoralOther match n m 0 0.5600 
30-May-2018_13:41:08 prac 7329 27 male R 1 2 1 moralSelf moralOther mismatch m n 0 0.3441 
30-May-2018_13:41:10 prac 7329 27 male R 1 2 2 moralSelf moralSelf match n m 0 0.6942 
30-May-2018_13:41:12 prac 7329 27 male R 1 2 3 immoralSelf immoralSelf match n m 0 0.7183 
30-May-2018_13:41:15 prac 7329 27 male R 1 2 4 moralOther immoralOther mismatch m n 0 0.5125 
30-May-2018_13:41:17 prac 7329 27 male R 1 2 5 immoralSelf immoralOther mismatch m m 1 0.5806 
30-May-2018_13:41:19 prac 7329 27 male R 1 2 6 immoralSelf moralOther mismatch m n 0 0.6027 
30-May-2018_13:41:21 prac 7329 27 male R 1 2 7 immoralOther immoralOther match n m 0 0.6528 
30-May-2018_13:41:24 prac 7329 27 male R 1 2 8 immoralOther immoralOther match n n 1 0.7410 
30-May-2018_13:41:26 prac 7329 27 male R 1 2 9 immoralOther moralOther mismatch m m 1 0.6111 
30-May-2018_13:41:28 prac 7329 27 male R 1 2 10 moralSelf moralSelf match n n 1 0.7712 
30-May-2018_13:41:31 prac 7329 27 male R 1 2 11 moralOther moralOther match n m 0 0.6274 
30-May-2018_13:41:33 prac 7329 27 male R 1 2 12 moralSelf moralOther mismatch m n 0 0.5835 
30-May-2018_13:41:35 prac 7329 27 male R 1 2 13 moralSelf moralSelf match n n 1 0.8536 
30-May-2018_13:41:38 prac 7329 27 male R 1 2 14 immoralOther immoralOther match n m 0 0.8057 
