Date Prac Sub Age Sex Hand Block Bin Trial Shape Label Match CorrResp Resp ACC RT
30-May-2018_15:36:07 prac 7332 20 female R 1 1 1 moralOther immoralOther mismatch n NA -1 1.1570 
30-May-2018_15:36:10 prac 7332 20 female R 1 1 2 immoralSelf immoralSelf match m NA -1 1.1570 
30-May-2018_15:36:13 prac 7332 20 female R 1 1 3 immoralSelf immoralSelf match m NA -1 1.1570 
30-May-2018_15:36:14 prac 7332 20 female R 1 1 4 immoralSelf moralOther mismatch n n 1 0.2841 
30-May-2018_15:36:17 prac 7332 20 female R 1 1 5 moralOther moralSelf mismatch n m 0 0.7561 
30-May-2018_15:36:18 prac 7332 20 female R 1 1 6 moralSelf immoralSelf mismatch n n 1 0.2223 
30-May-2018_15:36:21 prac 7332 20 female R 1 1 7 moralSelf moralSelf match m NA -1 1.1570 
30-May-2018_15:36:24 prac 7332 20 female R 1 1 8 immoralSelf moralSelf mismatch n NA -1 1.1570 
30-May-2018_15:36:26 prac 7332 20 female R 1 1 9 moralOther moralOther match m n 0 0.5827 
30-May-2018_15:36:28 prac 7332 20 female R 1 1 10 moralSelf moralOther mismatch n n 1 0.5228 
30-May-2018_15:36:30 prac 7332 20 female R 1 1 11 moralOther immoralSelf mismatch n m 0 0.6749 
30-May-2018_15:36:32 prac 7332 20 female R 1 1 12 immoralOther moralSelf mismatch n n 1 0.4371 
30-May-2018_15:36:34 prac 7332 20 female R 1 1 13 moralOther moralOther match m n 0 0.3811 
30-May-2018_15:36:35 prac 7332 20 female R 1 1 14 moralSelf moralSelf match m n 0 0.4173 
30-May-2018_15:36:37 prac 7332 20 female R 1 1 15 moralSelf moralSelf match m n 0 0.4213 
30-May-2018_15:36:40 prac 7332 20 female R 1 1 16 immoralSelf moralOther mismatch n n 1 0.7215 
30-May-2018_15:36:42 prac 7332 20 female R 1 1 17 immoralSelf immoralSelf match m NA -1 1.1570 
30-May-2018_15:36:45 prac 7332 20 female R 1 1 18 moralSelf immoralSelf mismatch n NA -1 1.1570 
30-May-2018_15:36:47 prac 7332 20 female R 1 1 19 moralOther moralOther match m m 1 0.9579 
30-May-2018_15:36:49 prac 7332 20 female R 1 1 20 immoralOther moralOther mismatch n m 0 0.5661 
30-May-2018_15:36:52 prac 7332 20 female R 1 1 21 immoralOther immoralOther match m n 0 0.9662 
30-May-2018_15:36:54 prac 7332 20 female R 1 1 22 immoralOther immoralOther match m n 0 0.7664 
30-May-2018_15:36:56 prac 7332 20 female R 1 1 23 immoralOther moralOther mismatch n m 0 0.3265 
30-May-2018_15:36:58 prac 7332 20 female R 1 1 24 immoralOther immoralOther match m n 0 0.3345 
30-May-2018_15:36:59 prac 7332 20 female R 1 2 1 immoralSelf immoralSelf match m m 1 0.2687 
30-May-2018_15:37:01 prac 7332 20 female R 1 2 2 moralSelf moralSelf match m m 1 0.5347 
30-May-2018_15:37:03 prac 7332 20 female R 1 2 3 immoralOther immoralSelf mismatch n n 1 0.5888 
30-May-2018_15:37:06 prac 7332 20 female R 1 2 4 moralOther immoralOther mismatch n n 1 0.6550 
30-May-2018_15:37:08 prac 7332 20 female R 1 2 5 moralSelf moralSelf match m n 0 0.7251 
30-May-2018_15:37:09 prac 7332 20 female R 1 2 6 moralOther moralOther match m m 1 0.3012 
30-May-2018_15:37:11 prac 7332 20 female R 1 2 7 immoralSelf moralSelf mismatch n n 1 0.3934 
30-May-2018_15:37:14 prac 7332 20 female R 1 2 8 immoralOther immoralSelf mismatch n m 0 1.0675 
30-May-2018_15:37:16 prac 7332 20 female R 1 2 9 immoralSelf immoralOther mismatch n n 1 0.5576 
30-May-2018_15:37:18 prac 7332 20 female R 1 2 10 immoralSelf moralOther mismatch n n 1 0.7497 
30-May-2018_15:37:20 prac 7332 20 female R 1 2 11 moralOther moralOther match m n 0 0.5198 
30-May-2018_15:37:23 prac 7332 20 female R 1 2 12 immoralOther immoralOther match m n 0 0.8399 
30-May-2018_15:37:25 prac 7332 20 female R 1 2 13 moralOther moralOther match m m 1 0.9840 
30-May-2018_15:37:27 prac 7332 20 female R 1 2 14 moralOther immoralSelf mismatch n n 1 0.6842 
30-May-2018_15:37:30 prac 7332 20 female R 1 2 15 moralSelf immoralOther mismatch n n 1 0.9003 
30-May-2018_15:37:32 prac 7332 20 female R 1 2 16 immoralSelf immoralSelf match m n 0 0.9525 
30-May-2018_15:37:35 prac 7332 20 female R 1 2 17 moralSelf moralSelf match m NA -1 1.1570 
30-May-2018_15:37:37 prac 7332 20 female R 1 2 18 moralSelf immoralSelf mismatch n n 1 0.7408 
30-May-2018_15:37:39 prac 7332 20 female R 1 2 19 moralOther immoralOther mismatch n NA -1 1.1570 
30-May-2018_15:37:42 prac 7332 20 female R 1 2 20 immoralOther moralSelf mismatch n n 1 0.8510 
30-May-2018_15:37:44 prac 7332 20 female R 1 2 21 moralSelf immoralOther mismatch n n 1 0.7372 
30-May-2018_15:37:47 prac 7332 20 female R 1 2 22 immoralSelf immoralSelf match m n 0 1.1493 
30-May-2018_15:37:49 prac 7332 20 female R 1 2 23 immoralOther immoralOther match m m 1 1.0475 
30-May-2018_15:37:51 prac 7332 20 female R 1 2 24 immoralOther immoralOther match m m 1 0.8936 
Date Prac Sub Age Sex Hand Block Bin Trial Shape Label Match CorrResp Resp ACC RT
30-May-2018_15:38:12 prac 7332 20 female R 1 1 1 immoralSelf immoralSelf match m m 1 1.0267 
30-May-2018_15:38:14 prac 7332 20 female R 1 1 2 immoralOther immoralSelf mismatch n n 1 1.0609 
30-May-2018_15:38:17 prac 7332 20 female R 1 1 3 immoralSelf immoralOther mismatch n NA -1 1.1570 
30-May-2018_15:38:20 prac 7332 20 female R 1 1 4 immoralOther moralOther mismatch n m 0 1.0912 
30-May-2018_15:38:22 prac 7332 20 female R 1 1 5 moralSelf immoralOther mismatch n NA -1 1.1570 
30-May-2018_15:38:25 prac 7332 20 female R 1 1 6 immoralSelf moralOther mismatch n n 1 1.1475 
30-May-2018_15:38:27 prac 7332 20 female R 1 1 7 moralSelf immoralOther mismatch n n 1 0.7496 
30-May-2018_15:38:29 prac 7332 20 female R 1 1 8 immoralOther immoralOther match m n 0 0.5838 
30-May-2018_15:38:32 prac 7332 20 female R 1 1 9 moralSelf moralSelf match m NA -1 1.1570 
30-May-2018_15:38:34 prac 7332 20 female R 1 1 10 immoralOther immoralSelf mismatch n n 1 0.7981 
30-May-2018_15:38:36 prac 7332 20 female R 1 1 11 immoralSelf immoralSelf match m n 0 0.6302 
30-May-2018_15:38:38 prac 7332 20 female R 1 1 12 moralOther moralOther match m n 0 0.6964 
30-May-2018_15:38:41 prac 7332 20 female R 1 1 13 moralOther immoralSelf mismatch n NA -1 1.1570 
30-May-2018_15:38:43 prac 7332 20 female R 1 1 14 moralOther moralOther match m m 1 0.9586 
30-May-2018_15:38:46 prac 7332 20 female R 1 1 15 moralOther moralOther match m m 1 1.0147 
30-May-2018_15:38:48 prac 7332 20 female R 1 1 16 immoralSelf moralSelf mismatch n n 1 1.0449 
30-May-2018_15:38:51 prac 7332 20 female R 1 1 17 moralOther moralSelf mismatch n m 0 1.0290 
30-May-2018_15:38:53 prac 7332 20 female R 1 1 18 immoralSelf immoralSelf match m n 0 0.8392 
30-May-2018_15:38:55 prac 7332 20 female R 1 1 19 moralSelf moralSelf match m n 0 0.6473 
30-May-2018_15:38:58 prac 7332 20 female R 1 1 20 moralOther moralSelf mismatch n m 0 0.9094 
30-May-2018_15:39:00 prac 7332 20 female R 1 1 21 immoralOther immoralOther match m NA -1 1.1570 
30-May-2018_15:39:03 prac 7332 20 female R 1 1 22 moralSelf moralSelf match m n 0 0.8657 
30-May-2018_15:39:05 prac 7332 20 female R 1 1 23 moralSelf moralOther mismatch n n 1 0.5259 
30-May-2018_15:39:07 prac 7332 20 female R 1 1 24 immoralOther immoralOther match m m 1 0.8700 
30-May-2018_15:39:09 prac 7332 20 female R 1 2 1 moralSelf moralOther mismatch n n 1 0.2881 
30-May-2018_15:39:11 prac 7332 20 female R 1 2 2 moralOther immoralSelf mismatch n m 0 0.7742 
30-May-2018_15:39:13 prac 7332 20 female R 1 2 3 immoralOther moralOther mismatch n n 1 0.8443 
30-May-2018_15:39:16 prac 7332 20 female R 1 2 4 moralSelf moralSelf match m m 1 0.9405 
