Date Prac Sub Age Sex Hand Block Bin Trial Shape Label Match CorrResp Resp ACC RT
13-May-2018_16:03:11 prac 7313 20 female R 1 1 1 immoralOther moralOther mismatch m NA -1 1.0731 
13-May-2018_16:03:14 prac 7313 20 female R 1 1 2 immoralOther immoralOther match n NA -1 1.0731 
13-May-2018_16:03:17 prac 7313 20 female R 1 1 3 moralOther moralOther match n NA -1 1.0731 
13-May-2018_16:03:19 prac 7313 20 female R 1 1 4 immoralSelf immoralSelf match n NA -1 1.0731 
13-May-2018_16:03:22 prac 7313 20 female R 1 1 5 moralSelf moralSelf match n NA -1 1.0731 
13-May-2018_16:03:24 prac 7313 20 female R 1 1 6 moralSelf moralSelf match n NA -1 1.0731 
13-May-2018_16:03:27 prac 7313 20 female R 1 1 7 immoralOther immoralOther match n NA -1 1.0731 
13-May-2018_16:03:30 prac 7313 20 female R 1 1 8 moralOther immoralSelf mismatch m NA -1 1.0731 
13-May-2018_16:03:32 prac 7313 20 female R 1 1 9 immoralOther immoralOther match n NA -1 1.0731 
13-May-2018_16:03:35 prac 7313 20 female R 1 1 10 immoralSelf moralSelf mismatch m NA -1 1.0731 
13-May-2018_16:03:37 prac 7313 20 female R 1 1 11 immoralOther moralSelf mismatch m n 0 0.7468 
13-May-2018_16:03:40 prac 7313 20 female R 1 1 12 immoralSelf immoralSelf match n NA -1 1.0731 
13-May-2018_16:03:41 prac 7313 20 female R 1 1 13 moralSelf moralSelf match n LeftArrow 2 0.2075 
13-May-2018_16:03:44 prac 7313 20 female R 1 1 14 moralOther moralOther match n NA -1 1.0731 
13-May-2018_16:03:47 prac 7313 20 female R 1 1 15 moralSelf immoralOther mismatch m NA -1 1.0731 
13-May-2018_16:03:49 prac 7313 20 female R 1 1 16 moralSelf immoralOther mismatch m NA -1 1.0731 
13-May-2018_16:03:52 prac 7313 20 female R 1 1 17 moralOther immoralOther mismatch m n 0 0.8746 
13-May-2018_16:03:54 prac 7313 20 female R 1 1 18 immoralSelf immoralOther mismatch m n 0 0.5360 
13-May-2018_16:03:55 prac 7313 20 female R 1 1 19 immoralSelf moralSelf mismatch m n 0 0.1615 
13-May-2018_16:03:57 prac 7313 20 female R 1 1 20 moralSelf moralOther mismatch m n 0 0.2036 
13-May-2018_16:03:59 prac 7313 20 female R 1 1 21 immoralOther moralOther mismatch m m 1 0.1850 
13-May-2018_16:04:01 prac 7313 20 female R 1 1 22 immoralSelf immoralSelf match n m 0 0.4045 
13-May-2018_16:04:03 prac 7313 20 female R 1 1 23 moralOther moralOther match n m 0 0.1793 
13-May-2018_16:04:04 prac 7313 20 female R 1 1 24 moralOther immoralOther mismatch m m 1 0.1148 
