Date Prac Sub Age Sex Hand Block Bin Trial Shape Label Match CorrResp Resp ACC RT
02-Jun-2018_15:06:10 prac 7338 20 female R 1 1 1 moralSelf moralOther mismatch m NA -1 1.0841 
02-Jun-2018_15:06:12 prac 7338 20 female R 1 1 2 moralSelf moralSelf match n n 1 0.6982 
02-Jun-2018_15:06:14 prac 7338 20 female R 1 1 3 moralSelf immoralSelf mismatch m m 1 0.5570 
02-Jun-2018_15:06:17 prac 7338 20 female R 1 1 4 moralOther immoralSelf mismatch m m 1 0.8249 
02-Jun-2018_15:06:19 prac 7338 20 female R 1 1 5 moralOther moralOther match n n 1 0.7343 
02-Jun-2018_15:06:22 prac 7338 20 female R 1 1 6 immoralOther moralSelf mismatch m m 1 0.9701 
02-Jun-2018_15:06:24 prac 7338 20 female R 1 1 7 immoralOther immoralOther match n NA -1 1.0841 
02-Jun-2018_15:06:27 prac 7338 20 female R 1 1 8 immoralOther moralOther mismatch m m 1 1.0766 
02-Jun-2018_15:06:30 prac 7338 20 female R 1 1 9 immoralOther immoralSelf mismatch m n 0 0.9149 
02-Jun-2018_15:06:32 prac 7338 20 female R 1 1 10 immoralSelf immoralSelf match n m 0 0.7460 
02-Jun-2018_15:06:34 prac 7338 20 female R 1 1 11 moralOther immoralOther mismatch m m 1 0.7377 
02-Jun-2018_15:06:37 prac 7338 20 female R 1 1 12 immoralSelf immoralSelf match n m 0 0.7250 
02-Jun-2018_15:06:39 prac 7338 20 female R 1 1 13 moralOther immoralOther mismatch m m 1 0.7483 
02-Jun-2018_15:06:42 prac 7338 20 female R 1 1 14 immoralSelf moralSelf mismatch m m 1 0.7558 
02-Jun-2018_15:06:44 prac 7338 20 female R 1 1 15 moralOther moralOther match n n 1 0.5837 
02-Jun-2018_15:06:46 prac 7338 20 female R 1 1 16 moralSelf moralSelf match n m 0 0.7160 
02-Jun-2018_15:06:49 prac 7338 20 female R 1 1 17 moralSelf moralSelf match n n 1 0.7151 
02-Jun-2018_15:06:51 prac 7338 20 female R 1 1 18 moralOther moralOther match n n 1 0.5463 
02-Jun-2018_15:06:53 prac 7338 20 female R 1 1 19 immoralOther immoralOther match n m 0 0.6179 
02-Jun-2018_15:06:55 prac 7338 20 female R 1 1 20 immoralSelf immoralOther mismatch m m 1 0.7069 
02-Jun-2018_15:06:58 prac 7338 20 female R 1 1 21 moralSelf moralOther mismatch m m 1 0.9498 
02-Jun-2018_15:07:00 prac 7338 20 female R 1 1 22 immoralSelf moralSelf mismatch m m 1 0.7575 
02-Jun-2018_15:07:03 prac 7338 20 female R 1 1 23 immoralSelf immoralSelf match n m 0 0.7933 
02-Jun-2018_15:07:05 prac 7338 20 female R 1 1 24 immoralOther immoralOther match n n 1 0.9858 
02-Jun-2018_15:07:08 prac 7338 20 female R 1 2 1 moralSelf moralOther mismatch m m 1 0.8546 
02-Jun-2018_15:07:10 prac 7338 20 female R 1 2 2 moralSelf moralSelf match n n 1 0.7644 
02-Jun-2018_15:07:12 prac 7338 20 female R 1 2 3 immoralSelf immoralSelf match n m 0 0.6286 
02-Jun-2018_15:07:15 prac 7338 20 female R 1 2 4 moralOther immoralOther mismatch m m 1 0.6258 
02-Jun-2018_15:07:17 prac 7338 20 female R 1 2 5 immoralSelf immoralOther mismatch m m 1 0.7991 
02-Jun-2018_15:07:20 prac 7338 20 female R 1 2 6 immoralSelf moralOther mismatch m m 1 0.8519 
02-Jun-2018_15:07:22 prac 7338 20 female R 1 2 7 immoralOther immoralOther match n m 0 0.6176 
02-Jun-2018_15:07:24 prac 7338 20 female R 1 2 8 immoralOther immoralOther match n n 1 0.6586 
02-Jun-2018_15:07:27 prac 7338 20 female R 1 2 9 immoralOther moralOther mismatch m m 1 0.8767 
02-Jun-2018_15:07:29 prac 7338 20 female R 1 2 10 moralSelf moralSelf match n m 0 0.8268 
02-Jun-2018_15:07:31 prac 7338 20 female R 1 2 11 moralOther moralOther match n n 1 0.5761 
02-Jun-2018_15:07:34 prac 7338 20 female R 1 2 12 moralSelf moralOther mismatch m n 0 0.7404 
02-Jun-2018_15:07:36 prac 7338 20 female R 1 2 13 moralSelf moralSelf match n m 0 0.8760 
02-Jun-2018_15:07:39 prac 7338 20 female R 1 2 14 immoralOther immoralOther match n n 1 0.9862 
02-Jun-2018_15:07:42 prac 7338 20 female R 1 2 15 immoralSelf immoralSelf match n NA -1 1.0841 
02-Jun-2018_15:07:44 prac 7338 20 female R 1 2 16 moralSelf immoralOther mismatch m m 1 0.7733 
02-Jun-2018_15:07:47 prac 7338 20 female R 1 2 17 immoralOther moralSelf mismatch m m 1 0.9733 
02-Jun-2018_15:07:49 prac 7338 20 female R 1 2 18 immoralSelf moralSelf mismatch m m 1 0.8897 
02-Jun-2018_15:07:51 prac 7338 20 female R 1 2 19 moralOther immoralSelf mismatch m m 1 0.7722 
02-Jun-2018_15:07:54 prac 7338 20 female R 1 2 20 immoralOther moralOther mismatch m m 1 0.8123 
02-Jun-2018_15:07:56 prac 7338 20 female R 1 2 21 moralOther moralOther match n n 1 0.5893 
02-Jun-2018_15:07:59 prac 7338 20 female R 1 2 22 immoralSelf immoralSelf match n m 0 0.7658 
02-Jun-2018_15:08:01 prac 7338 20 female R 1 2 23 moralOther moralOther match n n 1 0.4779 
02-Jun-2018_15:08:03 prac 7338 20 female R 1 2 24 moralOther moralSelf mismatch m n 0 0.8121 
