Date Sub Age Sex Hand Block Bin Trial Task Shape corrResp Resp ACC RT
16-May-2018_14:07:05 7314 19 female R 1 3 24 self moralSelf J j 1 0.4877 
16-May-2018_14:07:07 7314 19 female R 1 4 1 self moralOther H h 1 0.5858 
16-May-2018_14:07:09 7314 19 female R 1 4 2 self immoralOther H h 1 0.9498 
16-May-2018_14:07:11 7314 19 female R 1 4 3 self immoralOther H h 1 0.8020 
16-May-2018_14:07:13 7314 19 female R 1 4 4 self moralOther H h 1 0.5861 
16-May-2018_14:07:15 7314 19 female R 1 4 5 self moralSelf J j 1 0.4262 
16-May-2018_14:07:17 7314 19 female R 1 4 6 self immoralOther H h 1 0.7203 
16-May-2018_14:07:19 7314 19 female R 1 4 7 self moralOther H h 1 0.8144 
16-May-2018_14:07:21 7314 19 female R 1 4 8 self moralSelf J j 1 0.5120 
16-May-2018_14:07:22 7314 19 female R 1 4 9 self moralSelf J j 1 0.4647 
16-May-2018_14:07:24 7314 19 female R 1 4 10 self moralOther H h 1 0.5788 
16-May-2018_14:07:26 7314 19 female R 1 4 11 self moralSelf J j 1 0.4970 
16-May-2018_14:07:28 7314 19 female R 1 4 12 self moralOther H h 1 0.7049 
16-May-2018_14:07:30 7314 19 female R 1 4 13 self moralSelf J NA -1 1.0850 
16-May-2018_14:07:32 7314 19 female R 1 4 14 self moralSelf J j 1 0.5092 
16-May-2018_14:07:34 7314 19 female R 1 4 15 self immoralOther H h 1 0.7153 
16-May-2018_14:07:36 7314 19 female R 1 4 16 self immoralSelf J j 1 0.7454 
16-May-2018_14:07:38 7314 19 female R 1 4 17 self immoralSelf J j 1 0.6175 
16-May-2018_14:07:40 7314 19 female R 1 4 18 self immoralOther H h 1 0.8257 
16-May-2018_14:07:42 7314 19 female R 1 4 19 self immoralSelf J j 1 0.7198 
16-May-2018_14:07:45 7314 19 female R 1 4 20 self immoralOther H NA -1 1.0850 
16-May-2018_14:07:47 7314 19 female R 1 4 21 self immoralSelf J j 1 0.6980 
16-May-2018_14:07:48 7314 19 female R 1 4 22 self immoralSelf J j 1 0.6921 
16-May-2018_14:07:50 7314 19 female R 1 4 23 self immoralSelf J j 1 0.4703 
16-May-2018_14:07:52 7314 19 female R 1 4 24 self moralOther H h 1 0.6543 
16-May-2018_14:08:00 7314 19 female R 1 5 1 self immoralSelf J j 1 0.6009 
16-May-2018_14:08:02 7314 19 female R 1 5 2 self immoralOther H h 1 0.5868 
16-May-2018_14:08:04 7314 19 female R 1 5 3 self immoralOther H h 1 0.8850 
16-May-2018_14:08:06 7314 19 female R 1 5 4 self immoralSelf J j 1 0.5151 
16-May-2018_14:08:08 7314 19 female R 1 5 5 self immoralSelf J j 1 0.6987 
16-May-2018_14:08:10 7314 19 female R 1 5 6 self moralSelf J j 1 0.6354 
16-May-2018_14:08:12 7314 19 female R 1 5 7 self immoralOther H h 1 0.9734 
16-May-2018_14:08:14 7314 19 female R 1 5 8 self moralOther H j 0 0.8135 
16-May-2018_14:08:16 7314 19 female R 1 5 9 self immoralSelf J j 1 1.0336 
16-May-2018_14:08:18 7314 19 female R 1 5 10 self moralSelf J j 1 0.5738 
16-May-2018_14:08:20 7314 19 female R 1 5 11 self immoralSelf J j 1 0.4839 
16-May-2018_14:08:22 7314 19 female R 1 5 12 self immoralOther H h 1 0.5920 
16-May-2018_14:08:25 7314 19 female R 1 5 13 self immoralOther H h 1 1.0001 
16-May-2018_14:08:27 7314 19 female R 1 5 14 self moralOther H h 1 0.9383 
16-May-2018_14:08:28 7314 19 female R 1 5 15 self immoralSelf J j 1 0.4964 
16-May-2018_14:08:30 7314 19 female R 1 5 16 self moralSelf J j 1 0.6305 
16-May-2018_14:08:32 7314 19 female R 1 5 17 self immoralOther H h 1 0.6706 
16-May-2018_14:08:34 7314 19 female R 1 5 18 self moralSelf J j 1 0.8847 
16-May-2018_14:08:36 7314 19 female R 1 5 19 self moralSelf J j 1 0.5369 
16-May-2018_14:08:38 7314 19 female R 1 5 20 self moralOther H h 1 0.6509 
16-May-2018_14:08:40 7314 19 female R 1 5 21 self moralOther H NA -1 1.0850 
16-May-2018_14:08:42 7314 19 female R 1 5 22 self moralOther H h 1 0.6631 
16-May-2018_14:08:44 7314 19 female R 1 5 23 self moralOther H h 1 0.5073 
16-May-2018_14:08:46 7314 19 female R 1 5 24 self moralSelf J j 1 0.6834 
Date Sub Age Sex Hand Block Bin Trial Task Shape corrResp Resp ACC RT
16-May-2018_14:11:54 7314 19 female R 2 1 1 moral immoralSelf U u 1 0.6221 
16-May-2018_14:11:55 7314 19 female R 2 1 2 moral moralSelf Y y 1 0.7202 
16-May-2018_14:11:57 7314 19 female R 2 1 3 moral moralSelf Y y 1 0.5642 
16-May-2018_14:11:59 7314 19 female R 2 1 4 moral immoralOther U y 0 0.5583 
16-May-2018_14:12:01 7314 19 female R 2 1 5 moral moralOther Y y 1 0.5965 
16-May-2018_14:12:03 7314 19 female R 2 1 6 moral immoralSelf U u 1 0.5885 
16-May-2018_14:12:05 7314 19 female R 2 1 7 moral immoralSelf U u 1 0.7326 
16-May-2018_14:12:07 7314 19 female R 2 1 8 moral moralSelf Y y 1 0.8508 
16-May-2018_14:12:09 7314 19 female R 2 1 9 moral immoralOther U u 1 0.6208 
16-May-2018_14:12:11 7314 19 female R 2 1 10 moral moralOther Y y 1 0.6430 
16-May-2018_14:12:13 7314 19 female R 2 1 11 moral moralOther Y y 1 0.5771 
16-May-2018_14:12:15 7314 19 female R 2 1 12 moral moralSelf Y NA -1 1.0850 
16-May-2018_14:12:17 7314 19 female R 2 1 13 moral immoralSelf U u 1 0.5274 
16-May-2018_14:12:19 7314 19 female R 2 1 14 moral immoralOther U y 0 0.8535 
16-May-2018_14:12:21 7314 19 female R 2 1 15 moral immoralSelf U u 1 0.7636 
16-May-2018_14:12:23 7314 19 female R 2 1 16 moral moralSelf Y y 1 0.7196 
16-May-2018_14:12:25 7314 19 female R 2 1 17 moral immoralSelf U u 1 0.5399 
16-May-2018_14:12:27 7314 19 female R 2 1 18 moral moralOther Y y 1 0.5679 
16-May-2018_14:12:29 7314 19 female R 2 1 19 moral immoralOther U u 1 1.0620 
16-May-2018_14:12:32 7314 19 female R 2 1 20 moral moralSelf Y y 1 0.7781 
16-May-2018_14:12:34 7314 19 female R 2 1 21 moral moralOther Y y 1 0.8863 
