Date Sub Age Sex Hand Block Bin Trial Task Shape corrResp Resp ACC RT
19-May-2018_13:57:25 7321 18 female R 1 1 1 moral immoralSelf Y NA -1 1.0850 
19-May-2018_13:57:27 7321 18 female R 1 1 2 moral moralOther U u 1 0.8995 
19-May-2018_13:57:29 7321 18 female R 1 1 3 moral immoralSelf Y u 0 0.2716 
19-May-2018_13:57:31 7321 18 female R 1 1 4 moral moralSelf U NA -1 1.0850 
19-May-2018_13:57:33 7321 18 female R 1 1 5 moral moralOther U y 0 0.8658 
19-May-2018_13:57:36 7321 18 female R 1 1 6 moral immoralOther Y y 1 0.8299 
19-May-2018_13:57:38 7321 18 female R 1 1 7 moral moralSelf U u 1 0.5241 
19-May-2018_13:57:39 7321 18 female R 1 1 8 moral moralOther U u 1 0.7942 
19-May-2018_13:57:41 7321 18 female R 1 1 9 moral moralSelf U u 1 0.5504 
19-May-2018_13:57:43 7321 18 female R 1 1 10 moral immoralOther Y y 1 0.4666 
19-May-2018_13:57:45 7321 18 female R 1 1 11 moral immoralSelf Y y 1 0.9765 
19-May-2018_13:57:47 7321 18 female R 1 1 12 moral moralOther U u 1 0.6007 
19-May-2018_13:57:49 7321 18 female R 1 1 13 moral immoralOther Y y 1 0.6567 
19-May-2018_13:57:51 7321 18 female R 1 1 14 moral moralSelf U u 1 0.5269 
19-May-2018_13:57:52 7321 18 female R 1 1 15 moral immoralOther Y u 0 0.4390 
19-May-2018_13:57:55 7321 18 female R 1 1 16 moral moralOther U u 1 0.6971 
19-May-2018_13:57:56 7321 18 female R 1 1 17 moral moralOther U u 1 0.4652 
19-May-2018_13:57:58 7321 18 female R 1 1 18 moral immoralOther Y y 1 0.5353 
19-May-2018_13:58:00 7321 18 female R 1 1 19 moral immoralSelf Y u 0 0.6495 
19-May-2018_13:58:01 7321 18 female R 1 1 20 moral immoralOther Y y 1 0.5195 
19-May-2018_13:58:04 7321 18 female R 1 1 21 moral moralSelf U u 1 0.9975 
19-May-2018_13:58:06 7321 18 female R 1 1 22 moral immoralSelf Y NA -1 1.0850 
19-May-2018_13:58:08 7321 18 female R 1 1 23 moral immoralSelf Y y 1 0.5399 
19-May-2018_13:58:10 7321 18 female R 1 1 24 moral moralSelf U u 1 0.5299 
19-May-2018_13:58:12 7321 18 female R 1 2 1 moral immoralOther Y y 1 0.5081 
19-May-2018_13:58:13 7321 18 female R 1 2 2 moral immoralOther Y y 1 0.4601 
19-May-2018_13:58:15 7321 18 female R 1 2 3 moral moralSelf U u 1 0.5682 
19-May-2018_13:58:17 7321 18 female R 1 2 4 moral immoralSelf Y y 1 0.6683 
19-May-2018_13:58:18 7321 18 female R 1 2 5 moral moralSelf U u 1 0.6084 
19-May-2018_13:58:21 7321 18 female R 1 2 6 moral immoralSelf Y y 1 1.0185 
19-May-2018_13:58:22 7321 18 female R 1 2 7 moral immoralOther Y y 1 0.5786 
19-May-2018_13:58:24 7321 18 female R 1 2 8 moral moralOther U u 1 0.6208 
19-May-2018_13:58:26 7321 18 female R 1 2 9 moral moralSelf U u 1 0.8169 
19-May-2018_13:58:28 7321 18 female R 1 2 10 moral moralOther U u 1 0.5711 
19-May-2018_13:58:30 7321 18 female R 1 2 11 moral immoralSelf Y y 1 0.5471 
19-May-2018_13:58:31 7321 18 female R 1 2 12 moral immoralSelf Y y 1 0.4932 
