Date Sub Age Sex Hand Block Bin Trial Task Shape corrResp Resp ACC RT
09-May-2018_13:55:50 7306 21 male R 1 1 1 self moralSelf J j 1 0.5076 
09-May-2018_13:55:52 7306 21 male R 1 1 2 self moralOther H h 1 0.6317 
09-May-2018_13:55:54 7306 21 male R 1 1 3 self immoralOther H h 1 0.7538 
09-May-2018_13:55:55 7306 21 male R 1 1 4 self moralSelf J j 1 0.5719 
09-May-2018_13:55:57 7306 21 male R 1 1 5 self moralOther H h 1 0.5421 
09-May-2018_13:55:59 7306 21 male R 1 1 6 self moralSelf J j 1 0.5621 
09-May-2018_13:56:01 7306 21 male R 1 1 7 self moralOther H h 1 0.4902 
09-May-2018_13:56:03 7306 21 male R 1 1 8 self moralOther H h 1 0.4723 
09-May-2018_13:56:05 7306 21 male R 1 1 9 self immoralSelf J j 1 0.4804 
09-May-2018_13:56:07 7306 21 male R 1 1 10 self immoralSelf J j 1 0.5086 
09-May-2018_13:56:08 7306 21 male R 1 1 11 self immoralOther H h 1 0.5668 
09-May-2018_13:56:10 7306 21 male R 1 1 12 self immoralSelf J j 1 0.4947 
09-May-2018_13:56:12 7306 21 male R 1 1 13 self moralSelf J h 0 0.6368 
09-May-2018_13:56:13 7306 21 male R 1 1 14 self moralOther H h 1 0.4810 
09-May-2018_13:56:15 7306 21 male R 1 1 15 self immoralSelf J j 1 0.4910 
09-May-2018_13:56:17 7306 21 male R 1 1 16 self moralSelf J j 1 0.5012 
09-May-2018_13:56:19 7306 21 male R 1 1 17 self immoralSelf J j 1 0.5692 
09-May-2018_13:56:20 7306 21 male R 1 1 18 self immoralOther H h 1 0.5434 
09-May-2018_13:56:22 7306 21 male R 1 1 19 self moralSelf J j 1 0.5014 
09-May-2018_13:56:24 7306 21 male R 1 1 20 self immoralOther H h 1 0.5837 
09-May-2018_13:56:26 7306 21 male R 1 1 21 self immoralSelf J j 1 0.4158 
09-May-2018_13:56:28 7306 21 male R 1 1 22 self immoralOther H h 1 0.4537 
09-May-2018_13:56:30 7306 21 male R 1 1 23 self moralOther H h 1 0.2939 
09-May-2018_13:56:31 7306 21 male R 1 1 24 self immoralOther H h 1 0.4479 
09-May-2018_13:56:33 7306 21 male R 1 2 1 self immoralSelf J j 1 0.4160 
09-May-2018_13:56:35 7306 21 male R 1 2 2 self immoralSelf J j 1 0.3821 
09-May-2018_13:56:37 7306 21 male R 1 2 3 self immoralOther H h 1 0.6003 
09-May-2018_13:56:39 7306 21 male R 1 2 4 self moralSelf J j 1 0.5044 
09-May-2018_13:56:40 7306 21 male R 1 2 5 self moralOther H h 1 0.4465 
09-May-2018_13:56:42 7306 21 male R 1 2 6 self moralSelf J j 1 0.5165 
