Date Prac Sub Age Sex Hand Block Bin Trial Shape Label Match CorrResp Resp ACC RT
20-May-2018_15:58:22 prac 7325 21 male R 1 1 1 moralSelf moralOther mismatch n m 0 0.6287 
20-May-2018_15:58:25 prac 7325 21 male R 1 1 2 moralSelf moralSelf match m m 1 0.7051 
20-May-2018_15:58:27 prac 7325 21 male R 1 1 3 moralSelf immoralSelf mismatch n n 1 0.5560 
20-May-2018_15:58:29 prac 7325 21 male R 1 1 4 moralOther immoralSelf mismatch n n 1 0.6319 
20-May-2018_15:58:31 prac 7325 21 male R 1 1 5 moralOther moralOther match m m 1 0.5732 
20-May-2018_15:58:33 prac 7325 21 male R 1 1 6 immoralOther moralSelf mismatch n n 1 0.5575 
20-May-2018_15:58:36 prac 7325 21 male R 1 1 7 immoralOther immoralOther match m m 1 0.5695 
20-May-2018_15:58:38 prac 7325 21 male R 1 1 8 immoralOther moralOther mismatch n n 1 0.7536 
20-May-2018_15:58:40 prac 7325 21 male R 1 1 9 immoralOther immoralSelf mismatch n n 1 0.6215 
20-May-2018_15:58:43 prac 7325 21 male R 1 1 10 immoralSelf immoralSelf match m n 0 0.6828 
20-May-2018_15:58:45 prac 7325 21 male R 1 1 11 moralOther immoralOther mismatch n m 0 0.7892 
20-May-2018_15:58:48 prac 7325 21 male R 1 1 12 immoralSelf immoralSelf match m n 0 0.9338 
20-May-2018_15:58:50 prac 7325 21 male R 1 1 13 moralOther immoralOther mismatch n m 0 0.7051 
20-May-2018_15:58:53 prac 7325 21 male R 1 1 14 immoralSelf moralSelf mismatch n m 0 1.0360 
20-May-2018_15:58:55 prac 7325 21 male R 1 1 15 moralOther moralOther match m m 1 0.8136 
20-May-2018_15:58:57 prac 7325 21 male R 1 1 16 moralSelf moralSelf match m m 1 0.5667 
20-May-2018_15:58:59 prac 7325 21 male R 1 1 17 moralSelf moralSelf match m m 1 0.4467 
20-May-2018_15:59:02 prac 7325 21 male R 1 1 18 moralOther moralOther match m m 1 0.5885 
20-May-2018_15:59:04 prac 7325 21 male R 1 1 19 immoralOther immoralOther match m m 1 0.6610 
20-May-2018_15:59:06 prac 7325 21 male R 1 1 20 immoralSelf immoralOther mismatch n m 0 0.7190 
20-May-2018_15:59:09 prac 7325 21 male R 1 1 21 moralSelf moralOther mismatch n n 1 1.0780 
20-May-2018_15:59:11 prac 7325 21 male R 1 1 22 immoralSelf moralSelf mismatch n n 1 0.8524 
20-May-2018_15:59:14 prac 7325 21 male R 1 1 23 immoralSelf immoralSelf match m m 1 0.8580 
20-May-2018_15:59:16 prac 7325 21 male R 1 1 24 immoralOther immoralOther match m n 0 0.7000 
20-May-2018_15:59:19 prac 7325 21 male R 1 2 1 moralSelf moralOther mismatch n m 0 0.9430 
20-May-2018_15:59:21 prac 7325 21 male R 1 2 2 moralSelf moralSelf match m m 1 0.4626 
20-May-2018_15:59:23 prac 7325 21 male R 1 2 3 immoralSelf immoralSelf match m m 1 0.8726 
20-May-2018_15:59:26 prac 7325 21 male R 1 2 4 moralOther immoralOther mismatch n m 0 0.5107 
20-May-2018_15:59:28 prac 7325 21 male R 1 2 5 immoralSelf immoralOther mismatch n m 0 0.7217 
20-May-2018_15:59:31 prac 7325 21 male R 1 2 6 immoralSelf moralOther mismatch n n 1 1.0089 
20-May-2018_15:59:33 prac 7325 21 male R 1 2 7 immoralOther immoralOther match m m 1 0.6258 
20-May-2018_15:59:35 prac 7325 21 male R 1 2 8 immoralOther immoralOther match m m 1 0.5672 
20-May-2018_15:59:37 prac 7325 21 male R 1 2 9 immoralOther moralOther mismatch n n 1 0.7431 
20-May-2018_15:59:40 prac 7325 21 male R 1 2 10 moralSelf moralSelf match m m 1 0.9988 
20-May-2018_15:59:42 prac 7325 21 male R 1 2 11 moralOther moralOther match m m 1 0.6196 
20-May-2018_15:59:45 prac 7325 21 male R 1 2 12 moralSelf moralOther mismatch n m 0 0.5887 
20-May-2018_15:59:47 prac 7325 21 male R 1 2 13 moralSelf moralSelf match m m 1 0.7411 
20-May-2018_15:59:49 prac 7325 21 male R 1 2 14 immoralOther immoralOther match m m 1 0.6768 
20-May-2018_15:59:52 prac 7325 21 male R 1 2 15 immoralSelf immoralSelf match m m 1 0.8351 
20-May-2018_15:59:54 prac 7325 21 male R 1 2 16 moralSelf immoralOther mismatch n n 1 0.5726 
20-May-2018_15:59:56 prac 7325 21 male R 1 2 17 immoralOther moralSelf mismatch n m 0 0.6606 
20-May-2018_15:59:59 prac 7325 21 male R 1 2 18 immoralSelf moralSelf mismatch n n 1 0.9187 
20-May-2018_16:00:01 prac 7325 21 male R 1 2 19 moralOther immoralSelf mismatch n n 1 0.6217 
20-May-2018_16:00:03 prac 7325 21 male R 1 2 20 immoralOther moralOther mismatch n n 1 0.7150 
20-May-2018_16:00:06 prac 7325 21 male R 1 2 21 moralOther moralOther match m n 0 0.5541 
20-May-2018_16:00:08 prac 7325 21 male R 1 2 22 immoralSelf immoralSelf match m m 1 0.7740 
20-May-2018_16:00:10 prac 7325 21 male R 1 2 23 moralOther moralOther match m m 1 0.8743 
20-May-2018_16:00:13 prac 7325 21 male R 1 2 24 moralOther moralSelf mismatch n n 1 0.8165 
