Date Sub Age Sex Hand Block Bin Trial Task Shape corrResp Resp ACC RT
10-May-2018_13:42:56 7308 20 female R 1 1 1 self immoralSelf H h 1 0.4923 
10-May-2018_13:42:58 7308 20 female R 1 1 2 self moralOther J j 1 0.5504 
10-May-2018_13:43:01 7308 20 female R 1 1 3 self immoralSelf H h 1 0.6325 
10-May-2018_13:43:02 7308 20 female R 1 1 4 self moralSelf H h 1 0.5107 
10-May-2018_13:43:04 7308 20 female R 1 1 5 self moralOther J j 1 0.7727 
10-May-2018_13:43:06 7308 20 female R 1 1 6 self immoralOther J j 1 0.5249 
10-May-2018_13:43:08 7308 20 female R 1 1 7 self moralSelf H h 1 0.5610 
10-May-2018_13:43:10 7308 20 female R 1 1 8 self moralOther J j 1 0.6711 
10-May-2018_13:43:12 7308 20 female R 1 1 9 self moralSelf H h 1 0.5732 
10-May-2018_13:43:14 7308 20 female R 1 1 10 self immoralOther J j 1 0.5014 
10-May-2018_13:43:15 7308 20 female R 1 1 11 self immoralSelf H h 1 0.3494 
10-May-2018_13:43:17 7308 20 female R 1 1 12 self moralOther J j 1 0.5855 
10-May-2018_13:43:19 7308 20 female R 1 1 13 self immoralOther J j 1 0.4456 
10-May-2018_13:43:21 7308 20 female R 1 1 14 self moralSelf H h 1 0.5497 
10-May-2018_13:43:22 7308 20 female R 1 1 15 self immoralOther J j 1 0.5519 
10-May-2018_13:43:24 7308 20 female R 1 1 16 self moralOther J j 1 0.6459 
10-May-2018_13:43:26 7308 20 female R 1 1 17 self moralOther J j 1 0.8740 
10-May-2018_13:43:28 7308 20 female R 1 1 18 self immoralOther J j 1 0.6382 
10-May-2018_13:43:30 7308 20 female R 1 1 19 self immoralSelf H h 1 0.4742 
10-May-2018_13:43:31 7308 20 female R 1 1 20 self immoralOther J j 1 0.5103 
10-May-2018_13:43:33 7308 20 female R 1 1 21 self moralSelf H h 1 0.4304 
10-May-2018_13:43:35 7308 20 female R 1 1 22 self immoralSelf H h 1 0.3585 
10-May-2018_13:43:37 7308 20 female R 1 1 23 self immoralSelf H h 1 0.5186 
10-May-2018_13:43:38 7308 20 female R 1 1 24 self moralSelf H h 1 0.3448 
10-May-2018_13:43:40 7308 20 female R 1 2 1 self immoralOther J j 1 0.4648 
10-May-2018_13:43:42 7308 20 female R 1 2 2 self immoralOther J j 1 0.3869 
10-May-2018_13:43:43 7308 20 female R 1 2 3 self moralSelf H h 1 0.5510 
10-May-2018_13:43:45 7308 20 female R 1 2 4 self immoralSelf H h 1 0.5591 
10-May-2018_13:43:47 7308 20 female R 1 2 5 self moralSelf H h 1 0.4092 
10-May-2018_13:43:48 7308 20 female R 1 2 6 self immoralSelf H h 1 0.3310 
10-May-2018_13:43:50 7308 20 female R 1 2 7 self immoralOther J h 0 0.3574 
10-May-2018_13:43:51 7308 20 female R 1 2 8 self moralOther J j 1 0.7395 
10-May-2018_13:43:53 7308 20 female R 1 2 9 self moralSelf H h 1 0.4876 
10-May-2018_13:43:55 7308 20 female R 1 2 10 self moralOther J j 1 0.4977 
10-May-2018_13:43:57 7308 20 female R 1 2 11 self immoralSelf H h 1 0.5758 
10-May-2018_13:43:58 7308 20 female R 1 2 12 self immoralSelf H h 1 0.6360 
10-May-2018_13:44:00 7308 20 female R 1 2 13 self immoralSelf H h 1 0.4339 
10-May-2018_13:44:02 7308 20 female R 1 2 14 self moralOther J j 1 0.2941 
10-May-2018_13:44:03 7308 20 female R 1 2 15 self immoralSelf H h 1 0.4582 
10-May-2018_13:44:05 7308 20 female R 1 2 16 self immoralOther J j 1 0.5522 
10-May-2018_13:44:07 7308 20 female R 1 2 17 self moralSelf H h 1 0.5264 
10-May-2018_13:44:09 7308 20 female R 1 2 18 self moralSelf H h 1 0.5384 
10-May-2018_13:44:11 7308 20 female R 1 2 19 self immoralOther J j 1 0.5005 
10-May-2018_13:44:12 7308 20 female R 1 2 20 self moralOther J j 1 0.4167 
10-May-2018_13:44:14 7308 20 female R 1 2 21 self moralOther J j 1 0.4647 
10-May-2018_13:44:16 7308 20 female R 1 2 22 self moralSelf H h 1 0.5130 
10-May-2018_13:44:18 7308 20 female R 1 2 23 self moralOther J h 0 0.4829 
10-May-2018_13:44:19 7308 20 female R 1 2 24 self immoralOther J j 1 0.8031 
10-May-2018_13:44:30 7308 20 female R 1 3 1 self moralOther J j 1 0.4316 
10-May-2018_13:44:32 7308 20 female R 1 3 2 self moralSelf H h 1 0.4578 
10-May-2018_13:44:34 7308 20 female R 1 3 3 self immoralSelf H h 1 0.5579 
10-May-2018_13:44:35 7308 20 female R 1 3 4 self immoralSelf H h 1 0.3379 
10-May-2018_13:44:36 7308 20 female R 1 3 5 self immoralSelf H h 1 0.4700 
10-May-2018_13:44:38 7308 20 female R 1 3 6 self moralSelf H h 1 0.4601 
10-May-2018_13:44:40 7308 20 female R 1 3 7 self moralOther J j 1 0.3742 
10-May-2018_13:44:42 7308 20 female R 1 3 8 self immoralOther J j 1 0.3803 
10-May-2018_13:44:43 7308 20 female R 1 3 9 self moralSelf H h 1 0.3844 
10-May-2018_13:44:45 7308 20 female R 1 3 10 self immoralOther J j 1 0.4086 
10-May-2018_13:44:47 7308 20 female R 1 3 11 self immoralOther J j 1 0.4087 
10-May-2018_13:44:49 7308 20 female R 1 3 12 self immoralOther J j 1 0.2927 
10-May-2018_13:44:50 7308 20 female R 1 3 13 self moralSelf H h 1 0.4148 
10-May-2018_13:44:52 7308 20 female R 1 3 14 self immoralOther J j 1 0.4789 
10-May-2018_13:44:54 7308 20 female R 1 3 15 self moralSelf H h 1 0.4130 
10-May-2018_13:44:56 7308 20 female R 1 3 16 self moralSelf H h 1 0.3712 
10-May-2018_13:44:58 7308 20 female R 1 3 17 self immoralOther J j 1 0.4492 
10-May-2018_13:45:00 7308 20 female R 1 3 18 self moralOther J j 1 0.7012 
10-May-2018_13:45:01 7308 20 female R 1 3 19 self moralOther J j 1 0.6134 
10-May-2018_13:45:03 7308 20 female R 1 3 20 self moralOther J j 1 0.4236 
10-May-2018_13:45:05 7308 20 female R 1 3 21 self immoralSelf H j 0 0.3176 
10-May-2018_13:45:06 7308 20 female R 1 3 22 self immoralSelf H j 0 0.4997 
10-May-2018_13:45:08 7308 20 female R 1 3 23 self immoralSelf H h 1 0.4339 
10-May-2018_13:45:10 7308 20 female R 1 3 24 self moralOther J h 0 0.3499 
10-May-2018_13:45:12 7308 20 female R 1 4 1 self moralSelf H h 1 0.4320 
10-May-2018_13:45:13 7308 20 female R 1 4 2 self immoralSelf H h 1 0.3442 
10-May-2018_13:45:15 7308 20 female R 1 4 3 self immoralOther J j 1 0.4462 
10-May-2018_13:45:17 7308 20 female R 1 4 4 self immoralSelf H h 1 0.5244 
10-May-2018_13:45:19 7308 20 female R 1 4 5 self immoralOther J j 1 0.5024 
10-May-2018_13:45:21 7308 20 female R 1 4 6 self moralSelf H h 1 0.4666 
10-May-2018_13:45:22 7308 20 female R 1 4 7 self moralSelf H h 1 0.3786 
10-May-2018_13:45:24 7308 20 female R 1 4 8 self immoralSelf H h 1 0.3526 
10-May-2018_13:45:25 7308 20 female R 1 4 9 self moralOther J j 1 0.4207 
10-May-2018_13:45:27 7308 20 female R 1 4 10 self moralSelf H h 1 0.4929 
10-May-2018_13:45:29 7308 20 female R 1 4 11 self immoralSelf H h 1 0.2930 
10-May-2018_13:45:31 7308 20 female R 1 4 12 self immoralOther J j 1 0.5051 
10-May-2018_13:45:33 7308 20 female R 1 4 13 self immoralSelf H h 1 0.4872 
10-May-2018_13:45:34 7308 20 female R 1 4 14 self immoralOther J j 1 0.3214 
10-May-2018_13:45:36 7308 20 female R 1 4 15 self moralSelf H h 1 0.3974 
10-May-2018_13:45:37 7308 20 female R 1 4 16 self immoralSelf H h 1 0.4876 
10-May-2018_13:45:39 7308 20 female R 1 4 17 self moralOther J j 1 0.4836 
10-May-2018_13:45:41 7308 20 female R 1 4 18 self moralOther J j 1 0.4857 
10-May-2018_13:45:43 7308 20 female R 1 4 19 self immoralOther J j 1 0.7078 
10-May-2018_13:45:45 7308 20 female R 1 4 20 self moralOther J j 1 0.5119 
10-May-2018_13:45:47 7308 20 female R 1 4 21 self moralSelf H h 1 0.3900 
10-May-2018_13:45:48 7308 20 female R 1 4 22 self immoralOther J j 1 0.4921 
10-May-2018_13:45:50 7308 20 female R 1 4 23 self moralOther J j 1 0.6982 
10-May-2018_13:45:52 7308 20 female R 1 4 24 self moralOther J j 1 0.5063 
10-May-2018_13:46:04 7308 20 female R 1 5 1 self moralOther J j 1 0.4664 
10-May-2018_13:46:06 7308 20 female R 1 5 2 self moralSelf H h 1 0.5170 
10-May-2018_13:46:07 7308 20 female R 1 5 3 self immoralOther J j 1 0.5552 
10-May-2018_13:46:09 7308 20 female R 1 5 4 self moralSelf H h 1 0.4352 
10-May-2018_13:46:11 7308 20 female R 1 5 5 self immoralOther J j 1 0.4494 
10-May-2018_13:46:12 7308 20 female R 1 5 6 self immoralOther J j 1 0.4395 
10-May-2018_13:46:14 7308 20 female R 1 5 7 self immoralOther J j 1 0.3115 
10-May-2018_13:46:15 7308 20 female R 1 5 8 self moralSelf H h 1 0.4636 
10-May-2018_13:46:17 7308 20 female R 1 5 9 self moralSelf H h 1 0.3538 
10-May-2018_13:46:18 7308 20 female R 1 5 10 self moralOther J j 1 0.6098 
10-May-2018_13:46:20 7308 20 female R 1 5 11 self moralOther J j 1 0.3999 
10-May-2018_13:46:22 7308 20 female R 1 5 12 self immoralSelf H h 1 0.4620 
10-May-2018_13:46:23 7308 20 female R 1 5 13 self immoralSelf H h 1 0.4822 
10-May-2018_13:46:25 7308 20 female R 1 5 14 self immoralSelf H h 1 0.4222 
10-May-2018_13:46:26 7308 20 female R 1 5 15 self immoralOther J j 1 0.4423 
10-May-2018_13:46:28 7308 20 female R 1 5 16 self moralOther J j 1 0.4024 
10-May-2018_13:46:30 7308 20 female R 1 5 17 self immoralSelf H h 1 0.5784 
10-May-2018_13:46:32 7308 20 female R 1 5 18 self moralOther J j 1 0.5866 
10-May-2018_13:46:34 7308 20 female R 1 5 19 self immoralSelf H h 1 0.5167 
10-May-2018_13:46:36 7308 20 female R 1 5 20 self moralOther J j 1 0.4809 
10-May-2018_13:46:38 7308 20 female R 1 5 21 self immoralOther J j 1 0.5189 
10-May-2018_13:46:39 7308 20 female R 1 5 22 self moralSelf H h 1 0.4891 
10-May-2018_13:46:41 7308 20 female R 1 5 23 self moralSelf H h 1 0.3331 
10-May-2018_13:46:43 7308 20 female R 1 5 24 self immoralSelf H h 1 0.6072 
Date Sub Age Sex Hand Block Bin Trial Task Shape corrResp Resp ACC RT
10-May-2018_13:49:24 7308 20 female R 2 1 1 moral immoralOther U u 1 0.5763 
10-May-2018_13:49:26 7308 20 female R 2 1 2 moral immoralOther U u 1 0.4504 
10-May-2018_13:49:28 7308 20 female R 2 1 3 moral immoralSelf U u 1 0.7145 
10-May-2018_13:49:29 7308 20 female R 2 1 4 moral moralSelf Y y 1 0.5367 
10-May-2018_13:49:31 7308 20 female R 2 1 5 moral moralOther Y y 1 0.4268 
10-May-2018_13:49:33 7308 20 female R 2 1 6 moral immoralSelf U u 1 0.6050 
10-May-2018_13:49:35 7308 20 female R 2 1 7 moral moralOther Y u 0 0.9770 
10-May-2018_13:49:38 7308 20 female R 2 1 8 moral moralOther Y y 1 0.6591 
10-May-2018_13:49:39 7308 20 female R 2 1 9 moral immoralSelf U u 1 0.5692 
