"SubjectID","Age","Gender","Handness","moralSelfShape","immoralSelfShape","moralOtherShape","immoralOtherShape","matchKey","mismatchKey","Block","Bin","Trial","Identity","Morality","Match","RT","ResponseKey","Accuracy"
"2027","20","male","R","Tra","C","S","P","N","M","1","1","14","self","immoral","nonmatch","0.7272","M","1"
"2027","20","male","R","Tra","C","S","P","N","M","1","1","15","other","moral","match","0.8534","N","1"
"2027","20","male","R","Tra","C","S","P","N","M","1","1","16","self","immoral","nonmatch","0.7316","M","1"
"2027","20","male","R","Tra","C","S","P","N","M","1","1","17","other","moral","nonmatch","0.8339","M","1"
"2027","20","male","R","Tra","C","S","P","N","M","1","1","18","other","moral","match","0.7841","N","1"
"2027","20","male","R","Tra","C","S","P","N","M","1","1","19","self","moral","match","0.7582","M","0"
"2027","20","male","R","Tra","C","S","P","N","M","1","1","20","self","immoral","match","0.6924","M","0"
"2027","20","male","R","Tra","C","S","P","N","M","1","1","21","other","immoral","match","0.7945","M","0"
"2027","20","male","R","Tra","C","S","P","N","M","1","1","22","self","immoral","match","0.8247","N","1"
"2027","20","male","R","Tra","C","S","P","N","M","1","1","23","other","immoral","match","1.0440",NA,"-1"
"2027","20","male","R","Tra","C","S","P","N","M","1","1","24","other","moral","match","0.8611","N","1"
"2027","20","male","R","Tra","C","S","P","N","M","1","2","1","self","immoral","nonmatch","1.0032","M","1"
"2027","20","male","R","Tra","C","S","P","N","M","1","2","2","other","immoral","match","0.7775","N","1"
"2027","20","male","R","Tra","C","S","P","N","M","1","2","3","other","immoral","nonmatch","0.6236","M","1"
"2027","20","male","R","Tra","C","S","P","N","M","1","2","4","other","immoral","match","0.5419","N","1"
"2027","20","male","R","Tra","C","S","P","N","M","1","2","5","other","moral","match","0.7881","M","0"
"2027","20","male","R","Tra","C","S","P","N","M","1","2","6","self","moral","match","0.8102","N","1"
"2027","20","male","R","Tra","C","S","P","N","M","1","2","7","self","immoral","match","0.7125","N","1"
"2027","20","male","R","Tra","C","S","P","N","M","1","2","8","self","moral","match","0.6786","N","1"
"2027","20","male","R","Tra","C","S","P","N","M","1","2","9","self","moral","nonmatch","0.6368","M","1"
"2027","20","male","R","Tra","C","S","P","N","M","1","2","10","self","moral","match","0.5470","N","1"
"2027","20","male","R","Tra","C","S","P","N","M","1","2","11","other","immoral","match","0.9852","N","1"
"2027","20","male","R","Tra","C","S","P","N","M","1","2","12","other","immoral","nonmatch","0.6873","M","1"
"2027","20","male","R","Tra","C","S","P","N","M","1","2","13","self","immoral","match","0.6454","N","1"
"2027","20","male","R","Tra","C","S","P","N","M","1","2","14","self","moral","nonmatch","0.7157","M","1"
"2027","20","male","R","Tra","C","S","P","N","M","1","2","15","other","moral","nonmatch","0.9459","N","0"
"2027","20","male","R","Tra","C","S","P","N","M","1","2","16","other","moral","nonmatch","0.6960","M","1"
"2027","20","male","R","Tra","C","S","P","N","M","1","2","17","other","moral","match","0.6222","N","1"
"2027","20","male","R","Tra","C","S","P","N","M","1","2","18","other","moral","nonmatch","0.5965","M","1"
"2027","20","male","R","Tra","C","S","P","N","M","1","2","19","self","immoral","nonmatch","1.0345","M","1"
"2027","20","male","R","Tra","C","S","P","N","M","1","2","20","other","immoral","nonmatch","0.7688","M","1"
"2027","20","male","R","Tra","C","S","P","N","M","1","2","21","self","immoral","match","0.5590","N","1"
"2027","20","male","R","Tra","C","S","P","N","M","1","2","22","other","moral","match","0.5651","M","0"
"2027","20","male","R","Tra","C","S","P","N","M","1","2","23","self","immoral","nonmatch","0.6914","M","1"
"2027","20","male","R","Tra","C","S","P","N","M","1","2","24","self","moral","nonmatch","0.8655","M","1"
"2027","20","male","R","Tra","C","S","P","N","M","1","3","1","other","immoral","nonmatch","1.0440",NA,"-1"
"2027","20","male","R","Tra","C","S","P","N","M","1","3","2","self","moral","match","0.8779","N","1"
"2027","20","male","R","Tra","C","S","P","N","M","1","3","3","self","moral","match","0.6121","N","1"
"2027","20","male","R","Tra","C","S","P","N","M","1","3","4","self","immoral","match","0.4743","N","1"
"2027","20","male","R","Tra","C","S","P","N","M","1","3","5","other","immoral","nonmatch","0.5204","M","1"
"2027","20","male","R","Tra","C","S","P","N","M","1","3","6","self","immoral","nonmatch","0.7586","N","0"
"2027","20","male","R","Tra","C","S","P","N","M","1","3","7","self","moral","nonmatch","0.7888","M","1"
"2027","20","male","R","Tra","C","S","P","N","M","1","3","8","other","moral","nonmatch","0.8830","M","1"
"2027","20","male","R","Tra","C","S","P","N","M","1","3","9","self","immoral","match","0.6413","N","1"
"2027","20","male","R","Tra","C","S","P","N","M","1","3","10","other","moral","nonmatch","0.6794","M","1"
"2027","20","male","R","Tra","C","S","P","N","M","1","3","11","other","immoral","match","0.6296","N","1"
"2027","20","male","R","Tra","C","S","P","N","M","1","3","12","other","moral","nonmatch","0.7797","M","1"
"2027","20","male","R","Tra","C","S","P","N","M","1","3","13","other","immoral","nonmatch","1.0179","M","1"
"2027","20","male","R","Tra","C","S","P","N","M","1","3","14","other","moral","match","0.8161","M","0"
"2027","20","male","R","Tra","C","S","P","N","M","1","3","15","self","moral","match","0.8703","N","1"
"2027","20","male","R","Tra","C","S","P","N","M","1","3","16","self","immoral","match","0.9645","M","0"
"2027","20","male","R","Tra","C","S","P","N","M","1","3","17","self","immoral","nonmatch","0.6666","M","1"
"2027","20","male","R","Tra","C","S","P","N","M","1","3","18","other","immoral","match","1.0408","N","1"
"2027","20","male","R","Tra","C","S","P","N","M","1","3","19","self","moral","nonmatch","0.7751","M","1"
"2027","20","male","R","Tra","C","S","P","N","M","1","3","20","other","immoral","match","0.8773","M","0"
"2027","20","male","R","Tra","C","S","P","N","M","1","3","21","self","moral","nonmatch","0.7234","M","1"
"2027","20","male","R","Tra","C","S","P","N","M","1","3","22","other","moral","match","0.9216","N","1"
"2027","20","male","R","Tra","C","S","P","N","M","1","3","23","other","moral","match","0.5998","N","1"
"2027","20","male","R","Tra","C","S","P","N","M","1","3","24","self","immoral","nonmatch","0.6699","M","1"
"2027","20","male","R","Tra","C","S","P","N","M","1","4","1","self","moral","nonmatch","0.7231","N","0"
"2027","20","male","R","Tra","C","S","P","N","M","1","4","2","other","immoral","match","0.7212","M","0"
"2027","20","male","R","Tra","C","S","P","N","M","1","4","3","self","immoral","match","0.6395","M","0"
"2027","20","male","R","Tra","C","S","P","N","M","1","4","4","other","moral","match","0.9496","N","1"
"2027","20","male","R","Tra","C","S","P","N","M","1","4","5","other","moral","match","0.8277","N","1"
"2027","20","male","R","Tra","C","S","P","N","M","1","4","6","other","immoral","nonmatch","0.8739","M","1"
"2027","20","male","R","Tra","C","S","P","N","M","1","4","7","self","immoral","nonmatch","0.9521","M","1"
"2027","20","male","R","Tra","C","S","P","N","M","1","4","8","other","immoral","match","0.8543","N","1"
"2027","20","male","R","Tra","C","S","P","N","M","1","4","9","other","immoral","match","0.6285","N","1"
"2027","20","male","R","Tra","C","S","P","N","M","1","4","10","self","immoral","nonmatch","0.7465","M","1"
"2027","20","male","R","Tra","C","S","P","N","M","1","4","11","self","moral","match","0.6728","N","1"
"2027","20","male","R","Tra","C","S","P","N","M","1","4","12","other","moral","match","0.7270","M","0"
"2027","20","male","R","Tra","C","S","P","N","M","1","4","13","self","immoral","nonmatch","0.7492","M","1"
"2027","20","male","R","Tra","C","S","P","N","M","1","4","14","self","moral","match","0.6035","N","1"
"2027","20","male","R","Tra","C","S","P","N","M","1","4","15","other","immoral","nonmatch","0.8736","M","1"
"2027","20","male","R","Tra","C","S","P","N","M","1","4","16","other","moral","nonmatch","0.9998","M","1"
