Date Sub Age Sex Hand Block Bin Trial Task Shape corrResp Resp ACC RT
07-Jun-2018_13:59:03 7343 20 female R 1 1 1 self immoralSelf J j 1 0.4173 
07-Jun-2018_13:59:04 7343 20 female R 1 1 2 self moralSelf J j 1 0.3854 
07-Jun-2018_13:59:06 7343 20 female R 1 1 3 self moralSelf J j 1 0.4410 
07-Jun-2018_13:59:08 7343 20 female R 1 1 4 self immoralOther H h 1 0.5394 
07-Jun-2018_13:59:10 7343 20 female R 1 1 5 self moralOther H h 1 0.5682 
07-Jun-2018_13:59:12 7343 20 female R 1 1 6 self immoralSelf J h 0 0.6295 
07-Jun-2018_13:59:14 7343 20 female R 1 1 7 self immoralSelf J j 1 0.5679 
07-Jun-2018_13:59:15 7343 20 female R 1 1 8 self moralSelf J j 1 0.6065 
07-Jun-2018_13:59:17 7343 20 female R 1 1 9 self immoralOther H h 1 0.5473 
07-Jun-2018_13:59:19 7343 20 female R 1 1 10 self moralOther H h 1 0.6750 
07-Jun-2018_13:59:21 7343 20 female R 1 1 11 self moralOther H h 1 0.5762 
07-Jun-2018_13:59:23 7343 20 female R 1 1 12 self moralSelf J h 0 0.8318 
07-Jun-2018_13:59:25 7343 20 female R 1 1 13 self immoralSelf J j 1 0.5533 
07-Jun-2018_13:59:27 7343 20 female R 1 1 14 self immoralOther H h 1 0.6447 
07-Jun-2018_13:59:29 7343 20 female R 1 1 15 self immoralSelf J j 1 0.5577 
07-Jun-2018_13:59:31 7343 20 female R 1 1 16 self moralSelf J j 1 0.4726 
07-Jun-2018_13:59:33 7343 20 female R 1 1 17 self immoralSelf J j 1 0.5028 
07-Jun-2018_13:59:34 7343 20 female R 1 1 18 self moralOther H j 0 0.1122 
07-Jun-2018_13:59:36 7343 20 female R 1 1 19 self immoralOther H h 1 0.3843 
07-Jun-2018_13:59:38 7343 20 female R 1 1 20 self moralSelf J j 1 0.3162 
07-Jun-2018_13:59:39 7343 20 female R 1 1 21 self moralOther H h 1 0.4899 
07-Jun-2018_13:59:41 7343 20 female R 1 1 22 self immoralOther H j 0 0.4011 
07-Jun-2018_13:59:43 7343 20 female R 1 1 23 self moralOther H h 1 0.5173 
07-Jun-2018_13:59:44 7343 20 female R 1 1 24 self immoralOther H h 1 0.5141 
07-Jun-2018_13:59:46 7343 20 female R 1 2 1 self moralOther H h 1 0.4973 
07-Jun-2018_13:59:48 7343 20 female R 1 2 2 self moralOther H h 1 0.3886 
07-Jun-2018_13:59:49 7343 20 female R 1 2 3 self moralSelf J h 0 0.4099 
07-Jun-2018_13:59:51 7343 20 female R 1 2 4 self moralSelf J j 1 0.5158 
07-Jun-2018_13:59:53 7343 20 female R 1 2 5 self immoralSelf J j 1 0.5681 
07-Jun-2018_13:59:54 7343 20 female R 1 2 6 self immoralSelf J j 1 0.4920 
07-Jun-2018_13:59:56 7343 20 female R 1 2 7 self immoralSelf J j 1 0.2779 
07-Jun-2018_13:59:58 7343 20 female R 1 2 8 self moralSelf J j 1 0.3401 
07-Jun-2018_14:00:00 7343 20 female R 1 2 9 self immoralSelf J h 0 0.2804 
07-Jun-2018_14:00:01 7343 20 female R 1 2 10 self moralOther H j 0 0.3482 
07-Jun-2018_14:00:03 7343 20 female R 1 2 11 self immoralOther H h 1 0.6406 
07-Jun-2018_14:00:05 7343 20 female R 1 2 12 self moralOther H h 1 0.5805 
07-Jun-2018_14:00:06 7343 20 female R 1 2 13 self immoralOther H h 1 0.4294 
07-Jun-2018_14:00:08 7343 20 female R 1 2 14 self immoralOther H h 1 0.4874 
07-Jun-2018_14:00:10 7343 20 female R 1 2 15 self moralSelf J j 1 0.6112 
07-Jun-2018_14:00:12 7343 20 female R 1 2 16 self moralSelf J j 1 0.4715 
07-Jun-2018_14:00:14 7343 20 female R 1 2 17 self immoralSelf J j 1 0.4462 
07-Jun-2018_14:00:15 7343 20 female R 1 2 18 self immoralOther H j 0 0.4142 
07-Jun-2018_14:00:17 7343 20 female R 1 2 19 self immoralOther H h 1 0.4119 
07-Jun-2018_14:00:19 7343 20 female R 1 2 20 self moralSelf J h 0 0.3743 
07-Jun-2018_14:00:20 7343 20 female R 1 2 21 self immoralSelf J j 1 0.3876 
07-Jun-2018_14:00:22 7343 20 female R 1 2 22 self moralOther H h 1 0.5016 
07-Jun-2018_14:00:24 7343 20 female R 1 2 23 self moralOther H h 1 0.6442 
07-Jun-2018_14:00:26 7343 20 female R 1 2 24 self immoralOther H h 1 0.5149 
07-Jun-2018_14:01:15 7343 20 female R 1 3 1 self moralSelf J j 1 0.4746 
07-Jun-2018_14:01:17 7343 20 female R 1 3 2 self moralOther H h 1 0.5725 
07-Jun-2018_14:01:18 7343 20 female R 1 3 3 self immoralSelf J j 1 0.3693 
07-Jun-2018_14:01:20 7343 20 female R 1 3 4 self moralOther H j 0 0.5060 
07-Jun-2018_14:01:22 7343 20 female R 1 3 5 self moralSelf J j 1 0.5953 
07-Jun-2018_14:01:24 7343 20 female R 1 3 6 self immoralSelf J j 1 0.3060 
07-Jun-2018_14:01:25 7343 20 female R 1 3 7 self immoralOther H h 1 0.3564 
07-Jun-2018_14:01:27 7343 20 female R 1 3 8 self immoralOther H h 1 0.3848 
07-Jun-2018_14:01:28 7343 20 female R 1 3 9 self immoralOther H h 1 0.3448 
07-Jun-2018_14:01:29 7343 20 female R 1 3 10 self immoralSelf J j 1 0.4281 
07-Jun-2018_14:01:31 7343 20 female R 1 3 11 self immoralSelf J j 1 0.3872 
07-Jun-2018_14:01:33 7343 20 female R 1 3 12 self immoralOther H h 1 0.5953 
07-Jun-2018_14:01:34 7343 20 female R 1 3 13 self immoralOther H h 1 0.5493 
07-Jun-2018_14:01:36 7343 20 female R 1 3 14 self immoralOther H h 1 0.4139 
07-Jun-2018_14:01:37 7343 20 female R 1 3 15 self immoralSelf J j 1 0.4732 
07-Jun-2018_14:01:39 7343 20 female R 1 3 16 self moralSelf J j 1 0.4808 
07-Jun-2018_14:01:41 7343 20 female R 1 3 17 self moralOther H h 1 0.4921 
07-Jun-2018_14:01:43 7343 20 female R 1 3 18 self moralSelf J j 1 0.4084 
07-Jun-2018_14:01:45 7343 20 female R 1 3 19 self moralOther H h 1 0.5022 
07-Jun-2018_14:01:46 7343 20 female R 1 3 20 self immoralSelf J j 1 0.4218 
07-Jun-2018_14:01:48 7343 20 female R 1 3 21 self moralSelf J j 1 0.4849 
07-Jun-2018_14:01:50 7343 20 female R 1 3 22 self moralOther H h 1 0.4718 
07-Jun-2018_14:01:51 7343 20 female R 1 3 23 self moralSelf J j 1 0.4092 
07-Jun-2018_14:01:53 7343 20 female R 1 3 24 self moralOther H h 1 0.5232 
07-Jun-2018_14:01:55 7343 20 female R 1 4 1 self moralOther H h 1 0.5087 
07-Jun-2018_14:01:56 7343 20 female R 1 4 2 self moralOther H h 1 0.3412 
07-Jun-2018_14:01:58 7343 20 female R 1 4 3 self immoralOther H h 1 0.6039 
07-Jun-2018_14:02:00 7343 20 female R 1 4 4 self immoralSelf J j 1 0.3889 
07-Jun-2018_14:02:02 7343 20 female R 1 4 5 self moralOther H h 1 0.4854 
07-Jun-2018_14:02:03 7343 20 female R 1 4 6 self immoralSelf J j 1 0.4766 
07-Jun-2018_14:02:05 7343 20 female R 1 4 7 self immoralOther H h 1 0.4268 
07-Jun-2018_14:02:07 7343 20 female R 1 4 8 self moralSelf J h 0 0.3609 
07-Jun-2018_14:02:08 7343 20 female R 1 4 9 self moralSelf J h 0 0.4236 
07-Jun-2018_14:02:10 7343 20 female R 1 4 10 self moralOther H h 1 0.5262 
07-Jun-2018_14:02:12 7343 20 female R 1 4 11 self immoralOther H h 1 0.6526 
07-Jun-2018_14:02:13 7343 20 female R 1 4 12 self immoralSelf J j 1 0.4917 
07-Jun-2018_14:02:15 7343 20 female R 1 4 13 self immoralOther H h 1 0.6371 
07-Jun-2018_14:02:17 7343 20 female R 1 4 14 self moralSelf J j 1 0.5144 
07-Jun-2018_14:02:19 7343 20 female R 1 4 15 self immoralSelf J j 1 0.4946 
07-Jun-2018_14:02:20 7343 20 female R 1 4 16 self immoralSelf J j 1 0.3813 
07-Jun-2018_14:02:22 7343 20 female R 1 4 17 self immoralOther H h 1 0.5108 
07-Jun-2018_14:02:24 7343 20 female R 1 4 18 self immoralOther H h 1 0.5640 
07-Jun-2018_14:02:26 7343 20 female R 1 4 19 self moralOther H h 1 0.7463 
07-Jun-2018_14:02:27 7343 20 female R 1 4 20 self moralSelf J j 1 0.4800 
07-Jun-2018_14:02:29 7343 20 female R 1 4 21 self moralOther H h 1 0.5915 
07-Jun-2018_14:02:31 7343 20 female R 1 4 22 self moralSelf J j 1 0.5093 
07-Jun-2018_14:02:33 7343 20 female R 1 4 23 self immoralSelf J j 1 0.3131 
