Date Sub Age Sex Hand Block Bin Trial Task Shape corrResp Resp ACC RT
30-May-2018_15:59:48 7332 20 female R 1 1 1 self moralOther J h 0 1.0076 
30-May-2018_15:59:50 7332 20 female R 1 1 2 self immoralSelf H h 1 0.9657 
30-May-2018_15:59:52 7332 20 female R 1 1 3 self immoralSelf H j 0 1.0058 
30-May-2018_15:59:54 7332 20 female R 1 1 4 self immoralOther J j 1 0.7579 
30-May-2018_15:59:56 7332 20 female R 1 1 5 self immoralOther J j 1 0.6080 
30-May-2018_15:59:58 7332 20 female R 1 1 6 self moralSelf H h 1 0.6682 
30-May-2018_16:00:00 7332 20 female R 1 1 7 self immoralSelf H h 1 0.6064 
30-May-2018_16:00:02 7332 20 female R 1 1 8 self moralOther J j 1 0.4244 
30-May-2018_16:00:04 7332 20 female R 1 1 9 self moralOther J j 1 0.5665 
30-May-2018_16:00:05 7332 20 female R 1 1 10 self immoralOther J j 1 0.6706 
30-May-2018_16:00:08 7332 20 female R 1 1 11 self moralSelf H h 1 0.9287 
30-May-2018_16:00:10 7332 20 female R 1 1 12 self moralOther J j 1 0.6968 
30-May-2018_16:00:12 7332 20 female R 1 1 13 self immoralOther J NA -1 1.1570 
30-May-2018_16:00:13 7332 20 female R 1 1 14 self moralOther J j 1 0.1004 
30-May-2018_16:00:15 7332 20 female R 1 1 15 self immoralSelf H h 1 0.7112 
30-May-2018_16:00:17 7332 20 female R 1 1 16 self immoralSelf H h 1 0.7773 
30-May-2018_16:00:19 7332 20 female R 1 1 17 self moralSelf H h 1 0.4274 
30-May-2018_16:00:20 7332 20 female R 1 1 18 self moralSelf H h 1 0.3895 
30-May-2018_16:00:22 7332 20 female R 1 1 19 self immoralOther J j 1 0.3236 
30-May-2018_16:00:23 7332 20 female R 1 1 20 self moralOther J j 1 0.4497 
30-May-2018_16:00:25 7332 20 female R 1 1 21 self immoralOther J j 1 0.5758 
30-May-2018_16:00:27 7332 20 female R 1 1 22 self moralSelf H h 1 0.5278 
30-May-2018_16:00:28 7332 20 female R 1 1 23 self moralSelf H h 1 0.4599 
30-May-2018_16:00:30 7332 20 female R 1 1 24 self immoralSelf H h 1 0.5201 
30-May-2018_16:00:32 7332 20 female R 1 2 1 self moralOther J j 1 0.6822 
30-May-2018_16:00:34 7332 20 female R 1 2 2 self moralOther J j 1 0.5843 
30-May-2018_16:00:35 7332 20 female R 1 2 3 self moralSelf H h 1 0.5544 
30-May-2018_16:00:37 7332 20 female R 1 2 4 self immoralOther J h 0 0.3704 
30-May-2018_16:00:38 7332 20 female R 1 2 5 self moralOther J j 1 0.7925 
30-May-2018_16:00:40 7332 20 female R 1 2 6 self moralSelf H h 1 0.4766 
30-May-2018_16:00:42 7332 20 female R 1 2 7 self moralOther J j 1 0.5708 
30-May-2018_16:00:44 7332 20 female R 1 2 8 self immoralSelf H h 1 0.6949 
30-May-2018_16:00:46 7332 20 female R 1 2 9 self immoralSelf H h 1 0.5090 
30-May-2018_16:00:47 7332 20 female R 1 2 10 self moralSelf H h 1 0.4050 
30-May-2018_16:00:49 7332 20 female R 1 2 11 self moralOther J j 1 0.5672 
30-May-2018_16:00:51 7332 20 female R 1 2 12 self immoralOther J h 0 0.6653 
30-May-2018_16:00:53 7332 20 female R 1 2 13 self immoralOther J j 1 0.5154 
30-May-2018_16:00:55 7332 20 female R 1 2 14 self immoralSelf H h 1 0.5035 
