Date Prac Sub Age Sex Hand Block Bin Trial Shape Label Match CorrResp Resp ACC RT
02-Jun-2018_13:43:11 prac 73370 18 female R 1 1 8 immoralOther immoralOther match n n 1 0.6258 
02-Jun-2018_13:43:13 prac 73370 18 female R 1 1 9 immoralSelf moralSelf mismatch m m 1 0.7671 
02-Jun-2018_13:43:16 prac 73370 18 female R 1 1 10 immoralOther immoralOther match n NA -1 1.0841 
02-Jun-2018_13:43:18 prac 73370 18 female R 1 1 11 moralOther immoralSelf mismatch m m 1 0.6816 
02-Jun-2018_13:43:21 prac 73370 18 female R 1 1 12 moralOther moralOther match n n 1 0.7961 
02-Jun-2018_13:43:23 prac 73370 18 female R 1 1 13 immoralSelf immoralSelf match n m 0 0.5567 
02-Jun-2018_13:43:25 prac 73370 18 female R 1 1 14 moralSelf immoralOther mismatch m m 1 0.9845 
02-Jun-2018_13:43:28 prac 73370 18 female R 1 1 15 immoralSelf moralSelf mismatch m n 0 0.8928 
02-Jun-2018_13:43:30 prac 73370 18 female R 1 1 16 immoralOther immoralOther match n m 0 0.6836 
02-Jun-2018_13:43:33 prac 73370 18 female R 1 1 17 moralSelf immoralOther mismatch m NA -1 1.0841 
02-Jun-2018_13:43:35 prac 73370 18 female R 1 1 18 moralSelf moralSelf match n n 1 0.8405 
02-Jun-2018_13:43:38 prac 73370 18 female R 1 1 19 moralOther immoralSelf mismatch m n 0 0.9621 
02-Jun-2018_13:43:40 prac 73370 18 female R 1 1 20 moralSelf moralSelf match n n 1 0.8341 
02-Jun-2018_13:43:43 prac 73370 18 female R 1 1 21 moralSelf moralSelf match n m 0 0.9156 
02-Jun-2018_13:43:46 prac 73370 18 female R 1 1 22 moralOther moralOther match n NA -1 1.0841 
02-Jun-2018_13:43:48 prac 73370 18 female R 1 1 23 immoralOther moralOther mismatch m n 0 0.8613 
02-Jun-2018_13:43:51 prac 73370 18 female R 1 1 24 immoralSelf immoralSelf match n n 1 0.8153 
02-Jun-2018_13:43:53 prac 73370 18 female R 1 2 1 immoralOther immoralOther match n m 0 0.6446 
02-Jun-2018_13:43:56 prac 73370 18 female R 1 2 2 moralOther moralSelf mismatch m m 1 1.0502 
02-Jun-2018_13:43:58 prac 73370 18 female R 1 2 3 immoralSelf immoralSelf match n NA -1 1.0841 
02-Jun-2018_13:44:01 prac 73370 18 female R 1 2 4 moralSelf moralSelf match n n 1 0.7545 
02-Jun-2018_13:44:03 prac 73370 18 female R 1 2 5 moralOther immoralOther mismatch m m 1 1.0544 
02-Jun-2018_13:44:06 prac 73370 18 female R 1 2 6 moralSelf moralSelf match n m 0 1.0682 
02-Jun-2018_13:44:09 prac 73370 18 female R 1 2 7 immoralOther immoralSelf mismatch m m 1 0.8903 
02-Jun-2018_13:44:11 prac 73370 18 female R 1 2 8 immoralSelf moralOther mismatch m NA -1 1.0841 
02-Jun-2018_13:44:14 prac 73370 18 female R 1 2 9 moralOther immoralSelf mismatch m n 0 1.0553 
02-Jun-2018_13:44:16 prac 73370 18 female R 1 2 10 immoralSelf immoralSelf match n n 1 0.7330 
02-Jun-2018_13:44:19 prac 73370 18 female R 1 2 11 moralSelf moralSelf match n n 1 0.7044 
02-Jun-2018_13:44:21 prac 73370 18 female R 1 2 12 immoralSelf immoralSelf match n n 1 0.6913 
02-Jun-2018_13:44:23 prac 73370 18 female R 1 2 13 moralSelf immoralOther mismatch m m 1 0.6260 
02-Jun-2018_13:44:26 prac 73370 18 female R 1 2 14 moralOther moralOther match n NA -1 1.0841 
02-Jun-2018_13:44:28 prac 73370 18 female R 1 2 15 immoralOther moralSelf mismatch m m 1 0.5858 
02-Jun-2018_13:44:31 prac 73370 18 female R 1 2 16 moralSelf immoralSelf mismatch m NA -1 1.0841 
02-Jun-2018_13:44:34 prac 73370 18 female R 1 2 17 immoralOther immoralOther match n n 1 0.8368 
02-Jun-2018_13:44:36 prac 73370 18 female R 1 2 18 moralOther moralOther match n m 0 0.8944 
02-Jun-2018_13:44:38 prac 73370 18 female R 1 2 19 moralOther moralOther match n n 1 0.6930 
02-Jun-2018_13:44:41 prac 73370 18 female R 1 2 20 immoralOther immoralSelf mismatch m m 1 0.8037 
02-Jun-2018_13:44:43 prac 73370 18 female R 1 2 21 immoralSelf moralSelf mismatch m n 0 0.7925 
02-Jun-2018_13:44:46 prac 73370 18 female R 1 2 22 immoralOther immoralOther match n NA -1 1.0841 
02-Jun-2018_13:44:48 prac 73370 18 female R 1 2 23 immoralSelf moralSelf mismatch m m 1 0.7235 
