Date Prac Sub Age Sex Hand Block Bin Trial Shape Label Match CorrResp Resp ACC RT
31-May-2018_15:19:14 prac 7335 20 female R 1 1 1 moralSelf moralOther mismatch n NA -1 1.0850 
31-May-2018_15:19:16 prac 7335 20 female R 1 1 2 moralSelf moralSelf match m NA -1 1.0850 
31-May-2018_15:19:19 prac 7335 20 female R 1 1 3 moralSelf immoralSelf mismatch n NA -1 1.0850 
31-May-2018_15:19:22 prac 7335 20 female R 1 1 4 moralOther immoralSelf mismatch n m 0 0.8000 
31-May-2018_15:19:24 prac 7335 20 female R 1 1 5 moralOther moralOther match m n 0 0.4001 
31-May-2018_15:19:26 prac 7335 20 female R 1 1 6 immoralOther moralSelf mismatch n m 0 0.3823 
31-May-2018_15:19:28 prac 7335 20 female R 1 1 7 immoralOther immoralOther match m n 0 0.1963 
31-May-2018_15:19:30 prac 7335 20 female R 1 1 8 immoralOther moralOther mismatch n NA -1 1.0851 
31-May-2018_15:19:32 prac 7335 20 female R 1 1 9 immoralOther immoralSelf mismatch n m 0 0.3467 
31-May-2018_15:19:34 prac 7335 20 female R 1 1 10 immoralSelf immoralSelf match m n 0 0.2308 
31-May-2018_15:19:36 prac 7335 20 female R 1 1 11 moralOther immoralOther mismatch n m 0 0.1869 
31-May-2018_15:19:39 prac 7335 20 female R 1 1 12 immoralSelf immoralSelf match m NA -1 1.0850 
31-May-2018_15:19:41 prac 7335 20 female R 1 1 13 moralOther immoralOther mismatch n m 0 0.2753 
31-May-2018_15:19:43 prac 7335 20 female R 1 1 14 immoralSelf moralSelf mismatch n NA -1 1.0850 
31-May-2018_15:19:46 prac 7335 20 female R 1 1 15 moralOther moralOther match m NA -1 1.0850 
31-May-2018_15:19:48 prac 7335 20 female R 1 1 16 moralSelf moralSelf match m n 0 0.1102 
31-May-2018_15:19:50 prac 7335 20 female R 1 1 17 moralSelf moralSelf match m m 1 0.2556 
31-May-2018_15:19:51 prac 7335 20 female R 1 1 18 moralOther moralOther match m m 1 0.2718 
31-May-2018_15:19:53 prac 7335 20 female R 1 1 19 immoralOther immoralOther match m m 1 0.2278 
31-May-2018_15:19:55 prac 7335 20 female R 1 1 20 immoralSelf immoralOther mismatch n m 0 0.1999 
31-May-2018_15:19:57 prac 7335 20 female R 1 1 21 moralSelf moralOther mismatch n n 1 0.1303 
31-May-2018_15:19:59 prac 7335 20 female R 1 1 22 immoralSelf moralSelf mismatch n m 0 0.1942 
31-May-2018_15:20:01 prac 7335 20 female R 1 1 23 immoralSelf immoralSelf match m n 0 0.2543 
31-May-2018_15:20:03 prac 7335 20 female R 1 1 24 immoralOther immoralOther match m NA -1 1.0850 
31-May-2018_15:20:05 prac 7335 20 female R 1 2 1 moralSelf moralOther mismatch n m 0 0.2145 
31-May-2018_15:20:07 prac 7335 20 female R 1 2 2 moralSelf moralSelf match m m 1 0.3347 
31-May-2018_15:20:09 prac 7335 20 female R 1 2 3 immoralSelf immoralSelf match m m 1 0.3507 
31-May-2018_15:20:11 prac 7335 20 female R 1 2 4 moralOther immoralOther mismatch n m 0 0.4671 
31-May-2018_15:20:13 prac 7335 20 female R 1 2 5 immoralSelf immoralOther mismatch n n 1 0.1690 
31-May-2018_15:20:15 prac 7335 20 female R 1 2 6 immoralSelf moralOther mismatch n n 1 0.1102 
31-May-2018_15:20:17 prac 7335 20 female R 1 2 7 immoralOther immoralOther match m n 0 0.1892 
31-May-2018_15:20:19 prac 7335 20 female R 1 2 8 immoralOther immoralOther match m NA -1 1.0850 
31-May-2018_15:20:22 prac 7335 20 female R 1 2 9 immoralOther moralOther mismatch n NA -1 1.0849 
31-May-2018_15:20:24 prac 7335 20 female R 1 2 10 moralSelf moralSelf match m m 1 0.2217 
31-May-2018_15:20:26 prac 7335 20 female R 1 2 11 moralOther moralOther match m m 1 0.1957 
31-May-2018_15:20:28 prac 7335 20 female R 1 2 12 moralSelf moralOther mismatch n m 0 0.3278 
31-May-2018_15:20:29 prac 7335 20 female R 1 2 13 moralSelf moralSelf match m n 0 0.1919 
31-May-2018_15:20:31 prac 7335 20 female R 1 2 14 immoralOther immoralOther match m m 1 0.2120 
31-May-2018_15:20:33 prac 7335 20 female R 1 2 15 immoralSelf immoralSelf match m m 1 0.1102 
31-May-2018_15:20:35 prac 7335 20 female R 1 2 16 moralSelf immoralOther mismatch n m 0 0.1842 
31-May-2018_15:20:37 prac 7335 20 female R 1 2 17 immoralOther moralSelf mismatch n m 0 0.1663 
31-May-2018_15:20:38 prac 7335 20 female R 1 2 18 immoralSelf moralSelf mismatch n n 1 0.1102 
31-May-2018_15:20:40 prac 7335 20 female R 1 2 19 moralOther immoralSelf mismatch n n 1 0.3165 
31-May-2018_15:20:42 prac 7335 20 female R 1 2 20 immoralOther moralOther mismatch n n 1 0.2484 
31-May-2018_15:20:44 prac 7335 20 female R 1 2 21 moralOther moralOther match m m 1 0.1929 
31-May-2018_15:20:46 prac 7335 20 female R 1 2 22 immoralSelf immoralSelf match m n 0 0.1969 
31-May-2018_15:20:48 prac 7335 20 female R 1 2 23 moralOther moralOther match m m 1 0.2011 
31-May-2018_15:20:49 prac 7335 20 female R 1 2 24 moralOther moralSelf mismatch n m 0 0.1790 
Date Prac Sub Age Sex Hand Block Bin Trial Shape Label Match CorrResp Resp ACC RT
31-May-2018_15:21:56 prac 7335 20 female R 1 1 1 immoralSelf immoralSelf match m m 1 0.6849 
31-May-2018_15:21:58 prac 7335 20 female R 1 1 2 immoralSelf moralOther mismatch n m 0 0.3650 
31-May-2018_15:22:00 prac 7335 20 female R 1 1 3 moralOther moralOther match m n 0 0.3831 
31-May-2018_15:22:03 prac 7335 20 female R 1 1 4 moralSelf immoralOther mismatch n NA -1 1.0850 
31-May-2018_15:22:04 prac 7335 20 female R 1 1 5 immoralOther moralSelf mismatch n m 0 0.2074 
31-May-2018_15:22:06 prac 7335 20 female R 1 1 6 immoralOther moralSelf mismatch n n 1 0.2155 
31-May-2018_15:22:08 prac 7335 20 female R 1 1 7 moralOther immoralOther mismatch n n 1 0.1996 
31-May-2018_15:22:10 prac 7335 20 female R 1 1 8 immoralOther immoralOther match m n 0 0.2977 
31-May-2018_15:22:12 prac 7335 20 female R 1 1 9 immoralSelf moralSelf mismatch n m 0 0.1918 
31-May-2018_15:22:14 prac 7335 20 female R 1 1 10 immoralOther immoralOther match m n 0 0.1102 
31-May-2018_15:22:16 prac 7335 20 female R 1 1 11 moralOther immoralSelf mismatch n NA -1 1.0850 
31-May-2018_15:22:19 prac 7335 20 female R 1 1 12 moralOther moralOther match m NA -1 1.0850 
31-May-2018_15:22:21 prac 7335 20 female R 1 1 13 immoralSelf immoralSelf match m n 0 0.3244 
31-May-2018_15:22:23 prac 7335 20 female R 1 1 14 moralSelf immoralOther mismatch n n 1 0.2384 
31-May-2018_15:22:25 prac 7335 20 female R 1 1 15 immoralSelf moralSelf mismatch n n 1 0.2244 
31-May-2018_15:22:27 prac 7335 20 female R 1 1 16 immoralOther immoralOther match m n 0 0.2946 
31-May-2018_15:22:28 prac 7335 20 female R 1 1 17 moralSelf immoralOther mismatch n m 0 0.1102 
31-May-2018_15:22:30 prac 7335 20 female R 1 1 18 moralSelf moralSelf match m n 0 0.1102 
31-May-2018_15:22:33 prac 7335 20 female R 1 1 19 moralOther immoralSelf mismatch n NA -1 1.0850 
31-May-2018_15:22:35 prac 7335 20 female R 1 1 20 moralSelf moralSelf match m m 1 0.1102 
31-May-2018_15:22:36 prac 7335 20 female R 1 1 21 moralSelf moralSelf match m m 1 0.2612 
31-May-2018_15:22:38 prac 7335 20 female R 1 1 22 moralOther moralOther match m n 0 0.2272 
31-May-2018_15:22:40 prac 7335 20 female R 1 1 23 immoralOther moralOther mismatch n m 0 0.2555 
