"subject","Mixed_Forg","Mixed_Mem","SS3_Forg","SS3_Mem","SS6_Forg","SS6_Mem"
"5934fb0a67011200014d3a50",0.840277777777778,0.989583333333333,0.9375,0.951388888888889,0.878472222222222,0.850694444444445
"5b0dfcef9663ee000145af34",0.850694444444445,0.895833333333333,0.902777777777778,1,0.746527777777778,0.993055555555556
"5b66358e9ed653000189c427",0.888888888888889,0.847222222222222,0.833333333333333,1,0.802083333333333,0.916666666666667
"5b6e92eaea3c210001a0fa78",0.965277777777778,0.996527777777778,1,1,0.840277777777778,0.993055555555556
"5ba7a90d168e5e0001e47228",0.767361111111111,0.958333333333333,0.798611111111111,0.996527777777778,0.927083333333333,0.895833333333333
"5bdfb648484288000130dad0",0.833333333333333,0.826388888888889,0.583333333333333,1,0.743055555555555,0.569444444444444
"5c0ebe2eac685b0001cb1056",0.913194444444444,0.972222222222222,1,1,0.875,0.833333333333333
"5c4ea7c3889752000156ddc5",0.628472222222222,0.850694444444445,0.909722222222222,0.916666666666667,0.78125,0.527777777777778
"5c74e714fc0a2500168face3",0.979166666666667,0.96875,1,1,0.888888888888889,0.982638888888889
"5d17ce93ac37cd0019535088",0.65625,0.784722222222222,0.635416666666667,0.711805555555556,0.565972222222222,0.659722222222222
"5d4a41890e604c00011ade8b",0.736111111111111,0.965277777777778,0.930555555555556,1,0.965277777777778,0.822916666666667
"5d55d562e04e1c0001f5e682",0.791666666666667,1,0.996527777777778,1,1,0.982638888888889
"5da7c6ecd11d560015a3d1da",0.704861111111111,0.763888888888889,0.940972222222222,0.996527777777778,0.666666666666667,0.809027777777778
"5dfdc45e617219a8e2e05c26",0.947916666666667,0.913194444444444,0.878472222222222,1,0.8125,0.895833333333333
"5e0e1b8800a6bf000a694f79",0.875,1,1,1,0.819444444444444,0.996527777777778
"5e45a7e926e79c000bc12a85",0.895833333333333,0.895833333333333,1,1,0.819444444444444,1
"5e555e3152f93b5508f5bc16",0.965277777777778,0.704861111111111,0.916666666666667,0.993055555555556,0.701388888888889,0.829861111111111
"5e6685e1ffed4c405a4db5d0",0.833333333333333,0.902777777777778,0.920138888888889,0.951388888888889,0.770833333333333,0.784722222222222
"5e8d44819163b611f62d706c",0.84375,0.9375,0.989583333333333,1,0.6875,0.840277777777778
"5ea92954ef7ece00096faf5a",0.892361111111111,1,1,1,0.833333333333333,1
"5ea9827240571b08ad6a34d3",0.868055555555555,0.885416666666667,0.885416666666667,1,0.861111111111111,0.923611111111111
"5ebb96b6cd673a0008ace9ce",0.861111111111111,0.958333333333333,1,1,0.909722222222222,0.9375
"5ec47b2d91b37736ce88f3d6",0.9375,0.979166666666667,1,1,0.954861111111111,0.864583333333333
"5ecc0ae50cf6970c228a6bd6",0.944444444444444,0.899305555555556,0.958333333333333,1,0.871527777777778,0.958333333333333
"5edae378ee23db749f279490",0.90625,1,0.958333333333333,1,0.868055555555555,0.958333333333333
"5edfb0770fb0722aa3839b6d",0.763888888888889,0.885416666666667,0.996527777777778,1,0.770833333333333,0.993055555555555
"5ee150a384b8a1164fef6273",0.739583333333333,0.857638888888889,0.909722222222222,0.975694444444444,0.833333333333333,0.916666666666667
"5ee81189280cdb1163476b2b",0.711805555555555,0.802083333333333,0.982638888888889,1,0.850694444444444,0.815972222222222
"5ef4c41cdcd6b209fa060f4a",0.868055555555556,0.954861111111111,0.902777777777778,1,0.736111111111111,0.934027777777778
"5efa5e5318bc3f88c33c96d3",0.951388888888889,0.996527777777778,0.996527777777778,1,0.982638888888889,0.909722222222222
"5f0e28b536c61b1430d2248e",0.916666666666667,1,1,1,0.881944444444445,0.965277777777778
"5f29db79a451971822d81b6b",0.590277777777778,0.819444444444444,0.9375,0.878472222222222,0.760416666666667,0.840277777777778
"5f29dfe7512c2817f7957e1a",0.763888888888889,0.861111111111111,0.993055555555556,1,0.826388888888889,0.836805555555555
"5f3ac1732efa0a74f975b1a8",0.916666666666667,1,0.993055555555556,1,1,1
"5f4b395013fe2f6ffcd95151",0.621527777777778,0.479166666666667,0.517361111111111,0.892361111111111,0.479166666666667,0.555555555555555
"5f4e840d4450000871b57da0",0.625,0.947916666666667,0.982638888888889,1,0.861111111111111,0.777777777777778
"5f556bd46e6c4c93a5a90c77",0.986111111111111,0.996527777777778,0.996527777777778,1,0.913194444444445,0.947916666666667
"5f5b0f1be585c32184a4cf35",0.9375,0.909722222222222,1,1,0.947916666666667,0.833333333333333
"5f6c102b6ec04317fc9a8127",0.395833333333333,0.909722222222222,0.625,0.590277777777778,0.472222222222222,0.586805555555556
"5f6cdde7a8d71310b06e402a",0.447916666666667,0.597222222222222,0.701388888888889,0.857638888888889,0.541666666666667,0.631944444444444
"5f7e6dd6407e39148fc4d996",0.784722222222222,0.819444444444445,0.996527777777778,0.989583333333333,0.746527777777778,0.84375
"5f94a8e7fa8c422fc88940b0",0.833333333333333,0.96875,1,1,0.986111111111111,0.871527777777778
"5fbdc4f0784d3f225d8d96d1",0.847222222222222,0.989583333333333,1,1,0.954861111111111,1
"5fc0924bbb0f2402cf6618c9",0.694444444444445,0.899305555555556,0.916666666666667,1,0.909722222222222,0.802083333333333
"5fc8a956800c80232e0b7a32",0.638888888888889,0.947916666666667,0.916666666666667,1,0.90625,0.930555555555555
"5fda7349ea1be46f09e3bd4b",0.958333333333333,0.875,1,1,0.940972222222222,0.916666666666667
"600b034b4b8e6501e23eddfd",0.770833333333333,0.930555555555556,0.833333333333333,1,0.819444444444444,0.881944444444444
"601a2908d4210b238f755fed",0.993055555555556,0.982638888888889,1,1,0.961805555555556,0.947916666666667
"6033fd8bc8659800086d87b0",0.534722222222222,0.861111111111111,0.788194444444444,0.791666666666667,0.510416666666667,0.777777777777778
"603f31444049ae098abb8bf7",0.482638888888889,0.788194444444444,0.847222222222222,0.996527777777778,0.822916666666667,0.829861111111111
"60573290a0b07d401c4e61e0",0.760416666666667,0.930555555555556,0.902777777777778,0.975694444444444,0.857638888888889,0.8125
"6058bee6f83bac3e977d4c0b",0.743055555555556,1,0.989583333333333,0.951388888888889,0.684027777777778,0.809027777777778
"605c8fd5ae4e6fc1d6b75a34",0.881944444444444,0.940972222222222,0.993055555555555,0.916666666666667,0.71875,0.979166666666667
"6068c4726f6775a68598647f",0.791666666666667,0.951388888888889,0.965277777777778,1,0.8125,0.847222222222222
"606e336f6de96d1f1b7e5b2f",0.958333333333333,0.756944444444444,0.913194444444445,1,0.833333333333333,0.732638888888889
"606e3ddf19540080228e3a0c",0.826388888888889,0.947916666666667,0.979166666666667,1,0.871527777777778,0.871527777777778
"6070b8647d08ca3c801249ef",0.847222222222222,0.916666666666667,0.878472222222222,1,0.84375,0.829861111111111
