"Subj";"Trial";"b1";"b2";"b3";"b4";"Cat";"Imgname"
"s10";"43";59;56;66;2;"GA";"ga19"
"s10";"44";50;49;25;3;"GA";"ga05"
"s10";"45";67;71;75;2;"SR";"s10_sr17"
"s10";"46";68;64;88;2;"SR";"s10_sr11"
"s10";"47";59;41;43;3;"NR";"s09_sr09"
"s10";"48";83;93;96;1;"SR";"s10_sr04"
"s10";"49";61;71;87;2;"SR";"s10_sr01"
"s10";"50";58;46;17;3;"RA";"ra05"
"s10";"51";70;57;93;2;"SR";"s10_sr13"
"s10";"52";59;30;68;3;"SR";"s10_sr18"
"s10";"53";60;64;65;3;"NR";"s09_sr07"
"s10";"54";64;58;68;2;"NR";"s09_sr02"
"s10";"55";37;16;38;3;"RA";"ra17"
"s10";"56";35;46;57;2;"GA";"ga14"
"s10";"57";9;8;59;2;"GA";"ga11"
"s10";"58";58;49;25;3;"RA";"ra01"
"s10";"59";65;58;54;3;"NR";"s09_sr17"
"s10";"60";54;47;39;3;"NR";"s09_sr06"
"s10";"61";62;51;49;2;"GA";"ga09"
"s10";"62";46;33;33;3;"GA";"ga07"
"s10";"63";54;54;48;3;"NR";"s09_sr04"
"s10";"64";11;14;4;3;"RA";"ra02"
"s10";"65";51;31;31;2;"GA";"ga13"
"s10";"66";55;53;49;2;"NR";"s09_sr15"
"s10";"67";3;3;2;3;"RA";"ra20"
"s10";"68";16;46;6;3;"GA";"ga01"
"s10";"69";32;54;58;2;"NR";"s09_sr05"
"s10";"70";65;66;55;3;"SR";"s10_sr10"
"s10";"71";3;3;40;3;"RA";"ra08"
"s10";"72";45;20;43;3;"GA";"ga04"
"s10";"73";83;73;79;2;"SR";"s10_sr19"
"s10";"74";66;65;77;2;"NR";"s09_sr03"
"s10";"75";91;91;95;1;"SR";"s10_sr02"
"s10";"76";4;6;28;3;"RA";"ra12"
"s10";"77";55;53;59;3;"SR";"s10_sr09"
"s10";"78";21;26;31;3;"NR";"s09_sr20"
"s10";"79";18;25;16;3;"GA";"ga15"
"s10";"80";50;48;44;3;"SR";"s10_sr08"
"s11";"1";51;51;4;1;"RA";"ra12"
"s11";"2";58;7;79;1;"RA";"ra10"
"s11";"3";30;5;6;1;"GA";"ga16"
"s11";"4";83;54;4;1;"RA";"ra09"
"s11";"5";9;8;2;1;"GA";"ga05"
"s11";"6";0;0;29;1;"NR";"s12_sr20"
"s11";"7";0;1;1;1;"SR";"s11_sr08"
"s11";"8";14;2;81;1;"SR";"s11_sr05"
"s11";"9";61;9;80;1;"NR";"s12_sr18"
"s11";"10";84;49;99;1;"NR";"s12_sr19"
"s11";"11";0;6;76;1;"GA";"ga02"
"s11";"12";4;1;3;1;"SR";"s11_sr07"
"s11";"13";0;2;3;1;"NR";"s12_sr06"
"s11";"14";74;49;79;1;"GA";"ga20"
"s11";"15";62;39;2;1;"GA";"ga07"
"s11";"16";85;75;97;1;"RA";"ra03"
"s11";"17";86;45;68;1;"NR";"s12_sr17"
"s11";"18";3;2;80;1;"NR";"s12_sr04"
"s11";"19";0;1;50;1;"GA";"ga04"
"s11";"20";0;1;59;1;"NR";"s12_sr05"
"s11";"21";20;64;3;1;"RA";"ra17"
"s11";"22";0;1;3;1;"NR";"s12_sr09"
"s11";"23";4;64;71;1;"RA";"ra01"
"s11";"24";11;1;99;1;"SR";"s11_sr19"
"s11";"25";4;17;98;1;"SR";"s11_sr14"
"s11";"26";6;4;51;1;"NR";"s12_sr15"
"s11";"27";6;2;89;1;"NR";"s12_sr02"
"s11";"28";17;1;90;1;"SR";"s11_sr16"
"s11";"29";66;91;2;1;"RA";"ra02"
"s11";"30";0;1;98;1;"GA";"ga19"
"s11";"31";18;10;30;1;"GA";"ga17"
"s11";"32";0;0;81;1;"SR";"s11_sr10"
"s11";"33";16;32;99;1;"SR";"s11_sr11"
"s11";"34";0;1;51;1;"NR";"s12_sr13"
"s11";"35";23;2;11;1;"NR";"s12_sr11"
"s11";"36";9;2;89;1;"SR";"s11_sr09"
"s11";"37";64;93;98;1;"RA";"ra16"
"s11";"38";1;1;6;1;"NR";"s12_sr01"
"s11";"39";25;15;6;1;"GA";"ga01"
"s11";"40";1;1;64;1;"NR";"s12_sr10"
"s11";"41";84;70;5;1;"RA";"ra20"
"s11";"42";10;2;75;1;"SR";"s11_sr20"
"s11";"43";23;25;50;1;"RA";"ra13"
"s11";"44";6;20;2;1;"GA";"ga10"
"s11";"45";9;51;95;1;"GA";"ga12"
"s11";"46";9;6;96;1;"SR";"s11_sr03"
"s11";"47";40;21;3;1;"GA";"ga18"
"s11";"48";37;7;1;1;"GA";"ga15"
"s11";"49";0;2;4;1;"SR";"s11_sr01"
"s11";"50";55;60;2;1;"GA";"ga08"
"s11";"51";2;1;50;1;"NR";"s12_sr08"
"s11";"52";31;8;3;1;"GA";"ga03"
"s11";"53";11;2;95;1;"GA";"ga13"
"s11";"54";18;58;95;1;"RA";"ra14"
"s11";"55";70;73;2;1;"RA";"ra05"
"s11";"56";1;3;2;1;"SR";"s11_sr12"
"s11";"57";18;42;2;1;"SR";"s11_sr15"
"s11";"58";5;23;2;1;"GA";"ga09"
"s11";"59";4;2;2;1;"RA";"ra18"
"s11";"60";71;89;2;1;"RA";"ra11"
"s11";"61";1;3;49;1;"GA";"ga14"
"s11";"62";48;88;97;1;"RA";"ra19"
"s11";"63";50;90;2;1;"RA";"ra04"
"s11";"64";2;0;63;1;"SR";"s11_sr02"
"s11";"65";99;97;100;1;"SR";"s11_sr06"
"s11";"66";97;90;1;1;"GA";"ga11"
"s11";"67";66;69;99;1;"SR";"s11_sr13"
"s11";"68";95;70;47;1;"RA";"ra06"
"s11";"69";13;2;96;1;"NR";"s12_sr12"
"s11";"70";66;47;2;1;"RA";"ra15"
"s11";"71";1;1;61;1;"NR";"s12_sr14"
"s11";"72";2;2;89;1;"SR";"s11_sr18"
"s11";"73";34;29;77;1;"GA";"ga06"
"s11";"74";85;98;97;1;"NR";"s12_sr03"
"s11";"75";60;82;37;1;"NR";"s12_sr07"
"s11";"76";57;12;97;1;"SR";"s11_sr17"
"s11";"77";26;17;54;1;"RA";"ra07"
"s11";"78";4;2;92;1;"SR";"s11_sr04"
"s11";"79";2;2;53;1;"NR";"s12_sr16"
"s11";"80";98;99;52;1;"RA";"ra08"
"s12";"1";65;83;0;3;"RA";"ra08"
"s12";"2";59;27;19;3;"NR";"s11_sr16"
"s12";"3";38;39;64;2;"SR";"s12_sr04"
"s12";"4";68;79;20;3;"RA";"ra07"
"s12";"5";54;32;86;3;"SR";"s12_sr17"
"s12";"6";16;16;65;2;"NR";"s11_sr07"
"s12";"7";9;6;20;3;"NR";"s11_sr03"
"s12";"8";82;92;54;2;"GA";"ga06"
"s12";"9";38;34;21;3;"SR";"s12_sr18"
"s12";"10";5;0;0;3;"NR";"s11_sr14"
"s12";"11";77;81;61;2;"RA";"ra15"
"s12";"12";37;19;10;3;"NR";"s11_sr12"
"s12";"13";37;48;0;3;"RA";"ra06"
"s12";"14";12;58;90;1;"SR";"s12_sr13"
"s12";"15";56;78;93;2;"GA";"ga11"
"s12";"16";26;43;84;1;"SR";"s12_sr06"
"s12";"17";9;13;26;3;"SR";"s12_sr02"
"s12";"18";36;47;30;3;"RA";"ra04"
"s12";"19";0;12;0;2;"RA";"ra19"
"s12";"20";7;0;0;3;"GA";"ga14"
"s12";"21";31;74;11;3;"RA";"ra11"
"s12";"22";42;58;10;3;"RA";"ra18"
"s12";"23";31;36;9;3;"GA";"ga09"
"s12";"24";30;65;71;3;"SR";"s12_sr15"
"s12";"25";62;74;76;3;"SR";"s12_sr12"
"s12";"26";19;31;4;3;"RA";"ra05"
"s12";"27";14;35;22;3;"RA";"ra14"
"s12";"28";6;16;8;3;"GA";"ga13"
"s12";"29";18;15;1;3;"GA";"ga03"
"s12";"30";18;0;0;3;"NR";"s11_sr08"
"s12";"31";66;71;68;3;"GA";"ga08"
"s12";"32";0;43;63;2;"SR";"s12_sr01"
"s12";"33";7;11;15;3;"GA";"ga15"
"s12";"34";15;7;73;3;"GA";"ga18"
"s12";"35";6;20;59;3;"SR";"s12_sr03"
"s12";"36";22;67;89;3;"GA";"ga12"
"s12";"37";30;61;50;3;"GA";"ga10"
"s12";"38";4;21;6;3;"RA";"ra13"
"s12";"39";65;67;92;2;"SR";"s12_sr20"
"s12";"40";76;89;3;3;"RA";"ra20"
"s12";"41";0;0;0;3;"NR";"s11_sr10"
"s12";"42";15;16;11;3;"GA";"ga01"
"s12";"43";57;28;57;3;"NR";"s11_sr01"
"s12";"44";75;92;83;3;"RA";"ra16"
"s12";"45";6;11;35;3;"SR";"s12_sr09"
"s12";"46";38;18;91;3;"NR";"s11_sr11"
"s12";"47";53;15;42;3;"NR";"s11_sr13"
"s12";"48";39;11;23;3;"SR";"s12_sr11"
"s12";"49";29;19;9;3;"SR";"s12_sr10"
"s12";"50";2;6;4;3;"GA";"ga17"
"s12";"51";8;49;58;3;"GA";"ga19"
"s12";"52";7;5;2;3;"RA";"ra02"
"s12";"53";2;3;1;3;"SR";"s12_sr16"
"s12";"54";37;62;63;3;"NR";"s11_sr02"
"s12";"55";10;6;0;3;"NR";"s11_sr15"
"s12";"56";0;0;2;3;"SR";"s12_sr14"
"s12";"57";25;18;56;3;"SR";"s12_sr19"
"s12";"58";23;56;9;3;"RA";"ra01"
"s12";"59";39;53;16;3;"NR";"s11_sr09"
"s12";"60";59;69;36;3;"RA";"ra17"
"s12";"61";57;65;68;2;"NR";"s11_sr05"
"s12";"62";23;66;61;3;"GA";"ga04"
"s12";"63";43;40;68;3;"NR";"s11_sr04"
"s12";"64";31;16;14;3;"NR";"s11_sr17"
"s12";"65";46;8;20;3;"RA";"ra03"
"s12";"66";57;62;4;3;"GA";"ga07"
"s12";"67";22;22;59;3;"GA";"ga20"
"s12";"68";11;31;46;3;"NR";"s11_sr06"
"s12";"69";56;79;83;3;"SR";"s12_sr07"
"s12";"70";71;68;60;3;"GA";"ga02"
"s12";"71";7;14;10;3;"NR";"s11_sr19"
"s12";"72";12;36;75;3;"NR";"s11_sr18"
"s12";"73";25;17;55;3;"SR";"s12_sr05"
"s12";"74";67;58;91;2;"SR";"s12_sr08"
"s12";"75";40;24;30;3;"NR";"s11_sr20"
"s12";"76";52;31;3;3;"GA";"ga05"
"s12";"77";57;37;0;3;"RA";"ra09"
"s12";"78";52;56;28;3;"GA";"ga16"
"s12";"79";34;6;6;3;"RA";"ra10"
"s12";"80";64;67;20;2;"RA";"ra12"
"s13";"1";81;79;60;1;"RA";"ra09"
"s13";"2";62;65;33;1;"NR";"s14_sr20"
"s13";"3";67;70;69;1;"RA";"ra16"
"s13";"4";58;49;41;1;"GA";"ga15"
"s13";"5";93;73;98;1;"NR";"s14_sr12"
"s13";"6";47;56;59;1;"GA";"ga05"
"s13";"7";79;85;44;1;"SR";"s13_sr18"
"s13";"8";49;37;28;3;"RA";"ra14"
"s13";"9";99;99;99;1;"SR";"s13_sr10"
"s13";"10";46;27;59;1;"SR";"s13_sr13"
"s13";"11";79;81;37;1;"NR";"s14_sr13"
"s13";"12";98;85;82;1;"SR";"s13_sr09"
"s13";"13";29;18;15;2;"NR";"s14_sr14"
"s13";"14";46;27;16;3;"GA";"ga16"
"s13";"15";53;63;57;3;"RA";"ra17"
"s13";"16";94;66;36;2;"SR";"s13_sr04"
"s13";"17";70;60;65;1;"GA";"ga20"
"s13";"18";45;34;37;3;"RA";"ra13"
"s13";"19";46;37;29;3;"GA";"ga03"
"s13";"20";79;93;98;1;"NR";"s14_sr19"
"s13";"21";57;69;52;2;"RA";"ra02"
"s13";"22";53;65;27;2;"RA";"ra19"
"s13";"23";79;84;85;1;"GA";"ga18"
"s13";"24";84;69;49;1;"SR";"s13_sr06"
"s13";"25";99;37;46;2;"SR";"s13_sr02"
"s13";"26";40;35;23;2;"RA";"ra05"
"s13";"27";72;93;99;1;"SR";"s13_sr15"
"s13";"28";69;89;47;1;"GA";"ga14"
"s13";"29";30;27;31;3;"GA";"ga12"
"s13";"30";25;22;9;3;"RA";"ra11"
"s13";"31";67;70;67;2;"SR";"s13_sr14"
"s13";"32";47;62;34;2;"SR";"s13_sr08"
"s13";"33";41;31;26;2;"NR";"s14_sr04"
"s13";"34";53;85;66;2;"NR";"s14_sr17"
"s13";"35";37;50;27;3;"GA";"ga02"
"s13";"36";53;57;28;2;"NR";"s14_sr05"
"s13";"37";51;48;17;3;"NR";"s14_sr10"
"s13";"38";44;32;11;3;"SR";"s13_sr17"
"s13";"39";28;47;36;3;"GA";"ga06"
"s13";"40";52;52;21;3;"GA";"ga07"
"s13";"41";89;55;65;1;"SR";"s13_sr05"
"s13";"42";79;69;71;1;"GA";"ga04"
"s13";"43";43;36;68;3;"NR";"s14_sr06"
"s13";"44";51;40;35;3;"GA";"ga08"
"s13";"45";67;50;65;3;"SR";"s13_sr11"
"s13";"46";54;42;19;3;"GA";"ga01"
"s13";"47";66;60;65;1;"SR";"s13_sr07"
"s13";"48";60;85;78;1;"NR";"s14_sr18"
"s13";"49";41;44;29;3;"RA";"ra04"
"s13";"50";55;55;51;1;"RA";"ra15"
"s13";"51";39;47;42;2;"SR";"s13_sr01"
"s13";"52";55;56;62;1;"SR";"s13_sr16"
"s13";"53";59;62;52;2;"RA";"ra06"
"s13";"54";50;48;29;3;"RA";"ra20"
"s13";"55";58;71;67;1;"NR";"s14_sr16"
"s13";"56";98;97;99;1;"SR";"s13_sr19"
"s13";"57";40;60;43;3;"RA";"ra01"
"s13";"58";34;32;20;3;"RA";"ra10"
"s13";"59";45;41;35;3;"GA";"ga11"
"s13";"60";39;36;27;3;"GA";"ga19"
"s13";"61";39;31;9;2;"NR";"s14_sr01"
"s13";"62";63;47;34;3;"SR";"s13_sr03"
"s13";"63";36;36;73;1;"SR";"s13_sr12"
"s13";"64";73;91;99;1;"RA";"ra07"
"s13";"65";50;44;34;3;"RA";"ra18"
"s13";"66";45;50;57;2;"NR";"s14_sr11"
"s13";"67";39;46;30;3;"NR";"s14_sr03"
"s13";"68";28;26;26;3;"SR";"s13_sr20"
"s13";"69";30;28;27;3;"NR";"s14_sr15"
"s13";"70";35;40;51;1;"NR";"s14_sr07"
"s13";"71";50;41;50;2;"RA";"ra03"
"s13";"72";77;49;69;1;"NR";"s14_sr09"
"s13";"73";46;47;45;3;"NR";"s14_sr08"
"s13";"74";57;38;33;2;"GA";"ga17"
"s13";"75";44;37;43;3;"GA";"ga09"
"s13";"76";24;28;16;3;"RA";"ra08"
"s13";"77";59;57;74;1;"GA";"ga13"
"s13";"78";31;40;24;3;"GA";"ga10"
"s13";"79";33;67;56;2;"RA";"ra12"
"s13";"80";35;42;30;3;"NR";"s14_sr02"
"s15";"1";45;26;79;2;"SR";"s15_sr03"
"s15";"2";48;80;32;3;"RA";"ra19"
"s15";"3";66;89;69;3;"RA";"ra12"
"s15";"4";13;25;88;3;"SR";"s15_sr13"
"s15";"5";0;3;76;3;"NR";"s16_sr18"
"s15";"6";3;14;8;3;"GA";"ga05"
"s15";"7";13;29;4;3;"NR";"s16_sr12"
"s15";"8";56;90;2;3;"RA";"ra02"
"s15";"9";32;80;2;3;"GA";"ga20"
"s15";"10";46;48;2;2;"GA";"ga10"
"s15";"11";6;8;74;3;"NR";"s16_sr13"
"s15";"12";8;6;77;1;"SR";"s15_sr06"
"s15";"13";27;81;19;2;"RA";"ra11"
"s15";"14";27;36;3;3;"GA";"ga06"
"s15";"15";6;8;14;3;"GA";"ga15"
"s15";"16";74;99;79;2;"RA";"ra09"
"s15";"17";39;53;69;2;"GA";"ga08"
"s15";"18";4;5;4;3;"NR";"s16_sr01"
"s15";"19";25;53;16;3;"NR";"s16_sr14"
"s15";"20";61;68;81;3;"RA";"ra15"
"s15";"21";60;63;44;3;"GA";"ga03"
"s15";"22";2;4;100;1;"SR";"s15_sr09"
"s15";"23";26;19;7;3;"SR";"s15_sr11"
"s15";"24";85;92;6;3;"RA";"ra14"
"s15";"25";9;32;80;3;"NR";"s16_sr15"
"s15";"26";0;4;3;3;"GA";"ga16"
"s15";"27";50;61;42;3;"RA";"ra16"
"s15";"28";4;9;100;3;"SR";"s15_sr12"
"s15";"29";55;48;73;3;"GA";"ga04"
"s15";"30";37;48;4;3;"SR";"s15_sr08"
"s15";"31";2;7;1;3;"NR";"s16_sr10"
"s15";"32";2;5;73;3;"SR";"s15_sr10"
"s15";"33";7;7;4;2;"NR";"s16_sr06"
"s15";"34";19;61;72;3;"GA";"ga17"
"s15";"35";3;8;5;3;"RA";"ra10"
"s15";"36";83;83;2;3;"RA";"ra17"
"s15";"37";47;36;34;3;"NR";"s16_sr05"
"s15";"38";51;57;46;3;"NR";"s16_sr09"
"s15";"39";53;74;41;2;"RA";"ra08"
"s15";"40";16;6;4;3;"GA";"ga12"
"s15";"41";45;54;75;3;"SR";"s15_sr15"
"s15";"42";5;15;3;3;"GA";"ga01"
"s15";"43";84;81;64;3;"RA";"ra18"
"s15";"44";80;81;3;3;"RA";"ra01"
"s15";"45";4;12;5;3;"NR";"s16_sr02"
"s15";"46";68;61;5;3;"NR";"s16_sr07"
"s15";"47";42;27;53;3;"SR";"s15_sr05"
"s15";"48";34;23;46;2;"NR";"s16_sr17"
"s15";"49";50;57;91;3;"SR";"s15_sr20"
"s15";"50";34;11;5;3;"NR";"s16_sr16"
"s15";"51";23;34;48;3;"GA";"ga07"
"s15";"52";45;43;47;3;"GA";"ga13"
"s15";"53";14;3;1;3;"SR";"s15_sr07"
"s15";"54";84;91;60;3;"RA";"ra07"
"s15";"55";64;52;3;3;"RA";"ra20"
"s15";"56";29;30;3;3;"NR";"s16_sr08"
"s15";"57";42;50;80;3;"NR";"s16_sr20"
"s15";"58";93;94;6;2;"RA";"ra06"
"s15";"59";1;8;78;3;"SR";"s15_sr18"
"s15";"60";9;10;79;3;"SR";"s15_sr19"
"s15";"61";28;19;57;3;"RA";"ra03"
"s15";"62";43;49;59;2;"RA";"ra04"
"s15";"63";64;44;47;2;"SR";"s15_sr16"
"s15";"64";84;73;50;3;"GA";"ga18"
"s15";"65";4;5;5;3;"GA";"ga19"
"s15";"66";12;7;74;3;"NR";"s16_sr03"
"s15";"67";41;28;49;3;"GA";"ga02"
"s15";"68";60;16;12;3;"GA";"ga09"
"s15";"69";46;59;59;3;"SR";"s15_sr01"
"s15";"70";13;9;2;2;"SR";"s15_sr04"
"s15";"71";48;56;28;3;"GA";"ga11"
"s15";"72";10;6;50;2;"NR";"s16_sr04"
"s15";"73";4;5;3;3;"NR";"s16_sr19"
"s15";"74";71;52;3;3;"RA";"ra13"
"s15";"75";22;30;37;3;"NR";"s16_sr11"
"s15";"76";23;2;68;3;"SR";"s15_sr02"
"s15";"77";78;71;70;3;"SR";"s15_sr14"
"s15";"78";83;8;27;3;"GA";"ga14"
"s15";"79";77;88;5;3;"RA";"ra05"
"s15";"80";22;25;72;1;"SR";"s15_sr17"
"s16";"1";61;23;18;2;"SR";"s16_sr17"
"s16";"2";4;0;1;3;"RA";"ra05"
"s16";"3";60;35;58;3;"GA";"ga14"
"s16";"4";48;6;1;3;"SR";"s16_sr14"
"s16";"5";1;3;38;3;"SR";"s16_sr02"
"s16";"6";44;57;13;3;"NR";"s15_sr11"
"s16";"7";10;1;1;3;"RA";"ra13"
"s16";"8";1;1;9;2;"NR";"s15_sr19"
"s16";"9";1;1;27;3;"NR";"s15_sr04"
"s16";"10";0;1;2;3;"GA";"ga11"
"s16";"11";71;77;39;2;"SR";"s16_sr04"
"s16";"12";66;77;71;1;"SR";"s16_sr01"
"s16";"13";1;5;1;3;"GA";"ga09"
"s16";"14";11;8;1;3;"GA";"ga02"
"s16";"15";3;1;1;3;"NR";"s15_sr03"
"s16";"16";1;2;0;3;"GA";"ga19"
"s16";"17";70;79;58;2;"GA";"ga18"
"s16";"18";1;2;76;3;"SR";"s16_sr16"
"s16";"19";6;4;1;3;"RA";"ra04"
"s16";"20";0;1;31;3;"RA";"ra03"
"s16";"21";1;1;0;3;"SR";"s16_sr19"
"s16";"22";17;15;22;3;"SR";"s16_sr18"
"s16";"23";1;1;1;3;"RA";"ra06"
"s16";"24";62;51;15;3;"NR";"s15_sr20"
"s16";"25";4;1;1;3;"NR";"s15_sr08"
"s16";"26";0;0;99;3;"RA";"ra20"
"s16";"27";46;65;59;3;"RA";"ra07"
"s16";"28";73;72;82;1;"SR";"s16_sr07"
"s16";"29";77;76;72;2;"GA";"ga13"
"s16";"30";0;0;18;3;"GA";"ga07"
"s16";"31";9;31;1;3;"NR";"s15_sr16"
"s16";"32";54;61;76;3;"SR";"s16_sr20"
"s16";"33";6;4;1;3;"NR";"s15_sr17"
"s16";"34";5;11;5;3;"SR";"s16_sr05"
"s16";"35";0;1;2;3;"NR";"s15_sr07"
"s16";"36";29;10;1;3;"NR";"s15_sr02"
"s16";"37";21;26;1;3;"RA";"ra01"
"s16";"38";1;1;1;3;"RA";"ra18"
"s16";"39";3;0;1;3;"GA";"ga01"
"s16";"40";26;70;88;3;"SR";"s16_sr15"
"s16";"41";0;1;1;3;"GA";"ga12"
"s16";"42";1;1;1;3;"RA";"ra08"
"s16";"43";41;31;2;3;"NR";"s15_sr09"
"s16";"44";37;46;66;3;"NR";"s15_sr05"
"s16";"45";1;1;1;3;"RA";"ra17"
"s16";"46";7;18;1;3;"RA";"ra10"
"s16";"47";32;43;2;3;"GA";"ga17"
"s16";"48";25;10;1;3;"NR";"s15_sr06"
"s16";"49";23;44;31;3;"SR";"s16_sr10"
"s16";"50";15;18;1;3;"NR";"s15_sr10"
"s16";"51";67;4;86;1;"SR";"s16_sr08"
"s16";"52";11;1;10;3;"GA";"ga04"
"s16";"53";72;79;89;3;"SR";"s16_sr12"
"s16";"54";0;1;1;3;"RA";"ra16"
"s16";"55";7;18;1;3;"GA";"ga16"
"s16";"56";1;0;1;3;"NR";"s15_sr15"
"s16";"57";1;1;2;3;"RA";"ra14"
"s16";"58";14;6;56;3;"SR";"s16_sr11"
"s16";"59";20;17;52;3;"SR";"s16_sr09"
"s16";"60";27;30;21;3;"GA";"ga03"
"s16";"61";0;1;20;3;"RA";"ra15"
"s16";"62";30;60;83;3;"NR";"s15_sr14"
"s16";"63";1;11;1;3;"NR";"s15_sr01"
"s16";"64";1;1;1;3;"GA";"ga08"
"s16";"65";0;1;2;3;"RA";"ra09"
"s16";"66";13;2;1;3;"GA";"ga15"
"s16";"67";1;1;1;3;"GA";"ga06"
"s16";"68";1;1;1;3;"RA";"ra11"
"s16";"69";23;44;78;2;"SR";"s16_sr06"
"s16";"70";1;1;2;3;"NR";"s15_sr13"
"s16";"71";1;1;1;3;"GA";"ga10"
"s16";"72";1;10;39;3;"GA";"ga20"
"s16";"73";1;1;1;3;"RA";"ra02"
"s16";"74";3;1;13;3;"NR";"s15_sr12"
"s16";"75";1;5;1;3;"GA";"ga05"
"s16";"76";32;62;88;3;"NR";"s15_sr18"
"s16";"77";23;48;80;3;"SR";"s16_sr13"
"s16";"78";0;0;0;3;"RA";"ra12"
"s16";"79";0;1;1;3;"RA";"ra19"
"s16";"80";20;20;25;3;"SR";"s16_sr03"
"s17";"1";75;70;66;3;"SR";"s17_sr03"
"s17";"2";1;1;1;3;"NR";"s18_sr06"
"s17";"3";38;1;10;3;"NR";"s18_sr18"
"s17";"4";50;2;60;3;"RA";"ra12"
"s17";"5";99;99;98;3;"SR";"s17_sr12"
"s17";"6";44;20;81;3;"RA";"ra13"
"s17";"7";26;7;17;3;"GA";"ga16"
"s17";"8";21;2;48;1;"GA";"ga04"
"s17";"9";25;16;32;3;"NR";"s18_sr04"
"s17";"10";2;1;4;3;"RA";"ra03"
"s17";"11";45;46;13;3;"RA";"ra02"
"s17";"12";45;15;26;3;"GA";"ga17"
"s17";"13";99;98;12;3;"NR";"s18_sr16"
"s17";"14";29;49;16;3;"GA";"ga18"
"s17";"15";83;24;20;3;"RA";"ra07"
"s17";"16";65;28;4;3;"RA";"ra20"
"s17";"17";65;35;3;3;"NR";"s18_sr02"
"s17";"18";96;25;17;3;"GA";"ga09"
"s17";"19";77;21;6;3;"NR";"s18_sr09"
"s17";"20";5;33;4;3;"RA";"ra10"
"s17";"21";44;15;37;3;"RA";"ra09"
"s17";"22";64;19;15;3;"SR";"s17_sr19"
"s17";"23";41;29;22;3;"SR";"s17_sr06"
"s17";"24";77;16;31;3;"GA";"ga10"
"s17";"25";97;67;58;1;"SR";"s17_sr01"
"s17";"26";70;51;35;3;"GA";"ga06"
"s17";"27";63;46;20;3;"GA";"ga03"
"s17";"28";40;85;97;1;"SR";"s17_sr16"
"s17";"29";88;71;60;3;"GA";"ga12"
"s17";"30";37;75;13;3;"SR";"s17_sr07"
"s17";"31";37;74;98;3;"NR";"s18_sr12"
"s17";"32";36;32;10;3;"SR";"s17_sr20"
"s17";"33";55;96;34;3;"RA";"ra16"
"s17";"34";61;82;14;3;"SR";"s17_sr18"
"s17";"35";22;32;22;2;"SR";"s17_sr05"
"s17";"36";2;17;14;3;"GA";"ga11"
"s17";"37";33;51;13;3;"RA";"ra06"
"s17";"38";73;98;85;2;"SR";"s17_sr02"
"s17";"39";29;24;23;3;"RA";"ra15"
"s17";"40";98;89;68;1;"SR";"s17_sr10"
"s17";"41";4;29;11;1;"SR";"s17_sr04"
"s17";"42";9;5;2;1;"NR";"s18_sr08"
"s17";"43";38;20;67;1;"SR";"s17_sr15"
"s17";"44";2;9;4;3;"RA";"ra01"
"s17";"45";3;8;1;3;"GA";"ga02"
"s17";"46";33;66;69;2;"NR";"s18_sr03"
"s17";"47";45;45;52;3;"NR";"s18_sr15"
"s17";"48";40;26;20;3;"GA";"ga07"
"s17";"49";19;15;36;3;"GA";"ga01"
"s17";"50";81;78;86;2;"SR";"s17_sr17"
"s17";"51";75;83;10;3;"NR";"s18_sr17"
"s17";"52";16;82;2;3;"GA";"ga15"
"s17";"53";4;29;4;3;"RA";"ra14"
"s17";"54";50;8;3;3;"GA";"ga08"
"s17";"55";82;13;51;1;"SR";"s17_sr09"
"s17";"56";92;8;42;2;"SR";"s17_sr14"
"s17";"57";2;6;4;3;"NR";"s18_sr10"
"s17";"58";3;14;3;3;"NR";"s18_sr14"
"s17";"59";5;11;29;3;"RA";"ra18"
"s17";"60";47;4;8;3;"GA";"ga05"
"s17";"61";2;10;3;3;"GA";"ga19"
"s17";"62";27;33;4;3;"NR";"s18_sr05"
"s17";"63";2;57;3;3;"NR";"s18_sr11"
"s17";"64";5;70;5;3;"RA";"ra17"
"s17";"65";2;4;3;3;"RA";"ra11"
"s17";"66";2;1;2;2;"NR";"s18_sr19"
"s17";"67";40;85;59;2;"SR";"s17_sr13"
"s17";"68";1;5;5;3;"GA";"ga14"
"s17";"69";2;4;5;3;"GA";"ga13"
"s17";"70";29;51;45;2;"RA";"ra04"
"s17";"71";23;59;4;3;"NR";"s18_sr20"
"s17";"72";1;6;1;3;"GA";"ga20"
"s17";"73";1;2;2;3;"RA";"ra19"
"s17";"74";1;0;2;3;"NR";"s18_sr01"
"s17";"75";25;98;8;3;"SR";"s17_sr08"
"s17";"76";1;0;2;3;"RA";"ra08"
"s17";"77";0;1;2;3;"RA";"ra05"
"s17";"78";1;4;2;3;"NR";"s18_sr07"
"s17";"79";8;3;2;3;"NR";"s18_sr13"
"s17";"80";85;94;63;3;"SR";"s17_sr11"
"s18";"1";71;69;50;3;"SR";"s18_sr11"
"s18";"2";57;60;41;2;"NR";"s17_sr13"
"s18";"3";16;39;26;3;"NR";"s17_sr07"
"s18";"4";58;48;9;2;"RA";"ra05"
"s18";"5";28;41;18;3;"RA";"ra08"
"s18";"6";15;20;16;2;"SR";"s18_sr08"
"s18";"7";31;14;2;3;"NR";"s17_sr01"
"s18";"8";20;23;4;2;"RA";"ra19"
