Block;Subj;Trial;Response
b4;s07;50;2
b4;s07;51;3
b4;s07;52;3
b4;s07;53;2
b4;s07;54;2
b4;s07;55;3
b4;s07;56;2
b4;s07;57;3
b4;s07;58;2
b4;s07;59;3
b4;s07;60;3
b4;s07;61;2
b4;s07;62;2
b4;s07;63;1
b4;s07;64;2
b4;s07;65;2
b4;s07;66;3
b4;s07;67;3
b4;s07;68;2
b4;s07;69;1
b4;s07;70;2
b4;s07;71;2
b4;s07;72;3
b4;s07;73;2
b4;s07;74;2
b4;s07;75;1
b4;s07;76;2
b4;s07;77;1
b4;s07;78;3
b4;s07;79;1
b4;s07;80;2
b1;s08;1;94
b1;s08;2;77
b1;s08;3;67
b1;s08;4;10
b1;s08;5;73
b1;s08;6;38
b1;s08;7;5
b1;s08;8;51
b1;s08;9;16
b1;s08;10;0
b1;s08;11;6
b1;s08;12;20
b1;s08;13;8
b1;s08;14;72
b1;s08;15;69
b1;s08;16;46
b1;s08;17;3
b1;s08;18;3
b1;s08;19;88
b1;s08;20;7
b1;s08;21;11
b1;s08;22;92
b1;s08;23;68
b1;s08;24;65
b1;s08;25;51
b1;s08;26;1
b1;s08;27;18
b1;s08;28;94
b1;s08;29;90
b1;s08;30;4
b1;s08;31;6
b1;s08;32;19
b1;s08;33;12
b1;s08;34;60
b1;s08;35;67
b1;s08;36;81
b1;s08;37;55
b1;s08;38;27
b1;s08;39;77
b1;s08;40;60
b1;s08;41;29
b1;s08;42;10
b1;s08;43;41
b1;s08;44;59
b1;s08;45;54
b1;s08;46;10
b1;s08;47;57
b1;s08;48;14
b1;s08;49;49
b1;s08;50;13
b1;s08;51;68
b1;s08;52;49
b1;s08;53;39
b1;s08;54;64
b1;s08;55;68
b1;s08;56;89
b1;s08;57;28
b1;s08;58;22
b1;s08;59;12
b1;s08;60;27
b1;s08;61;9
b1;s08;62;7
b1;s08;63;10
b1;s08;64;58
b1;s08;65;48
b1;s08;66;68
b1;s08;67;11
b1;s08;68;98
b1;s08;69;97
b1;s08;70;68
b1;s08;71;96
b1;s08;72;12
b1;s08;73;14
b1;s08;74;2
b1;s08;75;37
b1;s08;76;4
b1;s08;77;32
b1;s08;78;74
b1;s08;79;67
b1;s08;80;58
b2;s08;1;66
b2;s08;2;44
b2;s08;3;23
b2;s08;4;22
b2;s08;5;83
b2;s08;6;13
b2;s08;7;1
b2;s08;8;1
b2;s08;9;19
b2;s08;10;24
b2;s08;11;23
b2;s08;12;36
b2;s08;13;14
b2;s08;14;90
b2;s08;15;71
b2;s08;16;22
b2;s08;17;5
b2;s08;18;10
b2;s08;19;55
b2;s08;20;34
b2;s08;21;19
b2;s08;22;22
b2;s08;23;55
b2;s08;24;50
b2;s08;25;17
b2;s08;26;3
b2;s08;27;4
b2;s08;28;92
b2;s08;29;54
b2;s08;30;4
b2;s08;31;1
b2;s08;32;26
b2;s08;33;27
b2;s08;34;40
b2;s08;35;63
b2;s08;36;63
b2;s08;37;52
b2;s08;38;7
b2;s08;39;65
b2;s08;40;29
b2;s08;41;15
b2;s08;42;3
b2;s08;43;72
b2;s08;44;60
b2;s08;45;40
b2;s08;46;6
b2;s08;47;8
b2;s08;48;15
b2;s08;49;14
b2;s08;50;11
b2;s08;51;64
b2;s08;52;69
b2;s08;53;63
b2;s08;54;13
b2;s08;55;57
b2;s08;56;78
b2;s08;57;20
b2;s08;58;20
b2;s08;59;39
b2;s08;60;5
b2;s08;61;4
b2;s08;62;34
b2;s08;63;12
b2;s08;64;4
b2;s08;65;29
b2;s08;66;51
b2;s08;67;52
b2;s08;68;99
b2;s08;69;99
b2;s08;70;63
b2;s08;71;94
b2;s08;72;47
b2;s08;73;57
b2;s08;74;24
b2;s08;75;15
b2;s08;76;27
b2;s08;77;10
b2;s08;78;79
b2;s08;79;80
b2;s08;80;54
b3;s08;1;77
b3;s08;2;69
b3;s08;3;1
b3;s08;4;81
b3;s08;5;95
b3;s08;6;0
b3;s08;7;1
b3;s08;8;1
b3;s08;9;58
b3;s08;10;1
b3;s08;11;0
b3;s08;12;55
b3;s08;13;99
b3;s08;14;59
b3;s08;15;63
b3;s08;16;1
b3;s08;17;77
b3;s08;18;1
b3;s08;19;4
b3;s08;20;2
b3;s08;21;1
b3;s08;22;59
b3;s08;23;29
b3;s08;24;58
b3;s08;25;80
b3;s08;26;56
b3;s08;27;0
b3;s08;28;85
b3;s08;29;56
b3;s08;30;0
b3;s08;31;0
b3;s08;32;0
b3;s08;33;41
b3;s08;34;4
b3;s08;35;8
b3;s08;36;15
b3;s08;37;45
b3;s08;38;0
b3;s08;39;99
b3;s08;40;100
b3;s08;41;54
b3;s08;42;37
b3;s08;43;77
b3;s08;44;93
b3;s08;45;1
b3;s08;46;0
b3;s08;47;8
b3;s08;48;1
b3;s08;49;8
b3;s08;50;0
b3;s08;51;74
b3;s08;52;99
b3;s08;53;1
b3;s08;54;8
b3;s08;55;86
b3;s08;56;99
b3;s08;57;1
b3;s08;58;17
b3;s08;59;17
b3;s08;60;1
b3;s08;61;2
b3;s08;62;27
b3;s08;63;3
b3;s08;64;3
b3;s08;65;0
b3;s08;66;1
b3;s08;67;1
b3;s08;68;100
b3;s08;69;99
b3;s08;70;100
b3;s08;71;100
b3;s08;72;2
b3;s08;73;75
b3;s08;74;0
b3;s08;75;0
b3;s08;76;6
b3;s08;77;92
b3;s08;78;53
b3;s08;79;28
b3;s08;80;57
b4;s08;1;1
b4;s08;2;1
b4;s08;3;3
b4;s08;4;1
b4;s08;5;1
b4;s08;6;3
b4;s08;7;3
b4;s08;8;3
b4;s08;9;3
b4;s08;10;2
b4;s08;11;3
b4;s08;12;2
b4;s08;13;2
b4;s08;14;2
b4;s08;15;2
b4;s08;16;3
b4;s08;17;1
b4;s08;18;2
b4;s08;19;3
b4;s08;20;2
b4;s08;21;3
b4;s08;22;3
b4;s08;23;1
b4;s08;24;3
b4;s08;25;1
b4;s08;26;3
b4;s08;27;3
b4;s08;28;2
b4;s08;29;3
b4;s08;30;3
b4;s08;31;3
b4;s08;32;2
b4;s08;33;2
b4;s08;34;3
b4;s08;35;3
b4;s08;36;3
b4;s08;37;1
b4;s08;38;3
b4;s08;39;1
b4;s08;40;1
b4;s08;41;1
b4;s08;42;2
b4;s08;43;1
b4;s08;44;1
b4;s08;45;3
b4;s08;46;1
b4;s08;47;2
b4;s08;48;2
b4;s08;49;2
b4;s08;50;3
b4;s08;51;3
b4;s08;52;1
b4;s08;53;3
b4;s08;54;2
b4;s08;55;2
b4;s08;56;1
b4;s08;57;3
b4;s08;58;3
b4;s08;59;2
b4;s08;60;3
b4;s08;61;3
b4;s08;62;3
b4;s08;63;1
b4;s08;64;2
b4;s08;65;3
b4;s08;66;3
b4;s08;67;3
b4;s08;68;1
b4;s08;69;1
b4;s08;70;1
b4;s08;71;1
b4;s08;72;2
b4;s08;73;1
b4;s08;74;3
b4;s08;75;3
b4;s08;76;1
b4;s08;77;2
b4;s08;78;1
b4;s08;79;3
b4;s08;80;2
b1;s10;1;22
b1;s10;2;58
b1;s10;3;64
b1;s10;4;63
b1;s10;5;31
b1;s10;6;52
b1;s10;7;59
b1;s10;8;81
b1;s10;9;78
b1;s10;10;24
b1;s10;11;81
b1;s10;12;63
b1;s10;13;49
b1;s10;14;52
b1;s10;15;64
b1;s10;16;57
b1;s10;17;36
b1;s10;18;64
b1;s10;19;45
b1;s10;20;75
b1;s10;21;36
b1;s10;22;59
b1;s10;23;66
b1;s10;24;37
b1;s10;25;78
b1;s10;26;52
b1;s10;27;69
b1;s10;28;63
b1;s10;29;24
b1;s10;30;59
b1;s10;31;57
b1;s10;32;69
b1;s10;33;56
b1;s10;34;63
b1;s10;35;25
b1;s10;36;77
b1;s10;37;9
b1;s10;38;22
b1;s10;39;22
b1;s10;40;54
b1;s10;41;59
b1;s10;42;78
b1;s10;43;59
b1;s10;44;50
b1;s10;45;67
b1;s10;46;68
b1;s10;47;59
b1;s10;48;83
b1;s10;49;61
b1;s10;50;58
b1;s10;51;70
b1;s10;52;59
b1;s10;53;60
b1;s10;54;64
b1;s10;55;37
b1;s10;56;35
b1;s10;57;9
b1;s10;58;58
b1;s10;59;65
b1;s10;60;54
b1;s10;61;62
b1;s10;62;46
b1;s10;63;54
b1;s10;64;11
b1;s10;65;51
b1;s10;66;55
b1;s10;67;3
b1;s10;68;16
b1;s10;69;32
b1;s10;70;65
b1;s10;71;3
b1;s10;72;45
b1;s10;73;83
b1;s10;74;66
b1;s10;75;91
b1;s10;76;4
b1;s10;77;55
b1;s10;78;21
b1;s10;79;18
b1;s10;80;50
b2;s10;1;13
b2;s10;2;54
b2;s10;3;61
b2;s10;4;54
b2;s10;5;25
b2;s10;6;51
b2;s10;7;57
b2;s10;8;62
b2;s10;9;90
b2;s10;10;13
b2;s10;11;61
b2;s10;12;19
b2;s10;13;28
b2;s10;14;36
b2;s10;15;65
b2;s10;16;43
b2;s10;17;46
b2;s10;18;59
b2;s10;19;22
b2;s10;20;84
b2;s10;21;19
b2;s10;22;47
b2;s10;23;41
b2;s10;24;45
b2;s10;25;62
b2;s10;26;20
b2;s10;27;57
b2;s10;28;55
b2;s10;29;33
b2;s10;30;51
b2;s10;31;53
b2;s10;32;60
b2;s10;33;58
b2;s10;34;49
b2;s10;35;9
b2;s10;36;70
b2;s10;37;4
b2;s10;38;6
b2;s10;39;10
b2;s10;40;48
b2;s10;41;54
b2;s10;42;93
b2;s10;43;56
b2;s10;44;49
b2;s10;45;71
b2;s10;46;64
b2;s10;47;41
b2;s10;48;93
b2;s10;49;71
b2;s10;50;46
b2;s10;51;57
b2;s10;52;30
b2;s10;53;64
b2;s10;54;58
b2;s10;55;16
b2;s10;56;46
b2;s10;57;8
b2;s10;58;49
b2;s10;59;58
b2;s10;60;47
b2;s10;61;51
b2;s10;62;33
b2;s10;63;54
b2;s10;64;14
b2;s10;65;31
b2;s10;66;53
b2;s10;67;3
b2;s10;68;46
b2;s10;69;54
b2;s10;70;66
b2;s10;71;3
b2;s10;72;20
b2;s10;73;73
b2;s10;74;65
b2;s10;75;91
b2;s10;76;6
b2;s10;77;53
b2;s10;78;26
b2;s10;79;25
b2;s10;80;48
b3;s10;1;3
b3;s10;2;79
b3;s10;3;58
b3;s10;4;61
b3;s10;5;56
b3;s10;6;57
b3;s10;7;61
b3;s10;8;65
b3;s10;9;89
b3;s10;10;36
b3;s10;11;16
b3;s10;12;12
b3;s10;13;7
b3;s10;14;80
b3;s10;15;80
b3;s10;16;64
b3;s10;17;35
b3;s10;18;78
b3;s10;19;3
b3;s10;20;92
b3;s10;21;5
b3;s10;22;7
b3;s10;23;60
b3;s10;24;49
b3;s10;25;83
b3;s10;26;6
b3;s10;27;81
b3;s10;28;74
b3;s10;29;30
b3;s10;30;32
b3;s10;31;77
b3;s10;32;73
b3;s10;33;59
b3;s10;34;5
b3;s10;35;23
b3;s10;36;76
b3;s10;37;27
b3;s10;38;4
b3;s10;39;13
b3;s10;40;62
b3;s10;41;80
b3;s10;42;93
b3;s10;43;66
b3;s10;44;25
b3;s10;45;75
b3;s10;46;88
b3;s10;47;43
b3;s10;48;96
b3;s10;49;87
b3;s10;50;17
b3;s10;51;93
b3;s10;52;68
b3;s10;53;65
b3;s10;54;68
b3;s10;55;38
b3;s10;56;57
b3;s10;57;59
b3;s10;58;25
b3;s10;59;54
b3;s10;60;39
b3;s10;61;49
b3;s10;62;33
b3;s10;63;48
b3;s10;64;4
b3;s10;65;31
b3;s10;66;49
b3;s10;67;2
b3;s10;68;6
b3;s10;69;58
b3;s10;70;55
b3;s10;71;40
b3;s10;72;43
b3;s10;73;79
b3;s10;74;77
b3;s10;75;95
b3;s10;76;28
b3;s10;77;59
b3;s10;78;31
b3;s10;79;16
b3;s10;80;44
b4;s10;1;3
b4;s10;2;2
b4;s10;3;3
b4;s10;4;2
b4;s10;5;2
b4;s10;6;2
b4;s10;7;3
b4;s10;8;2
b4;s10;9;1
b4;s10;10;3
b4;s10;11;3
b4;s10;12;3
b4;s10;13;3
b4;s10;14;2
b4;s10;15;2
b4;s10;16;2
b4;s10;17;3
b4;s10;18;2
b4;s10;19;3
b4;s10;20;1
b4;s10;21;3
b4;s10;22;3
b4;s10;23;2
b4;s10;24;3
b4;s10;25;2
b4;s10;26;3
b4;s10;27;2
b4;s10;28;2
b4;s10;29;3
b4;s10;30;3
b4;s10;31;2
b4;s10;32;2
b4;s10;33;2
b4;s10;34;3
b4;s10;35;3
b4;s10;36;2
b4;s10;37;3
b4;s10;38;3
b4;s10;39;3
b4;s10;40;3
b4;s10;41;2
b4;s10;42;1
b4;s10;43;2
b4;s10;44;3
b4;s10;45;2
b4;s10;46;2
b4;s10;47;3
b4;s10;48;1
b4;s10;49;2
b4;s10;50;3
b4;s10;51;2
b4;s10;52;3
b4;s10;53;3
b4;s10;54;2
b4;s10;55;3
b4;s10;56;2
b4;s10;57;2
b4;s10;58;3
b4;s10;59;3
b4;s10;60;3
b4;s10;61;2
b4;s10;62;3
b4;s10;63;3
b4;s10;64;3
b4;s10;65;2
b4;s10;66;2
b4;s10;67;3
b4;s10;68;3
b4;s10;69;2
b4;s10;70;3
b4;s10;71;3
b4;s10;72;3
b4;s10;73;2
b4;s10;74;2
b4;s10;75;1
b4;s10;76;3
b4;s10;77;3
b4;s10;78;3
b4;s10;79;3
b4;s10;80;3
b1;s11;1;51
b1;s11;2;58
b1;s11;3;30
b1;s11;4;83
b1;s11;5;9
b1;s11;6;0
b1;s11;7;0
b1;s11;8;14
b1;s11;9;61
b1;s11;10;84
b1;s11;11;0
b1;s11;12;4
b1;s11;13;0
b1;s11;14;74
b1;s11;15;62
b1;s11;16;85
b1;s11;17;86
b1;s11;18;3
b1;s11;19;0
b1;s11;20;0
b1;s11;21;20
b1;s11;22;0
b1;s11;23;4
b1;s11;24;11
b1;s11;25;4
b1;s11;26;6
b1;s11;27;6
b1;s11;28;17
b1;s11;29;66
b1;s11;30;0
b1;s11;31;18
b1;s11;32;0
b1;s11;33;16
b1;s11;34;0
b1;s11;35;23
b1;s11;36;9
b1;s11;37;64
b1;s11;38;1
b1;s11;39;25
b1;s11;40;1
b1;s11;41;84
b1;s11;42;10
b1;s11;43;23
b1;s11;44;6
b1;s11;45;9
b1;s11;46;9
b1;s11;47;40
b1;s11;48;37
b1;s11;49;0
b1;s11;50;55
b1;s11;51;2
b1;s11;52;31
b1;s11;53;11
b1;s11;54;18
b1;s11;55;70
b1;s11;56;1
b1;s11;57;18
b1;s11;58;5
b1;s11;59;4
b1;s11;60;71
b1;s11;61;1
b1;s11;62;48
b1;s11;63;50
b1;s11;64;2
b1;s11;65;99
b1;s11;66;97
b1;s11;67;66
b1;s11;68;95
b1;s11;69;13
b1;s11;70;66
b1;s11;71;1
b1;s11;72;2
b1;s11;73;34
b1;s11;74;85
b1;s11;75;60
b1;s11;76;57
b1;s11;77;26
b1;s11;78;4
b1;s11;79;2
b1;s11;80;98
b2;s11;1;51
b2;s11;2;7
b2;s11;3;5
b2;s11;4;54
b2;s11;5;8
b2;s11;6;0
b2;s11;7;1
b2;s11;8;2
b2;s11;9;9
b2;s11;10;49
b2;s11;11;6
b2;s11;12;1
b2;s11;13;2
b2;s11;14;49
b2;s11;15;39
b2;s11;16;75
b2;s11;17;45
b2;s11;18;2
b2;s11;19;1
b2;s11;20;1
b2;s11;21;64
b2;s11;22;1
b2;s11;23;64
b2;s11;24;1
b2;s11;25;17
b2;s11;26;4
b2;s11;27;2
b2;s11;28;1
b2;s11;29;91
b2;s11;30;1
b2;s11;31;10
b2;s11;32;0
b2;s11;33;32
b2;s11;34;1
b2;s11;35;2
