country,subj_id,gender,age,experimenter,location,target_cat,target_orig,target,sequence,trial,question_cat,question,clarification,response_orig,response_cat,response,comments
US,us_adults_001_children,female,22,MR,caltrain,universal,children,children,4,21,universal,feel love,like when you really like somebody and care about them a lot,yes,yes,1,NA
US,us_adults_001_children,female,22,MR,caltrain,universal,children,children,4,22,universal,add and subtract numbers,like when you add two numbers together or subtract one number from another,kind of,kind of,0.5,NA
US,us_adults_001_children,female,22,MR,caltrain,universal,children,children,4,23,universal,figure out how to do things,like when you learn a new fact or understand something new,yes,yes,1,NA
US,us_adults_001_children,female,22,MR,caltrain,universal,children,children,4,24,universal add-on,bleed if they touch something sharp,[NONE],yes,yes,1,NA
US,us_adults_001_children,female,22,MR,caltrain,universal,children,children,4,25,universal add-on,have minds,[NONE],yes,yes,1,NA
US,us_adults_001_children,female,22,MR,caltrain,universal,children,children,4,26,universal add-on,have souls,[NONE],yes,yes,1,NA
US,us_adults_002_dogs,male,23,MR,caltrain,universal,dogs,dogs,5,1,universal,feel proud,like when you feel really good about something you did,no,no,0,NA
US,us_adults_002_dogs,male,23,MR,caltrain,universal,dogs,dogs,5,2,universal,feel scared,like when you feel afraid,yes,yes,1,NA
US,us_adults_002_dogs,male,23,MR,caltrain,universal,dogs,dogs,5,3,universal,hear things,like when you hear a noise,yes,yes,1,NA
US,us_adults_002_dogs,male,23,MR,caltrain,universal,dogs,dogs,5,4,universal,sense when things are far away,like when you see that something is far away from you,yes,yes,1,NA
US,us_adults_002_dogs,male,23,MR,caltrain,universal,dogs,dogs,5,5,universal,add and subtract numbers,like when you add two numbers together or subtract one number from another,no,no,0,NA
US,us_adults_002_dogs,male,23,MR,caltrain,universal,dogs,dogs,5,6,universal,feel love,like when you really like somebody and care about them a lot,kind of,kind of,0.5,NA
US,us_adults_002_dogs,male,23,MR,caltrain,universal,dogs,dogs,5,7,universal,remember things,like when you remember something that happened before,kind of,kind of,0.5,NA
US,us_adults_002_dogs,male,23,MR,caltrain,universal,dogs,dogs,5,8,universal,feel pain,like when something hurts you,yes,yes,1,NA
US,us_adults_002_dogs,male,23,MR,caltrain,universal,dogs,dogs,5,9,universal,smell things,"like when you can tell if something smells sweet, or rotten",yes,yes,1,NA
US,us_adults_002_dogs,male,23,MR,caltrain,universal,dogs,dogs,5,10,universal,choose what to do,like when you decide between different things,kind of,kind of,0.5,NA
US,us_adults_002_dogs,male,23,MR,caltrain,universal,dogs,dogs,5,11,universal,sense temperatures,like when you can tell if something is warm or cool,kind of,kind of,0.5,NA
US,us_adults_002_dogs,male,23,MR,caltrain,universal,dogs,dogs,5,12,universal,feel sad,like when you feel bad or unhappy,yes,yes,1,NA
US,us_adults_002_dogs,male,23,MR,caltrain,universal,dogs,dogs,5,13,universal,figure out how to do things,like when you learn a new fact or understand something new,kind of,kind of,0.5,NA
US,us_adults_002_dogs,male,23,MR,caltrain,universal,dogs,dogs,5,14,universal,think about things,like when you have a thought or an idea about something,kind of,kind of,0.5,NA
US,us_adults_002_dogs,male,23,MR,caltrain,universal,dogs,dogs,5,15,universal,feel guilty,like when you feel bad because you did something mean,no,no,0,NA
US,us_adults_002_dogs,male,23,MR,caltrain,universal,dogs,dogs,5,16,universal,"feel sick, like when you feel like you might vomit",[NONE],yes,yes,1,NA
US,us_adults_002_dogs,male,23,MR,caltrain,universal,dogs,dogs,5,17,universal,get angry,like when you feel mad,yes,yes,1,NA
US,us_adults_002_dogs,male,23,MR,caltrain,universal,dogs,dogs,5,18,universal,pray,like when you pray,no,no,0,NA
US,us_adults_002_dogs,male,23,MR,caltrain,universal,dogs,dogs,5,19,universal,feel shy,like when you feel quiet or embarrassed,yes,yes,1,NA
US,us_adults_002_dogs,male,23,MR,caltrain,universal,dogs,dogs,5,20,universal,get hurt feelings,like when you feel bad because somebody insulted you or said something mean about you,no,no,0,NA
US,us_adults_002_dogs,male,23,MR,caltrain,universal,dogs,dogs,5,21,universal,feel tired,like when you feel sleepy,yes,yes,1,NA
US,us_adults_002_dogs,male,23,MR,caltrain,universal,dogs,dogs,5,22,universal,get hungry,like when you feel like you need to eat something,yes,yes,1,NA
US,us_adults_002_dogs,male,23,MR,caltrain,universal,dogs,dogs,5,23,universal,feel happy,like when you feel good,yes,yes,1,NA
US,us_adults_002_dogs,male,23,MR,caltrain,universal,dogs,dogs,5,24,universal add-on,have souls,[NONE],yes,yes,1,NA
US,us_adults_002_dogs,male,23,MR,caltrain,universal,dogs,dogs,5,25,universal add-on,have minds,[NONE],yes,yes,1,NA
