country,subj_id,gender,age,experimenter,location,character_cat,character_orig,target,sequence,trial,question_cat,question,clarification,response_orig,response_cat,response,comments
US,us_children_002_cellphones,female,NA,NAP,tech,universal,cellphones,cellphones,2,12,universal,feel sad,like when you feel bad or unhappy,NA,NA,NA,NA
US,us_children_002_cellphones,female,NA,NAP,tech,universal,cellphones,cellphones,2,13,universal,sense temperatures,like when you can tell if something is warm or cool,NA,NA,NA,NA
US,us_children_002_cellphones,female,NA,NAP,tech,universal,cellphones,cellphones,2,14,universal,choose what to do,like when you decide between different things,NA,NA,NA,NA
US,us_children_002_cellphones,female,NA,NAP,tech,universal,cellphones,cellphones,2,15,universal,smell things,"like when you can tell if something smells sweet, or rotten",NA,NA,NA,NA
US,us_children_002_cellphones,female,NA,NAP,tech,universal,cellphones,cellphones,2,16,universal,feel pain,like when something hurts you,NA,NA,NA,NA
US,us_children_002_cellphones,female,NA,NAP,tech,universal,cellphones,cellphones,2,17,universal,remember things,like when you remember something that happened before,NA,NA,NA,NA
US,us_children_002_cellphones,female,NA,NAP,tech,universal,cellphones,cellphones,2,18,universal,feel love,like when you really like somebody and care about them a lot,NA,NA,NA,NA
US,us_children_002_cellphones,female,NA,NAP,tech,universal,cellphones,cellphones,2,19,universal,add and subtract numbers,like when you add two numbers together or subtract one number from another,NA,NA,NA,NA
US,us_children_002_cellphones,female,NA,NAP,tech,universal,cellphones,cellphones,2,20,universal,sense when things are far away,like when you see that something is far away from you,NA,NA,NA,NA
US,us_children_002_cellphones,female,NA,NAP,tech,universal,cellphones,cellphones,2,21,universal,hear things,like when you hear a noise,NA,NA,NA,NA
US,us_children_002_cellphones,female,NA,NAP,tech,universal,cellphones,cellphones,2,22,universal,feel scared,like when you feel afraid,NA,NA,NA,NA
US,us_children_002_cellphones,female,NA,NAP,tech,universal,cellphones,cellphones,2,23,universal,feel proud,like when you feel really good about something you did,NA,NA,NA,NA
US,us_children_002_cellphones,female,NA,NAP,tech,universal,cellphones,cellphones,2,24,universal add-on,bleed if they touch something sharp,[NONE],NA,NA,NA,NA
US,us_children_002_cellphones,female,NA,NAP,tech,universal,cellphones,cellphones,2,25,universal add-on,have minds,[NONE],NA,NA,NA,NA
US,us_children_002_cellphones,female,NA,NAP,tech,universal,cellphones,cellphones,2,26,universal add-on,have souls,[NONE],NA,NA,NA,NA
US,us_children_003_chickens,male,9,NAP,tech,universal,chickens,chickens,3,1,universal,feel tired,like when you feel sleepy,yes,yes,1,NA
US,us_children_003_chickens,male,9,NAP,tech,universal,chickens,chickens,3,2,universal,add and subtract numbers,like when you add two numbers together or subtract one number from another,no,no,0,NA
US,us_children_003_chickens,male,9,NAP,tech,universal,chickens,chickens,3,3,universal,get angry,like when you feel mad,kind of,kind of,0.5,NA
US,us_children_003_chickens,male,9,NAP,tech,universal,chickens,chickens,3,4,universal,feel proud,like when you feel really good about something you did,kind of,kind of,0.5,NA
US,us_children_003_chickens,male,9,NAP,tech,universal,chickens,chickens,3,5,universal,"feel sick, like when you feel like you might vomit",[NONE],yes,yes,1,NA
US,us_children_003_chickens,male,9,NAP,tech,universal,chickens,chickens,3,6,universal,feel sad,like when you feel bad or unhappy,kind of,kind of,0.5,NA
US,us_children_003_chickens,male,9,NAP,tech,universal,chickens,chickens,3,7,universal,figure out how to do things,like when you learn a new fact or understand something new,no,no,0,NA
US,us_children_003_chickens,male,9,NAP,tech,universal,chickens,chickens,3,8,universal,feel shy,like when you feel quiet or embarrassed,kind of,kind of,0.5,NA
US,us_children_003_chickens,male,9,NAP,tech,universal,chickens,chickens,3,9,universal,feel scared,like when you feel afraid,yes,yes,1,NA
US,us_children_003_chickens,male,9,NAP,tech,universal,chickens,chickens,3,10,universal,sense temperatures,like when you can tell if something is warm or cool,kind of,kind of,0.5,NA
US,us_children_003_chickens,male,9,NAP,tech,universal,chickens,chickens,3,11,universal,remember things,like when you remember something that happened before,no,no,0,NA
US,us_children_003_chickens,male,9,NAP,tech,universal,chickens,chickens,3,12,universal,get hurt feelings,like when you feel bad because somebody insulted you or said something mean about you,no,no,0,NA
