country,subj_id,gender,age,experimenter,location,target_cat,target_orig,target,sequence,trial,question_cat,question,clarification,response_orig,response_cat,response,comments
Thailand,th_adults_001_beetles,male,35,PU,Arcade 3,universal,beetles,beetles,1,16,universal,pray,like when you pray,no,no,0,NA
Thailand,th_adults_001_beetles,male,35,PU,Arcade 3,universal,beetles,beetles,1,17,universal,feel shy,like when you feel quiet or embarrassed,NA,NA,NA,NA
Thailand,th_adults_001_beetles,male,35,PU,Arcade 3,universal,beetles,beetles,1,18,universal,feel scared,like when you feel afraid,yes,yes,1,NA
Thailand,th_adults_001_beetles,male,35,PU,Arcade 3,universal,beetles,beetles,1,19,universal,feel guilty,like when you feel bad because you did something mean,no,no,0,NA
Thailand,th_adults_001_beetles,male,35,PU,Arcade 3,universal,beetles,beetles,1,20,universal,choose what to do,like when you decide between different things,yes,yes,1,NA
Thailand,th_adults_001_beetles,male,35,PU,Arcade 3,universal,beetles,beetles,1,21,universal,think about things,like when you have a thought or an idea about something,no,no,0,NA
Thailand,th_adults_001_beetles,male,35,PU,Arcade 3,universal,beetles,beetles,1,22,universal,hear things,like when you hear a noise,kind of,kind of,0.5,NA
Thailand,th_adults_001_beetles,male,35,PU,Arcade 3,universal,beetles,beetles,1,23,universal,remember things,like when you remember something that happened before,no,no,0,NA
Thailand,th_adults_001_beetles,male,35,PU,Arcade 3,universal,beetles,beetles,1,24,universal add-on,bleed if they touch something sharp,[NONE],no,no,0,NA
Thailand,th_adults_001_beetles,male,35,PU,Arcade 3,universal,beetles,beetles,1,25,universal add-on,have souls,[NONE],no,no,0,NA
Thailand,th_adults_001_beetles,male,35,PU,Arcade 3,universal,beetles,beetles,1,26,universal add-on,have minds,[NONE],kind of,kind of,0.5,NA
Thailand,th_adults_002_cellphones,female,34,Mui,Arcade 3,universal,cellphones,cellphones,2,1,universal,feel happy,like when you feel good,yes,yes,1,NA
Thailand,th_adults_002_cellphones,female,34,Mui,Arcade 3,universal,cellphones,cellphones,2,2,universal,get hungry,like when you feel like you need to eat something,kind of,kind of,0.5,NA
Thailand,th_adults_002_cellphones,female,34,Mui,Arcade 3,universal,cellphones,cellphones,2,3,universal,feel tired,like when you feel sleepy,kind of,kind of,0.5,NA
Thailand,th_adults_002_cellphones,female,34,Mui,Arcade 3,universal,cellphones,cellphones,2,4,universal,get hurt feelings,like when you feel bad because somebody insulted you or said something mean about you,no,no,0,NA
Thailand,th_adults_002_cellphones,female,34,Mui,Arcade 3,universal,cellphones,cellphones,2,5,universal,feel shy,like when you feel quiet or embarrassed,kind of,kind of,0.5,NA
Thailand,th_adults_002_cellphones,female,34,Mui,Arcade 3,universal,cellphones,cellphones,2,6,universal,pray,like when you pray,no,no,0,NA
Thailand,th_adults_002_cellphones,female,34,Mui,Arcade 3,universal,cellphones,cellphones,2,7,universal,get angry,like when you feel mad,kind of,kind of,0.5,NA
Thailand,th_adults_002_cellphones,female,34,Mui,Arcade 3,universal,cellphones,cellphones,2,8,universal,"feel sick, like when you feel like you might vomit",[NONE],kind of,kind of,0.5,NA
Thailand,th_adults_002_cellphones,female,34,Mui,Arcade 3,universal,cellphones,cellphones,2,9,universal,feel guilty,like when you feel bad because you did something mean,no,no,0,NA
Thailand,th_adults_002_cellphones,female,34,Mui,Arcade 3,universal,cellphones,cellphones,2,10,universal,think about things,like when you have a thought or an idea about something,kind of,kind of,0.5,NA
Thailand,th_adults_002_cellphones,female,34,Mui,Arcade 3,universal,cellphones,cellphones,2,11,universal,figure out how to do things,like when you learn a new fact or understand something new,kind of,kind of,0.5,NA
Thailand,th_adults_002_cellphones,female,34,Mui,Arcade 3,universal,cellphones,cellphones,2,12,universal,feel sad,like when you feel bad or unhappy,no,no,0,NA
Thailand,th_adults_002_cellphones,female,34,Mui,Arcade 3,universal,cellphones,cellphones,2,13,universal,sense temperatures,like when you can tell if something is warm or cool,yes,yes,1,NA
Thailand,th_adults_002_cellphones,female,34,Mui,Arcade 3,universal,cellphones,cellphones,2,14,universal,choose what to do,like when you decide between different things,kind of,kind of,0.5,NA
