Date Prac Sub Age Sex Hand Block Bin Trial Shape Label Match CorrResp Resp ACC RT
10-May-2018_13:27:25 Exp 7308 20 female R 1 1 1 moralOther moralOther match m m 1 0.7954 
10-May-2018_13:27:27 Exp 7308 20 female R 1 1 2 moralOther moralSelf mismatch n m 0 0.6636 
10-May-2018_13:27:30 Exp 7308 20 female R 1 1 3 moralSelf moralOther mismatch n m 0 0.7178 
10-May-2018_13:27:32 Exp 7308 20 female R 1 1 4 immoralSelf immoralSelf match m NA -1 1.0850 
10-May-2018_13:27:35 Exp 7308 20 female R 1 1 5 moralOther immoralSelf mismatch n n 1 0.8420 
10-May-2018_13:27:37 Exp 7308 20 female R 1 1 6 immoralSelf moralOther mismatch n m 0 0.8281 
10-May-2018_13:27:40 Exp 7308 20 female R 1 1 7 moralSelf moralOther mismatch n n 1 1.0642 
10-May-2018_13:27:42 Exp 7308 20 female R 1 1 8 immoralOther immoralOther match m m 1 0.7744 
10-May-2018_13:27:45 Exp 7308 20 female R 1 1 9 immoralOther immoralOther match m m 1 0.6946 
10-May-2018_13:27:47 Exp 7308 20 female R 1 1 10 immoralOther moralSelf mismatch n n 1 0.6627 
10-May-2018_13:27:49 Exp 7308 20 female R 1 1 11 moralSelf moralSelf match m m 1 0.7328 
10-May-2018_13:27:52 Exp 7308 20 female R 1 1 12 moralSelf moralSelf match m m 1 0.5410 
10-May-2018_13:27:54 Exp 7308 20 female R 1 1 13 immoralOther moralOther mismatch n n 1 0.8672 
10-May-2018_13:27:56 Exp 7308 20 female R 1 1 14 immoralOther moralOther mismatch n n 1 0.7188 
10-May-2018_13:27:59 Exp 7308 20 female R 1 1 15 moralSelf moralSelf match m m 1 0.5617 
10-May-2018_13:28:01 Exp 7308 20 female R 1 1 16 moralSelf moralOther mismatch n n 1 0.7395 
10-May-2018_13:28:04 Exp 7308 20 female R 1 1 17 immoralSelf immoralOther mismatch n n 1 1.0416 
10-May-2018_13:28:06 Exp 7308 20 female R 1 1 18 immoralOther immoralOther match m m 1 0.8277 
10-May-2018_13:28:09 Exp 7308 20 female R 1 1 19 immoralSelf immoralSelf match m n 0 1.0079 
10-May-2018_13:28:11 Exp 7308 20 female R 1 1 20 immoralSelf immoralOther mismatch n n 1 0.8962 
10-May-2018_13:28:14 Exp 7308 20 female R 1 1 21 moralOther moralSelf mismatch n m 0 0.7922 
10-May-2018_13:28:16 Exp 7308 20 female R 1 1 22 immoralSelf immoralSelf match m n 0 0.8044 
10-May-2018_13:28:18 Exp 7308 20 female R 1 1 23 moralOther moralOther match m m 1 0.7505 
10-May-2018_13:28:21 Exp 7308 20 female R 1 1 24 moralOther moralOther match m n 0 0.7146 
10-May-2018_13:28:23 Exp 7308 20 female R 1 2 1 moralSelf immoralOther mismatch n n 1 0.8128 
10-May-2018_13:28:26 Exp 7308 20 female R 1 2 2 immoralOther immoralOther match m m 1 1.0129 
10-May-2018_13:28:28 Exp 7308 20 female R 1 2 3 moralSelf moralSelf match m m 1 0.6051 
10-May-2018_13:28:31 Exp 7308 20 female R 1 2 4 immoralOther immoralOther match m m 1 0.8072 
10-May-2018_13:28:33 Exp 7308 20 female R 1 2 5 immoralOther moralOther mismatch n n 1 0.7993 
10-May-2018_13:28:35 Exp 7308 20 female R 1 2 6 moralOther moralOther match m m 1 0.7454 
10-May-2018_13:28:38 Exp 7308 20 female R 1 2 7 immoralOther immoralSelf mismatch n n 1 0.8796 
10-May-2018_13:28:40 Exp 7308 20 female R 1 2 8 immoralSelf moralSelf mismatch n n 1 0.7777 
10-May-2018_13:28:43 Exp 7308 20 female R 1 2 9 immoralSelf immoralSelf match m m 1 0.7359 
10-May-2018_13:28:45 Exp 7308 20 female R 1 2 10 immoralSelf immoralSelf match m NA -1 1.0850 
10-May-2018_13:28:48 Exp 7308 20 female R 1 2 11 moralSelf moralSelf match m m 1 0.5781 
10-May-2018_13:28:50 Exp 7308 20 female R 1 2 12 immoralSelf moralSelf mismatch n n 1 0.7602 
