age,ideo_extr,p_identity,sm_use_politics_slider,overperception
19,3,6,8,1.066666667
19,3,2,13,0.5
28,2,7,5,0.689655172
18,1,5,16,1.433333333
19,3,5,8,-0.482758621
45,2,7,6,0.571428571
21,2,6,0,0.5
33,3,7,5,0.8
21,1,5,28,0.655172414
23,3,5,20,1.035714286
69,3,6,5,0.35
22,3,7,25,-0.071428571
19,2,6,2,1.1
26,2,1,NA,0.033333333
27,2,5,NA,0.517241379
28,3,6,2,1.233333333
29,3,7,40,1.433333333
24,1,5,NA,0.724137931
29,1,5,2,1.5
20,3,4,23,-0.6
22,3,5,2,-1.6
18,1,5,7,1.133333333
30,1,7,5,-0.633333333
28,1,6,33,0.607142857
26,2,6,65,1
50,3,5,29,1.3
32,3,4,17,1.1
50,1,5,NA,-0.25
23,3,5,NA,0.206896552
35,1,5,NA,-0.333333333
43,1,6,58,2.566666667
23,2,6,NA,1.466666667
25,3,3,0,0.75
36,1,6,3,0.8
64,3,6,1,1.321428571
32,1,6,3,-0.85
20,2,2,3,1
26,3,6,0,-0.1
30,3,2,7,1.6
49,3,6,4,1.033333333
18,1,6,19,0.433333333
22,2,2,2,-0.45
23,3,5,2,0.535714286
33,3,5,3,-1.15
23,2,7,5,NA
21,3,6,NA,0.607142857
72,2,7,6,0.15
22,0,4,50,0.233333333
40,2,5,0,0.133333333
23,3,5,26,2.1
32,1,5,5,0.966666667
28,3,7,2,0.3
41,2,6,NA,0.785714286
22,3,4,1,0.2
24,3,7,7,-1.035714286
35,2,6,0,0.033333333
21,2,6,NA,0.75
28,3,7,NA,-0.910526316
30,2,6,20,-0.833333333
42,2,5,0,-0.366666667
22,1,7,78,2.733333333
27,1,5,51,1.034482759
39,2,5,2,-1
21,3,7,24,-0.033333333
49,1,5,6,-0.15
19,1,7,0,-0.366666667
39,3,5,NA,1.333333333
27,2,5,51,1.379310345
35,2,4,NA,-0.965517241
20,3,7,5,-0.2
26,2,5,0,0.033333333
43,1,6,8,0.785714286
20,1,3,4,1.566666667
30,3,7,NA,1.586206897
37,2,3,4,1.035714286
44,3,7,0,-1
25,1,4,0,1.933333333
33,3,7,5,0.571428571
44,1,5,1,0.785714286
59,1,5,2,1.033333333
22,3,7,4,1.266666667
55,1,7,4,1.068965517
28,1,3,2,1.5
51,3,5,0,0.464285714
31,2,6,26,1.633333333
60,3,7,3,0.45
28,0,3,21,2
23,3,6,10,-0.1
21,0,5,0,1.25
29,2,7,15,-1.25
37,0,4,3,1.366666667
22,1,5,51,0.6
18,1,2,1,0.1
30,2,6,NA,-0.6
51,1,5,NA,0.24137931
36,1,6,4,1.533333333
35,2,7,NA,1.266666667
22,2,5,NA,1.7
24,1,5,2,-0.333333333
46,1,5,8,-0.068965517
41,3,5,NA,0.566666667
28,3,7,NA,0.3
24,2,3,NA,0.4
55,1,4,0,1.310344828
27,0,5,8,1.533333333
23,2,6,0,2.033333333
18,2,6,4,0.3
18,1,7,0,0.9
24,1,3,42,0.310344828
37,1,5,NA,-0.733333333
