condition,network_outrage,political_party,political_ideology,rep_identity,dem_identity,barr_check,barrett_check,seen_quiz,unseen_quiz,barr_familiar,barr_post,barrett_familiar,barrett_post,follow_politics,vote_2016,vote_2018,vote_2020,sm_freq,sm_daily_freq,sm_political_freq,sm_daily_political_freq,sm_share_reason,sm_platforms,online_news_outlets,twitter_handle,mood,gender,ethnicity,age,education
Low Overperception,5,Republican,6,3,-3,1,1,0,1,1,No,1,No,2,Yes,Yes,Republican Donald Trump,4-6 times a week,38,Once per week,0,"['I want people to see the content', ""I want to change people's opinions"", 'I want to troll people']","['Twitter', 'Facebook', 'Instagram', 'TikTok', 'YouTube']","['Fox News', 'Yahoo! News', 'CNN', 'Washington Post']",NA,2,Male,['White'],22,2 year degree
High Overperception,7,Democrat,2,-3,2,1,1,0,1,1,No,2,No,2,No,No,I did not vote,Daily or more,14,2-3 times a week,0,"['I want people to see the content', 'I want to make people laugh', 'The content represents my beliefs or attitudes']","['Twitter', 'Facebook', 'Instagram', 'TikTok', 'YouTube', 'Twitch']","['Fox News', 'Five Thirty Eight', 'CNN', 'MSN News', 'NY Times', 'Washington Post', 'Huffington Post']",NA,2,Male,['White'],18,High school
High Overperception,7,Democrat,2,-3,2,1,1,0,1,-2,No,2,Uncertain / Do not remember,2,No,Uncertain / Do not remember,Democrat Joe Biden,Daily or more,9,2-3 times a week,2,"['I want people to see the content', 'The content represents my beliefs or attitudes', 'I want to show people that we share common beliefs or attitudes']","['Twitter', 'Facebook', 'Instagram', 'TikTok', 'YouTube']","['Five Thirty Eight', 'CNN', 'NY Times', 'Washington Post', 'Huffington Post']",NA,3,female,['White'],20,Some college
High Overperception,5,Republican,6,1,-2,1,1,0,1,0,No,2,No,2,Yes,No,Republican Donald Trump,4-6 times a week,0,2-3 times a week,0,['I want people to see the content'],"['Twitter', 'Facebook', 'Instagram', 'YouTube']","['Fox News', 'Five Thirty Eight', 'CNN', 'NY Times', 'Washington Post', 'Other']",NA,2,Male,['White'],31,Postgraduate/Professional degree/other
High Overperception,6,Republican,6,2,-3,1,1,0,1,0,No,3,No,3,Yes,Yes,Republican Donald Trump,Daily or more,9,4-6 times a week,0,"['I want people to see the content', 'The content represents my beliefs or attitudes']","['Twitter', 'Facebook', 'YouTube']","['Fox News', 'Five Thirty Eight', 'Yahoo! News', 'CNN', 'MSN News', 'NY Times', 'Washington Post', 'Huffington Post']",NA,2,Male,['White'],30,4 year degree
High Overperception,6,Democrat,3,-3,0,1,1,0,1,-2,No,2,No,0,Yes,Yes,Democrat Joe Biden,Daily or more,50,Once per week,30,['I want to show people that we share common beliefs or attitudes'],"['Twitter', 'Facebook', 'Instagram']","['Fox News', 'Yahoo! News', 'CNN', 'MSN News', 'NY Times', 'Washington Post', 'Huffington Post']",NA,3,male,['Asian'],27,4 year degree
High Overperception,7,Republican,5,2,0,1,0,0,1,1,No,0,No,1,No,No,I did not vote,Daily or more,81,4-6 times a week,39,['I want to make people laugh'],"['Twitter', 'Facebook', 'Instagram', 'TikTok', 'YouTube', 'Twitch']","['Fox News', 'CNN', 'MSN News', 'NY Times', 'Washington Post']",NA,1,Male,['White'],28,High school
High Overperception,5,Republican,6,2,-3,1,1,0,2,0,No,3,Yes,3,Yes,Yes,Republican Donald Trump,Daily or more,21,Daily or more,10,"['I want people to see the content', 'The content represents my beliefs or attitudes']","['Twitter', 'Facebook', 'Instagram', 'TikTok', 'Parlor']","['Fox News', 'NY Times', 'Washington Post', 'Huffington Post']",@grapepuff,3,female,['White'],27,Some college
High Overperception,6,Democrat,3,-3,2,0,1,0,1,-3,No,0,No,1,Yes,Yes,Democrat Joe Biden,Daily or more,8,2-3 times a week,0,['I want to show people that we share common beliefs or attitudes'],"['Twitter', 'Facebook', 'Instagram', 'YouTube']","['NY Times', 'Huffington Post']",NA,3,female,['White'],29,Postgraduate/Professional degree/other
Low Overperception,5,Democrat,5,-3,3,1,1,0,1,0,No,0,No,2,Yes,Yes,Democrat Joe Biden,Daily or more,9,Daily or more,10,"['I want people to see the content', 'I want to make people laugh', ""I want to change people's opinions""]","['Twitter', 'Facebook', 'Instagram', 'YouTube']","['Fox News', 'CNN', 'NY Times', 'Washington Post']",NA,3,Female,['White'],41,Postgraduate/Professional degree/other
Low Overperception,3,Republican,5,1,0,1,1,0,1,0,No,0,No,0,Yes,Yes,Democrat Joe Biden,Daily or more,58,Daily or more,4,"['I want people to see the content', 'The content represents my beliefs or attitudes', 'Other']","['Twitter', 'Facebook', 'Instagram', 'YouTube']","['Fox News', 'Yahoo! News', 'CNN', 'Washington Post', 'Huffington Post']",@amandalpaige,3,Female,['White'],49,Postgraduate/Professional degree/other
Low Overperception,6,Democrat,3,-3,1,1,1,0,1,1,No,2,No,1,Yes,No,Democrat Joe Biden,Daily or more,31,Daily or more,75,"['I want people to see the content', 'The content represents my beliefs or attitudes', 'I want to show people that we share common beliefs or attitudes']","['Twitter', 'Facebook', 'Instagram', 'TikTok', 'YouTube']","['CNN', 'NY Times', 'Washington Post']",NA,3,female,"['Hispanic, Latinx, or Spanish origin']",23,4 year degree
High Overperception,5,Democrat,2,-2,3,1,0,0,0,NA,NA,2,Yes,2,Yes,Yes,Democrat Joe Biden,Daily or more,29,4-6 times a week,24,"['I want people to see the content', 'I want to make people laugh', ""I want to change people's opinions"", 'The content represents my beliefs or attitudes', 'I want to show people that we share common beliefs or attitudes']","['Twitter', 'Facebook', 'Instagram', 'YouTube']","['Yahoo! News', 'CNN']",NA,2,MALE,['White'],39,4 year degree
High Overperception,7,Democrat,NA,-3,3,1,1,0,2,-3,No,0,No,0,Yes,Yes,Prefer not to say,Daily or more,19,Daily or more,14,"['I want people to see the content', 'I want to make people laugh']","['Twitter', 'Facebook', 'YouTube', 'Other']","['NY Times', 'Washington Post', 'Huffington Post', 'Other']",NA,2,male,['White'],66,4 year degree
Low Overperception,4,Republican,7,3,-3,1,1,0,1,-2,No,-2,No,1,Yes,Yes,Republican Donald Trump,Daily or more,80,2-3 times a week,38,['I want to make people laugh'],"['Twitter', 'Facebook', 'Instagram', 'YouTube', 'Twitch']","['Fox News', 'Yahoo! News', 'CNN', 'NY Times', 'Washington Post']",NA,2,male,['White'],29,4 year degree
Low Overperception,3,Democrat,1,-3,2,1,1,0,1,3,No,3,No,3,Yes,Yes,Democrat Joe Biden,Daily or more,13,Daily or more,5,['Other'],"['Twitter', 'Facebook', 'Instagram', 'YouTube']","['Five Thirty Eight', 'CNN', 'NY Times', 'Washington Post', 'Huffington Post']",NA,3,male,['White'],37,Postgraduate/Professional degree/other
High Overperception,5,Republican,5,3,-3,1,1,0,1,-3,No,2,No,-1,Yes,No,Republican Donald Trump,Daily or more,60,Between once per month and once per year,0,"['I want people to see the content', 'I want to make people laugh', 'The content represents my beliefs or attitudes']","['Twitter', 'Facebook', 'Instagram', 'TikTok', 'YouTube', 'Twitch', 'Parlor', 'Other']","['Fox News', 'Other']",NA,3,female,['White'],26,Postgraduate/Professional degree/other
High Overperception,7,An Independent,1,-3,1,1,1,0,1,-1,No,2,No,0,Yes,Yes,Democrat Joe Biden,2-3 times a week,0,2-3 times a week,0,"['I want people to see the content', 'I want to make people laugh', 'The content represents my beliefs or attitudes']","['Twitter', 'Instagram', 'YouTube', 'Twitch']","['CNN', 'NY Times', 'Washington Post']",NA,4,Male,['Asian'],33,Some college
Low Overperception,2,Democrat,3,-2,1,1,1,0,1,1,No,1,No,1,No,No,Democrat Joe Biden,Daily or more,24,2-3 times a week,9,"['I want people to see the content', 'I want to make people laugh']","['Twitter', 'TikTok', 'YouTube', 'Twitch']",['None'],NA,3,Male,['Asian'],25,4 year degree
Low Overperception,5,Democrat,3,-3,2,1,1,0,1,-2,No,-2,No,-1,Prefer not to say,Prefer not to say,Democrat Joe Biden,Daily or more,7,Between once per month and once per year,1,"['I want people to see the content', 'The content represents my beliefs or attitudes']","['Facebook', 'Instagram', 'YouTube']",['NY Times'],NA,4,Female,['Asian'],31,Postgraduate/Professional degree/other
Low Overperception,4,Democrat,2,-3,3,1,1,0,1,1,Yes,3,Yes,2,Yes,Yes,Democrat Joe Biden,Daily or more,14,Daily or more,12,"['I want people to see the content', 'I want to make people laugh', 'The content represents my beliefs or attitudes', 'I want to show people that we share common beliefs or attitudes']","['Twitter', 'YouTube']","['Five Thirty Eight', 'Yahoo! News', 'CNN', 'MSN News', 'NY Times', 'Washington Post', 'Huffington Post']",NA,4,female,['White'],71,4 year degree
High Overperception,5,Republican,5,2,-1,1,1,1,1,0,No,0,No,NA,Yes,Uncertain / Do not remember,Democrat Joe Biden,Once per week,0,Never,0,['I want to make people laugh'],['YouTube'],['Yahoo! News'],NA,2,Female,['White'],41,Some high school
High Overperception,7,Democrat,2,-3,2,1,1,0,1,2,No,0,No,1,Yes,Yes,Democrat Joe Biden,Daily or more,5,Once per week,4,['I want to show people that we share common beliefs or attitudes'],"['Twitter', 'Facebook', 'Instagram', 'TikTok', 'YouTube']","['Yahoo! News', 'CNN', 'MSN News', 'Washington Post']",NA,3,male,['White'],54,4 year degree
High Overperception,6,Republican,5,1,-1,1,1,0,1,-3,No,-2,No,-3,Yes,Yes,Republican Donald Trump,Daily or more,60,Once per week,5,"['I want people to see the content', 'I want to make people laugh', 'I want to show people that we share common beliefs or attitudes']","['Twitter', 'Instagram', 'TikTok', 'YouTube', 'Twitch']","['NY Times', 'Washington Post', 'Huffington Post']",NA,3,Male,"['Hispanic, Latinx, or Spanish origin', 'White']",22,2 year degree
Low Overperception,NA,Democrat,2,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,female,['White'],39,Postgraduate/Professional degree/other
Low Overperception,3,Democrat,3,-1,2,1,1,1,1,1,No,1,No,1,Yes,Yes,Democrat Joe Biden,Daily or more,4,Daily or more,3,"['I want people to see the content', 'I want to make people laugh', ""I want to change people's opinions"", 'I want to troll people', 'The content represents my beliefs or attitudes']","['Twitter', 'Facebook', 'Instagram', 'TikTok', 'YouTube']","['Drudge Report', 'Fox News', 'Five Thirty Eight', 'Yahoo! News', 'CNN', 'MSN News', 'NY Times', 'Washington Post', 'Huffington Post', 'Other']",@DylanOkihiro,3,Male,['Asian'],22,Some college
Low Overperception,2,Democrat,2,-3,2,1,1,0,1,0,Uncertain / Do not remember,2,Uncertain / Do not remember,1,Yes,Yes,Democrat Joe Biden,Daily or more,71,2-3 times a week,5,"['I want people to see the content', 'I want to make people laugh', 'The content represents my beliefs or attitudes']","['Twitter', 'Facebook', 'Instagram', 'TikTok', 'YouTube', 'Other']","['CNN', 'NY Times', 'Washington Post', 'Huffington Post', 'Other']",NA,3,female,"['Hispanic, Latinx, or Spanish origin']",25,4 year degree
Low Overperception,6,Republican,7,3,-3,0,1,0,1,3,No,2,No,2,Yes,Yes,Republican Donald Trump,Daily or more,60,Daily or more,70,"['I want people to see the content', 'I want to make people laugh', ""I want to change people's opinions""]","['Twitter', 'Facebook', 'Instagram']","['Fox News', 'CNN', 'MSN News', 'NY Times']",NA,1,Male,['Black or African American'],31,Postgraduate/Professional degree/other
High Overperception,4,Republican,6,3,-1,1,1,0,1,1,Yes,0,No,1,Uncertain / Do not remember,Prefer not to say,Republican Donald Trump,2-3 times a week,59,2-3 times a week,64,['The content represents my beliefs or attitudes'],"['Twitter', 'Facebook', 'Instagram']","['Fox News', 'CNN']",NA,1,Male,['White'],38,4 year degree
High Overperception,6,Republican,6,3,-3,1,1,0,1,3,No,3,No,1,Yes,Yes,Republican Donald Trump,Daily or more,29,Between once per week and once per month,0,"['I want people to see the content', 'I want to make people laugh', 'I want to troll people']","['Twitter', 'Facebook', 'Instagram', 'YouTube', 'Twitch', 'Other']","['Fox News', 'NY Times']",NA,1,Male,"['Hispanic, Latinx, or Spanish origin']",26,Postgraduate/Professional degree/other
High Overperception,6,Democrat,2,-2,3,1,1,0,1,2,No,2,Yes,2,Yes,Yes,Democrat Joe Biden,Daily or more,39,4-6 times a week,29,"['I want people to see the content', ""I want to change people's opinions"", 'The content represents my beliefs or attitudes', 'I want to show people that we share common beliefs or attitudes']","['Twitter', 'Facebook', 'Instagram', 'YouTube']","['Fox News', 'Yahoo! News', 'CNN', 'MSN News']",NA,2,MALE,['White'],35,4 year degree
High Overperception,7,Republican,7,3,-3,1,1,0,1,-3,No,-3,No,2,Yes,Yes,Republican Donald Trump,Daily or more,18,4-6 times a week,4,"['I want people to see the content', 'I want to make people laugh', ""I want to change people's opinions"", 'I want to show people that we share common beliefs or attitudes']","['Twitter', 'Facebook', 'Instagram', 'YouTube']","['CNN', 'MSN News', 'Washington Post', 'Huffington Post']",NA,2,M,['White'],41,Postgraduate/Professional degree/other
