condition,network_outrage,political_party,political_ideology,rep_identity,dem_identity,barr_check,barrett_check,seen_quiz,unseen_quiz,barr_familiar,barr_post,barrett_familiar,barrett_post,follow_politics,vote_2016,vote_2018,vote_2020,sm_freq,sm_daily_freq,sm_political_freq,sm_daily_political_freq,sm_share_reason,sm_platforms,online_news_outlets,twitter_handle,mood,gender,ethnicity,age,education
Low Overperception,3,Democrat,2,-3,3,1,1,0,1,-2,No,2,Uncertain / Do not remember,-1,Yes,Yes,Democrat Joe Biden,4-6 times a week,69,2-3 times a week,5,"['I want to make people laugh', ""I want to change people's opinions"", 'I want to show people that we share common beliefs or attitudes']","['Twitter', 'Facebook', 'Instagram']","['Five Thirty Eight', 'CNN', 'NY Times', 'Huffington Post', 'Other']",NA,3,f,['Asian'],31,Postgraduate/Professional degree/other
Low Overperception,4,Democrat,3,-2,1,1,1,1,1,-3,No,0,No,0,Yes,No,Democrat Joe Biden,Daily or more,29,Never,0,['I want people to see the content'],"['Twitter', 'Facebook', 'Instagram']","['Fox News', 'Five Thirty Eight', 'Yahoo! News', 'CNN', 'MSN News', 'NY Times', 'Washington Post', 'Huffington Post']",NA,3,female,['White'],29,Postgraduate/Professional degree/other
Low Overperception,NA,Republican,5,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,male,['White'],65,Some college
Low Overperception,5,Democrat,2,-3,2,1,1,0,1,-3,No,-3,No,-3,No,No,I did not vote,Daily or more,24,Never,0,['I want to make people laugh'],"['Facebook', 'Instagram', 'TikTok', 'YouTube']",['None'],None,2,Female,['Asian'],21,Some college
Low Overperception,1,Republican,7,2,-3,1,1,1,1,-3,No,0,No,1,No,No,I did not vote,Never,0,Never,0,['The content represents my beliefs or attitudes'],['YouTube'],['None'],NA,4,Male,['White'],20,High school
High Overperception,6,An Independent,6,2,-3,1,1,0,1,-3,No,-2,No,0,No,No,I did not vote,Daily or more,11,Once per week,0,"['I want people to see the content', 'I want to make people laugh']","['Twitter', 'Facebook', 'Instagram', 'TikTok', 'YouTube']","['Drudge Report', 'Fox News', 'Yahoo! News', 'MSN News', 'NY Times', 'Washington Post', 'Huffington Post', 'Other']",NA,4,Male,['White'],31,4 year degree
Low Overperception,4,Democrat,2,-3,1,1,1,1,1,-2,No,0,No,1,No,No,I did not vote,Daily or more,43,Once per week,19,['I want people to see the content'],"['Twitter', 'Instagram']","['CNN', 'Washington Post']",NA,2,female,"['Hispanic, Latinx, or Spanish origin']",18,2 year degree
Low Overperception,4,Democrat,2,-2,3,1,1,0,1,1,No,1,No,2,Yes,Yes,Democrat Joe Biden,Daily or more,70,4-6 times a week,29,"['I want people to see the content', 'I want to make people laugh', 'The content represents my beliefs or attitudes', 'I want to show people that we share common beliefs or attitudes']","['Twitter', 'Facebook', 'Instagram', 'TikTok', 'YouTube']","['Fox News', 'CNN', 'Washington Post', 'Other']",NA,4,Femlae,['White'],27,4 year degree
High Overperception,6,Democrat,1,-3,2,1,1,0,1,2,No,3,No,2,Yes,Yes,Democrat Joe Biden,4-6 times a week,1,4-6 times a week,1,"['I want people to see the content', 'The content represents my beliefs or attitudes']","['Twitter', 'Facebook', 'YouTube', 'Twitch']","['Five Thirty Eight', 'Yahoo! News', 'NY Times', 'Washington Post', 'Huffington Post', 'Other']",NA,2,male,['White'],37,Postgraduate/Professional degree/other
High Overperception,6,Democrat,3,-1,2,1,1,0,1,-1,No,2,No,1,Yes,Yes,Democrat Joe Biden,Daily or more,77,4-6 times a week,36,"['I want people to see the content', 'I want to make people laugh', 'The content represents my beliefs or attitudes', 'I want to show people that we share common beliefs or attitudes']","['Twitter', 'Facebook', 'Instagram', 'TikTok', 'YouTube', 'Other']","['CNN', 'MSN News', 'NY Times', 'Washington Post', 'Huffington Post', 'Other']",@nicholson_26,4,Female,['White'],22,4 year degree
High Overperception,6,Republican,6,2,-2,0,1,0,1,1,No,0,No,1,Yes,Yes,Republican Donald Trump,Daily or more,60,Daily or more,59,['I want people to see the content'],"['Twitter', 'Facebook', 'Instagram', 'YouTube']","['Fox News', 'Yahoo! News', 'CNN', 'MSN News', 'NY Times', 'Washington Post']",NA,3,Male,['Black or African American'],31,Postgraduate/Professional degree/other
High Overperception,6,Republican,6,2,-3,1,1,0,1,3,No,3,No,3,Yes,Yes,Republican Donald Trump,Daily or more,24,Daily or more,5,"[""I want to change people's opinions""]","['Twitter', 'Facebook', 'Instagram', 'YouTube', 'Twitch', 'Gab', 'Parlor']","['Drudge Report', 'Fox News', 'Yahoo! News', 'CNN', 'Washington Post', 'Huffington Post']",@KyleReaves33,2,Male,['White'],29,Some college
High Overperception,6,Republican,6,3,-3,1,1,0,1,0,No,2,No,3,No,Yes,Republican Donald Trump,Daily or more,15,Daily or more,19,"['I want people to see the content', 'I want to make people laugh', 'The content represents my beliefs or attitudes']","['Twitter', 'Instagram', 'TikTok', 'YouTube', 'Twitch']","['Fox News', 'CNN', 'NY Times', 'Washington Post']",NA,3,Female,"['Hispanic, Latinx, or Spanish origin', 'White']",21,4 year degree
High Overperception,6,Democrat,2,-3,-1,1,1,0,1,-2,No,3,No,3,Yes,Yes,Democrat Joe Biden,Daily or more,6,2-3 times a week,2,"['The content represents my beliefs or attitudes', 'I want to show people that we share common beliefs or attitudes']","['Twitter', 'Facebook', 'Instagram', 'TikTok', 'YouTube', 'Twitch', 'Other']","['Yahoo! News', 'CNN', 'NY Times', 'Huffington Post']",NA,2,female,['White'],52,Postgraduate/Professional degree/other
Low Overperception,3,Democrat,3,-3,3,1,1,0,1,-3,No,-3,No,-2,No,No,Democrat Joe Biden,2-3 times a week,0,Between once per month and once per year,0,['Other'],"['Facebook', 'Instagram', 'TikTok', 'Other']","['Fox News', 'NY Times', 'Washington Post', 'Huffington Post']",NA,3,female,['White'],20,Some college
High Overperception,6,Democrat,1,-3,2,1,1,0,1,1,No,1,Uncertain / Do not remember,1,Yes,Yes,Democrat Joe Biden,Daily or more,19,Daily or more,5,"['I want people to see the content', ""I want to change people's opinions"", 'The content represents my beliefs or attitudes', 'I want to show people that we share common beliefs or attitudes']","['Twitter', 'Facebook', 'Instagram', 'YouTube']","['Fox News', 'CNN', 'NY Times', 'Washington Post', 'Huffington Post']",NA,3,male,['White'],47,4 year degree
Low Overperception,4,Democrat,2,-3,3,1,1,0,1,3,Yes,3,Yes,3,Yes,Yes,Democrat Joe Biden,Daily or more,70,Daily or more,70,"['I want people to see the content', 'I want to make people laugh', ""I want to change people's opinions"", 'I want to troll people', 'The content represents my beliefs or attitudes', 'I want to show people that we share common beliefs or attitudes']","['Twitter', 'Instagram', 'YouTube', 'Twitch']","['Drudge Report', 'Fox News', 'Yahoo! News', 'CNN', 'MSN News', 'NY Times', 'Washington Post', 'Huffington Post']",NA,3,male,['White'],38,2 year degree
High Overperception,7,Democrat,2,-2,2,1,1,0,1,1,No,1,No,0,No,No,I did not vote,Daily or more,4,4-6 times a week,1,"[""I want to change people's opinions"", 'The content represents my beliefs or attitudes']","['Twitter', 'Facebook', 'Instagram', 'YouTube']","['NY Times', 'Washington Post', 'Huffington Post']",NA,3,Female,['White'],38,4 year degree
High Overperception,4,Democrat,2,-3,3,1,1,0,2,0,No,2,No,0,Yes,Yes,Democrat Joe Biden,Daily or more,19,2-3 times a week,27,['Other'],"['Facebook', 'Instagram', 'YouTube']","['Yahoo! News', 'CNN', 'NY Times', 'Washington Post', 'Huffington Post']",NA,3,male,['Black or African American'],40,4 year degree
Low Overperception,3,Democrat,1,-3,3,1,1,1,1,2,No,2,Yes,3,Yes,Yes,Democrat Joe Biden,4-6 times a week,86,4-6 times a week,67,['I want people to see the content'],"['Twitter', 'Facebook', 'Instagram', 'YouTube', 'Other']","['Yahoo! News', 'CNN', 'MSN News', 'NY Times', 'Washington Post']",NA,1,Male,"['Hispanic, Latinx, or Spanish origin']",24,Some college
High Overperception,6,Republican,6,2,-3,1,1,0,1,2,No,3,No,2,Yes,Yes,Republican Donald Trump,4-6 times a week,5,2-3 times a week,2,['I want to make people laugh'],"['Twitter', 'Facebook', 'YouTube', 'Twitch']","['Drudge Report', 'Fox News', 'Yahoo! News', 'CNN', 'MSN News', 'NY Times', 'Washington Post', 'Huffington Post', 'Other']",NA,2,male,['White'],45,2 year degree
Low Overperception,1,Democrat,2,-3,2,1,1,0,1,2,No,2,No,1,Yes,Yes,Democrat Joe Biden,Daily or more,6,Never,0,['Other'],"['Twitter', 'Facebook', 'YouTube']","['CNN', 'NY Times', 'Washington Post']",NA,1,female,['White'],41,Postgraduate/Professional degree/other
High Overperception,6,Republican,6,2,-2,1,1,0,1,0,No,1,No,1,Yes,Yes,Other,Daily or more,26,Once per week,10,"['I want people to see the content', 'I want to make people laugh', 'The content represents my beliefs or attitudes']","['Twitter', 'Facebook', 'Instagram']","['Fox News', 'Five Thirty Eight', 'Yahoo! News', 'CNN', 'MSN News', 'NY Times', 'Washington Post', 'Other']",NA,3,male,['White'],44,Postgraduate/Professional degree/other
High Overperception,6,Democrat,3,-1,1,1,1,0,1,0,No,0,No,1,No,No,Democrat Joe Biden,2-3 times a week,1,2-3 times a week,1,"['I want people to see the content', 'I want to make people laugh', 'The content represents my beliefs or attitudes']","['Twitter', 'YouTube', 'Twitch']","['NY Times', 'Washington Post']",NA,3,Male,['Asian'],18,High school
Low Overperception,3,Democrat,2,-3,1,1,1,0,1,2,No,3,No,2,Yes,Yes,Democrat Joe Biden,Daily or more,15,2-3 times a week,0,"['I want people to see the content', 'The content represents my beliefs or attitudes']","['Twitter', 'Facebook', 'Instagram', 'YouTube', 'Other']","['NY Times', 'Washington Post', 'Other']",@baronessredmare,2,female,['White'],49,4 year degree
Low Overperception,3,Republican,3,2,-2,1,1,0,1,-3,No,-3,No,-2,No,No,Republican Donald Trump,2-3 times a week,0,Never,0,"['I want people to see the content', 'I want to make people laugh']","['Instagram', 'TikTok', 'YouTube']","['Fox News', 'Yahoo! News', 'CNN']",NA,4,female,['White'],21,Some college
High Overperception,7,Democrat,3,NA,2,1,1,0,1,-2,No,-3,No,0,Yes,No,Democrat Joe Biden,Daily or more,89,Once per week,3,"['I want people to see the content', 'I want to show people that we share common beliefs or attitudes']","['Facebook', 'Instagram', 'YouTube']","['Yahoo! News', 'CNN', 'MSN News']",NA,3,Female,['Asian'],28,High school
Low Overperception,4,Republican,6,1,-2,1,1,0,1,-1,No,-1,No,-2,No,No,I did not vote,Once per week,0,Never,0,"[""I want to change people's opinions""]","['Twitter', 'Instagram', 'YouTube', 'Twitch']","['Fox News', 'CNN', 'NY Times']",NA,2,Male,['Asian'],31,Some college
High Overperception,5,Democrat,3,-3,1,1,1,0,1,-2,No,1,No,-1,No,No,Democrat Joe Biden,Daily or more,89,Between once per month and once per year,5,"['I want people to see the content', 'I want to make people laugh', 'The content represents my beliefs or attitudes', 'I want to show people that we share common beliefs or attitudes']","['Twitter', 'Facebook', 'Instagram', 'YouTube']","['CNN', 'NY Times', 'Other']",NA,3,male,"['Black or African American', 'Hispanic, Latinx, or Spanish origin']",20,2 year degree
Low Overperception,3,Republican,5,1,-1,0,1,0,1,0,No,-3,No,-1,No,No,I did not vote,Daily or more,3,Never,0,"['I want to make people laugh', 'I want to troll people', 'The content represents my beliefs or attitudes', 'I want to show people that we share common beliefs or attitudes']","['Twitter', 'Facebook', 'Instagram', 'TikTok', 'YouTube', 'Twitch']","['Yahoo! News', 'Washington Post', 'Huffington Post', 'Other']",NA,5,Male,['White'],35,Some college
Low Overperception,5,Democrat,1,-3,3,1,1,0,1,1,No,2,No,2,No,Yes,Democrat Joe Biden,Daily or more,90,2-3 times a week,0,"['I want people to see the content', ""I want to change people's opinions"", 'The content represents my beliefs or attitudes', 'I want to show people that we share common beliefs or attitudes']","['Twitter', 'Instagram', 'TikTok']","['CNN', 'NY Times']",NA,2,female,['Asian'],21,Some college
High Overperception,7,Democrat,2,-2,2,1,1,0,1,1,No,2,No,1,Yes,Yes,Democrat Joe Biden,4-6 times a week,0,Once per week,0,['I want to make people laugh'],"['Facebook', 'Instagram', 'YouTube']","['NY Times', 'Washington Post', 'Huffington Post']",NA,2,female,['White'],67,Postgraduate/Professional degree/other
Low Overperception,1,Republican,6,1,-2,1,1,0,1,-2,No,1,No,-2,Yes,Yes,Republican Donald Trump,Never,0,Never,0,[],"['YouTube', 'Twitch']",['None'],NA,2,male,['White'],25,4 year degree
High Overperception,2,Democrat,2,-3,3,1,1,0,1,2,No,3,No,1,Yes,Yes,Democrat Joe Biden,4-6 times a week,6,Once per week,1,"['I want people to see the content', 'I want to make people laugh']","['Twitter', 'Facebook', 'YouTube', 'Twitch']","['CNN', 'MSN News', 'NY Times', 'Washington Post', 'Huffington Post', 'Other']",NA,3,Male,['Black or African American'],37,2 year degree
Low Overperception,3,Republican,6,2,-3,1,1,0,1,1,No,2,No,2,Yes,Yes,Republican Donald Trump,Daily or more,4,Between once per week and once per month,3,['I want people to see the content'],"['Facebook', 'Instagram', 'YouTube']","['Fox News', 'Other']",NA,2,female,['White'],60,2 year degree
High Overperception,4,Republican,6,2,-1,1,1,1,1,1,Yes,1,Uncertain / Do not remember,1,Yes,Yes,Republican Donald Trump,Daily or more,70,Daily or more,61,"['I want to make people laugh', 'The content represents my beliefs or attitudes', 'I want to show people that we share common beliefs or attitudes']",['Facebook'],"['Fox News', 'CNN', 'MSN News', 'Washington Post', 'Huffington Post']",NA,2,Male,['White'],60,Some college
High Overperception,5,Democrat,2,-3,1,1,1,0,1,1,No,1,No,2,Yes,No,Democrat Joe Biden,Daily or more,13,4-6 times a week,2,['I want to make people laugh'],"['Twitter', 'Facebook', 'Instagram', 'YouTube', 'Twitch']","['CNN', 'NY Times']",NA,3,male,['White'],35,Postgraduate/Professional degree/other
High Overperception,6,Democrat,3,-3,3,1,1,0,1,-1,No,1,No,2,Yes,No,Democrat Joe Biden,Daily or more,63,Daily or more,73,"['I want people to see the content', 'I want to make people laugh', 'The content represents my beliefs or attitudes']","['Twitter', 'Instagram', 'TikTok', 'YouTube', 'Twitch']","['CNN', 'Washington Post']",NA,3,male,['White'],20,2 year degree
Low Overperception,4,None,3,-3,1,1,1,0,1,-3,No,-3,No,-2,Yes,No,I did not vote,Daily or more,9,Never,0,['I want people to see the content'],"['Instagram', 'TikTok', 'YouTube']",['None'],NA,1,Female,['White'],26,4 year degree
Low Overperception,4,Democrat,2,-3,2,1,1,0,1,-2,No,0,No,0,Yes,Yes,Democrat Joe Biden,Daily or more,19,2-3 times a week,4,"['I want people to see the content', 'I want to make people laugh', 'The content represents my beliefs or attitudes']","['Twitter', 'Facebook', 'Instagram', 'TikTok', 'YouTube']","['NY Times', 'Washington Post', 'Huffington Post']",NA,3,female,['White'],29,4 year degree
High Overperception,4,Republican,5,1,-1,1,1,1,1,-2,No,-1,No,-2,No,No,I did not vote,Daily or more,9,Between once per month and once per year,0,['I want people to see the content'],"['Twitter', 'Facebook', 'Instagram', 'TikTok', 'YouTube']","['Fox News', 'Yahoo! News', 'MSN News', 'NY Times', 'Washington Post']",NA,3,FEMALE,['White'],39,High school
High Overperception,7,Republican,6,3,-3,1,1,0,1,-1,No,1,Yes,1,Yes,No,Republican Donald Trump,4-6 times a week,12,2-3 times a week,9,"[""I want to change people's opinions""]",['YouTube'],['Other'],NA,2,Female,"['Hispanic, Latinx, or Spanish origin']",34,2 year degree
Low Overperception,3,An Independent,4,-3,-3,1,1,0,1,-3,No,-1,No,-2,No,No,I did not vote,Daily or more,9,Never,0,"['I want people to see the content', 'I want to make people laugh', 'I want to troll people']","['Instagram', 'TikTok', 'YouTube']",['None'],NA,3,male,['White'],25,4 year degree
High Overperception,5,Democrat,2,0,3,1,1,0,1,0,No,0,No,0,Yes,No,Democrat Joe Biden,Daily or more,70,Daily or more,62,"[""I want to change people's opinions"", 'The content represents my beliefs or attitudes']","['Twitter', 'Facebook', 'Instagram', 'YouTube']","['CNN', 'NY Times', 'Huffington Post']",NA,1,MALE,['White'],30,4 year degree
High Overperception,7,Republican,5,3,-3,1,1,0,1,2,NA,3,No,2,Yes,Yes,Republican Donald Trump,Daily or more,31,Daily or more,11,['The content represents my beliefs or attitudes'],"['Twitter', 'Facebook', 'Instagram', 'Parlor']","['Fox News', 'Five Thirty Eight', 'NY Times', 'Washington Post', 'Huffington Post']",@2beisbad,6,Female,['White'],33,Some college
Low Overperception,4,Democrat,3,-3,2,1,1,0,1,-1,No,1,No,1,No,No,I did not vote,Daily or more,5,4-6 times a week,1,[],"['Twitter', 'Instagram', 'YouTube', 'Twitch', 'Other']","['Fox News', 'Yahoo! News', 'CNN', 'MSN News', 'NY Times', 'Washington Post', 'Huffington Post', 'Other']",NA,5,Male,['Asian'],32,4 year degree
High Overperception,6,Republican,6,2,-3,1,1,0,1,0,No,3,No,1,Yes,No,Republican Donald Trump,Daily or more,10,Once per week,1,['I want people to see the content'],"['Twitter', 'Facebook', 'Instagram', 'YouTube']","['Fox News', 'CNN', 'NY Times', 'Washington Post', 'Huffington Post', 'Other']",NA,2,Female,['White'],51,4 year degree
High Overperception,6,An Independent,3,-1,-1,1,1,0,1,0,No,-1,NA,0,No,No,I did not vote,Once per week,0,Between once per week and once per month,0,"['I want people to see the content', 'I want to make people laugh', ""I want to change people's opinions""]","['Facebook', 'Instagram', 'YouTube']","['Fox News', 'Yahoo! News', 'MSN News', 'Washington Post', 'Huffington Post']",NA,3,female,['White'],29,Some college
Low Overperception,5,Democrat,3,-1,1,1,1,0,1,-2,No,0,No,1,No,No,Democrat Joe Biden,Daily or more,60,Between once per week and once per month,0,"['I want people to see the content', 'I want to make people laugh', 'The content represents my beliefs or attitudes']","['Twitter', 'Instagram', 'TikTok', 'YouTube']","['Yahoo! News', 'CNN', 'Washington Post', 'Huffington Post']",NA,2,Female,['Asian'],21,High school
Low Overperception,3,Democrat,2,-3,2,1,1,0,1,0,No,1,No,2,Yes,Yes,Democrat Joe Biden,4-6 times a week,8,2-3 times a week,0,"['I want people to see the content', 'I want to show people that we share common beliefs or attitudes']","['Twitter', 'Facebook', 'Instagram', 'YouTube', 'Other']","['CNN', 'NY Times', 'Washington Post', 'Huffington Post', 'Other']",NA,3,Female,['White'],22,High school
High Overperception,3,Republican,6,3,-2,0,1,0,1,1,No,3,No,3,Yes,Yes,Republican Donald Trump,Daily or more,18,2-3 times a week,7,"['I want people to see the content', ""I want to change people's opinions"", 'The content represents my beliefs or attitudes']","['Twitter', 'Facebook', 'Instagram', 'Twitch', 'Parlor']","['Fox News', 'Yahoo! News', 'CNN', 'MSN News', 'Washington Post', 'Huffington Post', 'Other']",NA,2,Male,['White'],41,Postgraduate/Professional degree/other
Low Overperception,4,Democrat,3,-2,2,1,1,0,1,-3,No,-3,No,-1,No,No,Democrat Joe Biden,Daily or more,9,Never,0,['I want to make people laugh'],"['Facebook', 'Instagram', 'TikTok', 'YouTube']","['NY Times', 'Huffington Post']",NA,2,Female,['White'],43,Postgraduate/Professional degree/other
High Overperception,5,Republican,5,1,-1,1,1,0,1,-2,No,0,No,-1,Yes,Yes,Republican Donald Trump,Daily or more,29,2-3 times a week,0,"['I want people to see the content', 'I want to make people laugh']","['Twitter', 'Facebook', 'Instagram', 'YouTube']","['Fox News', 'Yahoo! News', 'CNN', 'MSN News', 'NY Times', 'Washington Post', 'Huffington Post']",NA,2,FEMALE,['White'],44,4 year degree
High Overperception,6,Republican,7,3,-3,1,1,1,1,1,No,2,No,2,Yes,Yes,Republican Donald Trump,Between once per month and once per year,9,Never,0,['I want people to see the content'],"['Facebook', 'YouTube']","['Fox News', 'Five Thirty Eight', 'CNN', 'NY Times', 'Washington Post']",NA,2,Male,['White'],26,4 year degree
Low Overperception,3,Republican,5,0,0,1,1,0,1,2,No,0,No,-3,Yes,Yes,Republican Donald Trump,Daily or more,9,Never,0,['I want to make people laugh'],"['Facebook', 'Instagram', 'TikTok', 'YouTube']","['Fox News', 'CNN', 'MSN News', 'Huffington Post']",NA,2,female,['White'],34,Some college
High Overperception,7,Democrat,2,-3,3,1,1,0,1,-2,No,-1,No,0,Yes,Yes,Democrat Joe Biden,Daily or more,9,Once per week,0,"['I want people to see the content', 'I want to make people laugh', 'I want to show people that we share common beliefs or attitudes']","['Twitter', 'Instagram', 'TikTok', 'YouTube', 'Other']","['CNN', 'NY Times', 'Washington Post', 'Huffington Post', 'Other']",NA,2,Female,['White'],48,4 year degree
Low Overperception,3,Democrat,3,-3,-1,1,1,0,1,-3,No,0,No,2,Yes,Uncertain / Do not remember,Democrat Joe Biden,Daily or more,9,Daily or more,9,"['I want people to see the content', 'I want to make people laugh']","['Twitter', 'Instagram', 'YouTube']","['Fox News', 'Yahoo! News', 'CNN', 'NY Times', 'Washington Post', 'Huffington Post']",NA,2,Female,"['Black or African American', 'Hispanic, Latinx, or Spanish origin']",25,4 year degree
High Overperception,6,Democrat,1,-3,2,0,1,0,1,-2,No,2,No,0,No,Yes,Democrat Joe Biden,Daily or more,30,Once per week,56,['The content represents my beliefs or attitudes'],"['Facebook', 'YouTube']","['MSN News', 'NY Times', 'Huffington Post']",NA,3,Female,['White'],22,2 year degree
High Overperception,5,Democrat,2,-3,3,1,1,1,2,0,No,2,No,0,Yes,Yes,Democrat Joe Biden,Daily or more,52,Daily or more,24,"['I want people to see the content', 'The content represents my beliefs or attitudes']","['Facebook', 'Instagram', 'YouTube']","['CNN', 'Washington Post', 'Huffington Post']",NA,2,Female,['Asian'],28,Postgraduate/Professional degree/other
Low Overperception,5,Republican,6,2,-3,1,1,1,1,-3,No,3,No,2,No,No,Republican Donald Trump,Daily or more,9,Once per week,0,"['I want people to see the content', ""I want to change people's opinions"", 'The content represents my beliefs or attitudes']","['Twitter', 'Facebook', 'Instagram', 'TikTok', 'YouTube', 'Parlor']","['Fox News', 'Yahoo! News', 'NY Times', 'Washington Post', 'Huffington Post']",NA,2,Female,['White'],19,Some college
Low Overperception,4,Democrat,2,1,3,1,1,0,1,1,No,1,No,-1,Yes,No,Democrat Joe Biden,Daily or more,39,Between once per week and once per month,8,['I want people to see the content'],"['Twitter', 'Instagram', 'YouTube']","['Drudge Report', 'Washington Post', 'Daily Knox', 'Huffington Post']",NA,2,Male,['Black or African American'],41,Postgraduate/Professional degree/other
Low Overperception,4,Democrat,1,-3,3,1,1,0,1,3,No,3,No,3,Yes,Yes,Democrat Joe Biden,Daily or more,9,Never,0,['Other'],"['Twitter', 'Facebook', 'Instagram', 'YouTube']",['None'],NA,3,female,['Black or African American'],46,2 year degree
High Overperception,5,Republican,6,3,-2,1,1,0,1,1,No,0,No,0,Yes,Yes,Republican Donald Trump,Daily or more,87,2-3 times a week,62,['I want to make people laugh'],['Facebook'],['Fox News'],NA,2,Male,NA,68,2 year degree
Low Overperception,5,Democrat,3,-3,2,1,1,0,1,1,Uncertain / Do not remember,3,Uncertain / Do not remember,3,Yes,Yes,Democrat Joe Biden,Daily or more,9,Daily or more,9,"['I want people to see the content', 'The content represents my beliefs or attitudes', 'I want to show people that we share common beliefs or attitudes']","['Twitter', 'Facebook', 'YouTube']","['Five Thirty Eight', 'CNN', 'MSN News', 'NY Times', 'Washington Post', 'Other']",NA,2,Female,['White'],41,Postgraduate/Professional degree/other
High Overperception,5,An Independent,5,1,0,1,1,0,2,0,No,-1,No,0,No,Prefer not to say,Prefer not to say,Daily or more,40,4-6 times a week,29,['I want to show people that we share common beliefs or attitudes'],"['Twitter', 'Facebook', 'Instagram', 'YouTube', 'Twitch']","['Fox News', 'CNN']",NA,2,Male,['White'],20,High school
High Overperception,6,Republican,5,3,-3,1,1,0,1,1,No,1,No,1,Yes,Yes,Republican Donald Trump,Daily or more,9,2-3 times a week,2,"['I want to make people laugh', 'The content represents my beliefs or attitudes', 'I want to show people that we share common beliefs or attitudes']","['Twitter', 'Facebook', 'Instagram', 'TikTok', 'YouTube']","['Fox News', 'Yahoo! News', 'CNN', 'MSN News', 'NY Times', 'Washington Post', 'Huffington Post']",@abbiebailey46,2,female,['White'],32,2 year degree
High Overperception,5,Republican,5,2,-1,1,1,0,1,0,No,1,No,0,Yes,Yes,Republican Donald Trump,Daily or more,9,2-3 times a week,3,['I want to make people laugh'],"['Twitter', 'Facebook', 'YouTube']","['Fox News', 'CNN', 'MSN News', 'Huffington Post', 'Other']",NA,2,Female,['White'],43,4 year degree
High Overperception,7,Democrat,1,-3,2,1,1,0,1,-2,No,0,No,2,Yes,No,Democrat Joe Biden,Daily or more,19,Daily or more,9,"['I want people to see the content', 'I want to make people laugh', 'The content represents my beliefs or attitudes']","['Twitter', 'Facebook', 'Instagram', 'YouTube', 'Other']","['Five Thirty Eight', 'Yahoo! News', 'CNN', 'MSN News', 'NY Times', 'Washington Post', 'Huffington Post', 'Other']",NA,3,Female,['White'],36,2 year degree
Low Overperception,4,Republican,5,2,-3,1,1,0,1,-3,No,-2,No,0,No,No,I did not vote,Between once per month and once per year,0,Never,0,[],"['Twitter', 'YouTube']","['Fox News', 'CNN', 'Other']",NA,3,male,['White'],58,4 year degree
High Overperception,7,Democrat,2,-3,1,1,1,0,1,-1,No,2,No,0,Uncertain / Do not remember,Uncertain / Do not remember,Democrat Joe Biden,Daily or more,29,Daily or more,21,"['I want people to see the content', 'I want to make people laugh', ""I want to change people's opinions"", 'The content represents my beliefs or attitudes']","['Twitter', 'Facebook', 'Instagram', 'TikTok', 'YouTube', 'Twitch']",['None'],NA,3,female,['White'],25,Some college
High Overperception,4,Prefer not to say,5,2,0,1,1,1,2,1,Prefer not to say,-2,Prefer not to say,2,Prefer not to say,Prefer not to say,Prefer not to say,Once per week,21,Once per week,31,"['I want people to see the content', 'I want to make people laugh', 'I want to troll people']","['Twitter', 'Facebook', 'YouTube']","['CNN', 'Daily Knox']",NA,3,Male,['Asian'],32,4 year degree
Low Overperception,4,Democrat,2,-3,2,1,1,1,1,-3,No,-2,No,0,Yes,Yes,Democrat Joe Biden,4-6 times a week,0,Once per week,0,"['I want people to see the content', 'I want to make people laugh', ""I want to change people's opinions"", 'The content represents my beliefs or attitudes']","['Facebook', 'YouTube']","['CNN', 'MSN News', 'Huffington Post', 'Other']",NA,4,Female,['White'],32,Postgraduate/Professional degree/other
Low Overperception,4,Democrat,1,-3,2,1,1,0,1,0,No,-1,No,0,Yes,No,Democrat Joe Biden,Daily or more,12,Once per week,0,['The content represents my beliefs or attitudes'],"['Twitter', 'Instagram', 'YouTube', 'Twitch']","['CNN', 'MSN News', 'NY Times', 'Washington Post', 'Huffington Post']",NA,2,Male,['Asian'],26,High school
High Overperception,5,Republican,6,2,-2,1,1,0,1,2,No,2,No,2,Yes,Uncertain / Do not remember,Republican Donald Trump,Once per week,4,Once per week,3,['The content represents my beliefs or attitudes'],['Facebook'],"['Fox News', 'Other']",NA,1,Female,NA,69,Postgraduate/Professional degree/other
High Overperception,7,Democrat,3,1,2,1,1,0,1,-3,No,-2,Yes,-1,No,No,Democrat Joe Biden,Daily or more,80,Once per week,30,"[""I want to change people's opinions"", 'The content represents my beliefs or attitudes']","['Facebook', 'Instagram', 'YouTube']","['Fox News', 'CNN', 'NY Times']",NA,1,Male,['White'],23,4 year degree
High Overperception,7,Democrat,3,-1,1,1,1,0,1,-3,No,-1,No,-3,Yes,No,I did not vote,Daily or more,50,Between once per month and once per year,0,"['I want people to see the content', 'I want to make people laugh']","['Facebook', 'Instagram', 'YouTube']","['CNN', 'NY Times', 'Washington Post']",NA,3,Female,['Asian'],34,4 year degree
