age,ideo_extr,p_identity,sm_use_politics_slider,overperception
23,2,6,22,0.2
22,2,6,1,0.666666667
34,2,7,0,0.107142857
38,1,5,3,1.633333333
27,2,6,7,0.896551724
28,2,6,3,1.066666667
24,2,5,39,0.933333333
37,2,6,3,0.1
19,2,7,NA,1.482758621
26,1,7,2,1.066666667
26,2,5,0,0.933333333
32,1,5,1,0.933333333
26,3,6,9,0.633333333
19,0,4,11,-1.392857143
37,2,6,5,-0.821428571
33,1,6,NA,-0.9
43,1,7,10,0.826315789
45,3,7,0,-0.04047619
29,3,7,30,0.75862069
27,2,6,5,1.566666667
47,2,6,3,0.533333333
26,3,6,NA,2.366666667
64,3,5,3,0.633333333
28,2,4,18,0.3
29,3,3,15,0.280952381
23,3,7,27,2.166666667
37,3,7,36,1.827586207
29,1,1,10,1.566666667
27,1,2,0,1.266666667
28,2,7,0,-0.2
26,2,7,NA,0.1
34,3,7,90,-0.3
20,1,5,NA,-0.533333333
22,1,5,13,1.066666667
70,1,5,3,1.103448276
19,1,6,1,1.3
26,1,3,0,-0.6
23,3,7,3,1.138095238
24,1,7,6,0.20952381
20,3,5,4,0.75
27,2,6,0,1.433333333
31,3,6,2,-0.25
29,2,6,30,0.233333333
20,2,5,16,0.642857143
19,3,5,6,0.689655172
21,2,6,6,0.321428571
25,3,5,2,0.533333333
24,0,4,3,0.9
45,2,7,6,1.107142857
24,1,7,25,1.888095238
20,1,7,54,0.107142857
19,2,5,NA,0.3
22,1,7,NA,-0.233333333
42,3,7,2,1.724137931
27,1,5,0,0.602380952
20,3,6,NA,1.4
25,2,7,61,1.466666667
50,2,6,NA,0.172413793
20,2,7,50,0.745238095
27,2,7,NA,0.035714286
20,1,3,1,0.133333333
30,3,7,10,0.620689655
31,1,4,15,1.466666667
33,2,4,2,-0.206896552
63,2,5,0,-0.133333333
31,3,6,NA,0.379310345
20,2,6,NA,2.173809524
31,3,6,1,0.321428571
27,2,5,6,-0.1
40,2,5,13,1.066666667
30,2,7,72,0.1
50,2,6,4,0.689655172
36,3,7,20,1.245238095
37,1,5,8,-0.933333333
56,2,6,2,-0.137931034
36,0,4,2,0.3
20,0,5,51,0.137931034
30,2,6,52,0.928571429
29,3,5,60,0.066666667
69,2,7,NA,1.673809524
34,3,7,9,0.245238095
22,2,3,NA,-0.24137931
20,1,5,0,0.3
33,1,7,5,0.964285714
31,0,5,NA,0.9
27,1,4,0,0.4
48,3,7,56,2.133333333
32,2,5,10,-0.25
28,1,6,NA,1.102380952
30,1,4,0,0
34,1,4,0,1.7
69,1,7,20,-0.5
18,1,5,3,1.357142857
56,1,6,NA,1.45952381
60,2,5,24,0.892857143
47,1,7,0,-0.15
33,2,6,0,-0.466666667
55,1,3,NA,1.206896552
68,1,5,0,1.433333333
50,1,4,NA,-1.034482759
50,2,7,7,1.166666667
23,2,6,NA,1.793103448
44,3,7,53,1.533333333
50,2,6,8,0.75
21,1,3,9,1.70952381
39,1,5,NA,0.392857143
51,1,5,4,1.517241379
36,3,7,80,1.107142857
33,1,5,4,0.8
60,1,4,1,1.138095238
47,2,7,10,-0.2
45,1,5,77,-0.15
42,2,6,5,1.1
33,2,6,3,1.866666667
25,1,2,3,-0.333333333
47,3,6,16,1.866666667
32,1,2,3,0.3
19,1,3,0,-0.833333333
47,1,6,0,1.102380952
64,2,6,NA,0.7
59,3,7,1,0.357142857
48,2,5,0,-0.310344828
26,1,4,22,0.366666667
34,2,6,1,1.638095238
61,1,5,NA,1.033333333
34,1,7,0,0.7
67,1,5,10,-1.689655172
27,1,5,NA,0.673809524
20,2,6,73,0.344827586
38,3,7,89,1.466666667
27,1,6,0,-1.15
42,3,7,78,-1.413793103
72,3,6,0,0.285714286
53,3,7,15,1.633333333
58,1,4,4,0.142857143
19,1,4,19,1
25,1,5,2,0.7
35,1,5,61,-0.633333333
43,2,6,0,1.388095238
21,0,5,NA,0.366666667
21,2,6,0,0.033333333
35,1,6,15,0.607142857
27,3,7,57,-0.433333333
56,2,7,0,-1.607142857
29,1,4,14,-0.15
32,1,3,0,0.75
21,1,4,0,-0.4
66,2,5,NA,0.9
50,2,7,1,0.24137931
37,3,7,10,0.35
32,1,5,0,0.966666667
38,1,5,0,1.030952381
30,0,6,55,1.780952381
57,2,4,1,2.638095238
35,1,5,NA,0.066666667
25,1,7,15,1.137931034
51,1,5,52,1.8
63,2,7,5,1.535714286
27,1,4,1,0.766666667
42,2,6,NA,0.423809524
47,3,7,73,1.8
47,2,6,17,0.966666667
24,3,7,11,-2.033333333
44,1,5,2,-0.766666667
63,3,7,0,-0.178571429
