"Subj","Trial","Aes","Aes2","SelfR","Fam","Condition","Image","Question"
"s07",25,0.98,86,0.99,"1","SR","s07_sr20",5
"s08",68,0.98,99,1,"1","SR","s08_sr01",1
"s08",43,0.41,72,0.77,"1","SR","s08_sr02",2
"s08",2,0.77,44,0.69,"1","SR","s08_sr03",2
"s08",4,0.1,22,0.81,"1","SR","s08_sr04",3
"s08",73,0.14,57,0.75,"1","SR","s08_sr05",3
"s08",42,0.1,3,0.37,"0.5","SR","s08_sr06",4
"s08",12,0.2,36,0.55,"0.5","SR","s08_sr07",4
"s08",39,0.77,65,0.99,"1","SR","s08_sr08",5
"s08",5,0.73,83,0.95,"1","SR","s08_sr09",5
"s08",7,0.05,1,0.01,"0","SR","s08_sr10",7
"s08",63,0.1,12,0.03,"1","SR","s08_sr11",6
"s08",33,0.12,27,0.41,"0.5","SR","s08_sr12",11
"s08",77,0.32,10,0.92,"0.5","SR","s08_sr13",12
"s08",1,0.94,66,0.77,"1","SR","s08_sr14",16
"s08",69,0.97,99,0.99,"1","SR","s08_sr15",19
"s08",71,0.96,94,1,"1","SR","s08_sr16",18
"s08",52,0.49,69,0.99,"1","SR","s08_sr17",2
"s08",64,0.58,4,0.03,"0.5","SR","s08_sr18",3
"s08",23,0.68,55,0.29,"1","SR","s08_sr19",4
"s08",56,0.89,78,0.99,"1","SR","s08_sr20",2
"s10",49,0.61,71,0.87,"0.5","SR","s10_sr01",1
"s10",75,0.91,91,0.95,"1","SR","s10_sr02",2
"s10",42,0.78,93,0.93,"1","SR","s10_sr03",2
"s10",48,0.83,93,0.96,"1","SR","s10_sr04",3
"s10",20,0.75,84,0.92,"1","SR","s10_sr05",3
"s10",9,0.78,90,0.89,"1","SR","s10_sr06",3
"s10",31,0.57,53,0.77,"0.5","SR","s10_sr07",3
"s10",80,0.5,48,0.44,"0","SR","s10_sr08",4
"s10",77,0.55,53,0.59,"0","SR","s10_sr09",4
"s10",70,0.65,66,0.55,"0","SR","s10_sr10",4
"s10",46,0.68,64,0.88,"0.5","SR","s10_sr11",6
"s10",28,0.63,55,0.74,"0.5","SR","s10_sr12",7
"s10",51,0.7,57,0.93,"0.5","SR","s10_sr13",9
"s10",5,0.31,25,0.56,"0.5","SR","s10_sr14",18
"s10",6,0.52,51,0.57,"0.5","SR","s10_sr15",18
"s10",3,0.64,61,0.58,"0","SR","s10_sr16",19
"s10",45,0.67,71,0.75,"0.5","SR","s10_sr17",19
"s10",52,0.59,30,0.68,"0","SR","s10_sr18",11
"s10",73,0.83,73,0.79,"0.5","SR","s10_sr19",7
"s10",32,0.69,60,0.73,"0.5","SR","s10_sr20",3
"s11",49,0,2,0.04,"1","SR","s11_sr01",1
"s11",64,0.02,0,0.63,"1","SR","s11_sr02",2
"s11",46,0.09,6,0.96,"1","SR","s11_sr03",3
"s11",78,0.04,2,0.92,"1","SR","s11_sr04",3
"s11",8,0.14,2,0.81,"1","SR","s11_sr05",3
"s11",65,0.99,97,1,"1","SR","s11_sr06",3
"s11",12,0.04,1,0.03,"1","SR","s11_sr07",5
"s11",7,0,1,0.01,"1","SR","s11_sr08",7
"s11",36,0.09,2,0.89,"1","SR","s11_sr09",9
"s11",32,0,0,0.81,"1","SR","s11_sr10",10
"s11",33,0.16,32,0.99,"1","SR","s11_sr11",15
"s11",56,0.01,3,0.02,"1","SR","s11_sr12",16
"s11",67,0.66,69,0.99,"1","SR","s11_sr13",18
"s11",25,0.04,17,0.98,"1","SR","s11_sr14",19
"s11",57,0.18,42,0.02,"1","SR","s11_sr15",19
"s11",28,0.17,1,0.9,"1","SR","s11_sr16",10
"s11",76,0.57,12,0.97,"1","SR","s11_sr17",11
"s11",72,0.02,2,0.89,"1","SR","s11_sr18",3
"s11",24,0.11,1,0.99,"1","SR","s11_sr19",3
"s11",42,0.1,2,0.75,"1","SR","s11_sr20",10
"s12",32,0,43,0.63,"0.5","SR","s12_sr01",2
"s12",17,0.09,13,0.26,"0","SR","s12_sr02",3
"s12",35,0.06,20,0.59,"0","SR","s12_sr03",3
"s12",3,0.38,39,0.64,"0.5","SR","s12_sr04",4
"s12",73,0.25,17,0.55,"0","SR","s12_sr05",4
"s12",16,0.26,43,0.84,"1","SR","s12_sr06",5
"s12",69,0.56,79,0.83,"0","SR","s12_sr07",7
"s12",74,0.67,58,0.91,"0.5","SR","s12_sr08",8
"s12",45,0.06,11,0.35,"0","SR","s12_sr09",8
"s12",49,0.29,19,0.09,"0","SR","s12_sr10",9
"s12",48,0.39,11,0.23,"0","SR","s12_sr11",9
"s12",25,0.62,74,0.76,"0","SR","s12_sr12",14
"s12",14,0.12,58,0.9,"1","SR","s12_sr13",16
"s12",56,0,0,0.02,"0","SR","s12_sr14",18
"s12",24,0.3,65,0.71,"0","SR","s12_sr15",18
