"Subj","Trial","Aes","Aes2","SelfR","Fam","Condition","Image","Question"
"s28",6,0.86,65,0.96,"0.5","SR","s28_sr16",3
"s28",22,0.49,53,0.55,"0","SR","s28_sr17",18
"s28",59,0.55,65,0.65,"0.5","SR","s28_sr18",18
"s28",35,0.57,81,0.92,"0.5","SR","s28_sr19",8
"s28",69,0.51,59,0.19,"0","SR","s28_sr20",19
"s29",34,0.29,14,0.09,"0","SR","s29_sr01",1
"s29",29,0.46,12,0.16,"0","SR","s29_sr02",2
"s29",72,0,11,0.35,"0","SR","s29_sr03",4
"s29",20,0.33,15,0.12,"0","SR","s29_sr04",4
"s29",28,0.47,11,0.13,"0","SR","s29_sr05",4
"s29",75,0.01,8,0.22,"0","SR","s29_sr06",5
"s29",4,0.23,9,0.07,"0","SR","s29_sr07",6
"s29",76,0.01,7,0.24,"0","SR","s29_sr08",7
"s29",16,0.28,25,0.08,"0","SR","s29_sr09",7
"s29",54,0.04,11,0.36,"0","SR","s29_sr10",9
"s29",35,0.43,48,0.3,"0","SR","s29_sr11",9
"s29",58,0.04,10,0.46,"0","SR","s29_sr12",11
"s29",22,0.37,16,0.03,"0","SR","s29_sr13",11
"s29",47,0.24,20,0.42,"0","SR","s29_sr14",11
"s29",70,0.18,13,0.52,"0","SR","s29_sr15",12
"s29",3,0.29,7,0.05,"0","SR","s29_sr16",16
"s29",9,0.21,3,0.19,"0","SR","s29_sr17",18
"s29",78,0.04,3,0.5,"0","SR","s29_sr18",18
"s29",49,0.68,50,0.62,"0","SR","s29_sr19",18
"s29",17,0.47,24,0.14,"0","SR","s29_sr20",19
"s30",47,0.63,75,0.98,"1","SR","s30_sr01",1
"s30",52,0.31,40,0.13,"0","SR","s30_sr02",2
"s30",9,0.39,32,0.14,"0.5","SR","s30_sr03",3
"s30",61,0.15,27,0.18,"0","SR","s30_sr04",3
"s30",53,0.25,31,0.06,"0","SR","s30_sr05",3
"s30",6,0.62,68,0.18,"0.5","SR","s30_sr06",3
"s30",77,0.2,26,0.03,"0","SR","s30_sr07",4
"s30",5,0.42,58,0.08,"0.5","SR","s30_sr08",4
"s30",65,0.23,22,0.1,"0","SR","s30_sr09",5
"s30",27,0.62,55,0.66,"0.5","SR","s30_sr10",6
"s30",46,0.45,46,0.38,"0","SR","s30_sr11",7
"s30",23,0.07,7,0.83,"0","SR","s30_sr12",9
"s30",59,0.29,18,0.67,"0","SR","s30_sr13",12
"s30",34,0.46,43,0.72,"0.5","SR","s30_sr14",16
"s30",11,0.16,29,0.21,"0","SR","s30_sr15",16
"s30",78,0.14,9,0.1,"0","SR","s30_sr16",18
"s30",72,0.29,15,0.3,"0","SR","s30_sr17",18
"s30",3,0.34,57,0.22,"0","SR","s30_sr18",19
"s30",32,0.55,56,0.65,"0","SR","s30_sr19",19
"s30",64,0.21,37,0.16,"0.5","SR","s30_sr20",4
"s31",74,0.25,26,0.99,"0","SR","s31_sr01",1
"s31",34,0.57,69,0.95,"0","SR","s31_sr02",2
"s31",50,0.77,88,0.94,"0","SR","s31_sr03",3
"s31",35,0.61,46,0.89,"0","SR","s31_sr04",3
"s31",3,0.79,86,0.55,"0","SR","s31_sr05",4
"s31",23,0.23,23,0.92,"0","SR","s31_sr06",5
"s31",43,0.74,79,0.97,"0","SR","s31_sr07",6
"s31",30,0.46,76,0.68,"0","SR","s31_sr08",7
"s31",18,0.46,55,0.8,"0","SR","s31_sr09",7
"s31",73,0.15,15,0.8,"0","SR","s31_sr10",9
"s31",54,0.2,12,0.81,"0","SR","s31_sr11",12
"s31",59,0.56,79,0.84,"0","SR","s31_sr12",12
"s31",22,0.25,66,0.68,"0","SR","s31_sr13",12
"s31",41,0.68,70,0.96,"0","SR","s31_sr14",12
"s31",64,0.14,6,0.24,"0","SR","s31_sr15",15
"s31",66,0.2,13,0.64,"0","SR","s31_sr16",18
"s31",49,0.31,5,0.93,"0","SR","s31_sr17",18
"s31",17,0.24,31,0.99,"0","SR","s31_sr18",19
"s31",45,0.54,66,0.82,"0","SR","s31_sr19",19
"s31",6,0.37,28,0.22,"0","SR","s31_sr20",19
"s32",7,0.24,47,0.48,"0.5","SR","s32_sr01",1
"s32",47,0.23,19,0.07,"0","SR","s32_sr02",2
"s32",31,0.17,6,0.04,"0","SR","s32_sr03",3
"s32",46,0.09,17,0.41,"0.5","SR","s32_sr04",3
"s32",78,0.35,33,0.53,"0.5","SR","s32_sr05",3
"s32",58,0.57,47,0.79,"1","SR","s32_sr06",3
"s32",38,0.2,7,0.09,"0","SR","s32_sr07",4
"s32",51,0.13,26,0.08,"0.5","SR","s32_sr08",4
"s32",63,0.11,35,0.63,"0.5","SR","s32_sr09",5
"s32",8,0.2,44,0.93,"1","SR","s32_sr10",6
"s32",27,0.41,34,0.63,"0.5","SR","s32_sr11",7
"s32",22,0.21,17,0,"0","SR","s32_sr12",10
"s32",59,0.12,4,0.51,"0.5","SR","s32_sr13",11
"s32",40,0.11,15,0.92,"0.5","SR","s32_sr14",12
"s32",17,0.07,25,0.48,"0.5","SR","s32_sr15",15
"s32",15,0.04,13,0.45,"0.5","SR","s32_sr16",18
"s32",32,0.07,5,0.13,"0.5","SR","s32_sr17",18
"s32",64,0.04,17,0.59,"0.5","SR","s32_sr18",18
"s32",36,0.15,7,0.08,"0.5","SR","s32_sr19",18
"s32",75,0.33,24,0.79,"0.5","SR","s32_sr20",19
"s33",37,0.6,90,0.98,"0.5","SR","s33_sr01",2
"s33",49,0.44,34,0.7,"1","SR","s33_sr02",2
"s33",71,0.3,26,0.42,"0.5","SR","s33_sr03",3
"s33",59,0.46,46,0.59,"1","SR","s33_sr04",3
"s33",34,0.35,17,0.03,"0","SR","s33_sr05",4
"s33",60,0.18,26,0.04,"0.5","SR","s33_sr06",4
"s33",22,0.27,30,0.11,"0.5","SR","s33_sr07",4
"s33",7,0.29,52,0.99,"1","SR","s33_sr08",6
"s33",10,0.55,66,0.24,"1","SR","s33_sr09",7
"s33",26,0.69,100,0.12,"1","SR","s33_sr10",7
"s33",33,0.78,93,0.99,"1","SR","s33_sr11",9
"s33",30,0.46,80,1,"1","SR","s33_sr12",9
"s33",1,0.61,46,0.82,"1","SR","s33_sr13",11
"s33",39,0.36,13,0.06,"1","SR","s33_sr14",12
"s33",11,0.18,35,0.92,"1","SR","s33_sr15",12
"s33",25,0.19,21,0.24,"0.5","SR","s33_sr16",15
"s33",44,0.53,37,0.98,"1","SR","s33_sr17",18
"s33",65,0.56,52,0.99,"1","SR","s33_sr18",18
"s33",78,0.47,63,0.1,"1","SR","s33_sr19",19
"s33",43,0.73,98,0.99,"1","SR","s33_sr20",19
"s34",44,0.48,50,1,"0","SR","s34_sr01",1
"s34",32,0.46,45,0.92,"0","SR","s34_sr02",2
"s34",10,0.44,29,0.57,"0","SR","s34_sr03",3
"s34",22,0.25,19,0.24,"0","SR","s34_sr04",3
"s34",47,0.4,23,0.54,"0","SR","s34_sr05",3
"s34",21,0.19,30,0.27,"0","SR","s34_sr06",3
"s34",59,0.49,47,0.79,"0","SR","s34_sr07",3
"s34",74,0.5,43,0.56,"0","SR","s34_sr08",4
"s34",71,0.32,18,0.35,"0","SR","s34_sr09",5
"s34",55,0.23,26,0.82,"0","SR","s34_sr10",11
"s34",48,0.48,32,0.67,"0","SR","s34_sr11",11
"s34",51,0.43,48,0.9,"0","SR","s34_sr12",12
"s34",80,0.43,37,0.51,"0","SR","s34_sr13",12
"s34",42,0.34,36,0.79,"0","SR","s34_sr14",12
"s34",70,0.42,46,0.86,"0","SR","s34_sr15",16
"s34",56,0.23,27,0.92,"0","SR","s34_sr16",8
"s34",37,0.23,24,0.17,"0","SR","s34_sr17",18
"s34",16,0.61,51,0.78,"0","SR","s34_sr18",18
"s34",3,0.57,40,0.55,"0","SR","s34_sr19",18
"s34",38,0.33,25,0.81,"0","SR","s34_sr20",11
"s35",59,0.86,82,0.52,"0.5","SR","s35_sr01",2
"s35",43,0.66,57,0.29,"0","SR","s35_sr02",3
"s35",25,0.54,54,0.56,"0.5","SR","s35_sr03",3
"s35",53,0.77,71,0.17,"0","SR","s35_sr04",3
"s35",19,0.74,60,0.61,"0.5","SR","s35_sr05",4
"s35",65,0.77,80,0.6,"0","SR","s35_sr06",5
"s35",56,0.34,94,0.99,"1","SR","s35_sr07",6
"s35",5,0.91,100,0.78,"1","SR","s35_sr08",7
"s35",6,0.41,43,0.55,"0","SR","s35_sr09",12
"s35",20,0.95,84,0.82,"1","SR","s35_sr10",16
"s35",3,0.9,72,0.4,"0.5","SR","s35_sr11",16
"s35",29,0.78,48,0.86,"1","SR","s35_sr12",18
"s35",75,0.35,4,0.06,"0.5","SR","s35_sr13",18
"s35",58,0.32,65,0.84,"1","SR","s35_sr14",18
"s35",48,0.24,37,0.37,"0","SR","s35_sr15",11
"s35",79,0.28,38,0.43,"0.5","SR","s35_sr16",11
"s35",11,0.65,43,0.06,"0","SR","s35_sr17",10
"s35",80,0.58,35,0.27,"0.5","SR","s35_sr18",1
"s35",13,0.57,6,0.95,"1","SR","s35_sr19",11
"s35",44,0.09,53,0.76,"1","SR","s35_sr20",9
"s36",22,0.62,87,0.99,"1","SR","s36_sr01",1
"s36",38,0.61,76,0.75,"0.5","SR","s36_sr02",2
"s36",56,0.61,61,0.55,"1","SR","s36_sr03",3
"s36",28,0.49,69,1,"1","SR","s36_sr04",3
"s36",62,0.55,72,0.84,"1","SR","s36_sr05",3
"s36",16,0.48,37,0.22,"0.5","SR","s36_sr06",3
"s36",25,0.12,39,0.55,"0.5","SR","s36_sr07",4
"s36",76,0.62,49,0.46,"1","SR","s36_sr08",5
"s36",75,0.7,61,0.73,"1","SR","s36_sr09",6
"s36",61,0.16,24,0.84,"0","SR","s36_sr10",9
"s36",78,0.05,43,0.73,"0","SR","s36_sr11",10
"s36",52,0.01,0,0.86,"0","SR","s36_sr12",12
"s36",6,0.61,65,0.17,"1","SR","s36_sr13",16
"s36",23,0.74,91,0.99,"1","SR","s36_sr14",16
"s36",33,0.01,1,0.73,"0","SR","s36_sr15",18
"s36",2,0.01,1,0.11,"0","SR","s36_sr16",18
"s36",70,0.07,62,0.85,"0","SR","s36_sr17",18
"s36",1,0.44,0,0.47,"0","SR","s36_sr18",19
"s36",68,0.53,47,0.16,"0","SR","s36_sr19",19
"s36",37,0.01,0,0.79,"0","SR","s36_sr20",11
"s40",25,0.14,5,0.13,"0","SR","s40_sr01",1
"s40",51,0.3,4,0.31,"0","SR","s40_sr02",2
"s40",13,0.18,6,0.27,"0.5","SR","s40_sr03",3
"s40",71,0.04,6,0.27,"0","SR","s40_sr04",3
"s40",80,0.41,14,0,"0","SR","s40_sr05",4
"s40",41,0.57,52,0.17,"0","SR","s40_sr06",6
"s40",62,0.8,45,0.08,"0","SR","s40_sr07",7
"s40",2,0.49,23,0.91,"0","SR","s40_sr08",8
"s40",4,0.77,61,0.54,"0","SR","s40_sr09",10
"s40",57,0.46,26,0.06,"0","SR","s40_sr10",10
"s40",75,0.11,5,0.87,"0","SR","s40_sr11",11
"s40",31,0.22,7,0.03,"0","SR","s40_sr12",11
"s40",8,0.08,0,0.16,"0","SR","s40_sr13",12
"s40",1,0.2,13,0.39,"0","SR","s40_sr14",12
"s40",72,0,6,0.25,"0","SR","s40_sr15",18
"s40",48,0.22,2,0.05,"0","SR","s40_sr16",18
"s40",40,0.61,61,0.56,"0","SR","s40_sr17",19
"s40",19,0.37,61,0.44,"0","SR","s40_sr18",19
"s40",9,0.42,43,0.35,"0","SR","s40_sr19",19
"s40",33,0.84,96,0.94,"0.5","SR","s40_sr20",19
"s41",39,0.6,59,0.81,"0.5","SR","s41_sr01",1
"s41",64,0.16,20,0.3,"0","SR","s41_sr02",2
"s41",69,0.53,76,0.85,"0.5","SR","s41_sr03",3
"s41",59,0.26,47,0.13,"0","SR","s41_sr04",3
"s41",30,0.48,18,0.48,"0","SR","s41_sr05",3
"s41",34,0.22,30,0.13,"0","SR","s41_sr06",3
"s41",56,0.17,23,0.18,"0.5","SR","s41_sr07",4
"s41",12,0.17,30,0.13,"0.5","SR","s41_sr08",4
"s41",11,0.3,22,0.34,"0","SR","s41_sr09",4
"s41",17,0.19,25,0.43,"0","SR","s41_sr10",6
"s41",35,0.36,38,0.4,"0","SR","s41_sr11",7
"s41",80,0.16,34,0.09,"0","SR","s41_sr12",10
"s41",42,0.35,15,0.44,"0","SR","s41_sr13",11
"s41",29,0.18,16,0.69,"0","SR","s41_sr14",11
"s41",23,0.1,11,0.65,"0","SR","s41_sr15",12
"s41",67,0.35,15,0.78,"0.5","SR","s41_sr16",12
"s41",73,0.16,10,0.08,"0","SR","s41_sr17",16
"s41",41,0.47,23,0.39,"0","SR","s41_sr18",19
"s41",16,0.25,18,0.32,"0.5","SR","s41_sr19",16
"s41",7,0.3,25,0.55,"0","SR","s41_sr20",15
"s43",51,0.6,16,0.99,"0","SR","s43_sr01",1
"s43",40,0.9,96,0.99,"0","SR","s43_sr02",2
"s43",3,0.51,80,0.74,"0.5","SR","s43_sr03",2
"s43",27,0.7,92,0.99,"0.5","SR","s43_sr04",3
"s43",33,0.73,80,1,"0.5","SR","s43_sr05",3
"s43",78,0.74,70,1,"0","SR","s43_sr06",3
"s43",57,0.84,93,0.99,"0","SR","s43_sr07",4
"s43",60,0.67,84,0.5,"0","SR","s43_sr08",4
"s43",45,0.67,44,0.43,"0","SR","s43_sr09",5
"s43",24,0.63,58,0.99,"0","SR","s43_sr10",6
"s43",59,0.63,80,0.91,"0","SR","s43_sr11",7
"s43",26,0.58,65,0.94,"0","SR","s43_sr12",9
"s43",9,0.32,61,0.82,"0","SR","s43_sr13",11
"s43",20,0.75,95,0.99,"0.5","SR","s43_sr14",11
"s43",48,0.61,20,0.91,"0","SR","s43_sr15",16
"s43",39,0.87,94,1,"0","SR","s43_sr16",16
"s43",50,0.78,84,1,"0.5","SR","s43_sr17",18
"s43",79,0.6,61,0.97,"0","SR","s43_sr18",18
"s43",69,0.63,59,0.75,"0","SR","s43_sr19",19
"s43",36,0.78,72,0.97,"0","SR","s43_sr20",4
"s44",30,0.33,50,0.36,"0.5","SR","s44_sr01",1
"s44",41,0.23,51,0.34,"0","SR","s44_sr02",2
"s44",78,0.83,90,0.57,"0","SR","s44_sr03",3
"s44",54,0.64,70,0.87,"0","SR","s44_sr04",3
"s44",48,0.82,82,0.61,"0","SR","s44_sr05",3
"s44",3,0.19,84,0.64,"0","SR","s44_sr06",3
"s44",24,0.89,88,0.87,"0","SR","s44_sr07",3
"s44",21,0.73,76,0.74,"0","SR","s44_sr08",4
"s44",36,0.27,88,0.82,"0","SR","s44_sr09",6
"s44",57,0.76,78,0.97,"0","SR","s44_sr10",9
"s44",22,0.06,9,0.1,"0","SR","s44_sr11",12
"s44",55,0.49,67,0.9,"0","SR","s44_sr12",12
"s44",72,0.51,53,0.64,"0","SR","s44_sr13",12
"s44",61,0.14,24,0.39,"0","SR","s44_sr14",18
"s44",33,0.03,4,0.05,"0","SR","s44_sr15",18
"s44",42,0.25,15,0.62,"0","SR","s44_sr16",18
"s44",31,0.24,37,0.84,"0","SR","s44_sr17",19
"s44",2,0.3,13,0.56,"0","SR","s44_sr18",7
"s44",12,0.49,81,0.78,"0","SR","s44_sr19",10
"s44",45,0.47,79,0.27,"0","SR","s44_sr20",10
"s45",6,0.92,75,1,"1","SR","s45_sr01",1
"s45",51,0.31,34,0.12,"0","SR","s45_sr02",2
"s45",30,0.7,77,0.97,"1","SR","s45_sr03",3
"s45",60,0.76,81,0.89,"1","SR","s45_sr04",3
"s45",38,0.75,77,0.89,"1","SR","s45_sr05",3
"s45",31,0.67,76,0.86,"0.5","SR","s45_sr06",3
"s45",7,0.8,73,0.95,"0.5","SR","s45_sr07",4
"s45",9,0.49,69,0.78,"0.5","SR","s45_sr08",4
"s45",12,0.65,60,0.47,"0","SR","s45_sr09",4
"s45",48,0.56,58,0.61,"0.5","SR","s45_sr10",6
"s45",24,0.58,66,0.58,"0.5","SR","s45_sr11",7
"s45",62,0.73,75,0.85,"1","SR","s45_sr12",9
"s45",72,0.82,77,0.84,"1","SR","s45_sr13",9
"s45",74,0.81,77,0.86,"1","SR","s45_sr14",11
"s45",39,0.56,58,0.67,"1","SR","s45_sr15",11
"s45",19,0.53,82,0.93,"1","SR","s45_sr16",12
"s45",20,0.65,82,0.96,"1","SR","s45_sr17",16
"s45",47,0.16,38,0.56,"1","SR","s45_sr18",18
"s45",56,0.43,58,0.57,"0.5","SR","s45_sr19",18
"s45",26,0.73,74,0.81,"1","SR","s45_sr20",19
"s46",75,0.01,7,0.45,"0","SR","s46_sr01",1
"s46",30,0.04,10,0.86,"0","SR","s46_sr02",2
"s46",51,0.55,74,0.92,"0","SR","s46_sr03",3
"s46",21,0.97,89,0.98,"0","SR","s46_sr04",3
"s46",43,0.99,99,0.99,"0","SR","s46_sr05",3
"s46",50,0.75,86,0.97,"0","SR","s46_sr06",3
"s46",74,0.85,89,0.95,"0","SR","s46_sr07",3
"s46",72,0.31,26,0.1,"0","SR","s46_sr08",4
"s46",69,0.15,28,0.27,"0","SR","s46_sr09",5
"s46",33,0.77,38,0.85,"0","SR","s46_sr10",6
"s46",57,0.22,53,0.56,"0","SR","s46_sr11",7
"s46",19,0.88,95,0.96,"0","SR","s46_sr12",8
"s46",9,0.04,19,0.95,"0","SR","s46_sr13",9
"s46",7,0.82,86,0.76,"0","SR","s46_sr14",11
"s46",42,0.07,11,0.95,"0","SR","s46_sr15",12
"s46",62,0.99,98,1,"0","SR","s46_sr16",15
"s46",61,0.99,99,0.99,"0","SR","s46_sr17",15
"s46",34,0.56,62,0.61,"0","SR","s46_sr18",18
"s46",25,0.4,48,0.59,"0","SR","s46_sr19",18
"s46",55,0.06,11,0.56,"0","SR","s46_sr20",19
"s47",78,1,100,0.99,"1","SR","s47_sr01",1
"s47",55,0.49,31,0.61,"0.5","SR","s47_sr02",2
"s47",56,0.49,40,0.15,"0.5","SR","s47_sr03",3
"s47",69,0.31,45,0.84,"0.5","SR","s47_sr04",3
"s47",1,0.57,47,0.73,"0.5","SR","s47_sr05",3
"s47",72,0.49,48,0.17,"0","SR","s47_sr06",4
"s47",46,0.39,44,0.17,"0","SR","s47_sr07",4
"s47",6,0.57,52,0.5,"0","SR","s47_sr08",4
"s47",66,0.23,44,0.54,"0","SR","s47_sr09",5
"s47",12,0.59,31,0.67,"0.5","SR","s47_sr10",6
"s47",7,0.57,75,0.49,"1","SR","s47_sr11",7
"s47",59,0.19,37,0.61,"0","SR","s47_sr12",8
"s47",32,0.69,49,0.18,"0","SR","s47_sr13",9
"s47",34,0.62,78,0.61,"0.5","SR","s47_sr14",11
"s47",41,0.66,84,0.5,"0","SR","s47_sr15",12
"s47",45,0.29,0,0.68,"0","SR","s47_sr16",18
"s47",36,0.23,12,0.46,"0","SR","s47_sr17",18
"s47",60,0.51,44,0.7,"0","SR","s47_sr18",18
"s47",21,0.53,55,0.8,"0","SR","s47_sr19",19
"s47",31,0.74,100,0.98,"1","SR","s47_sr20",19
"s48",3,0.37,12,0.28,"0","SR","s48_sr01",1
"s48",26,0.08,25,0.21,"0","SR","s48_sr02",2
"s48",25,0.17,5,0.14,"0","SR","s48_sr03",3
"s48",12,0,29,0,"0","SR","s48_sr04",3
"s48",80,0.05,7,0.14,"0","SR","s48_sr05",3
"s48",9,0.26,17,0.81,"0","SR","s48_sr06",4
"s48",35,0.23,12,0.15,"0","SR","s48_sr07",5
"s48",75,0.16,7,0.78,"0","SR","s48_sr08",6
"s48",15,0.41,9,0.12,"0","SR","s48_sr09",7
"s48",69,0.28,7,0.79,"0","SR","s48_sr10",9
"s48",74,0.14,7,0.65,"0","SR","s48_sr11",9
"s48",22,0.11,3,0.36,"0","SR","s48_sr12",10
"s48",49,0,0,0.12,"0","SR","s48_sr13",11
"s48",47,0.15,0,0.12,"0","SR","s48_sr14",16
"s48",40,0,1,0.11,"0","SR","s48_sr15",18
"s48",36,0,0,0.12,"0","SR","s48_sr16",18
"s48",45,0.11,6,0.16,"0","SR","s48_sr17",18
"s48",21,0.16,11,0.61,"0","SR","s48_sr18",19
"s48",60,0.1,9,0.11,"0","SR","s48_sr19",19
"s48",50,0.03,16,0.11,"0","SR","s48_sr20",11
"s51",44,1,100,1,"0.5","SR","s51_sr01",1
"s51",16,0.91,92,1,"0.5","SR","s51_sr02",2
"s51",32,0.92,90,1,"0.5","SR","s51_sr03",3
"s51",59,0.86,92,0.97,"0","SR","s51_sr04",3
"s51",5,0.94,85,0.83,"0.5","SR","s51_sr05",4
"s51",17,0.8,90,0.91,"0","SR","s51_sr06",4
"s51",37,1,79,0.99,"0.5","SR","s51_sr07",4
"s51",20,0.77,80,0.86,"0.5","SR","s51_sr08",4
"s51",57,0.72,89,0.97,"0","SR","s51_sr09",5
"s51",78,0.93,94,1,"0","SR","s51_sr10",6
"s51",1,0.27,17,0.54,"0.5","SR","s51_sr11",9
"s51",14,0.83,100,1,"0","SR","s51_sr12",12
"s51",56,0.99,75,0.99,"0","SR","s51_sr13",12
"s51",25,0.9,84,1,"0","SR","s51_sr14",12
"s51",72,0.67,77,0.72,"0","SR","s51_sr15",18
"s51",64,0.75,82,0.9,"0","SR","s51_sr16",18
"s51",48,0.81,100,1,"0.5","SR","s51_sr17",18
"s51",63,0.77,83,0.92,"0","SR","s51_sr18",18
"s51",31,0.97,100,1,"0","SR","s51_sr19",19
"s51",45,0.92,100,1,"0.5","SR","s51_sr20",7
"s52",37,0.99,99,0.99,"1","SR","s52_sr01",1
"s52",65,0.46,50,0.49,"0","SR","s52_sr02",2
"s52",49,0.74,79,0.78,"1","SR","s52_sr03",3
"s52",22,0.81,73,0.73,"1","SR","s52_sr04",3
"s52",76,0.79,82,0.65,"0.5","SR","s52_sr05",3
"s52",64,0.85,84,0.75,"1","SR","s52_sr06",3
"s52",44,0.76,75,0.48,"0.5","SR","s52_sr07",3
"s52",61,0.9,85,0.75,"1","SR","s52_sr08",4
"s52",24,0.6,60,0.69,"0.5","SR","s52_sr09",4
"s52",3,0.73,77,0.64,"0.5","SR","s52_sr10",4
"s52",80,0.99,100,0.99,"1","SR","s52_sr11",4
"s52",67,0.59,61,0.77,"1","SR","s52_sr12",4
"s52",25,1,99,1,"1","SR","s52_sr13",6
"s52",56,0.99,99,0.99,"1","SR","s52_sr14",7
"s52",9,0.41,50,0.49,"0","SR","s52_sr15",11
"s52",17,0.8,78,0.64,"0","SR","s52_sr16",13
"s52",33,0.67,49,0.78,"1","SR","s52_sr17",18
"s52",18,0.63,48,0.74,"1","SR","s52_sr18",18
"s52",50,0.51,49,0.8,"1","SR","s52_sr19",18
"s52",36,0.85,85,0.94,"1","SR","s52_sr20",19
