"Temperature_t1","Temperature_t2","socialdiversity","Site","DEQ","ALEX1","ALEX2","ALEX3","ALEX4","ALEX5","ALEX6","ALEX7","ALEX8","ALEX9","ALEX10","ALEX11","ALEX12","ALEX13","ALEX14","ALEX15","ALEX16","langfamily"
36.5,36.5,7,"Serbia",44.81860352,1,1,1,3,2,1,2,1,5,2,2,1,1,2,5,2,1
36.44444444,36.72222222,10,"VCU",37.61920166,2,2,2,2,2,3,4,2,2,2,2,2,2,2,2,2,1
36.6,36.7,5,"Oxford",51.75,2,5,1,4,1,1,5,5,1,4,1,4,5,3,4,3,1
36.61111111,36.72222222,8,"VCU",37.55220032,4,4,2,2,4,2,4,2,4,2,2,2,3,2,3,2,1
36.7,36.7,9,"Poland",52.23330688,3,2,3,2,3,3,4,2,1,3,3,3,4,1,2,2,1
36.7,36.7,6,"METU",39.91169739,1,2,1,2,1,2,2,2,4,1,1,2,2,4,3,5,2
36.8,36.8,9,"Poland",52.25,2,2,2,2,1,2,2,1,1,1,1,3,3,1,2,2,1
35.6,35.5,7,"Bamberg",55.69999695,2,2,3,2,2,1,2,2,3,1,1,1,4,2,3,2,1
35.3,36.1,5,"Kassel",51.30560303,2,2,2,3,2,3,3,2,2,3,2,2,3,2,3,1,1
35.8,35.6,6,"Oxford",51.75,4,2,2,2,2,2,3,2,2,4,3,2,2,2,2,1,1
35.6,36,6,"Bamberg",51.3717041,2,2,2,2,2,2,2,1,3,1,1,2,1,1,3,1,1
35.6,36.4,8,"Kassel",51.28779602,1,2,1,2,1,1,1,2,1,1,1,3,3,2,3,2,1
36,36.1,6,"Kassel",50.0874939,1,2,2,3,1,2,2,1,2,1,1,2,1,2,3,1,1
35.8,36.4,5,"Kassel",51.30560303,2,2,1,4,2,2,2,2,2,2,2,2,2,4,2,2,1
36.1,36.2,9,"Zurich",46.98049927,2,2,1,2,2,2,2,2,2,2,2,2,2,2,4,2,1
36.2,36.4,8,"Oslo",60.14149475,2,4,1,4,2,2,4,4,4,2,3,4,3,2,3,3,1
36.2,36.4,8,"METU",39.91169739,3,4,4,4,3,3,4,5,4,4,4,4,5,2,5,3,2
36.3,36.5,6,"Kassel",51.31669617,2,2,1,2,3,1,4,2,2,3,2,2,2,1,2,1,1
36.5,36.3,7,"METU",39.91169739,3,4,1,3,4,1,4,3,3,3,2,2,2,2,4,1,2
36.4,36.5,7,"METU",39.92300415,2,2,2,2,2,2,3,2,2,2,2,2,2,3,3,2,2
36.4,36.59,8,"Bamberg",49.6000061,3,3,2,3,2,2,4,2,4,2,1,3,3,2,3,2,1
36.5,36.5,8,"Serbia",44.81860352,1,3,1,4,1,1,4,3,2,2,1,1,1,1,2,1,1
36.4,36.6,8,"METU",39.91169739,1,1,1,1,1,2,2,2,1,2,2,3,3,1,3,3,2
36.4,36.7,5,"Oxford",51.75,3,4,2,2,4,4,4,4,2,3,2,2,2,2,2,2,1
36.5,36.6,8,"Tsinghua",39.92889404,4,4,3,2,4,3,4,3,4,3,2,1,4,2,4,2,3
36.5,36.7,7,"Serbia",44.81860352,1,1,1,1,1,2,1,1,1,1,1,2,1,2,2,2,1
36.5,36.8,9,"Serbia",44.81860352,1,1,1,2,2,1,1,1,1,1,1,3,4,1,2,3,1
36.7,36.7,7,"METU",39.91169739,3,2,2,2,2,2,2,3,2,2,2,2,2,2,4,2,2
36.9,37,5,"Oxford",51.75,2,3,4,5,3,4,2,4,4,3,2,2,4,2,4,3,1
34.3,36.5,5,"Oxford",51.75,3,2,1,2,2,4,2,4,3,3,3,3,2,3,2,2,1
36.3,35.6,5,"METU",39.91169739,3,4,2,4,4,3,4,3,2,4,3,3,3,2,3,3,2
35.9,36.2,5,"Chile",33.44999695,3,4,1,4,2,2,3,2,4,2,1,1,3,2,4,1,1
36,36.1,6,"METU",39.91169739,2,3,4,3,4,2,4,2,2,2,2,2,1,2,2,2,2
35.8,36.6,6,"Oxford",51.75,4,5,2,3,2,3,4,3,5,4,4,3,3,3,5,3,1
36.1,36.4,6,"METU",39.92300415,4,2,2,2,2,2,4,2,3,2,4,2,4,1,3,1,2
36.4,36.1,8,"Portugal",38.71670532,1,5,1,2,1,1,1,1,4,1,1,3,3,1,4,1,1
36.2,36.4,9,"Tsinghua",39.92889404,2,2,4,2,2,4,2,2,2,2,2,2,2,2,3,2,3
36.5,36.3,7,"Oxford",51.75,2,4,4,3,2,4,4,2,4,2,2,2,4,2,2,2,1
36,36.8,5,"Oxford",51.75,2,2,2,2,2,1,2,2,2,2,1,2,3,2,4,3,1
36.3,36.5,7,"Oxford",51.75,2,2,3,2,3,2,2,1,2,2,1,2,1,1,2,1,1
36.42,36.41,7,"Kassel",50.09770203,2,4,2,3,3,2,3,3,2,2,2,2,2,1,3,1,1
36.4,36.5,7,"Chile",40.75450134,3,1,1,1,3,4,1,1,1,2,2,3,2,1,1,1,1
36,37,7,"Chile",40.90829468,3,1,2,1,2,3,4,1,1,2,2,2,2,1,1,1,1
36.3,36.7,6,"METU",39.91169739,5,3,1,2,2,2,2,2,2,1,5,2,4,2,1,2,2
36.4,36.7,8,"Tsinghua",39.92889404,2,4,2,2,3,2,4,2,3,2,2,2,1,2,3,1,3
36.5,36.7,7,"Kassel",51.19999695,1,2,1,2,1,1,1,2,1,1,2,4,2,1,3,3,1
37,36.5,7,"Poland",50.3500061,2,2,4,3,4,4,4,2,4,2,1,2,2,2,2,2,1
36.8,36.7,8,"METU",39.91169739,1,1,1,2,1,2,1,1,1,1,1,2,1,2,1,2,2
36.7,36.9,8,"Kassel",48.96670532,1,1,1,1,1,1,1,1,1,1,2,1,2,2,1,1,1
37,37.3,7,"Bamberg",49.30000305,3,4,2,4,3,4,4,3,4,5,3,2,2,2,5,2,1
37.3,37,9,"Bamberg",48.11669922,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,1
37.2,37.2,8,"Tsinghua",39.92889404,4,2,4,4,4,4,4,4,4,4,2,2,2,4,4,2,3
38.1,38.1,8,"Poland",54.36079407,2,3,1,3,3,2,3,2,3,2,2,2,2,2,2,2,1
34.6,36.2,6,"Oxford",51.75,2,3,1,4,1,2,3,2,2,2,1,2,2,3,3,4,1
34.6,36.2,5,"Oxford",51.75,2,2,1,3,2,2,2,2,2,2,2,2,2,4,4,3,1
35.6,35.7,5,"METU",39.91169739,3,4,4,4,4,4,4,3,2,3,3,4,4,2,4,3,2
35.4,35.9,8,"Kassel",51.31520081,1,2,1,2,3,2,1,1,2,1,1,2,2,5,3,1,1
35.6,35.8,5,"METU",39.91169739,3,4,2,4,4,3,4,4,4,4,3,3,4,3,3,3,2
35.5,36.1,7,"Kassel",51.28779602,2,3,4,2,2,4,4,4,3,2,3,1,2,2,2,2,1
35.9,35.8,5,"Southampton",50.917099,3,2,1,3,2,1,2,3,1,2,1,3,2,2,3,2,1
36,35.9,7,"Poland",54.5,3,2,1,2,1,2,3,2,1,2,2,4,2,1,2,1,1
35.5,36.4,6,"Oxford",51.75,2,3,1,1,2,2,3,1,1,2,1,1,1,1,3,2,1
35.6,36.4,7,"Oslo",59.91270447,2,2,1,3,2,1,3,3,3,1,1,2,2,1,2,1,1
35.8,36.2,5,"SMU",1.293106079,2,2,2,2,2,4,4,2,2,2,2,3,2,2,2,2,1
36,36.1,5,"Serbia",44.81860352,3,2,1,2,2,2,2,2,2,2,2,2,2,4,4,2,1
36,36.1,7,"Kassel",51,1,2,1,2,1,1,2,2,4,1,1,1,1,3,4,2,1
35.9,36.2,8,"Kassel",51.28779602,2,3,1,2,1,1,2,2,1,1,2,2,2,1,3,2,1
36.09,36.02,5,"Zurich",NA,2,2,1,4,3,1,4,2,1,3,2,2,2,1,2,2,1
35.94444444,36.22222222,6,"VCU",37.44259644,3,4,2,3,4,3,4,3,4,2,3,2,3,1,2,2,1
35.6,36.6,6,"Oxford",51.75,4,5,4,5,4,4,4,4,3,4,2,2,3,3,4,3,1
35.76,36.48,6,"Kassel",50.13330078,4,4,4,4,4,3,4,2,4,4,4,2,2,2,4,2,1
36.1,36.4,8,"SMU",1.293106079,4,4,4,4,4,4,4,4,3,4,4,2,3,2,3,2,1
36.1,36.5,8,"Tsinghua",39.92889404,4,2,2,3,3,4,2,3,3,5,2,2,4,1,4,2,3
36.3,36.4,7,"SMU",1.293106079,2,4,2,4,2,2,2,4,2,2,1,1,2,2,3,2,1
36.5,36.3,7,"Serbia",44.81860352,2,4,2,2,2,1,2,2,4,1,1,3,3,3,4,3,1
36.56,36.26,9,"Poland",54.58329773,2,1,2,1,1,2,2,2,3,1,2,1,1,1,2,1,1
36.26,36.59,6,"Kassel",51.31950378,2,2,1,2,2,2,3,2,3,2,1,2,2,2,1,1,1
36.38888889,36.5,7,"VCU",37.51600647,2,4,2,3,2,2,2,2,2,2,2,3,3,2,4,2,1
36.5,36.5,6,"Serbia",44.81860352,1,3,1,5,2,1,1,1,1,1,2,4,1,5,1,4,1
36.5,36.5,7,"Poland",52.25,2,2,2,2,2,3,2,2,2,2,2,3,3,2,3,1,1
36.2,36.8,6,"Kassel",49.14230347,2,4,1,1,4,4,4,2,2,4,4,2,1,1,4,1,1
36.4,36.6,10,"Kassel",50.6000061,3,3,3,2,3,3,1,1,3,1,3,3,3,2,4,3,1
36.5,36.6,7,"Tsinghua",39.92889404,4,2,4,2,2,2,2,4,4,3,4,4,2,1,2,2,3
36.7,36.6,8,"Poland",52.25,2,3,2,2,2,2,2,2,2,2,2,4,2,2,2,1,1
36.3,37.1,8,"Tsinghua",39.92889404,2,2,4,3,2,4,3,3,3,2,4,2,3,2,3,2,3
36.83333333,36.77777778,8,"VCU",37.55769348,4,4,1,4,2,4,4,2,2,4,2,2,2,2,2,2,1
34,36.2,5,"Oxford",51.75,1,1,1,2,3,1,1,2,1,1,1,3,3,2,1,2,1
34.1,36.2,8,"Oxford",51.75,3,2,2,3,2,3,3,2,3,2,3,2,2,3,3,3,1
34.6,35.7,6,"SMU",1.293106079,2,2,3,2,2,3,4,2,2,2,2,2,2,2,4,2,1
35.3,35.2,6,"METU",39.91169739,2,2,2,2,2,2,2,2,2,2,2,3,3,3,4,2,2
34.11111111,36.55555556,5,"VCU",37.55380249,4,5,4,1,5,5,5,5,5,4,3,2,5,1,5,1,1
35.3,35.9,6,"Zurich",47.39990234,2,2,2,2,3,2,4,2,2,3,2,2,3,2,3,2,1
35.5,35.7,6,"Kassel",52.40969849,2,1,2,1,3,3,2,2,1,3,3,1,2,2,2,1,1
35.3,36.1,6,"Oxford",51.75,2,1,1,5,2,2,3,4,1,1,2,1,2,4,4,2,1
35.8,35.7,5,"SMU",NA,2,3,3,3,1,2,3,2,2,2,1,2,2,2,3,2,1
35.7,35.8,8,"Serbia",44.81860352,2,2,1,1,4,3,4,2,1,2,3,2,3,2,3,1,1
35.6,36,7,"Oslo",NA,2,1,2,2,2,1,1,2,2,1,1,2,3,3,4,2,1
35.8,35.8,6,"SMU",1.293106079,3,4,2,4,2,2,4,4,4,4,3,2,2,3,4,4,1
35.7,36,7,"Bamberg",48.1499939,2,2,2,2,2,2,2,2,1,1,4,2,2,2,2,5,1
35.7,36.1,5,"Oxford",51.75,2,2,1,2,2,2,2,3,3,2,2,1,1,4,4,2,1
35.8,36,8,"Poland",54.3500061,3,4,2,4,4,3,4,2,2,3,2,3,2,1,3,3,1
35.4,36.4,7,"Oslo",59.91670227,3,2,4,2,3,4,4,2,2,4,3,1,2,1,2,2,1
35.8,36,6,"METU",39.91169739,2,2,3,2,2,2,2,2,3,2,2,2,2,2,4,2,2
36.13,35.69,7,"Zurich",47.36669922,4,4,2,4,3,2,2,4,1,3,2,2,3,1,3,1,1
35.9,36,7,"Kassel",51.30830383,2,2,2,2,2,1,3,1,1,2,2,1,1,1,3,1,1
35.8,36.1,5,"Oxford",51.75,2,5,1,4,4,5,2,2,4,2,2,1,1,3,1,2,1
35.9,36.2,5,"Zurich",46.5388031,3,2,1,2,1,2,2,2,1,2,2,1,1,4,3,1,1
36.05555556,36.05555556,8,"VCU",37.54150391,2,2,1,3,2,2,2,3,4,2,4,3,4,2,3,2,1
35.7,36.5,6,"Oxford",51.75,2,2,1,2,1,4,4,2,2,2,2,3,2,2,3,2,1
35.8,36.4,4,"METU",39.91169739,1,4,1,2,1,3,1,2,2,2,1,1,2,1,1,1,2
35.8,36.5,7,"METU",39.91169739,2,2,2,2,2,2,3,2,2,4,2,2,2,3,2,2,2
36.3,36,5,"Oxford",51.75,2,3,2,2,2,3,3,2,2,3,2,2,2,1,2,2,1
36,36.3,5,"Zurich",47.29200745,1,3,4,2,1,3,1,2,1,2,1,1,2,1,3,1,1
36.2,36.2,8,"Poland",52.25,4,5,2,4,2,4,5,5,4,3,4,1,1,3,5,3,1
36.1,36.3,9,"Oslo",59.91270447,4,3,1,3,4,3,2,3,2,2,4,2,2,2,3,2,1
36.3,36.1,9,"Poland",51.1000061,2,3,2,3,4,3,3,2,2,2,2,3,3,2,2,2,1
36,36.4,7,"Oslo",59.91270447,4,5,3,3,4,3,5,2,4,4,3,3,2,2,2,2,1
36,36.4,6,"METU",39.91169739,1,1,1,2,1,1,1,2,4,1,1,2,2,2,3,2,2
35.8,36.7,8,"Oxford",51.75,3,3,3,2,4,3,3,4,3,4,4,1,3,2,3,2,1
36.2,36.4,6,"Serbia",44.81860352,2,4,2,4,2,3,3,2,2,2,1,5,3,1,3,2,1
36.4,36.27,8,"Serbia",44.81860352,2,4,2,4,2,2,4,2,4,2,1,2,4,2,2,2,1
36.4,36.3,5,"Chile",33.44999695,4,4,2,4,4,4,4,4,2,4,5,2,2,2,3,1,1
36.4,36.4,7,"Serbia",44.81860352,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
36.4,36.4,7,"Portugal",40.66099548,2,2,2,3,2,2,2,2,2,2,2,3,2,3,5,1,1
36.1,36.7,5,"METU",39.91169739,4,5,3,3,5,3,4,3,4,3,4,2,2,2,2,1,2
36.61111111,36.27777778,5,"VCU",37.55220032,4,5,1,4,2,4,2,2,4,2,4,2,2,1,2,2,1
36.4,36.5,7,"Poland",52.25,2,2,2,2,2,2,2,4,1,2,2,2,2,1,4,2,1
36.5,36.4,7,"METU",39.91169739,2,1,1,1,2,2,4,1,2,2,1,2,2,2,2,2,2
36.4,36.5,7,"Oslo",59.91270447,3,2,1,2,2,2,3,2,1,1,3,3,1,2,2,3,1
36.5,36.4,5,"SMU",1.293106079,2,4,2,4,2,2,2,2,2,4,2,2,4,3,4,4,1
36.6,36.4,7,"Serbia",44.81860352,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1
36.5,36.5,9,"Tsinghua",30.58009338,1,2,2,2,2,2,4,2,4,2,2,2,1,2,2,2,3
36.4,36.6,6,"Oxford",51.75,2,4,1,2,3,1,2,2,3,2,2,3,2,2,4,3,1
36.7,36.3,8,"Tsinghua",30.58009338,2,2,1,3,2,4,2,2,3,2,2,2,2,2,4,2,3
36.6,36.4,5,"METU",39.91169739,3,2,3,3,2,3,4,3,4,3,4,2,4,4,4,3,2
36.4,36.7,6,"Kassel",49.49339294,2,2,1,2,2,1,1,3,1,1,1,1,2,2,4,3,1
36.7,36.4,7,"Poland",52.61669922,1,2,1,2,2,3,3,1,1,2,2,4,3,1,3,2,1
36.61111111,36.5,8,"VCU",37.31199646,2,2,2,1,1,2,2,2,2,2,1,2,2,1,2,1,1
36.5,36.7,9,"Poland",54.3500061,1,1,1,2,1,2,1,1,2,2,1,2,3,1,2,2,1
36.4,36.8,7,"Poland",54.3500061,3,4,4,2,2,2,3,4,2,2,2,2,2,2,3,2,1
36.7,36.6,6,"Zurich",47.40910339,2,2,2,2,2,2,3,2,2,2,2,3,2,2,3,2,1
36.7,36.6,6,"SMU",1.293106079,3,2,5,3,3,3,3,3,3,3,4,2,3,2,4,2,1
36.7,36.7,6,"Kassel",NA,3,3,1,4,2,3,3,3,4,2,2,2,2,2,4,3,1
36.9,36.5,10,"Poland",51.1000061,1,2,4,2,2,4,4,2,2,2,1,4,1,1,1,1,1
36.77777778,36.72222222,6,"VCU",38.92660522,4,3,3,5,3,4,2,4,5,2,4,4,4,2,5,4,1
36.5,37,8,"Tsinghua",39.92889404,4,3,2,3,3,4,3,2,2,2,3,3,2,1,2,2,3
36.81,36.71,9,"Poland",49.81669617,2,2,2,2,2,3,2,2,2,2,2,2,2,2,3,2,1
37,36.6,6,"METU",39.91169739,1,3,1,2,2,4,1,1,2,1,1,2,1,2,3,3,2
36.8,36.8,7,"Chile",33.44999695,4,4,1,4,4,2,4,2,4,3,4,1,1,1,2,1,1
36.77777778,36.83333333,6,"VCU",NA,4,5,3,3,4,4,4,2,4,4,5,3,4,3,2,3,1
36.94444444,36.72222222,6,"VCU",37.55220032,2,5,1,3,2,2,4,5,3,2,1,1,3,1,2,1,1
36.8,36.9,5,"Serbia",44.81860352,2,4,1,4,1,2,1,2,4,1,1,2,2,2,3,4,1
36.7,37,6,"SMU",1.293106079,2,2,2,4,3,4,2,2,2,2,2,4,4,4,4,2,1
36.8,36.9,8,"Tsinghua",39.92889404,2,2,2,2,2,2,4,2,4,2,2,2,3,2,4,2,3
36.92,36.84,7,"Poland",51.1000061,4,4,4,4,3,2,4,2,4,2,2,2,1,1,3,2,1
36.8,37,8,"Tsinghua",30.58009338,1,2,1,2,1,1,1,2,2,2,1,2,4,2,4,2,3
36.7,37.1,8,"Tsinghua",30.58009338,2,4,4,2,4,4,4,2,2,3,2,2,4,1,4,2,3
36.8,37,5,"SMU",1.293106079,2,4,1,2,2,2,2,3,2,2,2,2,2,2,4,4,1
36.99,36.87,8,"Poland",51.1000061,3,3,2,4,4,2,4,2,4,3,3,3,4,1,2,2,1
36.9,37.1,6,"Serbia",44.81860352,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1
37,37,6,"Oslo",59.98620605,3,2,3,2,3,3,2,2,2,2,2,2,2,2,4,3,1
34.2,35.9,5,"Oxford",51.75,4,3,1,4,4,3,4,3,2,3,4,2,1,2,2,3,1
34.3,36.5,4,"Oslo",59.91670227,2,3,2,3,2,2,2,3,2,2,2,1,2,2,3,2,1
35.3,35.6,6,"METU",39.91169739,3,4,4,4,3,3,4,4,2,3,4,2,2,2,4,2,2
34.8,36.1,5,"Oxford",51.75,1,2,2,2,2,1,2,3,2,3,1,2,4,2,3,3,1
35.1,36.1,6,"Oxford",51.75,2,2,2,1,2,3,2,2,2,2,2,2,2,2,3,2,1
35,36.3,7,"Tsinghua",39.92889404,2,2,2,1,2,2,2,2,2,2,1,1,1,2,2,2,3
35.7,35.6,6,"Chile",33.42628098,2,2,2,4,2,2,3,2,3,3,3,2,3,3,3,4,1
35.6,35.8,7,"SMU",1.293106079,2,4,2,2,2,2,2,4,2,2,3,2,4,2,4,4,1
35.75,35.68333333,6,"VCU",37.54150391,2,4,1,3,2,1,2,2,2,1,1,2,2,2,3,3,1
35.3,36.3,6,"Oxford",51.75,2,3,1,3,3,2,4,3,2,3,4,1,2,2,3,2,1
35.8,35.8,5,"SMU",NA,1,3,1,3,1,1,2,2,2,2,2,2,2,2,1,2,1
35.88888889,35.72222222,6,"VCU",37.55380249,1,1,2,1,1,1,1,2,1,1,1,2,2,1,2,1,1
35.1,36.6,7,"Kassel",51.31669617,2,4,1,2,1,2,2,4,2,2,1,2,2,2,3,1,1
35.16666667,36.72222222,5,"VCU",37.55380249,4,5,1,3,1,2,4,2,2,4,2,1,1,2,1,1,1
35.8,36.1,5,"METU",39.91169739,4,5,3,4,4,4,5,4,3,5,4,1,1,2,5,2,2
35.7,36.3,6,"Southampton",50.917099,3,3,2,3,3,3,3,3,2,3,2,2,3,2,3,3,1
36.1,36.1,6,"Kassel",49.3757019,3,2,5,2,3,4,3,4,1,3,2,1,1,2,2,1,1
36.16666667,36.11111111,8,"VCU",37.55220032,4,4,2,4,4,2,3,4,4,3,4,3,1,1,3,2,1
36.1,36.2,5,"Kassel",51.30560303,2,2,2,2,2,2,2,2,2,2,2,4,4,2,2,2,1
35.5,36.8,7,"Oxford",51.75,3,2,2,3,4,2,3,4,3,2,2,3,2,2,2,2,1
35.8,36.6,8,"Oslo",59.91270447,4,3,2,2,4,2,4,4,3,4,5,2,4,2,2,2,1
36.2,36.3,7,"Zurich",50.08329773,3,1,4,1,1,2,2,1,1,1,3,1,1,1,1,1,1
36.1,36.4,8,"Zurich",47.14489746,2,3,1,2,2,3,2,3,2,2,2,2,1,4,2,2,1
36.28,36.28,5,"VCU",37.55220032,4,3,4,3,4,4,2,4,3,3,2,2,2,2,5,3,1
35.9,36.7,6,"METU",39.91169739,1,1,5,1,1,4,4,1,3,4,1,4,1,3,4,5,2
36.7,35.9,6,"METU",39.91169739,2,2,2,2,2,2,4,2,2,2,3,1,1,2,3,2,2
36.3,36.3,5,"SMU",1.293106079,2,4,2,2,2,3,4,4,2,4,2,2,2,2,3,2,1
35.9,36.7,6,"Oxford",51.75,3,1,1,1,3,4,2,2,2,2,1,4,4,1,1,1,1
36.3,36.3,8,"Southampton",50.917099,2,2,1,2,2,1,3,2,2,2,2,2,2,2,4,3,1
36.1,36.5,7,"Oslo",59.91670227,2,2,2,1,1,2,2,1,1,1,3,3,3,2,2,1,1
36.3,36.3,7,"SMU",1.293106079,4,4,4,2,4,4,4,3,4,4,4,2,4,2,4,2,1
36.43,36.2,7,"Bamberg",48.1499939,1,1,2,2,4,2,2,1,1,2,1,3,2,1,2,2,1
36.33,36.36,7,"Bamberg",49.90449524,4,4,2,4,3,3,2,4,4,3,2,4,4,2,4,3,1
36.2,36.5,5,"METU",39.91169739,4,4,4,2,4,4,4,4,3,4,4,2,3,2,3,1,2
36.4,36.3,6,"SMU",1.293106079,3,3,3,2,3,3,3,2,3,3,2,2,4,3,3,2,1
36.2,36.5,6,"Oslo",59.91670227,3,2,2,2,4,2,2,2,2,2,2,2,4,2,2,3,1
36,36.7,5,"Oxford",51.75,4,4,2,4,4,2,2,4,2,3,2,2,2,2,4,4,1
36.38888889,36.38888889,7,"VCU",38.43359375,4,4,1,2,2,4,3,1,1,2,1,2,2,2,1,2,1
36.5,36.3,8,"Bamberg",49.38340759,2,4,3,2,2,2,2,3,4,2,2,2,2,2,2,2,1
35.9,36.9,7,"Southampton",51.5,2,2,1,2,2,2,2,2,4,1,2,2,2,2,3,3,1
36.4,36.4,6,"SMU",1.293106079,2,2,2,2,2,2,2,2,2,2,2,2,3,2,3,2,1
36.33333333,36.5,6,"VCU",44.87840271,3,5,3,4,4,3,4,5,4,3,4,2,4,2,4,2,1
36.5,36.38888889,5,"Zurich",47.56030273,4,4,3,4,2,2,4,2,3,4,1,1,2,3,2,2,1
36.3,36.6,7,"SMU",1.293106079,2,2,1,3,1,2,3,2,3,1,2,1,2,2,5,1,1
36.4,36.5,8,"Tsinghua",30.58009338,2,2,2,3,2,2,3,2,4,3,3,2,2,2,2,2,3
36.4,36.5,8,"Poland",52.25,2,4,2,4,2,3,4,2,1,3,4,2,4,1,4,3,1
36.61111111,36.33333333,7,"VCU",37.55380249,2,1,2,1,1,2,3,1,2,3,1,1,2,3,2,2,1
36.5,36.5,6,"VCU",37.55220032,1,1,1,1,1,1,1,1,1,1,1,2,2,1,3,2,1
36.5,36.5,8,"Poland",50.08329773,3,3,4,4,2,1,4,2,1,2,1,3,2,2,3,2,1
36.3,36.7,8,"Tsinghua",39.92889404,1,2,1,3,1,1,2,2,1,1,4,4,4,3,5,2,3
36.6,36.4,6,"SMU",1.293106079,2,5,1,4,2,4,2,4,4,2,4,1,4,1,3,1,1
36.5,36.6,5,"Kassel",50.1499939,2,1,1,2,2,2,2,1,2,2,1,4,4,2,3,2,1
36.4,36.7,8,"METU",39.91169739,1,1,1,1,3,1,3,1,1,1,2,2,1,2,2,2,2
36.38888889,36.72222222,5,"SMU",1.293106079,2,2,1,2,2,2,2,2,2,2,1,2,1,2,3,1,1
36.54,36.64,8,"Bamberg",49.90449524,4,4,3,4,2,4,3,4,3,2,1,1,2,2,4,1,1
36.6,36.6,5,"Serbia",44.81860352,4,3,1,4,4,1,4,4,3,2,1,2,2,2,3,2,1
36.6,36.6,6,"Kassel",50.11669922,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,3,1
36.5,36.7,4,"Oslo",NA,4,4,4,3,3,4,5,4,4,4,4,3,3,2,3,2,1
36.44,36.79,10,"Poland",52.41670227,1,2,1,3,2,2,4,2,1,1,2,3,1,1,3,2,1
36.5,36.8,5,"Serbia",44.81860352,2,4,1,4,1,1,2,4,3,2,1,2,4,3,4,2,1
36.8,36.5,5,"Kassel",51.30560303,2,2,2,4,2,2,2,2,3,2,2,4,4,2,4,4,1
36.6,36.7,8,"Tsinghua",39.92889404,1,1,2,2,3,1,3,2,1,2,1,3,3,1,1,2,3
36.6,36.7,9,"Poland",51.05000305,4,4,1,3,2,1,3,2,4,2,3,3,3,1,3,2,1
36.72222222,36.66666667,6,"VCU",37.55380249,4,4,3,4,4,3,4,4,2,4,4,3,3,2,4,2,1
36.6,36.8,5,"Bamberg",55.69999695,3,3,1,4,1,2,2,2,2,4,1,2,3,3,3,3,1
36.7,36.7,7,"Poland",52.23330688,2,3,2,3,2,2,3,3,2,2,2,2,1,1,2,1,1
36.74,36.73,7,"Kassel",51,2,4,1,4,2,4,2,1,2,2,2,2,2,4,2,2,1
36.6,36.9,9,"Tsinghua",39.92889404,2,2,1,2,2,2,3,2,3,2,2,2,2,2,3,2,3
36.7,36.8,8,"Tsinghua",39.92889404,2,2,3,2,2,2,3,2,2,2,2,2,2,2,1,4,3
36.55555556,37,6,"VCU",37.55380249,4,4,2,4,4,4,4,4,2,2,2,4,2,3,5,4,1
36.8,36.8,7,"Serbia",44.81860352,2,2,3,2,2,1,5,1,5,3,3,1,1,1,2,1,1
36.8,36.8,5,"Serbia",44.81860352,2,2,1,2,1,1,2,1,2,2,2,2,2,2,4,2,1
36.88888889,36.88888889,8,"VCU",37.55220032,3,4,3,3,3,2,4,4,4,3,3,2,4,1,3,2,1
36.8,37,5,"Southampton",54.96209717,4,3,1,4,3,3,2,2,2,3,4,2,2,2,3,4,1
36.77777778,37.05555556,7,"VCU",39.73919678,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,1
36.77777778,37.05555556,8,"VCU",40.21400452,1,1,1,1,1,1,5,1,1,1,1,1,5,1,3,1,1
36.95,36.92,10,"Poland",54.5,3,4,4,4,4,4,4,4,3,3,2,2,4,3,3,3,1
36.9,37,8,"Tsinghua",NA,4,2,2,3,2,4,3,3,4,2,2,2,4,2,2,2,3
36.9,37.2,8,"Oslo",NA,2,2,1,2,1,2,2,2,3,2,2,2,2,1,2,1,1
37.05555556,37.05555556,7,"VCU",37.61340332,4,4,2,2,4,4,4,4,4,3,4,2,2,2,4,2,1
37.13,36.99,6,"Kassel",51,2,3,1,3,2,2,3,2,2,1,2,3,2,2,4,2,1
37.1,37.2,5,"Oxford",51.75,2,3,1,3,2,1,2,3,2,2,2,4,3,2,2,2,1
38,38,9,"Poland",52.25,2,3,4,2,2,3,4,3,2,3,2,3,2,1,3,2,1
34.4,35.9,6,"Oxford",51.75,4,4,4,4,4,4,4,4,4,4,4,2,4,2,4,2,1
34.6,36,5,"METU",39.91169739,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2
34.9,36.1,5,"Oxford",51.75,2,3,1,3,2,2,2,3,4,2,2,2,2,3,4,2,1
34.7,36.4,5,"Oxford",51.75,3,2,1,2,3,2,3,2,1,2,2,2,1,1,1,2,1
35.2,36,7,"METU",39.91169739,2,2,4,2,2,2,3,3,2,2,2,2,2,4,2,2,2
35.1,36.1,6,"METU",39.91169739,3,2,2,3,1,4,4,2,3,2,1,2,1,2,3,2,2
35.7,35.5,6,"SMU",1.293106079,2,2,2,2,2,2,2,2,2,2,2,4,4,2,4,4,1
