"Temperature_t1","Temperature_t2","socialdiversity","Site","DEQ","ALEX1","ALEX2","ALEX3","ALEX4","ALEX5","ALEX6","ALEX7","ALEX8","ALEX9","ALEX10","ALEX11","ALEX12","ALEX13","ALEX14","ALEX15","ALEX16","langfamily"
35.9,36.8,8,"Chile",33.44999695,3,3,2,2,4,3,4,2,2,2,4,3,4,3,2,1,1
36.27,36.66,11,"Kassel",51.71710205,3,2,3,4,4,2,5,2,3,3,2,2,2,1,4,1,1
37,37.11111111,8,"VCU",37.75100708,1,1,2,2,1,2,2,2,1,2,1,4,2,5,2,2,1
35.3,36.2,5,"Oxford",51.75,1,1,2,1,1,1,1,1,1,2,1,1,1,1,2,1,1
34.9,36.6,6,"Oxford",NA,2,3,3,2,2,3,2,2,2,2,1,2,3,2,3,4,1
35.9,36.4,8,"METU",NA,2,2,1,3,2,1,3,2,1,1,1,2,1,2,1,2,2
36.5,36.4,8,"Poland",54.43469238,2,4,1,2,2,2,2,2,2,1,2,3,2,1,1,2,1
36.8,36.6,8,"Bamberg",50.09939575,2,2,1,1,2,3,2,1,3,1,2,1,1,2,3,1,1
37.1,36.6,10,"Poland",52.41670227,2,1,4,1,1,2,3,2,2,2,1,2,3,1,4,2,1
36,36,7,"Portugal",38.71670532,1,2,2,3,2,1,2,1,2,1,2,3,5,3,3,3,1
35.9,36.5,7,"Oxford",51.75,1,2,1,2,1,1,1,1,1,4,1,3,1,2,3,1,1
36.33333333,36.33333333,8,"VCU",37.39950562,1,2,1,2,1,1,2,4,2,1,1,1,2,5,1,1,1
36.5,36.4,9,"Poland",52.23330688,2,2,2,2,2,4,3,3,3,2,2,2,2,2,3,2,1
36.1,36.9,11,"Poland",52.06669617,2,1,3,2,2,2,3,2,2,1,2,4,2,1,2,2,1
36.6,36.7,10,"Poland",52.25,2,3,1,3,2,4,2,3,1,2,3,4,2,1,3,1,1
37,36.9,9,"Poland",53.23330688,2,3,3,3,1,2,2,3,3,1,1,2,2,1,3,2,1
35.4,36,9,"METU",41.01359558,3,4,3,4,3,4,3,2,4,3,2,4,3,3,4,2,2
35.7,36.9,8,"Oxford",51.75,2,2,1,2,1,2,1,1,1,2,1,2,2,2,4,2,1
36.4,36.6,8,"Portugal",38.71670532,2,2,2,3,2,2,2,5,3,2,2,3,5,3,3,3,1
36.79,36.28,10,"Poland",53.03579712,1,2,2,2,1,2,2,2,2,2,2,2,2,1,3,1,1
36.4,36.9,6,"Oxford",51.75,2,2,4,3,3,4,3,3,2,4,3,3,2,4,2,3,1
36.8,36.7,6,"Oslo",NA,3,1,5,2,3,2,3,2,1,1,2,1,1,1,2,1,1
36.8,36.9,9,"Poland",52.59309387,3,2,4,1,2,4,2,2,2,1,2,2,4,2,4,3,1
36,35.9,6,"Oslo",59.91270447,4,1,4,2,1,4,4,1,1,4,1,2,1,1,1,1,1
36.1,36.4,6,"Serbia",44.81860352,1,2,2,3,1,1,3,2,2,3,1,2,2,2,1,1,1
36.5,36.6,6,"Oxford",51.75,3,3,2,3,4,4,4,4,4,5,3,2,2,3,4,1,1
36.4,36.9,7,"Chile",33.44999695,1,1,1,1,1,1,2,2,2,2,1,1,3,2,2,1,1
36.9,36.5,8,"Poland",54.36079407,4,3,1,4,2,4,4,2,4,2,2,2,2,1,1,1,1
37,36.9,5,"Serbia",44.81860352,2,2,4,2,2,2,2,2,2,2,2,2,1,1,3,2,1
35.7,36.8,9,"Chile",33.44999695,2,1,3,1,2,4,4,1,3,3,1,2,2,1,2,2,1
36.4,36.6,7,"Chile",33.44999695,1,1,1,2,1,1,1,1,1,1,1,2,2,2,1,3,1
36.5,36.6,10,"Poland",52.23330688,2,3,1,3,1,3,2,3,2,1,3,2,3,1,3,2,1
34.9,35.9,4,"Oxford",51.75,1,1,1,2,2,1,2,2,4,1,1,2,4,3,4,2,1
36.3,35.9,8,"Poland",52.25,3,3,2,3,2,2,2,2,2,2,2,2,2,2,3,3,1
36.1,36.1,6,"Chile",33.42628098,2,2,5,3,2,3,4,3,2,1,3,4,1,1,2,4,1
35.7,36.6,5,"METU",39.92300415,2,2,2,2,1,4,1,1,1,1,2,1,1,3,1,2,2
36.6,35.9,10,"Poland",53.41670227,2,2,1,2,2,2,2,2,2,2,1,3,4,2,2,3,1
36.27777778,36.22222222,8,"VCU",37.44490051,2,2,1,2,1,2,2,2,5,3,3,1,2,2,2,2,1
37,35.7,10,"Poland",52.25,4,2,2,2,4,3,4,2,2,2,4,3,1,1,3,2,1
36.2,36.5,10,"Poland",52.59309387,2,2,2,2,2,2,4,2,2,2,2,3,2,1,2,2,1
36.5,36.2,9,"Chile",33.44999695,3,4,1,4,4,4,4,4,4,3,2,1,2,1,4,1,1
36.5,36.4,10,"Poland",52.23330688,1,2,1,2,1,1,2,1,1,1,1,3,1,1,2,2,1
36.5,36.5,9,"Poland",52.25,1,2,2,2,2,2,2,2,2,2,2,4,2,2,2,5,1
36.5,36.6,8,"Bamberg",53.55000305,3,2,4,2,1,3,4,2,1,2,5,1,1,2,3,2,1
36.74,36.51,9,"Poland",52.23330688,3,4,4,2,4,4,4,4,4,1,1,2,4,1,4,2,1
36.8,37,9,"Poland",52.25,1,2,1,2,1,1,3,1,1,1,4,3,2,1,2,1,1
36.9,37,10,"Poland",53.41670227,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,2,1
37,36.9,5,"Serbia",51,4,5,3,5,4,4,5,5,4,5,3,4,5,2,3,1,1
37,36.9,8,"Oxford",51.75,2,2,2,3,2,2,2,2,2,2,2,3,2,2,3,2,1
