StimulusItem1,pleasure_m,fluency_m,complexity_m,Z_pleasure,Z_fluency,Z_complexity,category,sumOri_pixels,ImageName,ori_1,ori_2,ori_3,ori_4,ori_5,ori_6,ori_7,ori_8,len_1,len_2,len_3,len_4,len_5,len_6,len_7,len_8,curv_1,curv_2,curv_3,curv_4,curv_5,curv_6,curv_7,curv_8,juncType_T,juncType_Y,juncType_X,juncType_Arrow,juncType_Star,juncAngle_1,juncAngle_2,juncAngle_3,juncAngle_4,juncAngle_5,juncAngle_6,juncAngle_7,juncAngle_8,Norm_ori_1,Norm_ori_2,Norm_ori_3,Norm_ori_4,Norm_ori_5,Norm_ori_6,Norm_ori_7,Norm_ori_8,Norm_len_1,Norm_len_2,Norm_len_3,Norm_len_4,Norm_len_5,Norm_len_6,Norm_len_7,Norm_len_8,Norm_curv_1,Norm_curv_2,Norm_curv_3,Norm_curv_4,Norm_curv_5,Norm_curv_6,Norm_curv_7,Norm_curv_8
city_00601_LD.png,2.181818182,2.863636364,4.045454545,-0.622706372,-0.692220893,0.974893915,city,39619.73709,city_00601.jpg,7593.976767,1602.067388,1158.355038,3996.269492,21247.34511,1553.478659,884.114947,1584.129687,46.45368543,515.6452568,2810.295187,7650.388587,13328.78745,6711.581799,8556.585124,0,18639.91693,6104.190983,5812.823483,4509.428855,3006.31238,1083.524502,413.5956853,49.94427191,450,58,94,31,29,97,30,56,38,106,309,23,3,0.191671559,0.040436093,0.029236818,0.100865624,0.53628183,0.039209716,0.022315013,0.039983347,0.001172488,0.013014858,0.070931697,0.19309539,0.336417867,0.169399958,0.215967741,0,0.470470485,0.154069447,0.146715347,0.113817738,0.07587916,0.027348099,0.010439133,0.001260591
city_00604_LD.png,3.487179487,3.842105263,3.564102564,0.434077215,0.197308501,0.568411874,city,27998.4082,city_00604.jpg,8810.565372,1223.617496,750.4574404,792.9995834,11560.04641,967.7927219,1323.940407,2568.988768,10.09901951,137.4474193,898.6362522,3484.411349,9747.775082,6987.966329,4848.138007,1883.934737,8525.476681,8266.571143,5478.284863,3649.142923,1649.742703,388.6941325,40.495751,0,247,18,23,9,4,19,5,29,22,80,129,11,6,0.314680939,0.043703109,0.026803575,0.028323024,0.412882273,0.034565991,0.047286274,0.091754815,0.0003607,0.004909115,0.032095977,0.124450337,0.348154617,0.249584415,0.17315763,0.067287209,0.304498621,0.295251469,0.195664154,0.130333942,0.058922732,0.013882723,0.001446359,0
city_00606_LD.png,3.769230769,4.282051282,3.974358974,0.662417954,0.597264918,0.914856616,city,43152.43957,city_00606.jpg,8911.678655,1964.274011,2541.660048,2178.810065,17989.13241,1922.137272,4845.4968,2799.250309,53.57910922,980.0935658,4146.601158,10022.5682,12491.45098,9115.881136,6342.265419,0,16390.09655,7645.09821,8977.044817,5927.992916,3062.939455,1001.493799,139.5377542,8.236067977,529,63,121,27,22,73,51,100,156,69,273,27,13,0.206516219,0.04551942,0.058899568,0.050491006,0.416874054,0.044542957,0.1122879,0.064868877,0.001241624,0.022712356,0.096091929,0.232259596,0.289472649,0.211248338,0.146973508,0,0.379818539,0.177164913,0.208030992,0.137373297,0.07097952,0.023208278,0.003233601,0.00019086
city_00613_LD.png,3.75,4.325,3.45,0.646849267,0.636309743,0.472056931,city,31464.90687,city_00613.jpg,7387.343104,1769.460284,1216.938575,925.4851506,15895.66831,1497.813026,1613.767276,1158.431143,60.19149764,280.7410173,2552.109556,5840.220682,10720.49981,7089.008373,3284.049102,1638.086837,10393.91803,6365.18823,8427.87992,3397.980195,1981.015569,734.560679,163.3642484,1,352,18,48,14,15,49,12,46,59,62,210,7,2,0.23478039,0.056235993,0.038676058,0.029413249,0.505187203,0.047602652,0.051287845,0.036816608,0.001912972,0.008922353,0.081109713,0.185610614,0.340712905,0.225298883,0.104371804,0.052060756,0.330333666,0.202294838,0.267850147,0.107992698,0.062959524,0.023345395,0.005191951,3.18E-05
city_00614_LD.png,3.631578947,4,3.657894737,0.550978933,0.340851141,0.647615524,city,40052.31259,city_00614.jpg,5461.048402,2353.886587,1744.986116,686.6606667,25221.20593,717.3356014,1688.221692,2178.967592,97.13637576,971.8569046,3573.648544,7077.816943,11330.3328,6720.650394,5720.101108,4560.769522,18777.86252,8741.488428,6334.667384,3594.435197,1961.976738,554.0122204,85.63403642,2.236067977,684,37,96,33,21,80,20,39,147,137,423,24,1,0.136347892,0.058770304,0.043567674,0.017144095,0.629706609,0.017909967,0.042150417,0.054403041,0.002425238,0.024264689,0.089224524,0.176714314,0.282888354,0.167796813,0.142815751,0.113870317,0.468833416,0.218251778,0.158159841,0.089743512,0.048985355,0.013832216,0.002138055,5.58E-05
city_00619_LD.png,3.5,4.45,3.3,0.444456339,0.749947667,0.345388072,city,26667.76273,city_00619.jpg,7474.948035,949.6439695,1007.13751,1334.620022,11167.64185,789.4986846,1274.80924,2669.463425,23.85730076,413.0589734,2054.239609,3971.887878,7718.723544,8145.040091,2766.23362,1574.721718,10546.32232,6001.605331,5364.845624,2859.640953,1473.827074,367.2868624,47.99849861,6.236067977,358,42,124,17,15,57,22,38,54,109,256,17,3,0.28029903,0.035610185,0.037766104,0.050046194,0.418769357,0.029604984,0.047803382,0.100100764,0.000894612,0.015489075,0.077030819,0.148939674,0.289440236,0.30542645,0.103729497,0.059049637,0.395470832,0.22505095,0.201173442,0.107232128,0.055266244,0.013772691,0.00179987,0.000233843
city_00621_LD.png,4,4.111111111,3.222222222,0.849242195,0.441862629,0.279707923,city,31118.85356,city_00621.jpg,12881.32229,843.125713,360.3947485,1226.314128,9592.052935,1259.379632,1502.435868,3453.828249,56.39607805,725.9662573,2049.949814,6637.372308,7458.455013,6598.430229,4454.618243,3137.665617,16526.69376,5434.614773,4691.974195,2972.210864,1010.471185,404.5395977,72.8770543,5.472135955,502,13,54,14,12,46,14,22,49,55,400,9,0,0.413939487,0.027093727,0.011581235,0.039407433,0.308239277,0.040469988,0.048280566,0.110988287,0.00181228,0.023328824,0.06587485,0.213291029,0.239676407,0.212039631,0.143148533,0.100828445,0.531082989,0.174640584,0.150775934,0.09551158,0.03247135,0.012999823,0.002341894,0.000175846
city_00625_LD.png,2.947368421,3.710526316,3.131578947,-0.002938554,0.077689633,0.203163388,city,22415.02336,city_00625.jpg,6064.344157,1875.15693,1281.475014,1405.26365,9345.479432,1071.460254,638.1310838,733.7128364,5,228.9363474,1540.185967,4407.491015,4959.116322,5877.291763,3524.438068,1872.563874,10107.26205,4449.383212,3305.397247,2803.243693,1385.331897,323.0270036,36.90611436,4.472135955,185,26,25,15,4,19,14,19,27,44,112,15,5,0.270548197,0.083656256,0.057170363,0.062692937,0.416929275,0.047800988,0.028468901,0.032733084,0.000223065,0.010213523,0.068712218,0.196631114,0.221240739,0.262203241,0.15723553,0.083540572,0.450914634,0.198500048,0.147463475,0.125060931,0.061803723,0.014411183,0.00164649,0.000199515
city_00626_LD.png,2.590909091,3.636363636,2.363636364,-0.291517944,0.01026809,-0.445332683,city,17589.12992,city_00626.jpg,4860.087263,724.8989182,726.8126439,1154.099513,8166.897965,727.4055506,664.4688635,564.4591982,12.7286569,109.5457306,910.8222312,4491.861359,4287.787544,4993.174916,1367.736738,1415.47274,6784.245516,3508.430444,3518.276634,2111.965699,1277.861595,346.9160485,40.4339784,1,154,20,27,13,5,28,1,14,22,40,96,17,1,0.276311977,0.041212892,0.041321694,0.065614361,0.464315063,0.041355403,0.037777245,0.032091366,0.000723666,0.006228036,0.051783245,0.255377121,0.243774852,0.283878449,0.077760341,0.08047429,0.385706715,0.199465833,0.200025621,0.12007221,0.072650643,0.019723321,0.002298805,5.69E-05
city_00629_LD.png,3.025,4.225,2.7,0.059909776,0.545399404,-0.161287363,city,20621.11305,city_00629.jpg,7868.00166,699.2833186,628.8871224,973.7947976,7758.270481,1210.666436,580.7571756,901.4520593,25.32943672,65.85720547,580.666254,2342.047809,6529.814614,4992.384577,2987.017316,3097.995836,8982.823032,5701.452133,3532.964299,1657.725646,607.5154731,113.8531942,24.77927174,0,147,13,20,6,5,19,7,15,22,27,94,5,2,0.381550775,0.033911037,0.030497244,0.047223193,0.376229472,0.058710043,0.028163231,0.043715005,0.001228325,0.003193679,0.028158822,0.113575237,0.316656749,0.242100636,0.144852381,0.150234172,0.435612908,0.276486149,0.171327527,0.080389727,0.029460848,0.005521195,0.001201646,0
city_00646_LD.png,3,4.19047619,3.714285714,0.039670483,0.514013692,0.695235396,city,29875.28067,city_00646.jpg,11628.71617,2790.543499,1318.955827,2056.891258,7438.023381,1271.203779,1064.070204,2306.876557,286.0404307,918.2757865,4285.837861,7535.960346,5555.885118,4413.329533,4132.566487,2747.385109,11498.71857,4843.128494,5346.220143,3820.936072,2740.438775,1216.24485,386.6429195,22.95084462,438,49,103,32,43,105,33,61,69,99,265,29,4,0.389242073,0.093406436,0.044148734,0.06884927,0.248969155,0.042550354,0.035617078,0.0772169,0.009574485,0.030736976,0.14345766,0.252247349,0.185969303,0.147725124,0.138327286,0.091961818,0.384890729,0.162111565,0.178951294,0.12789624,0.091729306,0.040710742,0.012941901,0.000768222
city_00660_LD.png,3.575,4.1,3.575,0.505174218,0.43176148,0.577614313,city,36981.37728,city_00660.jpg,7261.966701,3500.011078,1729.507686,808.9474739,20055.37085,485.3078345,1001.275051,2138.990605,230.1389234,1690.059034,5018.765832,7559.723972,9928.162557,11884.22918,670.2977781,0,25913.68201,4109.181874,3149.780641,1882.560024,1178.440386,537.1418466,174.1675089,36.42298057,582,22,182,33,32,72,28,67,111,166,387,13,7,0.196368206,0.094642529,0.04676699,0.021874455,0.542310004,0.013123033,0.027075115,0.057839669,0.006223103,0.045700273,0.135710625,0.204419752,0.26846384,0.321357128,0.018125279,0,0.700722469,0.111114896,0.085172075,0.050905622,0.031865779,0.014524658,0.0047096,0.000984901
city_00663_LD.png,4.289473684,4.552631579,4.342105263,1.083591901,0.843250383,1.225403301,city,43446.03742,city_00663.jpg,11178.65253,3173.935054,1234.748912,1973.962865,21080.10444,1700.34656,939.5488236,2164.73824,350.4936471,1872.073547,8020.255647,9898.189542,11007.51575,9199.095994,3098.413291,0,23493.88642,5897.369297,4841.295947,3344.298385,3485.407541,1977.654128,396.8896285,9.236067977,610,58,283,55,28,75,41,55,49,131,643,31,9,0.257299703,0.07305465,0.028420288,0.045434819,0.485202004,0.039136977,0.021625651,0.049825907,0.008067333,0.043089627,0.184602696,0.227827211,0.253360638,0.211736134,0.071316361,0,0.540760166,0.135740096,0.111432394,0.076975913,0.08022383,0.045519781,0.009135232,0.000212587
city_00670_LD.png,3.692307692,4.307692308,4.025641026,0.600143207,0.620575261,0.958162209,city,44584.22078,city_00670.jpg,15745.08134,4995.449019,1109.410026,1091.034763,17699.7988,986.0839485,840.2389134,2117.123967,110.7363462,641.3768628,2962.072494,18255.33218,7195.065512,8883.808202,3260.868648,3274.960538,12754.09819,5586.449971,5284.374486,15254.66209,3374.062019,1719.567407,581.8820043,29.1246118,391,30,78,20,50,94,26,46,38,72,277,11,5,0.353153673,0.112045224,0.024883468,0.024471321,0.396996931,0.022117331,0.018846105,0.047485947,0.002483756,0.014385737,0.066437687,0.409457244,0.161381435,0.199259021,0.073139523,0.073455597,0.286067536,0.125301057,0.118525667,0.342153834,0.075678389,0.038568969,0.013051299,0.000653249
city_00680_LD.png,3.692307692,4.153846154,4,0.600143207,0.480713201,0.936509413,city,43656.51203,city_00680.jpg,13086.37852,1714.858527,1156.541723,2383.388802,18538.36493,3149.71019,1676.538091,1950.731253,468.8108528,1482.274795,6011.437198,10316.16478,7980.528712,9602.721407,6463.730271,1330.844012,23129.26843,6644.768691,4647.965462,4439.402259,3333.097342,1130.175526,317.4758387,14.35848547,606,53,149,29,52,109,49,84,68,127,405,37,10,0.299757766,0.039280704,0.026491849,0.054594119,0.424641458,0.072147546,0.038402933,0.044683626,0.010738624,0.03395312,0.137698522,0.236303,0.18280271,0.219960802,0.148058788,0.030484433,0.529801108,0.152205671,0.106466716,0.101689348,0.076348228,0.025887902,0.00727213,0.000328897
city_20081106_00003_LD.png,3.80952381,3.761904762,3.857142857,0.695038059,0.124397953,0.815872404,city,40988.91149,city_20081106_00003.jpg,11436.01539,2744.41752,1906.352949,1538.087769,16322.6227,2115.775737,1974.634169,2951.005262,136.1010806,508.5451039,3014.206174,8353.334133,8748.061682,8957.725416,4745.320061,6525.617839,15854.14006,7736.016591,7471.094097,5618.324731,2944.779841,1109.169452,237.0282296,18.35848547,541,23,106,24,16,101,23,55,61,95,355,18,2,0.279002661,0.066955121,0.046508992,0.037524484,0.398220448,0.051618246,0.048174838,0.071995209,0.003320437,0.012406895,0.073537112,0.203794974,0.213425079,0.218540212,0.115770824,0.159204468,0.386790951,0.188734375,0.182271103,0.137069381,0.071843329,0.027060232,0.00578274,0.000447889
