Date Sub Age Sex Hand Block Bin Trial Task Shape corrResp Resp ACC RT
02-May-2018_14:38:49 7302 22 female R 1 3 24 self immoralOther J j 1 0.5176 
02-May-2018_14:38:51 7302 22 female R 1 4 1 self moralSelf H j 0 0.3298 
02-May-2018_14:38:53 7302 22 female R 1 4 2 self immoralSelf H h 1 0.3738 
02-May-2018_14:38:54 7302 22 female R 1 4 3 self immoralOther J j 1 0.4418 
02-May-2018_14:38:56 7302 22 female R 1 4 4 self moralOther J j 1 0.5660 
02-May-2018_14:38:57 7302 22 female R 1 4 5 self immoralSelf H h 1 0.4480 
02-May-2018_14:38:59 7302 22 female R 1 4 6 self moralSelf H h 1 0.4482 
02-May-2018_14:39:00 7302 22 female R 1 4 7 self moralOther J j 1 0.5123 
02-May-2018_14:39:02 7302 22 female R 1 4 8 self immoralSelf H h 1 0.4923 
02-May-2018_14:39:04 7302 22 female R 1 4 9 self moralSelf H h 1 0.5344 
02-May-2018_14:39:05 7302 22 female R 1 4 10 self immoralOther J j 1 0.5065 
02-May-2018_14:39:07 7302 22 female R 1 4 11 self moralOther J j 1 0.6206 
02-May-2018_14:39:09 7302 22 female R 1 4 12 self immoralSelf H h 1 0.5006 
02-May-2018_14:39:10 7302 22 female R 1 4 13 self immoralOther J j 1 0.4807 
02-May-2018_14:39:12 7302 22 female R 1 4 14 self moralOther J j 1 0.5530 
02-May-2018_14:39:14 7302 22 female R 1 4 15 self immoralOther J j 1 0.6250 
02-May-2018_14:39:16 7302 22 female R 1 4 16 self moralOther J j 1 0.4511 
02-May-2018_14:39:17 7302 22 female R 1 4 17 self moralOther J j 1 0.4152 
02-May-2018_14:39:19 7302 22 female R 1 4 18 self immoralOther J j 1 0.5752 
02-May-2018_14:39:21 7302 22 female R 1 4 19 self moralSelf H h 1 0.6014 
02-May-2018_14:39:23 7302 22 female R 1 4 20 self moralSelf H h 1 0.3695 
02-May-2018_14:39:24 7302 22 female R 1 4 21 self immoralOther J j 1 0.4697 
02-May-2018_14:39:26 7302 22 female R 1 4 22 self immoralSelf H h 1 0.4776 
02-May-2018_14:39:28 7302 22 female R 1 4 23 self immoralSelf H h 1 0.5378 
02-May-2018_14:39:29 7302 22 female R 1 4 24 self moralSelf H h 1 0.5338 
02-May-2018_14:39:38 7302 22 female R 1 5 1 self immoralOther J j 1 0.7863 
02-May-2018_14:39:40 7302 22 female R 1 5 2 self moralOther J j 1 0.4725 
02-May-2018_14:39:42 7302 22 female R 1 5 3 self moralSelf H h 1 0.5505 
02-May-2018_14:39:44 7302 22 female R 1 5 4 self immoralOther J j 1 0.4787 
02-May-2018_14:39:45 7302 22 female R 1 5 5 self moralSelf H h 1 0.4889 
02-May-2018_14:39:47 7302 22 female R 1 5 6 self immoralOther J j 1 0.4748 
02-May-2018_14:39:49 7302 22 female R 1 5 7 self moralSelf H h 1 0.4090 
02-May-2018_14:39:51 7302 22 female R 1 5 8 self immoralSelf H h 1 0.5392 
02-May-2018_14:39:52 7302 22 female R 1 5 9 self moralOther J j 1 0.4352 
02-May-2018_14:39:54 7302 22 female R 1 5 10 self moralSelf H h 1 0.3932 
