"Subject","ACC_Bad_Other","ACC_Bad_Self","ACC_Good_Other","ACC_Good_Self","good_bad_slf","good_bad_oth","slf_oth_good","slf_oth_bad","RT_Bad_Other","RT_Bad_Self","RT_Good_Other","RT_Good_Self"
7304,0.983333333333333,0.9,0.894444444444444,0.994444444444444,0.0944444444444444,0.0111111111111112,0.1,-0.0833333333333333,0.502871186440678,0.570995061728395,0.587578260869565,0.455896089385475
7305,0.865921787709497,0.849162011173184,0.894444444444444,0.916666666666667,0.0675046554934823,0.0507448789571694,0.0222222222222221,-0.0167597765363129,0.588670322580645,0.567138157894737,0.574351552795031,0.488294545454545
7306,0.883333333333333,0.988888888888889,0.972222222222222,0.883333333333333,-0.105555555555556,0,-0.0888888888888889,0.105555555555556,0.530067295597484,0.525082584269663,0.497240571428571,0.541947798742138
7307,0.911111111111111,0.972222222222222,0.955555555555556,0.961111111111111,-0.0111111111111111,0.05,0.00555555555555554,0.0611111111111111,0.497734756097561,0.422556571428571,0.503850581395349,0.493362427745665
7308,0.977777777777778,0.961111111111111,0.9,1,0.0388888888888889,0.0222222222222223,0.1,-0.0166666666666666,0.482353409090909,0.519286705202312,0.529654320987654,0.436357222222222
7309,0.911111111111111,0.905555555555556,0.905555555555556,0.972222222222222,0.0666666666666667,0.0611111111111111,0.0666666666666667,-0.00555555555555554,0.487235975609756,0.486951533742331,0.485557668711656,0.438885142857143
7310,0.944444444444444,0.972222222222222,0.988888888888889,0.977777777777778,0.00555555555555554,0.0333333333333333,-0.0111111111111112,0.0277777777777778,0.452544117647059,0.428109142857143,0.388185393258427,0.410394318181818
7311,0.972222222222222,0.905555555555556,0.894444444444444,0.927777777777778,0.0222222222222223,-0.0444444444444444,0.0333333333333333,-0.0666666666666667,0.398128571428571,0.381931901840491,0.399999378881988,0.383615568862275
7312,0.972222222222222,0.95,0.955555555555556,0.983333333333333,0.0333333333333333,0.0111111111111111,0.0277777777777777,-0.0222222222222223,0.581505714285714,0.561608187134503,0.594062790697674,0.53348418079096
7313,0.577777777777778,0.616666666666667,0.926966292134832,0.905555555555556,0.288888888888889,0.327777777777778,-0.0214107365792759,0.038888888888889,0.473569230769231,0.51398018018018,0.467920606060606,0.468653374233129
7314,0.833333333333333,0.944444444444444,0.922222222222222,0.927777777777778,-0.0166666666666666,0.0944444444444444,0.00555555555555554,0.111111111111111,0.703279333333333,0.613034705882353,0.651521686746988,0.655894610778443
7315,0.961111111111111,0.983333333333333,0.966666666666667,0.972222222222222,-0.0111111111111111,0.0111111111111111,0.00555555555555554,0.0222222222222221,0.546423121387283,0.448858192090395,0.523495402298851,0.475575428571429
7316,0.977777777777778,0.894444444444444,0.922222222222222,1,0.105555555555556,0.0222222222222223,0.0777777777777777,-0.0833333333333333,0.538554545454546,0.58024347826087,0.618228313253012,0.537152222222222
7317,0.927777777777778,0.95,0.955555555555556,0.927777777777778,-0.0222222222222221,0,-0.0277777777777778,0.0222222222222221,0.556963473053892,0.553337426900585,0.501813953488372,0.5671
7318,0.961111111111111,0.955555555555556,0.977777777777778,0.938888888888889,-0.0166666666666667,-0.0222222222222223,-0.0388888888888889,-0.00555555555555554,0.478631791907514,0.434133720930233,0.437734090909091,0.481831360946746
7319,0.955555555555556,0.944444444444444,0.961111111111111,0.905555555555556,-0.0388888888888889,-0.05,-0.0555555555555556,-0.0111111111111112,0.498934302325581,0.454409411764706,0.462183815028902,0.478932515337423
7320,0.921787709497207,0.888888888888889,0.805555555555556,0.916666666666667,0.0277777777777778,-0.00512104283054005,0.111111111111111,-0.0328988206083178,0.440466060606061,0.41252875,0.454409655172414,0.404167878787879
7321,0.977777777777778,0.883333333333333,0.911111111111111,0.988888888888889,0.105555555555556,0.0111111111111112,0.0777777777777778,-0.0944444444444444,0.513772159090909,0.588833333333333,0.584985975609756,0.476465730337079
7322,0.933333333333333,0.877777777777778,0.872222222222222,0.955555555555556,0.0777777777777778,0.0222222222222223,0.0833333333333334,-0.0555555555555556,0.589282142857143,0.56938164556962,0.579563694267516,0.558515697674419
7323,0.966666666666667,0.933333333333333,0.938888888888889,0.944444444444444,0.0111111111111111,-0.0222222222222223,0.00555555555555554,-0.0333333333333333,0.462068965517241,0.454735714285714,0.491413017751479,0.468127058823529
7324,0.76536312849162,0.64804469273743,0.709497206703911,0.826815642458101,0.17877094972067,0.0614525139664804,0.11731843575419,-0.11731843575419,0.64380802919708,0.695914655172414,0.721258267716535,0.619023648648649
7325,0.95,0.933333333333333,0.927777777777778,0.977777777777778,0.0444444444444444,0.0277777777777778,0.0499999999999999,-0.0166666666666666,0.501010526315789,0.49140119047619,0.497058682634731,0.426776136363636
7326,0.944444444444444,0.988888888888889,0.983333333333333,0.927777777777778,-0.0611111111111111,-0.0166666666666666,-0.0555555555555555,0.0444444444444445,0.560253529411765,0.516630337078652,0.481295480225989,0.566407185628742
7327,0.983333333333333,0.95,0.966666666666667,0.961111111111111,0.0111111111111112,-0.0222222222222221,-0.00555555555555554,-0.0333333333333333,0.54518418079096,0.580502339181287,0.56569367816092,0.526119653179191
7328,0.988888888888889,0.961111111111111,0.911111111111111,0.988888888888889,0.0277777777777778,0,0.0777777777777778,-0.0277777777777778,0.554714606741573,0.588391329479769,0.577851219512195,0.48043202247191
7329,0.977777777777778,0.927777777777778,0.883333333333333,0.933333333333333,0.00555555555555554,-0.0444444444444444,0.05,-0.0499999999999999,0.51664375,0.521332934131737,0.534574213836478,0.520595833333333
7331,0.983333333333333,0.972222222222222,0.933333333333333,0.983333333333333,0.0111111111111111,0,0.0499999999999999,-0.0111111111111111,0.581898305084746,0.58196,0.602445238095238,0.494829378531073
7332,0.944444444444444,0.894444444444444,0.825842696629214,0.977777777777778,0.0833333333333333,0.0333333333333333,0.151935081148564,-0.0499999999999999,0.54155,0.591729192546584,0.564325170068027,0.4733875
