Images,Z_pleasure
beaches_00115.jpg,0.754907958
beaches_00117.jpg,0.488741829
beaches_00119.jpg,0.528384355
beaches_00126.jpg,0.169621679
beaches_00149.jpg,0.960856167
beaches_00154.jpg,0.661808705
beaches_00161.jpg,0.863260363
beaches_00162.jpg,0.319418959
beaches_00178.jpg,0.859499091
beaches_00179.jpg,1.121653219
beaches_00181.jpg,0.534522918
beaches_00185.jpg,0.958898761
beaches_00193.jpg,0.820812977
beaches_00202.jpg,0.482724164
beaches_00224.jpg,0.468320585
beaches_00235.jpg,0.758337527
beaches_00243.jpg,0.579482467
beaches_00244.jpg,0.143782045
beaches_00248.jpg,0.726923441
beaches_00249.jpg,0.903440803
beaches_00250.jpg,0.947225769
beaches_00251.jpg,0.258203709
beaches_00252.jpg,0.605767733
beaches_00253.jpg,0.4440869
beaches_00256.jpg,0.240690938
beaches_00265.jpg,0.040272541
beaches_00266.jpg,1.071224677
beaches_00268.jpg,0.048267937
beaches_00279.jpg,0.489181808
beaches_00285.jpg,0.616573819
beaches_00303.jpg,0.911818477
beaches_00306.jpg,0.751521903
beaches_00316.jpg,0.289072939
beaches_00317.jpg,0.405784045
beaches_00319.jpg,0.418297653
beaches_00321.jpg,0.551635726
beaches_00339.jpg,0.756998378
beaches_00343.jpg,0.740036672
beaches_00345.jpg,0.242492168
beaches_00355.jpg,-0.122453303
beaches_00356.jpg,0.770797695
beaches_00362.jpg,0.804897177
beaches_00369.jpg,0.859204661
beaches_00372.jpg,0.069357021
beaches_00373.jpg,0.826717076
beaches_00375.jpg,0.922354754
beaches_00380.jpg,0.277095292
beaches_00381.jpg,0.847642116
beaches_00382.jpg,0.153145955
beaches_00385.jpg,0.427057538
beaches_00386.jpg,0.048056215
beaches_00390.jpg,0.884683912
beaches_00391.jpg,0.477486492
beaches_00395.jpg,0.766222643
beaches_00396.jpg,0.200387435
beaches_00398.jpg,0.066525317
beaches_00400.jpg,0.724381132
beaches_00408.jpg,0.725436566
beaches_00412.jpg,0.080679642
beaches_00433.jpg,0.415623854
beaches_00437.jpg,0.937806488
beaches_00452.jpg,0.68549037
beaches_00471.jpg,0.275876696
beaches_00488.jpg,0.054134896
beaches_00490.jpg,0.592913445
beaches_00491.jpg,0.518929744
beaches_00503.jpg,0.499355283
beaches_00565.jpg,0.749523842
beaches_00568.jpg,0.628466296
beaches_00575.jpg,0.017359032
beaches_00581.jpg,-0.411596373
beaches_20081106_00009.jpg,0.984476998
beaches_20081106_00015.jpg,0.90171347
beaches_20081106_00021.jpg,0.999985395
beaches_20081106_00047.jpg,0.734004027
beaches_20081106_00048.jpg,1.254647611
beaches_20081106_00052.jpg,1.122978254
beaches_20081106_00053.jpg,0.998436684
beaches_20081106_00066.jpg,0.929608512
beaches_20081106_00074.jpg,1.017438124
city_00115.jpg,-0.029919073
city_00136.jpg,0.088936001
city_00138.jpg,-0.225369757
city_00140.jpg,-0.342400242
city_00147.jpg,-0.24221292
city_00189.jpg,-0.17606578
city_00199.jpg,0.793058767
city_00201.jpg,-0.46529479
city_00207.jpg,-0.257529632
city_00210.jpg,0.551946766
city_00218.jpg,-0.017676812
city_00219.jpg,0.074970252
city_00222.jpg,-0.910591812
city_00231.jpg,-0.254017056
city_00232.jpg,0.284164369
city_00234.jpg,-0.4784152
city_00272.jpg,-0.763163857
city_00281.jpg,-0.691722366
city_00292.jpg,-0.430885213
city_00294.jpg,-0.352944258
city_00299.jpg,-0.42177249
city_00301.jpg,0.748764621
city_00305.jpg,0.253900913
city_00307.jpg,-0.183044094
city_00309.jpg,-0.14042785
city_00310.jpg,-0.407683592
city_00312.jpg,-0.533080446
city_00313.jpg,-0.883562712
city_00314.jpg,0.075724309
city_00317.jpg,0.009466877
city_00324.jpg,-0.199150949
city_00332.jpg,-0.199918638
city_00336.jpg,-0.411040665
city_00342.jpg,-0.278884665
city_00343.jpg,-0.573033417
city_00344.jpg,-0.310389978
