Participant,Months,Gender,Order,Task,Outcome,Looking,TaskOrder,Habituated
P25,11.16438176,f,1,Instrumental,Unexpected,15.85599728,6,1
P25,11.16438176,f,2,Instrumental,Expected,5.27947243,6,1
P26,11.26301082,m,1,Inaccessible,Unexpected,1.928908696,2,1
P26,11.26301082,m,2,Inaccessible,Expected,11.21754375,2,1
P26,11.36163987,m,1,GoalDirected,Unexpected,3.233987241,4,0
P26,11.36163987,m,2,GoalDirected,Expected,7.746322758,4,0
P28,11.16438176,m,1,Multiagent,Unexpected,27.82590986,1,0
P28,11.16438176,m,2,Multiagent,Expected,18.49912425,1,0
P28,11.39451622,m,1,Instrumental,Unexpected,28.2502265,4,0
P28,11.39451622,m,2,Instrumental,Expected,19.5490585,4,0
P28,11.42739258,m,1,Inefficient,Unexpected,11.55170871,5,1
P28,11.42739258,m,2,Inefficient,Expected,3.597025121,5,1
P28,11.46026893,m,1,Efficient,Unexpected,7.2537979,6,0
P28,11.46026893,m,2,Efficient,Expected,5.654738776,6,0
P29,11.16438176,f,1,Inefficient,Unexpected,5.784168553,2,1
P29,11.16438176,f,2,Inefficient,Expected,1.695931867,2,1
P29,11.29588717,f,1,Instrumental,Unexpected,16.42334921,3,1
P29,11.29588717,f,2,Instrumental,Expected,4.261515686,3,1
P29,11.39451622,f,1,Efficient,Unexpected,9.133740599,4,0
P29,11.39451622,f,2,Efficient,Expected,8.433593824,4,0
P30,11,f,1,Inaccessible,Unexpected,4.686425543,1,0
P30,11,f,2,Inaccessible,Expected,6.527485152,1,0
P30,11.36163987,f,1,Multiagent,Unexpected,23.617956,5,0
P30,11.36163987,f,2,Multiagent,Expected,11.81372138,5,0
P31,11.32876352,f,1,GoalDirected,Unexpected,6.537818862,3,0
P31,11.32876352,f,2,GoalDirected,Expected,7.620926572,3,0
P31,11.42739258,f,1,Inaccessible,Unexpected,6.855171872,5,1
P31,11.42739258,f,2,Inaccessible,Expected,7.405403119,5,1
P31,11.46026893,f,1,Multiagent,Unexpected,9.601881108,6,0
P31,11.46026893,f,2,Multiagent,Expected,6.597999836,6,0
P32,11.19725811,m,1,Efficient,Unexpected,19.05176229,1,0
P32,11.19725811,m,2,Efficient,Expected,6.862616355,1,0
P32,11.26301082,m,1,GoalDirected,Unexpected,3.542570573,3,1
P32,11.26301082,m,2,GoalDirected,Expected,5.956125609,3,1
P32,11.29588717,m,1,Inefficient,Unexpected,9.496588269,4,1
P32,11.29588717,m,2,Inefficient,Expected,2.846651954,4,1
P32,11.39451622,m,1,Instrumental,Unexpected,6.031983509,6,0
P32,11.39451622,m,2,Instrumental,Expected,5.705454864,6,0
P07b,11.0657527,m,1,Inaccessible,Unexpected,39.20514897,1,1
P07b,11.0657527,m,2,Inaccessible,Expected,8.779343583,1,1
P07b,11.09862906,m,1,GoalDirected,Unexpected,2.218291225,2,0
P07b,11.09862906,m,2,GoalDirected,Expected,7.457290032,2,0
P07b,11.16438176,m,1,Multiagent,Unexpected,3.184352989,3,0
P07b,11.16438176,m,2,Multiagent,Expected,15.52044473,3,0
P08b,10.78903245,m,1,GoalDirected,Unexpected,2.621602136,1,1
P08b,10.78903245,m,2,GoalDirected,Expected,3.344959143,1,1
P08b,10.8219088,m,1,Multiagent,Unexpected,9.463218985,2,0
P08b,10.8219088,m,2,Multiagent,Expected,8.447920638,2,0
P08b,10.85478515,m,1,Efficient,Unexpected,4.898416216,3,1
P08b,10.85478515,m,2,Efficient,Expected,3.948468103,3,1
P08b,10.92053786,m,1,Inefficient,Unexpected,1.637513056,5,0
P08b,10.92053786,m,2,Inefficient,Expected,2.401549976,5,0
P08b,11.36163987,m,1,Instrumental,Unexpected,5.188714783,6,1
P08b,11.36163987,m,2,Instrumental,Expected,2.805258215,6,1
P10b,10.92053786,m,1,Inaccessible,Unexpected,5.031016929,1,0
P10b,10.92053786,m,2,Inaccessible,Expected,7.704946149,1,0
P10b,11.46026893,m,1,GoalDirected,Unexpected,24.06622923,6,0
P10b,11.46026893,m,2,GoalDirected,Expected,11.2714709,6,0
P13b,10.88766151,m,1,Efficient,Unexpected,9.285662061,1,0
P13b,10.88766151,m,2,Efficient,Expected,6.854408093,1,0
P13b,11.03287635,m,1,Inaccessible,Unexpected,16.44610748,2,1
P13b,11.03287635,m,2,Inaccessible,Expected,11.6373443,2,1
P13b,11.0657527,m,1,Instrumental,Unexpected,9.236544306,3,0
P13b,11.0657527,m,2,Instrumental,Expected,17.01806551,3,0
P13b,11.09862906,m,1,GoalDirected,Unexpected,8.091501378,4,0
P13b,11.09862906,m,2,GoalDirected,Expected,9.476426713,4,0
P07c,10.59177434,m,1,Inaccessible,Unexpected,17.07065337,1,0
P07c,10.59177434,m,2,Inaccessible,Expected,8.437984797,1,0
P07c,10.62465069,m,1,GoalDirected,Unexpected,6.745560793,2,0
P07c,10.62465069,m,2,GoalDirected,Expected,4.307593881,2,0
P07c,10.65752704,m,1,Multiagent,Unexpected,8.942259809,3,0
P07c,10.65752704,m,2,Multiagent,Expected,3.101377392,3,0
P16b,11.03287635,f,1,GoalDirected,Unexpected,21.89688015,1,0
P16b,11.03287635,f,2,GoalDirected,Expected,7.505917875,1,0
P16b,11.09862906,f,1,Efficient,Unexpected,11.3175512,2,1
P16b,11.09862906,f,2,Efficient,Expected,4.88713609,2,1
P16b,11.23013446,f,1,Instrumental,Unexpected,11.79571673,4,0
P16b,11.23013446,f,2,Instrumental,Expected,15.96027474,4,0
P16b,11.29588717,f,1,Inefficient,Unexpected,11.38032203,6,1
P16b,11.29588717,f,2,Inefficient,Expected,7.433227134,6,1
P20b,10.78903245,m,1,Instrumental,Unexpected,8.58440293,2,0
P20b,10.78903245,m,2,Instrumental,Expected,8.107694545,2,0
P20b,11.03287635,m,1,Inefficient,Unexpected,5.454112776,3,0
P20b,11.03287635,m,2,Inefficient,Expected,5.425034196,3,0
P20b,11.16438176,m,1,Efficient,Unexpected,6.864044505,5,1
P20b,11.16438176,m,2,Efficient,Expected,7.302184814,5,1
P03c,11.23013446,m,1,Inaccessible,Unexpected,8.234288146,2,1
P03c,11.23013446,m,2,Inaccessible,Expected,10.06630222,2,1
P20c,11.13150541,m,1,Multiagent,Unexpected,10.82362246,1,0
P20c,11.13150541,m,2,Multiagent,Expected,19.4423759,1,0
P08c,10.55889798,m,1,GoalDirected,Unexpected,17.61420478,1,0
P08c,10.55889798,m,2,GoalDirected,Expected,11.25262117,1,0
P08c,10.59177434,m,1,Multiagent,Unexpected,9.393939542,2,1
P08c,10.59177434,m,2,Multiagent,Expected,16.23889054,2,1
P08c,10.62465069,m,1,Efficient,Unexpected,4.6366855,3,1
P08c,10.62465069,m,2,Efficient,Expected,3.009511625,3,1
P08c,10.69040339,m,1,Inefficient,Unexpected,3.321039542,5,1
P08c,10.69040339,m,2,Inefficient,Expected,7.182050917,5,1
P03d,10.52602163,m,1,Inaccessible,Unexpected,2.061502125,2,0
P03d,10.52602163,m,2,Inaccessible,Expected,1.950227917,2,0
P30b,10.65752704,f,1,Inaccessible,Unexpected,3.511902043,1,0
P30b,10.65752704,f,2,Inaccessible,Expected,2.383307209,1,0
P03e,11.19725811,m,1,Inaccessible,Unexpected,20.61497112,2,0
P03e,11.19725811,m,2,Inaccessible,Expected,11.91356933,2,0
P30c,10.55889798,m,1,Inaccessible,Unexpected,22.96008263,1,0
P30c,10.55889798,m,2,Inaccessible,Expected,11.47591117,1,0
P30c,10.72327974,m,1,Multiagent,Unexpected,5.24660325,5,0
P30c,10.72327974,m,2,Multiagent,Expected,5.3034625,5,0
P20d,10.92053786,f,1,Multiagent,Unexpected,10.26757229,1,1
P20d,10.92053786,f,2,Multiagent,Expected,17.83714604,1,1
P20d,10.95341421,f,1,Instrumental,Unexpected,4.000075209,2,0
P20d,10.95341421,f,2,Instrumental,Expected,4.919642625,2,0
P20d,11,f,1,Inefficient,Unexpected,7.976212583,3,0
P20d,11,f,2,Inefficient,Expected,10.66817475,3,0
P27d,11.0657527,m,1,Inaccessible,Unexpected,4.290906459,3,0
P27d,11.0657527,m,2,Inaccessible,Expected,10.43509617,3,0
P08d,10.95341421,f,1,GoalDirected,Unexpected,8.323938458,1,0
P08d,10.95341421,f,2,GoalDirected,Expected,7.065013042,1,0
P08d,11,f,1,Multiagent,Unexpected,2.091276876,2,1
P08d,11,f,2,Multiagent,Expected,15.71803904,2,1
P08d,11.03287635,f,1,Efficient,Unexpected,4.744268959,3,0
P08d,11.03287635,f,2,Efficient,Expected,9.138324,3,0
P08d,11.09862906,f,1,Inefficient,Unexpected,5.485779125,5,1
P08d,11.09862906,f,2,Inefficient,Expected,4.607711625,5,1
P08d,11.13150541,f,1,Instrumental,Unexpected,6.010508555,6,0
P08d,11.13150541,f,2,Instrumental,Expected,10.94934926,6,0
P06b,10.78903245,f,1,Inaccessible,Unexpected,15.00179704,2,0
P06b,10.78903245,f,2,Inaccessible,Expected,6.627188251,2,0
P20e,10.55889798,f,1,Multiagent,Unexpected,3.584494167,1,1
P20e,10.55889798,f,2,Multiagent,Expected,5.844861291,1,1
P20e,10.59177434,f,1,Instrumental,Unexpected,3.09400325,2,0
P20e,10.59177434,f,2,Instrumental,Expected,2.723374792,2,0
P20e,10.62465069,f,1,Inefficient,Unexpected,3.774984156,3,1
P20e,10.62465069,f,2,Inefficient,Expected,9.20692455,3,1
P20e,10.7561561,f,1,Efficient,Unexpected,6.565851406,5,0
P20e,10.7561561,f,2,Efficient,Expected,3.246318771,5,0
P08e,10.65752704,m,1,GoalDirected,Unexpected,7.151566863,1,0
P08e,10.65752704,m,2,GoalDirected,Expected,7.757266003,1,0
P08e,10.69040339,m,1,Multiagent,Unexpected,11.56426129,2,0
P08e,10.69040339,m,2,Multiagent,Expected,9.474522279,2,0
P08e,10.72327974,m,1,Efficient,Unexpected,6.934866465,3,0
P08e,10.72327974,m,2,Efficient,Expected,2.18029008,3,0
P08e,10.78903245,m,1,Inefficient,Unexpected,4.174914033,5,0
P08e,10.78903245,m,2,Inefficient,Expected,7.374470779,5,0
P06c,11.03287635,f,1,Inaccessible,Unexpected,4.401634669,2,0
P06c,11.03287635,f,2,Inaccessible,Expected,5.232678265,2,0
P06c,11.13150541,f,1,Multiagent,Unexpected,12.33825611,5,0
P06c,11.13150541,f,2,Multiagent,Expected,10.77974995,5,0
P29b,10.78903245,m,1,Inefficient,Unexpected,7.139924301,2,0
P29b,10.78903245,m,2,Inefficient,Expected,2.006147223,2,0
P29b,10.8219088,m,1,Instrumental,Unexpected,1.845706946,3,1
P29b,10.8219088,m,2,Instrumental,Expected,2.071893393,3,1
P29b,10.85478515,m,1,Efficient,Unexpected,1.890798828,4,1
P29b,10.85478515,m,2,Efficient,Expected,2.58664698,4,1
P29b,10.88766151,m,1,GoalDirected,Unexpected,10.41330344,5,0
P29b,10.88766151,m,2,GoalDirected,Expected,2.129039119,5,0
P08f,11.0657527,m,1,GoalDirected,Unexpected,3.313307047,1,0
P08f,11.0657527,m,2,GoalDirected,Expected,2.91769996,1,0
P08f,11.09862906,m,1,Multiagent,Unexpected,3.733426058,2,0
P08f,11.09862906,m,2,Multiagent,Expected,1.965493728,2,0
P08f,11.16438176,m,1,Efficient,Unexpected,2.518271091,3,0
P08f,11.16438176,m,2,Efficient,Expected,8.334412756,3,0
P08f,11.36163987,m,1,Inefficient,Unexpected,15.12234371,5,0
P08f,11.36163987,m,2,Inefficient,Expected,4.166634506,5,0
P08f,11.39451622,m,1,Instrumental,Unexpected,2.902873998,6,1
P08f,11.39451622,m,2,Instrumental,Expected,4.46762356,6,1
P08g,10.8219088,m,1,GoalDirected,Unexpected,6.798134151,1,1
P08g,10.8219088,m,2,GoalDirected,Expected,7.341669578,1,1
P08g,10.85478515,m,1,Multiagent,Unexpected,6.983806108,2,0
P08g,10.85478515,m,2,Multiagent,Expected,11.54900308,2,0
P08g,11.03287635,m,1,Inefficient,Unexpected,9.851430568,5,0
P08g,11.03287635,m,2,Inefficient,Expected,13.12444302,5,0
P08g,11.03287635,m,1,Instrumental,Unexpected,5.785386974,6,1
P08g,11.03287635,m,2,Instrumental,Expected,7.083254332,6,1
