Participant,Months,Gender,Order,Task,Outcome,Looking,TaskOrder,Habituated
P17,11,f,1,GoalDirected,Expected,7.562311559,3,0
P17,11.0657527,f,2,Efficient,Unexpected,28.68948584,5,0
P17,11.0657527,f,1,Efficient,Expected,20.2114012,5,0
P18,10.88766151,f,2,Instrumental,Unexpected,7.333011889,1,1
P18,10.88766151,f,1,Instrumental,Expected,5.623140776,1,1
P18,11,f,2,Inefficient,Unexpected,15.20662875,3,0
P18,11,f,1,Inefficient,Expected,13.51461443,3,0
P18,11.09862906,f,2,Efficient,Unexpected,3.428516942,4,0
P18,11.09862906,f,1,Efficient,Expected,3.49793366,4,0
P18,11.16438176,f,2,Multiagent,Unexpected,2.429978196,5,1
P18,11.16438176,f,1,Multiagent,Expected,18.29579461,5,1
P19,11.03287635,f,2,Efficient,Unexpected,6.338447409,1,0
P19,11.03287635,f,1,Efficient,Expected,5.949124932,1,0
P19,11.09862906,f,2,GoalDirected,Unexpected,9.491345255,2,0
P19,11.09862906,f,1,GoalDirected,Expected,4.321335583,2,0
P19,11.29588717,f,2,Inefficient,Unexpected,5.109037519,3,1
P19,11.29588717,f,1,Inefficient,Expected,9.03095394,3,1
P19,11.32876352,f,2,Instrumental,Unexpected,9.602304029,4,1
P19,11.32876352,f,1,Instrumental,Expected,7.32673857,4,1
P19,11.36163987,f,2,Multiagent,Unexpected,7.898484489,5,1
P19,11.36163987,f,1,Multiagent,Expected,14.83878861,5,1
P20,11.46026893,f,2,GoalDirected,Unexpected,8.727413345,6,1
P20,11.46026893,f,1,GoalDirected,Expected,2.570308674,6,1
P21,11.16438176,f,2,Efficient,Unexpected,5.473936225,3,0
P21,11.16438176,f,1,Efficient,Expected,4.884227447,3,0
P21,11.23013446,f,2,Multiagent,Unexpected,17.68188361,4,1
P21,11.23013446,f,1,Multiagent,Expected,7.095636997,4,1
P21,11.39451622,f,2,Inaccessible,Unexpected,3.088035398,6,0
P21,11.39451622,f,1,Inaccessible,Expected,2.505301961,6,0
P22,10.85478515,f,2,GoalDirected,Unexpected,9.140491575,1,0
P22,10.85478515,f,1,GoalDirected,Expected,7.08768372,1,0
P22,10.88766151,f,2,Instrumental,Unexpected,6.734542731,2,0
P22,10.88766151,f,1,Instrumental,Expected,18.4872806,2,0
P22,10.95341421,f,2,Inefficient,Unexpected,18.25094,3,0
P22,10.95341421,f,1,Inefficient,Expected,15.19420724,3,0
P22,11.13150541,f,2,Efficient,Unexpected,8.756159212,5,1
P22,11.13150541,f,1,Efficient,Expected,8.342710785,5,1
P22,11.16438176,f,2,Inaccessible,Unexpected,12.06172401,6,0
P22,11.16438176,f,1,Inaccessible,Expected,12.5594989,6,0
P23,10.85478515,f,2,Efficient,Unexpected,29.1653163,1,0
P23,10.85478515,f,1,Efficient,Expected,7.144360956,1,0
P23,11.26301082,f,2,Inefficient,Unexpected,9.18608029,4,0
P23,11.26301082,f,1,Inefficient,Expected,9.733981952,4,0
P23,11.36163987,f,2,Instrumental,Unexpected,1.53372175,6,0
P23,11.36163987,f,1,Instrumental,Expected,2.012536992,6,0
P24,11.23013446,f,2,Inaccessible,Unexpected,1.501205259,3,0
P24,11.23013446,f,1,Inaccessible,Expected,16.08819719,3,0
P24,11.32876352,f,2,Multiagent,Unexpected,7.50103461,4,0
P24,11.32876352,f,1,Multiagent,Expected,13.85512282,4,0
P25,10.92053786,f,2,GoalDirected,Unexpected,18.51815751,3,1
P25,10.92053786,f,1,GoalDirected,Expected,10.72501505,3,1
P25,11,f,2,Inaccessible,Unexpected,4.75831082,5,1
P25,11,f,1,Inaccessible,Expected,3.015337701,5,1
P26,11.23013446,m,2,Multiagent,Unexpected,10.08794011,1,0
P26,11.23013446,m,1,Multiagent,Expected,6.446857507,1,0
P26,11.29588717,m,2,Efficient,Unexpected,6.047184726,3,0
P26,11.29588717,m,1,Efficient,Expected,10.50245958,3,0
P26,11.46026893,m,2,Instrumental,Unexpected,2.881526442,5,0
P26,11.46026893,m,1,Instrumental,Expected,3.590954678,5,0
P26,11.49314528,m,2,Inefficient,Unexpected,1.802226602,6,1
P26,11.49314528,m,1,Inefficient,Expected,1.780997357,6,1
P27,10.59177434,f,2,GoalDirected,Unexpected,11.6285605,1,0
P27,10.59177434,f,1,GoalDirected,Expected,15.72243808,1,0
P27,10.65752704,f,2,Inefficient,Unexpected,5.285460112,2,1
P27,10.65752704,f,1,Inefficient,Expected,1.714462525,2,1
P27,10.85478515,f,2,Efficient,Unexpected,2.627096968,4,0
P27,10.85478515,f,1,Efficient,Expected,2.094532167,4,0
P27,10.92053786,f,2,Instrumental,Unexpected,8.679942668,5,0
P27,10.92053786,f,1,Instrumental,Expected,4.320067945,5,0
P27,10.95341421,f,2,Multiagent,Unexpected,7.033433304,6,1
P27,10.95341421,f,1,Multiagent,Expected,15.15774305,6,1
P28,11.19725811,m,2,GoalDirected,Unexpected,12.57427986,2,1
P28,11.19725811,m,1,GoalDirected,Expected,7.453599924,2,1
