"Subject","Age","Sex","d_goodslf_goodoth","d_goodslf_badslf","d_goodoth_badoth","d_badslf_badoth","RT_goodslf_goodoth","RT_goodslf_badslf","RT_goodoth_badoth","RT_badslf_badoth","Val_RT_goodslf_goodoth","Val_RT_goodslf_badslf","Val_RT_goodoth_badoth","Val_RT_badslf_badoth","Id_RT_goodslf_goodoth","Id_RT_goodslf_badslf","Id_RT_goodoth_badoth","Id_RT_badslf_badoth","Val_ACC_goodslf_goodoth","Val_ACC_goodslf_badslf","Val_ACC_goodoth_badoth","Val_ACC_badslf_badoth","Id_ACC_goodslf_goodoth","Id_ACC_goodslf_badslf","Id_ACC_goodoth_badoth","Id_ACC_badslf_badoth"
7304,25,"female",1.73354729833086,1.33557281867909,0.339810796250289,0.737785275902062,0.199622972972973,0.152036306306306,0.0239931372549019,-0.0715798039215686,0.125131674015076,0.106942275280899,-0.0803148200824919,0.0621254213483147,0.138742574525745,0.123447452574526,-0.0902460088691797,0.0749508869179601,0.111111111111111,0.1,-0.111111111111111,-0.1,0.0888888888888889,0.0888888888888889,-0.0666666666666667,-0.0666666666666667
7305,18,"male",-0.137125605618659,0.528218311796117,-0.580021065323542,-1.24536498273832,0.0127730641821946,0.0267827467218772,0.0492358730158731,-0.0352261904761905,0.0455281161578556,0.0887478617858365,0.0575350362610798,-0.0143152906330989,0.126914718482252,0.0687735241502683,-0.0282968228498075,-0.0298443714821763,-0.0666666666666667,0.0555555555555556,0.133333333333333,0.0111111111111111,0.111111111111111,0.0791510611735331,-0.0769038701622972,-0.0449438202247191
7306,21,"male",-1.24092526243588,-0.195227489140104,0.721917088891325,-0.323780684404447,-0.191326133760879,-0.0242670217917675,0.177200988301735,-0.0101418763326226,-0.0465365002836075,-0.00940634700665188,0.0308020688613712,0.00632808441558441,-0.0427460820078797,-0.0239873304473305,0.0347315428884625,-0.0159727913279133,-0.0444444444444445,-0.0666666666666667,0.1,0.122222222222222,-0.133333333333333,-0.144444444444444,0.0777777777777778,0.0888888888888889
7307,22,"female",0.378913126594123,-0.229723942794392,0.16531215750605,0.773949226894565,0.0400743447580645,-0.0298589732142858,0.0696709677419355,-0.139604285714286,-0.0153888708586883,-0.0844174329501916,-0.0207036298421808,-0.0483249322493225,0.035852018176958,-0.0565050068399453,0.00901258760863466,-0.101369612625538,0.0222222222222223,-0.0333333333333333,0.0333333333333333,0.0888888888888889,-0.0111111111111111,0.0111111111111112,0.0555555555555556,0.0333333333333333
7308,20,"female",0.818449786720117,1.36316000421318,-1.02524245802531,-1.56995267551837,0.113609005548442,0.149235126760563,-0.0216610131162369,0.0572871343283582,0.0837945428973277,0.103680261437909,-0.0412465735486687,0.0611322920892495,0.103144939759036,0.0634543181818182,-0.0534034790848789,0.0137128575076609,0.122222222222222,0.0555555555555556,-0.0888888888888889,-0.0222222222222223,0.0777777777777777,0.0222222222222223,-0.0666666666666667,-0.0111111111111112
7309,26,"male",1.08112580589023,1.2045868614591,-0.831858608055668,-0.955319663624539,0.0746950125313284,0.129457195767196,0.00695413925438593,0.0478080439814814,0.0408515909090909,0.0728875719217491,0.0199428658536585,0.0120931151589997,0.0525787010109404,0.0251633825944171,-0.0166001616220982,-0.0108151567944251,0.0888888888888889,0.1,-0.0222222222222223,-0.0333333333333333,0.0444444444444444,0.0333333333333333,0.0111111111111112,0.0222222222222223
7310,21,"female",-0.390314329407239,-0.209732787230495,-0.209042548699618,-0.389624090876362,-0.0287125,0.0975222222222223,0.0825982379767828,0.0436364842454395,-0.0723025581395349,-0.00456289521818654,0.0769263218390805,-0.00918665891773213,0.0279660353535353,0.0395211886304909,0.0520603368017525,-0.0405051835247969,-0.0444444444444444,-0.0333333333333333,0.0333333333333333,0.0222222222222223,0.0222222222222223,0.0444444444444444,0.0555555555555555,0.0333333333333333
7311,20,"female",-1.14570193653459,-1.76046683054099,0.888747107497658,1.50351200150407,-0.0202764719202898,-0.0774675347222222,0.0627155856497981,-0.11990664845173,-0.00630906318082791,0.0104835294117647,0.0193786391042205,-0.00258604651162786,0.039198993902439,-0.0147350807728857,-0.0237621207865168,-0.0301719538888078,0.0444444444444444,-0.0111111111111112,-0.0555555555555556,0,0.0222222222222223,0.0555555555555556,-0.1,-0.133333333333333
7312,21,"female",1.38853931149944,0.507231396170508,0.291252213143002,1.17256012847193,0.156787903851124,0.17684599418846,0.0181197064989518,0.00193838383838385,0.0197742163009405,-0.0201407302231238,-0.0155737700534759,-0.0243411764705883,0.100680158730159,0.0751180878552971,-0.0105457142857143,-0.0150163565891474,-0.0111111111111111,0.0222222222222223,0.0333333333333333,0,0.0666666666666667,0.0444444444444444,-0.0666666666666667,-0.0444444444444444
7313,20,"female",-0.130035998087464,0.794047798784925,-0.277629383656821,-1.20171318052921,0.000511111111111018,0.00673111111111113,-0.0699447834274952,0.0761647834274953,0.018255935828877,0.0804518954248366,0.00867549889135255,0.053520460704607,-0.0208870795870795,-0.00260820512820509,0.0205694805194805,-0.0022906060606061,-0.0443196004993758,0.0444444444444444,0.0776529338327091,-0.0111111111111111,0.001498127340824,0.533333333333333,0.620724094881398,0.0888888888888889
7314,19,"female",-0.866797111650058,0,0.879350539646289,0.0125534279962309,-0.0618713006396588,0.0711199342271692,0.0690023558897243,0.0639888789771038,-0.0569875697913605,-0.0861746987951807,0.0560416260162601,-0.0852287550200802,0.0476154761904762,0.000256444991789784,0.0474734285714286,-0.094832459770115,0.0111111111111112,0,0.0777777777777777,0.0888888888888889,0,-0.0333333333333333,0.1,0.133333333333333
7315,20,"female",0.886926565505911,0.600915745795068,0.3496128914315,0.635623711142342,0.171240595781692,0.186408092729189,0.101452141359688,-0.0862846444121916,0.0236118331053351,-0.0352830866807611,0.0726775910364146,-0.131572510822511,0.071561797752809,-0.0191,-0.0238741573033708,-0.0667876404494382,0.0111111111111112,-0.0222222222222221,0.0111111111111111,0.0444444444444444,0,0,0,0
7316,21,"female",1.62837845322591,1.64144570494683,-0.119508553653951,-0.132575805374872,0.114892036679537,0.149558108108108,0.023982435064935,0.0106836363636365,0.0775339869281045,0.0395933614627285,-0.0659897192513369,0.0280490937859609,0.084697037037037,0.0465323577235772,-0.0934366582491583,0.0552719789356985,0.0555555555555556,0.122222222222222,-0.0333333333333333,-0.1,0.1,0.0888888888888889,-0.0777777777777777,-0.0666666666666667
