RecordedDate,ResponseId,Charity,IS,DV_likely,PMMC,PMMC_1,PMMC_2,PMMC_3,ISMC,gender,age
2023-05-12 6:43,R_UiRNy6Zj47fwuHf,-1,-1,1,2.666666667,2,1,5,6,1,59
2023-05-12 6:43,R_STPFpbJxP6IAEMx,-1,-1,1,1,1,1,1,7,-1,46
2023-05-12 6:44,R_1CJ8cCVIc8le7HU,-1,1,7,4,7,1,4,7,-1,65
2023-05-12 6:44,R_e9ElvOtrOf3KM3D,1,-1,7,6.333333333,6,6,7,3,-1,39
2023-05-12 6:44,R_3ixsmkyBcGx5wcv,1,-1,1,4,4,3,5,3,1,38
2023-05-12 6:44,R_DVozHnUQMpOHir7,-1,-1,4,4,4,4,4,4,-1,38
2023-05-12 6:44,R_1OlXXHzN1Fbn63Q,-1,-1,7,5,6,2,7,7,-1,27
2023-05-12 6:44,R_2arglPD06FkWxZh,-1,1,7,6.666666667,7,6,7,7,-1,54
2023-05-12 6:45,R_2TZZwbeMj8SVaTM,1,1,6,5.333333333,5,6,5,5,1,54
2023-05-12 6:45,R_2wQvjbjiSacnGTa,1,-1,7,6,7,4,7,7,1,32
2023-05-12 6:45,R_3rLYUkatbi9ZNN2,-1,1,5,4.666666667,5,3,6,6,1,33
2023-05-12 6:45,R_1pRJsNbu8YAxGRe,1,-1,5,3.666666667,4,4,3,4,1,34
2023-05-12 6:45,R_snVnfkKrx73Y0X7,1,1,6,5,6,2,7,6,1,35
2023-05-12 6:46,R_1Qcnr1SACZLbUqQ,-1,-1,4,4,5,3,4,5,-1,51
2023-05-12 6:46,R_2TTtfRgoPRPMs6J,1,-1,3,6,6,5,7,7,1,37
2023-05-12 6:46,R_2P1ec6w8n0zXkwj,-1,-1,1,2,1,1,4,7,-1,42
2023-05-12 6:46,R_cInJbVGAlYKquWJ,-1,1,6,3.666666667,5,1,5,1,1,51
2023-05-12 6:46,R_31acfy5iNB80PND,-1,-1,2,1.666666667,2,2,1,2,1,70
2023-05-12 6:46,R_1K6AHygGu4L9zef,-1,-1,7,7,7,7,7,7,-1,33
2023-05-12 6:47,R_zd3VrZOwFaiiAyB,1,-1,7,7,7,7,7,1,-1,59
2023-05-12 6:47,R_1MW1jmUJ6o81Eqh,-1,1,1,3,2,1,6,6,1,42
2023-05-12 6:47,R_zfdeqsBxUj03Asx,1,1,5,4.333333333,6,2,5,5,-1,57
2023-05-12 6:47,R_1ineSf3ps3Led98,1,1,1,4.666666667,6,1,7,6,1,35
2023-05-12 6:48,R_2mhOYIdDO7WZxtv,1,1,3,4.666666667,5,4,5,5,1,33
2023-05-12 6:48,R_yDzJEz6AeBniVAB,-1,-1,1,1,1,1,1,7,1,52
2023-05-12 6:48,R_2wGo0mgwu5m8Eny,1,1,7,6,6,5,7,7,-1,68
2023-05-12 6:48,R_OI5A2AdozNqFitX,1,-1,1,2.666666667,3,1,4,7,1,34
2023-05-12 6:48,R_1DYxAoxlKuGJn8J,-1,-1,2,2.666666667,3,1,4,6,-1,33
2023-05-12 6:49,R_vj0h74rfbo2SV3P,-1,1,4,3.333333333,3,1,6,7,-1,59
2023-05-12 6:49,R_3mkGzVzAe7pTnmA,1,-1,7,5,5,5,5,5,1,56
2023-05-12 6:50,R_3RpDBQnY8oXr0ls,-1,1,1,1,1,1,1,5,1,31
2023-05-12 6:50,R_3nd7VncQPu2FRZs,-1,1,6,4.333333333,4,4,5,7,-1,78
2023-05-12 6:51,R_24BHsKpM27XNWNp,-1,-1,1,2.333333333,2,1,4,7,-1,59
2023-05-12 6:51,R_1ls0MiILOPA7aXW,-1,1,3,1,1,1,1,6,-1,28
2023-05-12 6:51,R_eP4bIBEIcgtF6EN,1,-1,7,6.333333333,7,5,7,4,-1,35
2023-05-12 6:51,R_DUFsMOEtu3857uF,1,1,5,4.333333333,4,4,5,7,-1,33
2023-05-12 6:52,R_1Nt4NuzSCghEULK,1,1,7,4,6,1,5,7,1,59
2023-05-12 6:52,R_1NxHhoegJQUxJR6,1,1,5,4,5,3,4,6,-1,52
2023-05-12 6:52,R_BWaoC7uhATHOeDn,-1,-1,3,4,4,4,4,7,1,35
2023-05-12 6:52,R_2aULOLNsrYZHSbi,-1,-1,2,2.333333333,3,2,2,2,1,32
2023-05-12 6:53,R_ykAWXnyRtP7cGe5,1,1,7,7,7,7,7,7,-1,39
2023-05-12 6:53,R_25YekYnQrFpgLww,-1,1,7,5.666666667,6,4,7,7,-1,38
2023-05-12 6:53,R_6VwilwCclXKGMGB,1,-1,4,6,6,6,6,7,1,70
2023-05-12 6:54,R_214xFtxkMQ1CnD5,-1,-1,2,1.666666667,2,1,2,6,-1,45
2023-05-12 6:54,R_3MrKTG6cFkzEhC3,-1,1,1,2,1,3,2,3,1,38
2023-05-12 6:54,R_1mr3XsMy8wp00Gc,1,1,7,7,7,7,7,5,1,39
2023-05-12 6:54,R_125NJS8rbxuUy5c,-1,-1,1,1,1,1,1,5,-1,48
2023-05-12 6:54,R_qwPhLsvoFt1rZbb,1,-1,4,5,5,4,6,2,1,40
2023-05-12 6:55,R_VKhaN8NtDKO6KXf,1,-1,3,6,6,5,7,5,-1,27
2023-05-12 6:56,R_1FqrDfCdsQkEhye,-1,1,3,4,4,3,5,7,1,29
2023-05-12 6:56,R_3gR9Qxok6HUgx7f,1,-1,6,5.333333333,6,4,6,5,-1,54
2023-05-12 6:56,R_2fCXM1YkMGjsIZg,1,1,7,4.666666667,5,3,6,7,-1,41
2023-05-12 6:56,R_3pikT9t2wc8TLMI,-1,1,7,6.333333333,6,7,6,7,1,44
2023-05-12 6:56,R_1IawpMdgLXdx5q6,1,1,1,3,4,1,4,7,1,68
2023-05-12 6:57,R_WuKZqELbDmRP9pn,-1,-1,5,4.666666667,4,5,5,7,-1,35
2023-05-12 6:57,R_wTzcGNt73PukCIx,-1,1,2,3.666666667,3,4,4,7,-1,32
2023-05-12 6:57,R_1itcZsaSLMGUlVT,1,-1,5,6.333333333,7,6,6,6,1,52
2023-05-12 6:57,R_3NDunri0cVHfdPO,1,-1,1,2,2,2,2,1,-1,48
2023-05-12 6:57,R_1NwihOTTs3Dts5U,1,1,5,6,7,6,5,5,-1,32
2023-05-12 6:58,R_22JonsYxkBY94iR,1,1,6,5.333333333,5,4,7,7,1,30
2023-05-12 6:59,R_21aBaRfwU0aThKt,-1,-1,1,4.666666667,6,1,7,7,1,44
2023-05-12 6:59,R_r8r9Z7CFtsm2fQt,1,-1,7,7,7,7,7,7,-1,47
2023-05-12 6:59,R_1kXiOzrM2yAGRnp,-1,1,4,3.666666667,3,4,4,5,1,52
2023-05-12 6:59,R_2Y9Ezr28vTgycuN,-1,1,7,5.666666667,7,5,5,7,1,37
2023-05-12 7:00,R_3oELHEDapCqnVP9,1,1,1,1,1,1,1,4,1,27
2023-05-12 7:01,R_2Pbrbzj3C3ORAHO,-1,1,7,2.333333333,2,1,4,2,1,45
2023-05-12 7:02,R_3jfG0QhHqU5EMFa,1,-1,7,7,7,7,7,3,1,40
2023-05-12 7:02,R_2TGll2kA6r4s1CF,-1,-1,6,5.666666667,7,5,5,5,1,42
2023-05-12 7:02,R_2VL3pErfT4Aoykf,-1,-1,1,1.666666667,2,1,2,7,1,32
2023-05-12 7:02,R_ThCHRvIdXGXuChb,-1,1,2,1,1,1,1,4,-1,52
2023-05-12 7:03,R_3MnFB3UUv2JseqL,-1,-1,2,3,4,1,4,5,-1,34
2023-05-12 7:03,R_2urYi6IG4gutyYi,1,-1,5,5,5,4,6,6,1,42
2023-05-12 7:04,R_2dH1rguQ4qVuG2H,1,1,7,6.666666667,7,6,7,6,-1,51
2023-05-12 7:04,R_2TWYbO67qjFe85d,1,1,7,4.333333333,4,3,6,3,1,43
2023-05-12 7:04,R_s7ndAVh8ToeP6yB,-1,1,3,2,4,1,1,7,-1,35
2023-05-12 7:05,R_2rwKLyy6Nb4EJAx,1,-1,3,3.333333333,2,4,4,2,1,40
2023-05-12 7:06,R_3PHnb9gRxuCW8w5,-1,-1,1,4.333333333,4,3,6,3,-1,29
2023-05-12 7:07,R_pGbtJGr3U2ROIQV,1,-1,7,6.666666667,7,6,7,4,-1,52
2023-05-12 7:07,R_3OfwCfx8xZGPooG,-1,-1,4,4.333333333,4,5,4,4,1,25
2023-05-12 7:08,R_1CJVT7Pwmzld55z,-1,1,3,3.333333333,5,1,4,6,-1,64
2023-05-12 7:08,R_0qacw4DQlbz9cHv,-1,1,7,4,4,1,7,7,-1,44
2023-05-12 7:09,R_3NEaR5TCL9u5m67,-1,-1,4,4,6,2,4,7,-1,57
2023-05-12 7:09,R_2tFoFBdN2k6Z9wd,1,-1,2,4,5,2,5,6,1,38
2023-05-12 7:09,R_yDYm5rVJqUPFoKl,-1,1,7,5,7,1,7,5,-1,36
2023-05-12 7:10,R_3D22ocfRIocoIdM,1,-1,6,4.666666667,6,4,4,1,-1,66
2023-05-12 7:11,R_VRtCgPLKgvvU74t,1,1,1,5,7,4,4,7,-1,43
2023-05-12 7:11,R_tPqzQvGZlRHDoDn,-1,-1,5,4.666666667,5,4,5,2,-1,39
2023-05-12 7:11,R_ZqrRNXlyYfr8VNL,1,1,7,7,7,7,7,5,1,44
2023-05-12 7:11,R_3szEGGPIDAsk2XL,-1,1,3,4,5,3,4,7,-1,34
2023-05-12 7:11,R_3ipWFH0UulK4xny,1,1,1,4,4,4,4,1,1,45
2023-05-12 7:11,R_3qyTed6z2V4j6lH,-1,-1,2,3,3,1,5,3,1,37
2023-05-12 7:11,R_12aU3FI9wiL9bjG,1,1,6,7,7,7,7,6,-1,36
2023-05-12 7:12,R_XnyPgCxonrcnHXz,-1,1,2,4,4,2,6,7,1,27
2023-05-12 7:12,R_eS7VhQvnnrmYEqR,1,-1,7,6,7,4,7,7,1,69
2023-05-12 7:12,R_3s7xzjx6nxthxiF,1,-1,4,6.333333333,6,6,7,5,-1,50
2023-05-12 7:13,R_2PtZfl963J5o1wq,-1,1,6,4.666666667,5,3,6,5,-1,51
2023-05-12 7:13,R_29ulTVJ9ZIbhq7s,-1,1,4,2.666666667,2,2,4,6,-1,54
2023-05-12 7:13,R_3oBjaSoBmtIq6Oa,1,1,4,4,4,4,4,6,1,73
2023-05-12 7:14,R_2VlT573bG1h5NV2,-1,-1,6,5.666666667,6,4,7,3,1,33
2023-05-12 7:14,R_1OPu2zLOTvoz9E7,1,1,4,4,4,4,4,7,1,35
2023-05-12 7:14,R_1C4nnSstrtJmZjv,-1,-1,7,6.333333333,7,5,7,7,-1,47
2023-05-12 7:14,R_XzTSLeWWO9TJ9gl,1,-1,6,6.666666667,7,6,7,7,-1,45
2023-05-12 7:14,R_xENF3AD5cL2FGXn,1,-1,7,6,7,4,7,5,-1,52
2023-05-12 7:14,R_1QlpnbKIu27Asg9,-1,-1,6,5,6,4,5,5,-1,30
2023-05-12 7:15,R_1mszqMFOQiyoaLC,1,1,1,6,7,4,7,7,-1,36
2023-05-12 7:15,R_6tfG2AlpYHvISch,1,-1,7,7,7,7,7,7,-1,61
2023-05-12 7:15,R_3mlC827nau31RqU,1,1,7,7,7,7,7,2,1,52
2023-05-12 7:16,R_271AFxxY9yZuCBf,-1,1,1,3,4,1,4,7,-1,43
2023-05-12 7:16,R_UKriO44L0DmJGtX,1,-1,6,6.333333333,7,5,7,7,-1,59
2023-05-12 7:16,R_1gCJyP2yPov7aVM,-1,1,7,6.666666667,7,7,6,6,-1,26
2023-05-12 7:16,R_29iFI9x3dgRzmHu,1,1,1,2.333333333,3,2,2,2,1,33
2023-05-12 7:16,R_1rNPH5FrPcvpKZM,1,1,2,3.666666667,4,2,5,7,1,44
2023-05-12 7:16,R_1pXz6KNAwJDq1Ib,1,-1,6,6,6,6,6,6,1,49
2023-05-12 7:17,R_3CE0AkQGfO9HIQi,-1,-1,1,3.333333333,3,1,6,7,-1,66
2023-05-12 7:17,R_1rCyKskvZ6oqOAZ,-1,1,1,2.333333333,2,1,4,6,1,54
2023-05-12 7:17,R_1joIGHndmctJPOh,-1,-1,7,6.333333333,6,6,7,3,1,29
2023-05-12 7:17,R_1eE5jqcw1EHZ9D0,-1,-1,1,4.333333333,6,1,6,7,-1,65
2023-05-12 7:17,R_prC4DRrU2jHzGh3,-1,1,7,6.666666667,7,6,7,5,1,67
2023-05-12 7:18,R_2wiwCRNqNhRW3DS,-1,-1,6,6,6,6,6,7,1,41
2023-05-12 7:18,R_10SjuO9BIpW8TSV,-1,-1,5,5.333333333,6,4,6,5,1,41
2023-05-12 7:18,R_1oBm4laBANnT6Aq,1,1,1,4.333333333,5,2,6,7,1,33
2023-05-12 7:19,R_1OCEuF5IXzY1APV,1,-1,5,5,6,4,5,3,1,38
2023-05-12 7:19,R_2bUlndU1sB1xhDp,1,1,5,4.666666667,5,3,6,5,1,31
2023-05-12 7:19,R_33dnDt5sQijaDBq,1,-1,7,7,7,7,7,1,1,26
2023-05-12 7:19,R_2QRI06syRaeLtAI,1,-1,5,5,7,4,4,6,-1,58
2023-05-12 7:20,R_1PbZIN361wAGIm7,-1,1,4,3,4,1,4,5,-1,62
2023-05-12 7:20,R_3RqIJIhBQsU2YEQ,-1,1,1,1,1,1,1,1,-1,30
2023-05-12 7:20,R_2f7LuuJIn5C1nHe,1,-1,2,4.333333333,5,3,5,3,1,65
2023-05-12 7:20,R_3fuXVE9i5mT3ARD,1,1,7,5,7,1,7,7,-1,33
2023-05-12 7:21,R_1Iu8KZrddw7S8iu,-1,-1,6,4.666666667,7,1,6,7,-1,54
2023-05-12 7:21,R_2qCa7iAXWd1ctt4,1,-1,5,5.333333333,5,5,6,4,-1,32
2023-05-12 7:21,R_RyQt46Bo4BJsqZ3,-1,-1,5,4.666666667,5,3,6,5,-1,39
2023-05-12 7:21,R_2qwmut4C6tSTeXp,1,-1,6,6.666666667,7,7,6,6,-1,22
2023-05-12 7:21,R_2SphBmztvc63uJ7,1,1,1,1,1,1,1,1,-1,38
2023-05-12 7:21,R_3kO2VKFRSfjmTRa,1,-1,7,6,5,6,7,5,-1,41
2023-05-12 7:21,R_2SwSuwSyunguZH4,1,1,6,5.666666667,5,6,6,6,1,29
2023-05-12 7:21,R_2zOpK5Pt4k4fNnt,-1,1,5,2,2,1,3,6,1,37
2023-05-12 7:21,R_3e5kjQp5iutXMFQ,1,1,6,5,6,4,5,6,1,75
2023-05-12 7:22,R_22KvI97p4W6kIQk,-1,1,7,6.333333333,6,7,6,6,1,30
2023-05-12 7:22,R_e2QxFhdR36hyBH3,-1,-1,4,3,3,2,4,5,1,50
2023-05-12 7:22,R_2osKO52XjDGahHz,1,1,7,5,7,1,7,7,1,34
2023-05-12 7:22,R_OONzJYl2ka8O13j,1,-1,5,4.333333333,5,3,5,4,1,27
2023-05-12 7:22,R_3iV8kOSVcW3EsPN,-1,1,6,4,3,3,6,7,1,33
2023-05-12 7:23,R_3e9NnWAB8euN9kn,-1,-1,1,1.666666667,2,1,2,6,1,54
2023-05-12 7:23,R_sOpCcHeoHpmxrxv,-1,-1,4,5.333333333,5,5,6,5,-1,27
2023-05-12 7:23,R_3CQoO6BHckO8A6C,-1,1,7,6.333333333,6,7,6,6,1,29
2023-05-12 7:24,R_1hFIU821aeKFV0s,1,1,6,5.333333333,7,4,5,7,-1,42
2023-05-12 7:24,R_3lEaSdePEza4XpK,1,-1,2,5.333333333,6,5,5,5,-1,42
2023-05-12 7:24,R_1d0tmuHR4Zz01Wb,-1,1,4,4.666666667,5,4,5,5,1,38
2023-05-12 7:24,R_1IaYcvMw2UTay3w,-1,-1,5,3,3,3,3,2,-1,30
2023-05-12 7:25,R_3ikeG1QFbfK9bXf,-1,1,5,5,5,5,5,5,-1,37
2023-05-12 7:25,R_3MJLEI5nyDmTCms,-1,-1,7,6.333333333,7,5,7,7,1,38
2023-05-12 7:25,R_2qgaFzyspO5TtjG,1,-1,7,5.666666667,7,4,6,7,-1,52
2023-05-12 7:25,R_3HMOQJbtPKSeK3f,1,1,7,7,7,7,7,5,-1,45
2023-05-12 7:26,R_2bN41XLBYv8NsPA,-1,1,1,2,1,1,4,7,-1,46
2023-05-12 7:26,R_1rkwy4dXEd09jJe,1,-1,7,6.666666667,7,6,7,7,-1,35
2023-05-12 7:26,R_2YXOHwUxLHohJYM,1,-1,7,6,7,5,6,7,1,32
2023-05-12 7:28,R_DS1wpU5OW0dRlzb,-1,-1,7,5.333333333,5,4,7,6,-1,38
2023-05-12 7:28,R_1P0ZYkhj85sBtMQ,-1,1,1,1,1,1,1,3,1,27
2023-05-12 7:28,R_0wWrNftA5rjQxax,1,1,2,3.666666667,5,1,5,2,-1,54
2023-05-12 7:28,R_1MY85V1DoAbh5cf,1,1,5,4.666666667,6,4,4,6,1,42
2023-05-12 7:28,R_2uWBhhRyCljtCfQ,-1,-1,2,3,4,1,4,7,-1,30
2023-05-12 7:28,R_1q3REflG9UGjlfu,-1,1,7,4.666666667,4,4,6,5,-1,37
2023-05-12 7:29,R_1mO87zWEN5lUhBj,1,1,1,2,2,2,2,5,1,39
2023-05-12 7:29,R_4SgrCcsrdGZP6YF,-1,-1,6,4.333333333,5,4,4,5,-1,46
2023-05-12 7:29,R_2Tn1KVd1ncpVTQD,-1,1,5,5.666666667,6,5,6,3,-1,64
2023-05-12 7:29,R_79QBtxQ2Ea5owI9,-1,1,7,6.666666667,6,7,7,7,-1,27
2023-05-12 7:30,R_2CDG4XcNXGssWvH,1,1,4,6,7,4,7,7,1,72
2023-05-12 7:30,R_ugBkeAJhvdBsxRn,-1,-1,5,3.666666667,3,3,5,6,-1,46
2023-05-12 7:30,R_2PbePATPfj19VLs,1,1,5,6.333333333,6,6,7,7,1,52
2023-05-12 7:30,R_3QXWjqK8LJ7c1Gd,1,-1,6,3.666666667,4,2,5,6,1,57
2023-05-12 7:31,R_3CTUSuTppJD1rQH,-1,-1,7,4,4,4,4,7,-1,32
2023-05-12 7:31,R_2urqNjm4pCSABuM,-1,1,7,3.333333333,4,3,3,5,1,53
2023-05-12 7:31,R_2CJuvoSFCZcmTlA,1,-1,4,5.333333333,6,4,6,7,1,49
2023-05-12 7:32,R_1M3TAJIeomUXgbM,1,1,4,5,5,5,5,6,1,38
2023-05-12 7:33,R_2aabq5xTA7fgC7I,1,1,7,5,7,4,4,7,1,51
2023-05-12 7:33,R_0NVaQIQdcu5RX0J,-1,1,2,2,2,2,2,7,1,35
2023-05-12 7:34,R_Qnt7NLWniBs1K2R,-1,-1,4,4,6,2,4,7,1,60
2023-05-12 7:34,R_2CHsy3inBbq87pw,-1,-1,7,6,6,6,6,6,-1,23
2023-05-12 7:34,R_3p5pvHszKmCrPde,-1,1,7,5.666666667,7,3,7,7,-1,70
2023-05-12 7:34,R_2z8rQKm1bZGjcPi,1,-1,6,4.666666667,5,4,5,7,1,77
2023-05-12 7:34,R_22PTl0hOVB0G5zj,1,-1,6,6,6,6,6,5,-1,55
2023-05-12 7:34,R_2t4kfa9STcn9jSx,1,1,7,6.666666667,7,6,7,7,1,41
2023-05-12 7:36,R_2tJ7LFIBLjMNbFk,-1,-1,1,3.333333333,5,1,4,7,1,68
2023-05-12 7:36,R_300twRDA0kDJIOp,1,-1,7,7,7,7,7,5,-1,25
2023-05-12 7:36,R_1oG92VCQGjllnk6,-1,1,6,4.666666667,5,4,5,7,-1,38
2023-05-12 7:36,R_eJ8CCbXLMiWKPu1,1,1,5,5.333333333,5,6,5,5,-1,42
2023-05-12 7:36,R_2VjBD0Yry1eoV45,-1,1,1,3,1,1,7,7,1,30
2023-05-12 7:36,R_3qEEiikUVX2rJH6,1,1,1,4.666666667,6,2,6,7,1,30
2023-05-12 7:36,R_1kSOrjDAZRBKIPS,1,-1,1,3.666666667,4,3,4,2,1,27
2023-05-12 7:37,R_cxbWYaIRqlFyzp7,1,1,5,6,6,6,6,7,-1,34
2023-05-12 7:37,R_31yhksDVkXNi0zO,-1,1,1,2.333333333,2,1,4,6,1,35
2023-05-12 7:37,R_yQN4ramT4HkWVBn,-1,-1,1,1,1,1,1,7,1,25
2023-05-12 7:39,R_1kIHTjmTtoyCuYV,-1,-1,1,2,2,2,2,7,1,33
2023-05-12 7:39,R_vvNNQj2RF1DpHr3,-1,1,5,4.333333333,4,5,4,5,1,33
2023-05-12 7:39,R_ahLEmB2A8sMpfTX,-1,-1,1,1,1,1,1,7,-1,47
2023-05-12 7:40,R_11dT8R8HeSTdu67,1,-1,6,6,6,5,7,7,-1,43
2023-05-12 7:40,R_s6ZHRwfHKJmPUuR,1,1,2,5,5,5,5,6,1,52
2023-05-12 7:40,R_1mXGTT4FuiNJLPN,-1,1,1,2,1,1,4,7,1,31
2023-05-12 7:41,R_0Nwj6LAoPrpg4gx,1,-1,7,6.666666667,7,6,7,7,-1,49
2023-05-12 7:41,R_3JnrJK0ppnScOeU,-1,-1,1,3,3,3,3,2,-1,56
2023-05-12 7:42,R_2bHQNDmm51Cl8zI,1,-1,7,6,6,6,6,7,1,58
2023-05-12 7:42,R_2tEI2WnsA2Q69bG,1,-1,1,3,7,1,1,7,1,40
2023-05-12 7:43,R_2Cqyo3AnpGLwXmV,1,1,7,6,6,6,6,7,1,38
2023-05-12 7:43,R_1n1IZoIr9bFMUuj,1,1,6,5.666666667,6,5,6,3,-1,59
2023-05-12 7:43,R_NWrYAPaYqt7mXNn,-1,1,1,1,1,1,1,4,1,56
