"analysis","var1","var2","r_jasp","r_r","r_diff","p_jasp","p_r","p_diff"
"MS_cross_taskeffect_wide:0:cor","d_goodslf_goodoth","Val_ACC_goodslf_goodoth",0.205141789344375,0.205141789344375,-8.32667268468867e-17,0.198212375928395,0.198212375928395,-2.77555756156289e-17
"MS_cross_taskeffect_wide:0:cor","d_goodslf_goodoth","Id_ACC_goodslf_goodoth",0.130636338421499,0.130636338421499,4.16333634234434e-16,0.415582113524692,0.415582113524693,5.55111512312578e-16
"MS_cross_taskeffect_wide:0:cor","Val_ACC_goodslf_goodoth","Id_ACC_goodslf_goodoth",0.144138067098044,0.144138067098044,-2.22044604925031e-16,0.368599648533845,0.368599648533845,-1.66533453693773e-16
"MS_cross_taskeffect_wide:2:cor","d_goodslf_badslf","Val_ACC_goodslf_badslf",0.241642004005719,0.241642004005719,-3.88578058618805e-16,0.127991378102641,0.127991378102642,5.27355936696949e-16
"MS_cross_taskeffect_wide:2:cor","d_goodslf_badslf","Id_ACC_goodslf_badslf",0.060078164984742,0.060078164984742,-4.16333634234434e-17,0.709052660614012,0.709052660614012,-2.22044604925031e-16
"MS_cross_taskeffect_wide:2:cor","Val_ACC_goodslf_badslf","Id_ACC_goodslf_badslf",0.185715719268387,0.185715719268387,0,0.245019043866392,0.245019043866392,-1.38777878078145e-16
"MS_cross_taskeffect_wide:3:cor","RT_goodslf_goodoth","Val_RT_goodslf_goodoth",0.51774761436436,0.51774761436436,4.44089209850063e-16,0.000263250410025813,0.000263250410025812,-1.40946282423116e-18
"MS_cross_taskeffect_wide:3:cor","RT_goodslf_goodoth","Id_RT_goodslf_goodoth",0.492840333175138,0.492840333175139,7.21644966006352e-16,0.000530862992395993,0.000530862992395988,-4.55364912443912e-18
"MS_cross_taskeffect_wide:3:cor","Val_RT_goodslf_goodoth","Id_RT_goodslf_goodoth",0.695017784440054,0.695017784440054,1.11022302462516e-16,2.30219263262719e-07,2.30219263262717e-07,-2.06464280893236e-21
"MS_cross_taskeffect_wide:4:cor","RT_goodslf_badslf","Val_RT_goodslf_badslf",0.182970821802094,0.182970821802093,-9.43689570931383e-16,0.126093859840808,0.126093859840809,1.0547118733939e-15
"MS_cross_taskeffect_wide:4:cor","RT_goodslf_badslf","Id_RT_goodslf_badslf",0.4329269430673,0.432926943067299,-5.55111512312578e-16,0.00234784472913824,0.00234784472913827,2.77555756156289e-17
"MS_cross_taskeffect_wide:4:cor","Val_RT_goodslf_badslf","Id_RT_goodslf_badslf",0.631856212335905,0.631856212335904,-6.66133814775094e-16,4.69753501140411e-06,4.69753501140416e-06,5.50571415715295e-20
"MS_cross_taskeffect_wide:7:cor","d_goodoth_badoth","Val_ACC_goodoth_badoth",-0.0605051655653624,-0.0605051655653624,-3.46944695195361e-17,0.707076337375765,0.707076337375765,1.11022302462516e-16
"MS_cross_taskeffect_wide:7:cor","d_goodoth_badoth","Id_ACC_goodoth_badoth",0.0861155057186985,0.0861155057186985,2.77555756156289e-17,0.592406464113027,0.592406464113027,1.11022302462516e-16
"MS_cross_taskeffect_wide:7:cor","Val_ACC_goodoth_badoth","Id_ACC_goodoth_badoth",0.17542307046612,0.17542307046612,1.66533453693773e-16,0.272618308713662,0.272618308713662,-2.77555756156289e-16
"MS_cross_taskeffect_wide:8:cor","d_badslf_badoth","Val_ACC_badslf_badoth",-0.054560207528356,-0.054560207528356,4.16333634234434e-17,0.734757117695148,0.734757117695148,2.22044604925031e-16
"MS_cross_taskeffect_wide:8:cor","d_badslf_badoth","Id_ACC_badslf_badoth",-0.144858882249178,-0.144858882249178,2.22044604925031e-16,0.366184306351547,0.366184306351547,-4.44089209850063e-16
"MS_cross_taskeffect_wide:8:cor","Val_ACC_badslf_badoth","Id_ACC_badslf_badoth",0.319959230893987,0.319959230893987,-2.77555756156289e-16,0.0414162719169597,0.0414162719169597,-2.77555756156289e-17
"MS_cross_taskeffect_wide:9:cor","RT_goodoth_badoth","Val_RT_goodoth_badoth",0.21563965942987,0.215639659429869,-1.27675647831893e-15,0.175717289115597,0.175717289115599,2.16493489801906e-15
"MS_cross_taskeffect_wide:9:cor","RT_goodoth_badoth","Id_RT_goodoth_badoth",0.450614937485315,0.450614937485315,5.55111512312578e-17,0.00311107586993298,0.00311107586993299,1.17093834628434e-17
"MS_cross_taskeffect_wide:9:cor","Val_RT_goodoth_badoth","Id_RT_goodoth_badoth",0.480864181891157,0.480864181891157,-2.22044604925031e-16,0.00146046315950329,0.0014604631595033,5.42101086242752e-18
"MS_cross_taskeffect_wide:10:cor","RT_badslf_badoth","Val_RT_badslf_badoth",0.247296783899354,0.247296783899354,3.33066907387547e-16,0.119037657424544,0.119037657424543,-9.85322934354826e-16
"MS_cross_taskeffect_wide:10:cor","RT_badslf_badoth","Id_RT_badslf_badoth",0.230747071920832,0.230747071920832,-2.4980018054066e-16,0.146646167253211,0.146646167253212,9.99200722162641e-16
"MS_cross_taskeffect_wide:10:cor","Val_RT_badslf_badoth","Id_RT_badslf_badoth",0.613848148727212,0.613848148727212,0,1.97049909078686e-05,1.97049909078684e-05,-1.52465930505774e-19
